传感器名称（字符型）,传感器类型（字符型）,标识符合（字符型）,传感器地址（字符型）,鲁棒性（字符型）,数据类型（字符型）,接口协议（字符型）,平台协议（字符型）,采集来源,来源链接,采集时间,备注【疑问汇总】
运动捕捉传感器,物理传感器,MO-013,/dev/motion_capture,中,数字,I2C,MQTT,智能健身设备,https://www.fitnesstracker.com,,
红外传感器,物理传感器,IR-014,/dev/infrared,高,数字,SPI,CoAP,安防系统,https://www.securitytech.com,,
光传感器,物理传感器,LS-015,/dev/light_sensor,中,模拟,UART,HTTP,智能家居,https://www.smartlight.com,,
CO2传感器,化学传感器,CO-016,/dev/co2,高,数字,I2C,MQTT,环境监测,https://www.cleanair.com,,
电流传感器,物理传感器,CU-017,/dev/current,高,数字,SPI,CoAP,电力监测,https://www.powergrid.com,,
风速传感器,物理传感器,WS-018,/dev/wind_speed,中,数字,I2C,MQTT,气象监测,https://www.weatherstation.com,,
土壤湿度传感器,物理传感器,SM-010,/dev/soil_moisture,高,数字,I2C,MQTT,农业监测,https://www.agri-tech.com/,,
运动传感器,物理传感器,MS-011,/dev/motion,中,数字,SPI,HTTP,安全监控,https://www.safetymonitor.com/,,
风速传感器,物理传感器,WS-012,/dev/wind_speed,高,数字,UART,CoAP,气象站,http://www.weatherstation.com/,,
水位传感器,物理传感器,WL-013,/dev/water_level,高,模拟,I2C,MQTT,水利监测,https://www.waterresources.gov/,,
电流传感器,物理传感器,CS-014,/dev/current,中,数字,SPI,HTTP,能源监测,https://www.energy-monitor.com/,,
温湿度一体传感器,物理传感器,TH-015,/dev/temp_hum,高,数字,UART,CoAP,智慧建筑,https://www.smartbuildings.com/,,
超声波传感器,物理传感器,US-016,/dev/ultrasonic,高,模拟,I2C,MQTT,智能交通,https://www.smarttraffic.com/,,
生物气体传感器,化学传感器,BG-017,/dev/biogas,中,数字,SPI,HTTP,环保监测,https://www.envmon.com/,,
粒子传感器,化学传感器,PS-018,/dev/particle,中,模拟,UART,CoAP,空气质量监测,https://www.airqualitymonitor.com/,,
CO2传感器,化学传感器,CO2-019,/dev/co2,高,数字,I2C,MQTT,环境监测,https://www.envmonitor.com/,,
氮氧化物传感器,化学传感器,NO2-010,/dev/nox,高,数字,I2C,MQTT,城市环境监测,https://www.environmental-monitoring.org,,
紫外线传感器,物理传感器,UV-011,/dev/uv,中,数字,SPI,HTTP,农业监测,https://www.agricultureandmonitoring.com,,
土壤湿度传感器,物理传感器,SM-012,/dev/soilmoisture,高,模拟,UART,CoAP,智能农业,https://www.smartagriculture.org,,
气象传感器,物理传感器,WX-013,/dev/weather,中,数字,I2C,HTTP,气象局,https://www.meteorological.gov,,
水质传感器,化学传感器,WQ-014,/dev/waterquality,高,数字,UART,MQTT,水务公司,https://www.waterquality.org,,
电流传感器,物理传感器,CS-015,/dev/current,中,模拟,SPI,CoAP,电力监控,https://www.electricitymonitoring.com,,
风速传感器,物理传感器,WS-016,/dev/windspeed,高,数字,I2C,HTTP,气象站,https://www.weatherstation.org,,
位置传感器,物理传感器,GPS-017,/dev/gps,中,数字,UART,MQTT,导航系统,https://www.navigation.com,,
流量传感器,物理传感器,FS-018,/dev/flow,高,数字,SPI,CoAP,工业监控,https://www.industrymonitor.com,,
烟雾传感器,化学传感器,SMK-019,/dev/smoke,高,数字,UART,HTTP,消防安全,https://www.firesecurity.org,,
声波传感器,物理传感器,SS-010,/dev/soundwave,高,数字,I2S,MQTT,建筑监控,https://www.tuya.com/cn/industry-details/Kan40tan9xc2d,,
土壤湿度传感器,物理传感器,SM-011,/dev/soilmoisture,中,模拟,UART,HTTP,农业管理,https://www.agriculture.com/news/technology/soil-moisture-sensors,,
水质传感器,化学传感器,WS-012,/dev/waterquality,高,数字,I2C,CoAP,环保监测,https://www.environment.gov.au/water,,
烟雾传感器,化学传感器,SS-013,/dev/smoke,高,数字,Zigbee,MQTT,家庭安全,https://www.homeadvisor.com/r/home-smoke-detector/,,
电流传感器,物理传感器,CS-014,/dev/current,中,模拟,RS-485,HTTP,能源管理,https://www.energy.gov/oe/activities/technology-development/grid-modernization-and-smart-grid,,
智能运动传感器,物理传感器,MS-015,/dev/motion,高,数字,Bluetooth,CoAP,健身追踪,https://www.wellness.com/news/fitness-tracking-sensors,,
超声波传感器,物理传感器,US-016,/dev/ultrasonic,中,模拟,I2C,MQTT,智能交通,https://www.smartcities.gov.au/ultrasonic-sensors,,
邻近感应传感器,物理传感器,PS-017,/dev/proximity,高,数字,Zigbee,CoAP,零售管理,https://www.retaildive.com/news/proximity-sensors-in-retail/,,
流量传感器,物理传感器,FS-018,/dev/flow,高,数字,CAN,HTTP,工业流程,https://www.manufacturing.net/home/news/21215058/flow-sensors-in-industrials,,
温度监测器,物理传感器,TM-010,/dev/temp-monitor,高,数字,I2C,LoRa,农业监测,https://www.agriculture.com/technology,,
氧气传感器,化学传感器,OS-011,/dev/oxygen,中,模拟,UART,MQTT,环境保护,https://www.environmentalprotection.org,,
光谱传感器,光学传感器,SP-012,/dev/spectrometer,高,数字,I2C,Zigbee,科研实验室,https://www.sciencedirect.com,,
土壤湿度传感器,物理传感器,SH-013,/dev/soil-humidity,高,数字,SPI,HTTP,农业研究,https://www.agriculturetoday.com,,
风速传感器,物理传感器,WS-014,/dev/wind-speed,中,数字,UART,CoAP,气象研究,https://www.weather.com,,
电流传感器,物理传感器,CS-015,/dev/current,高,数字,I2C,MQTT,能源监测,https://www.energy-monitoring.com,,
流量传感器,物理传感器,FS-016,/dev/flow,高,数字,SPI,HTTP,供水管理,https://www.watermanagement.com,,
电池电压传感器,物理传感器,BV-017,/dev/battery-voltage,高,数字,UART,CoAP,可再生能源,https://www.renewableenergy.org,,
水质传感器,化学传感器,QS-018,/dev/water-quality,中,模拟,I2C,MQTT,水资源监测,https://www.waterresources.org,,
心率传感器,生物传感器,HR-019,/dev/heart-rate,高,数字,SPI,HTTP,健康监测,https://www.healthmonitoring.com,,
振动传感器,物理传感器,VS-010,/dev/vibration,高,数字,I2C,MQTT,工业监控,https://www.tuya.com/cn/industry-details/Kan40tan9xc2d,,
水位传感器,物理传感器,WS-011,/dev/waterlevel,中,模拟,UART,HTTP,环境监测,https://www.iot101.com/mobile/news/785.html,,
电流传感器,物理传感器,CS-012,/dev/current,高,数字,SPI,CoAP,能源管理,http://www.news.cn/tech/20240129/b57beff6ce0d458c8047f6b4eb117357/c.html,,
旋转传感器,物理传感器,RS-013,/dev/rotation,中,模拟,I2C,MQTT,智能交通,https://www.tuya.com/cn/industry-details/Kan40tan9xc2d,,
土壤湿度传感器,物理传感器,SM-014,/dev/soilmoisture,高,数字,SPI,CoAP,农业监测,https://www.iot101.com/mobile/news/785.html,,
气象传感器,物理传感器,WS-015,/dev/weather,高,数字,UART,HTTP,气象监测,http://www.weather.com.cn,,
烟雾传感器,化学传感器,FS-016,/dev/smoke,中,模拟,I2C,MQTT,安全监测,https://www.tuya.com/cn/industry-details/Kan40tan9xc2d,,
心率传感器,生物传感器,HR-017,/dev/heartrate,高,模拟,SPI,CoAP,健康监测,https://www.iot101.com/mobile/news/785.html,,
紫外线传感器,物理传感器,UVS-018,/dev/uv,中,数字,UART,HTTP,环境监测,http://www.news.cn/tech/20240129/b57beff6ce0d458c8047f6b4eb117357/c.html,,
血糖传感器,生物传感器,GS-019,/dev/bloodsugar,高,数字,I2C,MQTT,医疗监测,https://www.tuya.com/cn/industry-details/Kan40tan9xc2d,,
智能气象传感器,物理传感器,WS-010,/dev/weather,高,数字,I2C,MQTT,环境监测,https://www.exampleweather.com,,
光照强度传感器,物理传感器,LS-011,/dev/illuminance,中,数字,SPI,CoAP,农业监测,https://www.agriculturetech.com,,
气体质量传感器,化学传感器,QS-012,/dev/airquality,中,模拟,UART,HTTP,城市监测,https://www.citymonitor.com,,
电流传感器,物理传感器,CS-013,/dev/current,高,数字,I2C,MQTT,智能电网,https://www.smartgridnews.com,,
pH传感器,化学传感器,PH-014,/dev/ph,中,模拟,SPI,CoAP,水质监测,https://www.waterqualitymonitoring.com,,
心率传感器,生物传感器,HR-015,/dev/heart,高,数字,UART,HTTP,医疗设备,https://www.healthtechnews.com,,
导航传感器,物理传感器,NS-016,/dev/navigation,中,数字,I2C,MQTT,自动驾驶,https://www.automotivenews.com,,
负载传感器,物理传感器,LS-017,/dev/load,高,数字,SPI,CoAP,工业监控,https://www.industrytech.com,,
无线加速度传感器,物理传感器,WS-018,/dev/wireless_accel,高,数字,I2C,MQTT,运动监测,https://www.sportsmonitoring.com,,
海洋水位传感器,物理传感器,OW-019,/dev/ocean,中,数字,UART,HTTP,环境监测,https://www.oceanmonitoring.com,,
电流传感器,物理传感器,CS-010,/dev/current,高,数字,I2C,MQTT,可再生能源监测,https://www.energy.gov/,,
PM2.5传感器,化学传感器,PM-011,/dev/pm25,中,数字,SPI,CoAP,城市环境监测,https://www.epa.gov/,,
水质传感器,化学传感器,WS-012,/dev/water_quality,高,模拟,UART,HTTP,水处理设施,https://www.waterquality.org/,,
GPS定位传感器,定位传感器,GPS-013,/dev/gps,中,数字,I2C,MQTT,交通管理,https://www.gps.gov/,,
光谱传感器,光学传感器,SS-014,/dev/spectrum,高,数字,SPI,CoAP,农业监测,https://www.agr.gc.ca/,,
土壤湿度传感器,物理传感器,SM-015,/dev/soil_moisture,高,模拟,UART,HTTP,农业监测,https://www.cdfa.ca.gov/,,
烟雾传感器,化学传感器,FS-016,/dev/smoke,中,数字,I2C,MQTT,火灾预警系统,https://www.nfpa.org/,,
超声波传感器,物理传感器,US-017,/dev/ultrasonic,高,数字,SPI,CoAP,智能交通,https://www.itu.int/,,
气候传感器,气象传感器,CL-018,/dev/climate,高,数字,UART,HTTP,气象监测,https://www.weather.gov/,,
振动传感器,物理传感器,VS-019,/dev/vibration,中,数字,I2C,MQTT,结构健康监测,https://www.nist.gov/,,
气温传感器,物理传感器,AT-010,/dev/atemp,高,数字,I2C,MQTT,智慧农业,https://www.smartagriculture.com,,
土壤湿度传感器,物理传感器,SM-011,/dev/soilmoisture,中,模拟,SPI,CoAP,农业监测,https://www.agriculturemonitoring.com,,
噪声污染传感器,物理传感器,NS-012,/dev/noise,高,数字,UART,HTTP,城市建设,https://www.citydevelopment.com,,
血糖监测传感器,生物传感器,BS-013,/dev/bloodsugar,中,数字,I2C,MQTT,医疗健康,https://www.healthcaretech.com,,
光照度传感器,物理传感器,LS-014,/dev/lux,高,数字,SPI,CoAP,室内环境,https://www.environmentmonitoring.com,,
运动传感器,物理传感器,MS-015,/dev/motion,中,数字,UART,HTTP,健身设备,https://www.fitnessmonitoring.com,,
风速传感器,物理传感器,WS-016,/dev/wind,高,数字,I2C,MQTT,气象监测,https://www.weathertech.com,,
水质传感器,化学传感器,QS-017,/dev/waterquality,高,模拟,SPI,CoAP,环保监测,https://www.environmentalmonitoring.com,,
二维码扫描传感器,光学传感器,QR-018,/dev/qrcode,中,数字,UART,HTTP,智能零售,https://www.smartretail.com,,
气体泄露检测传感器,化学传感器,GL-019,/dev/gasdetect,高,数字,I2C,MQTT,安全监测,https://www.safetymonitoring.com,,
