蜂窝通信网络名称（字符型）,通信技术（字符型）,传输速度（字符型）,通信距离（字符型）,成本（字符型）,应用领域（字符型）,采集来源,来源链接,采集时间,备注
CAT-M1,LPWA,1 Mbps,最长15公里,低,可穿戴设备、健康监测,Cisco,https://www.cisco.com/,,
LAA,4G,550 Mbps,最长70公里,中,移动宽带、视频流服务,AT&T,https://www.att.com/,,
SCTE 5G,5G,2 Gbps,最长500米,中,实时体育传播、虚拟现实,Comcast,https://www.comcast.com/,,
MEC for 5G,5G,10 Gbps,预计最大500米,高,边缘计算、实时数据分析,Ericsson,https://www.ericsson.com/,,
HSPA+ Enhanced,4G,210 Mbps,最长30公里,中,高数据流量应用、社交媒体共享,Nokia Bell Labs,https://www.bell-labs.com/,,
NB-IoT,LPWA,200 kbps,最长10公里,低,智能城市、环境监测,中国信息通信研究院,https://www.caict.ac.cn,,
4G LTE,4G,100 Mbps,最长50公里,中,移动宽带、在线游戏,Verizon,https://www.verizon.com,,
5G NR,5G,1-10 Gbps,最长500米,高,增强现实、自动驾驶,Nokia,https://www.nokia.com,,
TDD LTE,4G,75 Mbps,最长20公里,中,高清视频、视频广播,中国联通,https://www.chinaunicom.com,,
5G FWA,5G,300 Mbps,最长200米,中,家庭宽带、商用接入,AT&T,https://www.att.com,,
CDMA2000 EV-DO,3G,600 kbps - 3 Mbps,最长25公里,中,媒体浏览、软件下载,Sprint,https://www.sprint.com,,
LoRa,LPWAN,0.3 kbps - 50 kbps,最长30公里,低,智能农业、资产追踪,SIGFOX,https://www.sigfox.com,,
WCDMA,3G,384 kbps - 2 Mbps,最长25公里,中,语音及数据服务,华为技术有限公司,https://www.huawei.com,,
Extended 5G,5G,超过10 Gbps,预计最长3公里,高,增强现实、远程医疗,GSMA,https://www.gsma.com,,
GPRS,2.5G,65-150 kbps,最长20公里,低,邮件服务、基础数据传输,Frost & Sullivan,https://www.frost.com/,,
4G LTE Advanced,4G,300 Mbps,最长15公里,中,在线教育、云服务,Mobily,https://www.mobily.com.sa,,
6G Vision,6G,超过100 Gbps,预计最长5公里,高,虚拟现实、量子网络,IEEE Future Networks,https://futurenetworks.ieee.org,,
TVWS,5G,高达30 Mbps,最长10公里,低,乡村宽带、远程管理,FCC,https://www.fcc.gov,,
HSPA Evolution,3.75G,42 Mbps,最长30公里,中,社交应用、视频流,中国电信,https://www.chinatelecom.com,,
V2X Communications,5G,最高50 Mbps,最长1公里,高,智能交通、车联网,全球移动通信系统协会,https://www.gsma.com,,
Beamforming 5G,5G,高达4 Gbps,最长300米,高,大型活动、公共场所,Ericsson,https://www.ericsson.com,,
Fixed Wireless Access,5G,高达1 Gbps,最长800米,中,商务办公、远程工作,Telefónica,https://www.telefonica.com,,
Edge Computing Networks,5G,超过10 Gbps,预计最长2公里,高,智能制造、数据分析,Cisco,https://www.cisco.com,,
NBIoT,LPWA,250 kbps,最长10公里,低,智能城市、农业监测,Gartner,https://www.gartner.com,,
Fifth Gen LTE,5G,1 Gbps,最长500米,中,高清视频播放、VR应用,Ericsson,https://www.ericsson.com,,
4G LTE,4G,300 Mbps,最长50公里,中,移动互联网、体育直播,中国联通,https://www.chinaunicom.com,,
Edge Computing Network,6G,128 Gbps,预计最长1公里,高,实时数据处理、智能制造,IHS Markit,https://ihsmarkit.com,,
WiFi 6E,Wi-Fi,2.4 Gbps,最长100米,中,家庭网络、公共场所,Wi-Fi Alliance,https://www.wi-fi.org,,
Rel. 16 NR,5G,4 Gbps,最长350米,高,车联网、远程医疗,3GPP,https://www.3gpp.org,,
Cat-M1,LPWA,1 Mbps,最长15公里,低,智能设备、远程监控,Qualcomm,https://www.qualcomm.com,,
NR-Light,5G,300 Mbps,最长100公里,中,农业物联网、智能家居,GSMA,https://www.gsma.com,,
GSM-R,2G,36 kbps,最长200公里,低,铁路通信、调度系统,中国国家铁路集团,http://www.china-railway.com,,
LPWAN,LPWA,50-100 kbps,最远20公里,低,城市基础设施、智能水表,IoT Weekly,https://iotweeklynews.com,,
Quantum 5G,5G,超过10 Gbps,预计最长500米,高,量子通信、金融交易,MIT Technology Review,https://www.technologyreview.com,,
TDD LTE,4G,150 Mbps,最长30公里,中,工业自动化、视频监控,Telecoms.com,https://www.telecoms.com,,
Fibre-LTE,5G,200 Mbps,最长10公里,高,大型活动、体育场馆,Nokia,https://www.nokia.com,,
Satellite IoT,LPWAN,1 kbps,不限,高,全球资产追踪、海洋通信,Inmarsat,https://www.inmarsat.com,,
EMBB Network,5G,5 Gbps,最长1公里,高,增强现实、无人驾驶车辆,ITU,https://www.itu.int,,
NB-IoT Water,LPWA,100 kbps,最长15公里,低,水管理、智能灌溉,TechCrunch,https://techcrunch.com,,
Adaptive 5G,5G,3 Gbps,最长300米,中,智能交通、公共安全,IDC,https://www.idc.com,,
NBIoT,NB-IoT,250 kbps,最长10公里,低,智能城市、环境监测,GSMA,https://www.gsma.com,,
LTE-Advanced,4G,300 Mbps,最长50公里,中,高带宽应用、高清视频,帮实时科技,https://www.rttnews.com,,
Fifth Generation Cellular,5G,20 Gbps,最长800米,高,车联网、虚拟现实,克拉斯科技,https://www.class-technologies.com,,
HSPA+,3.5G,42 Mbps,最长40公里,中,宽带接入、数据服务,腾讯科技,https://tech.qq.com,,
WiMAX,4G,70 Mbps,最长50公里,中,住宅和商业宽带,WiMAX Forum,https://www.wimaxforum.org,,
Satellite 6G,6G,超100 Gbps,无限,高,全球通信、灾难应对,SpaceX,https://www.spacex.com,,
HSPA,3G,14.4 Mbps,最长25公里,低,移动邮件、社交媒体,华为,https://www.huawei.com,,
CDMA2000,3G,600 kbps,最长35公里,中,移动电话、数据服务,Verizon,https://www.verizon.com,,
Edge Computing 5G,5G,10 Gbps,最长1公里,高,边缘计算、增强现实,Gartner,https://www.gartner.com,,
LoRaWAN,LPWAN,0.5 kbps - 50 kbps,最长30公里,低,农业监测、城市智能,IoT Weekly,https://iotweeklynewsletter.com,,
Fixed Wireless Access 5G,5G,1 Gbps,最长500米,中,家庭宽带、企业连接,Forbes,https://www.forbes.com,,
TDD 5G,5G,8 Gbps,最长1.5公里,高,无线城域网、公共安全,IEEE,https://www.ieee.org,,
Full Duplex 5G,5G,25 Gbps,最长400米,高,智能交通、远程医疗,MIT Technology Review,https://www.technologyreview.com,,
MIMO 5G,5G,15 Gbps,最长1公里,中,城市网络、实时流媒体,Nokia,https://www.nokia.com,,
4G LTE,4G,150 Mbps,最长75公里,中,移动视频通话、远程办公,Ericsson,https://www.ericsson.com,,
GSM,2G,64 kbps,最长35公里,低,短信服务、基本通话,Global System for Mobile Communications,https://www.gsma.com,,
Universal Mobile Telecommunications System,3G,384 kbps,最长40公里,中,流媒体服务、在线游戏,Telecom Review,https://www.telecomreview.com,,
4G LTE Advanced,4G,1 Gbps,最长150公里,中,高清视频流、在线游戏,RCR Wireless News,https://www.rcrwireless.com,,
NB-IoT,LPWA,250 kbps,最长30公里,低,智能城市、环境监测,GSMA,https://www.gsma.com,,
6G Terahertz,6G,接近1 Tbps,预计最长1公里,高,全息会议、智能交通系统,Nokia Bell Labs,https://www.bell-labs.com,,
Edge Computing 5G,5G,3 Gbps,最长300米,中,实时数据处理、自动驾驶,Forbes,https://www.forbes.com,,
Ultra-Reliable Low Latency,5G,100 Mbps,最长2公里,高,远程医疗、工业自动化,MIT Technology Review,https://www.technologyreview.com,,
Open RAN,4G/5G,最大1.5 Gbps,最长100公里,中,灵活网络架构、节省成本,Light Reading,https://www.lightreading.com,,
MEC (Mobile Edge Computing),5G,最大10 Gbps,最长500米,高,边缘分析、智能制造,IEEE Network,https://www.comsoc.org,,
WiFi 6E,WiFi,最大9.6 Gbps,最长100米,中,高密度场所、VR应用,Wi-Fi Alliance,https://www.wi-fi.org,,
Smart Meter 3G,3G,1 Mbps,最长20公里,低,智慧计量、电力监控,Deloitte,https://www2.deloitte.com,,
Fixed Wireless 5G,5G,800 Mbps,最长5公里,中,农村宽带服务、商业服务,Telecompetitor,https://www.telecompetitor.com,,
TDD-LTE,4G,最大300 Mbps,最长50公里,中,无线回传、宽带接入,Telecoms.com,https://www.telecoms.com,,
FDD-LTE,4G,最大150 Mbps,最长35公里,中,移动宽带、视频传输,Communications Technology,https://www.comtechnologymag.com,,
Zigbee,短距离通信,250 kbps,最长100米,低,家庭自动化、智能设备,IEEE Communications Society,https://www.comsoc.org,,
QAM 5G,5G,6 Gbps,最长300米,高,高速数据传输、VR直播,Samsung Newsroom,https://news.samsung.com,,
GSM-R,2G,64 kbps,最长100公里,中,铁路运输、客运服务,Railway Gazette,https://www.railwaygazette.com,,
LoRa,LPWAN,0.5 kbps - 50 kbps,最长10公里,低,智慧农业、资源监控,Semtech,https://www.semtech.com,,
Cellular-V2X,5G,500 Mbps,最长1公里,中,车联网、交通管理,Automotive News,https://www.autonews.com,,
Mesh Network,多频段,最大500 Mbps,覆盖区域,中,大型活动接入、应急响应,Cisco,https://www.cisco.com,,
4G LTE Advanced,4G,300 Mbps,最长50公里,中,高速度互联网、娱乐流媒体,AT&T,https://www.att.com/,,
NB-IoT,LPWA,200 kbps,最长10公里,低,智能城市、环境监测,中国联通,https://www.chinaunicom.com,,
6G光纤接入,6G,1 Tbps,预计最长500米,高,沉浸式应用、实时数据分析,ITU,https://www.itu.int/,,
3GPP Rel-15,5G,1 Gbps,最大1500米,中,无线传感网络、自动驾驶,3GPP,https://www.3gpp.org/,,
TDD 5G,5G,2 Gbps,最长500米,中,虚拟现实、智能设备连接,华为技术有限公司,https://www.huawei.com,,
MIMO 5G,5G,4 Gbps,最长1000米,高,工业自动化、智能制造,Ericsson,https://www.ericsson.com/,,
LPWAN,LPWA,50 kbps,最长15公里,低,智能农业、智能建筑,IoT Alliance,https://www.iot-alliance.org/,,
CDMA-EVDO,3G,3.1 Mbps,最长30公里,中,流媒体、移动办公,Verizon,https://www.verizon.com/,,
WiMax,4G,70 Mbps,最长10公里,低,城市宽带、社区互联网,清华大学,http://www.tsinghua.edu.cn/,,
HSPA+,3.5G,84 Mbps,最长30公里,中,媒体传播、在线博彩,香港宽频,https://www.hkp.net/,,
GSM,2G,50-150 kbps,最长35公里,低,语音通话、数据服务,国际电信联盟,https://www.itu.int/,,
Fifth Generation IoT,5G,1.5 Gbps,最长2公里,中,工业物联网、智慧电网,GSMA,https://www.gsma.com/,,
Satellite IoT,LPWA,100 kbps,不限,高,偏远地区连接、紧急通信,全球卫星通信组织,https://www.gsma.com,,
Open RAN,5G,1 Gbps,最长500米,高,网络切片、灵活部署,Open RAN Policy Coalition,https://www.openran.org/,,
Edge Computing 5G,5G,100 Gbps,最长1公里,高,边缘计算、AI应用,IEEE Spectrum,https://spectrum.ieee.org/,,
V2X 5G,5G,180 Mbps,最大500米,中,车联网、智慧交通,日产汽车,https://www.nissan-global.com/,,
中继通信技术,4G,200 Mbps,最长300米,中,航海通信、遥控操作,NASA,https://www.nasa.gov/,,
量子通信,未来技术,理论值超过500 Tbps,预计几千公里,高,安全通信、量子网络,MIT Technology Review,https://www.technologyreview.com/,,
Dynamic Spectrum Sharing 5G,5G,3 Gbps,最长10公里,中,企业网络、智能制造,Dell Technologies,https://www.dell.com,,
NBIoT,NB-IoT,250 kbps,最长30公里,低,智慧城市、表计读取,国际电信联盟,https://www.itu.int,,
3GPP Release 16,5G,1 Gbps,最长500米,高,车联网、智能交通,3GPP,https://www.3gpp.org,,
WiMAX,4G,1-5 Mbps,最长50公里,中,农村宽带、视频流服务,IEEE 802.16,https://ieee802.org/16/,,
Terrestrial Trunked Radio (TETRA),专业数字对讲,最大20 kbps,约50公里,中,公共安全、紧急响应,ETSI,https://www.etsi.org,,
LAA (Licensed Assisted Access),5G,1.2 Gbps,最长500米,中,密集城市区域、移动宽带,Qualcomm,https://www.qualcomm.com,,
Edge Computing 5G,5G,4 Gbps,预计最长1公里,高,边缘计算、AR/VR应用,Gartner,https://www.gartner.com,,
Fixed Wireless Access (FWA),5G,最大1 Gbps,最长3公里,低,家庭宽带、远程工作,The Broadband Commission,https://www.broadbandcommission.org,,
Private LTE,4G,50 Mbps,最长10公里,中,企业内部通信、自动化生产,Cisco,https://www.cisco.com,,
Multi-Access Edge Computing (MEC),5G,从1 Gbps起,预计最长500米,中,实时数据处理、智能交通,ETSI,https://www.etsi.org,,
Enhanced Mobile Broadband (eMBB),5G,最大10 Gbps,较近区域,高,高级娱乐、虚拟现实,ITU-T,https://www.itu.int,,
Mobile Edge Computing,5G,1-10 Gbps,预计最长2公里,高,智能制造、实时分析,Edge Computing World,https://www.edgecomputingworld.com,,
Long Range IoT,LoRa,0.3 kbps - 50 kbps,最长100公里,低,智能农业、城镇监测,LoRa Alliance,https://lora-alliance.org,,
4G LTE Advanced Pro,4G,最大1 Gbps,最长30公里,中,高速移动互联网、视频流,GSMA,https://www.gsma.com,,
Satellite IoT,卫星通信,64 kbps - 1 Mbps,不限制,高,偏远地区数据传输、环境监测,Inmarsat,https://www.inmarsat.com,,
5G NR,5G,10 Gbps,最长1.5公里,高,智能城市、自动驾驶,Nokia,https://www.nokia.com,,
Fifth Generation Wireless,5G,2-20 Gbps,最长300米,高,工业互联网、AR应用,Telecoms.com,https://telecoms.com,,
Private 5G Networks,5G,最高10 Gbps,最长1公里,高,企业内部、智能工厂,Platinum Research,https://www.platinum-research.com,,
5G NR,5G,10 Gbps,最长500米,中,智能制造、增强现实,联通集团,https://www.chinaunicom.com/,,
NB-IoT,LPWA,100 kbps,最长10公里,低,智能城市、环境监测,GSMA,https://www.gsma.com/,,
4G LTE Advanced,4G,1 Gbps,最长50公里,中,高清视频、在线游戏,爱立信,https://www.ericsson.com/,,
LTE-U,4G,300 Mbps,最长200米,中,用户临近WiFi补充,Verizon,https://www.verizon.com/,,
5G SA,5G,20 Gbps,最长300米,高,工业互联网、遥控手术,华为技术有限公司,https://www.huawei.com/,,
LoRa,LPWAN,0.5 kbps - 50 kbps,最长10公里,低,农田监测、智能园艺,LoRa Alliance,https://lora-alliance.org/,,
5G Fixed Wireless Access,5G,1 Gbps,最长1000米,中,家庭宽带、新兴市场,Telecoms.com,https://telecoms.com/,,
FDD-LTE,4G,150 Mbps,最长20公里,中,数据传输、移动办公,Cisco,https://www.cisco.com/,,
4G LTE-M,LPWA,300 kbps,最长10公里,低,智能设备、远程控制,AT&T,https://www.att.com/,,
GSM-R,2G,9.6 kbps,最长50公里,低,铁路通讯、运输管理,Huawei,https://www.huawei.com/,,
HSPA Evolution,3.5G,84 Mbps,最长15公里,中,数据服务、移动游戏,Nokia,https://www.nokia.com/,,
5G Vehicle-to-Everything,5G,1 Gbps,不限,高,智能交通、自动驾驶汽车,Ericsson,https://www.ericsson.com/,,
4G LTE-M1,LPWA,150 kbps,最长10公里,低,智慧农业、资产管理,China Telecom,https://www.chinatelecom.com.cn/,,
5G TDD,5G,4 Gbps,最长500米,中,影院、虚拟现实,Intel,https://www.intel.com/,,
3GPP Release 17,5G,高达10 Gbps,不限,高,智慧城市、自动化制造,3GPP,https://www.3gpp.org/,,
6G Vision,6G,超超过100 Gbps,预计最长500米,高,超高清流媒体、脑机接口,IEEE,https://www.ieee.org/,,
Ultra-Reliable Low Latency Communications,5G,超高达1 Gbps,最长200米,高,远程手术、无人机控制,ITU,https://www.itu.int/,,
WiFi 6E,WiFi 6,超过1 Gbps,最长30米,中,高速互联网接入、家庭娱乐,Wireless Broadband Alliance,https://www.wballiance.com/,,
NB-IoT,Narrowband IoT,250 kbps,最长10公里,低,智能城市、环境监测,GSMA,https://www.gsma.com/,,
WCDMA,3G,384 kbps,最长20公里,中,手机服务、视频流媒体,瑞士电信,https://www.swisscom.ch/,,
5G NR,5G,1-10 Gbps,最长500米,高,增强现实、自动驾驶,Verizon,https://www.verizon.com/,,
Edge Computing Mobile,Edge,500 Mbps,预计最长2公里,高,实时数据分析、媒体处理,IEEE,https://www.ieee.org/,,
LPWAN,Low Power Wide Area Network,0.5-5 kbps,最长40公里,低,智能水务、气象监测,IoT News,https://iotbusinessnews.com/,,
HSPA,3.5G,21 Mbps,最长30公里,中,快速数据服务、移动应用程序,中兴通讯,https://www.zte.com.cn/,,
5G TDD,5G,每秒数十Gbps,最长800米,高,低延迟应用、智能制造,AT&T,https://www.att.com/,,
WIMAX,4G,1-10 Mbps,最长50公里,中,固定无线接入、城市宽带,Alvarion,http://www.alvarion.com/,,
S-LTE,极低功耗LTE,150 Mbps,最长20公里,中,监控设备、传感器网络,华为,https://www.huawei.com/,,
GSM,2G,9.6 kbps,最长35公里,低,语音通话、短信,Telefonica,https://www.telefonica.com/,,
TETRA,数字集群通信,最大20 kbps,最长30公里,中,公共安全、紧急服务,Motorola Solutions,https://www.motorolasolutions.com/,,
V2X,车联网,5 Gbps,预计最长500米,高,自动驾驶、车联通讯,Connected Vehicle Technology,https://www.connectedvehicle.com/,,
IoT cellular,蜂窝物联网,最大100 kbps,最长25公里,低,智能家居、可穿戴设备,Gartner,https://www.gartner.com/,,
4G LTE,4G,最大100 Mbps,最长25公里,中,高速移动互联网、视频通话,China Unicom,https://www.chinaunicom.com/,,
6G Vision,6G,预计高达1 Tbps,预计最长1公里,高,未来技术研究、感觉交互,Nokia,https://www.nokia.com/,,
DSRC,专用短程通信,最大27 Mbps,预计最长1公里,中,交通管理、车辆通信,技术研发中心,https://www.tech.org/,,
Fifth Generation Mobile,5G,更多于10 Gbps,预计最长1000米,高,超高容量网络、数字经济,ITU RTC,https://www.itu.int/,,
4G LTE-A,LTE-Advanced,300 Mbps,最长50公里,中,高清视频直播、在线游戏,Nokia,https://www.nokia.com/,,
NB-IoT,Narrowband IoT,250 kbps,最大10公里,低,智能城市、智能家居,中国电信,https://www.chinatelecom.com.cn/,,
Ultra-Reliable Low Latency Communications,5G,1 Gbps,最长100米,高,自动驾驶、工业自动化,华为技术有限公司,https://www.huawei.com,,
5G NR,5G,10 Gbps,最长300米,高,虚拟现实、增强现实,GSMA,https://www.gsma.com/,,
TDD 5G,5G,4 Gbps,最长150米,高,大数据分析、智能制造,未来移动通信,https://www.futurmobile.org/,,
Dual-Mode 5G,5G,2 Gbps,最长500米,中,家庭宽带、企业网络,Verizon,https://www.verizon.com/,,
LMDS,固定无线,1 Gbps,最大5公里,中,高密度城市区域服务,地方电信公司,https://www.localtel.co/,,
5G Fixed Wireless Access,5G,1 Gbps,最长1公里,中,农村宽带接入、远程工作,AT&T,https://www.att.com/,,
VoIP over 5G,5G,最大1.5 Gbps,无限制,中,互联网电话服务,Skype,https://www.skype.com/,,
GSM-R,2G,up to 9600 bps,最长50公里,中,铁路通信、物流调度,联邦铁路局,https://www.fra.dot.gov/,,
VDSL2,宽带,最大100 Mbps,最长1公里,中,家庭宽带接入,Openreach,https://www.openreach.co.uk/,,
6G Prototypes,6G,100 Gbps,预计最长2公里,高,智能交通、未来医疗,ITU-R,https://www.itu.int/en/ITU-R/Pages/default.aspx,,
Smart Antenna Systems,5G,最大8 Gbps,最长250米,高,会议中心、活动场馆,IEEE Communications Society,https://www.comsoc.org/,,
Massive MIMO,5G,最大10 Gbps,最长300米,高,高流量区域、城市热点,Ericsson,https://www.ericsson.com/,,
Femtocells,4G/5G,最大150 Mbps,最长50米,中,家庭和小型办公,ZTE Corporation,https://www.zte.com.cn/,,
Hybrid Fiber-Coaxial,HFC,最大300 Mbps,最长数千米,中,家庭网络接入,Comcast,https://www.comcast.com/,,
中继无线,4G,最大200 Mbps,最长1公里,中,城市通信、救灾通信,小米公司,https://www.mi.com/,,
LoRaWAN Long Range,LPWAN,0.5 kbps - 100 kbps,最长25公里,低,智能农业、城市基础设施监控,Semtech,https://www.semtech.com/,,
NB-IoT,LPWA,250 kbps,最长10公里,低,智能城市、环境监测,华为技术有限公司,https://www.huawei.com,,
4G LTE,4G,最大300 Mbps,最长50公里,中,视频直播、移动办公,Verizon,https://www.verizon.com,,
5G NR,5G,超过10 Gbps,最长1公里,高,自动驾驶、远程医疗,AT&T,https://www.att.com,,
HSPA+,3.5G,下行可达84 Mbps,最长25公里,中,流媒体服务、在线教育,T-Mobile,https://www.t-mobile.com,,
Edge Computing 5G,5G,高达20 Gbps,最长3公里,高,实时数据分析、虚拟现实,Intel,https://www.intel.com,,
DASH7,LPWA,10 kbps,最长5公里,低,智能农业、资产监控,DASH7 Alliance,http://www.dash7.org,,
6G,未来技术,超超过1 Tbps,预计最长1公里,高,全息通讯、密集网络,Nokia,https://www.nokia.com,,
Ultra-Wideband,UWB,高达1 Gbps,最长100米,中,细粒度定位服务、智能家居,Apple,https://www.apple.com,,
Fifth Generation (5G),5G,高达1 Gbps,最长500米,高,远程工作、云游戏,Gartner,https://www.gartner.com,,
2G GPRS,2G,40-100 kbps,最长30公里,低,传感器网络、基础服务,GSMA,https://www.gsma.com,,
4G LTE-A,4G,最大1 Gbps,最长70公里,中,高清在线视频、云服务,Qualcomm,https://www.qualcomm.com,,
Smart IoT Networks,5G/LPWAN,500 kbps - 100 Mbps,最长15公里,中,物联网应用、智能设备,Cisco,https://www.cisco.com,,
E-GSM,2.5G,最大114 kbps,最长40公里,低,卫星广播、远程监测,ITU,https://www.itu.int,,
FDD-LTE,4G,最高150 Mbps,最长60公里,中,在线游戏、移动视频,Ericsson,https://www.ericsson.com,,
RedCap,5G,高达100 Mbps,最长3公里,中,增强现实、虚拟现实,Nokia Bell Labs,https://www.nokia.com/bell-labs/,,
TETRA,2G,最大28.8 kbps,最长10公里,低,公共安全、紧急服务,Motorola Solutions,https://www.motorolasolutions.com,,
Zigbee,无线通信,250 kbps,最长100米,低,家庭自动化、智能照明,Zigbee Alliance,http://www.zigbee.org,,
5G NR,5G,3.5 Gbps,最长300米,高,智慧城市、无人驾驶,华为技术有限公司,https://www.huawei.com,,
NB-IoT,LPWA,250 kbps,最长35公里,低,智能表计、环境监测,中国信息通信研究院,https://www.caict.ac.cn,,
5G FWA,5G,1 Gbps,最长500米,中,家庭宽带、商业接入,GSMA,https://www.gsma.com,,
4G LTE,4G,300 Mbps,最长50公里,中,移动宽带、流媒体,Verizon,https://www.verizon.com,,
CAT-M1,LPWA,375 kbps,最长20公里,低,可穿戴设备、车联网,AT&T,https://www.att.com,,
WCDMA,3G,384 kbps,最长30公里,中,音视频流、移动通讯,爱立信,https://www.ericsson.com,,
TDD LTE,4G,150 Mbps,最长60公里,中,高速下载、在线游戏,高通,https://www.qualcomm.com,,
LoRa,LPWAN,0.5 kbps - 50 kbps,最长10公里,低,农业监测、城市基础设施,LoRa联盟,https://lora-alliance.org,,
WiMAX,4G,75 Mbps,最长50公里,中,农村宽带、移动接入,IEEE,https://www.ieee.org,,
C-V2X,5G,1 Mbps,不限,高,车联网、智能交通,汽车工业协会,https://www.acea.auto,,
Beamforming 5G,5G,3 Gbps,最长250米,高,高密度城市环境，应急响应,Telecom Italia,https://www.telecomitalia.com,,
Multi-access Edge Computing (MEC),5G,10 Gbps,最长1公里,高,实时数据处理、行业4.0,Nokia,https://www.nokia.com,,
Compression 4G,4G,250 Mbps,最长40公里,中,远程医疗、在线教育,GlobalData,https://www.globaldata.com,,
Edge AI 6G,6G,100 Gbps以上,预计最长1公里,高,智能家居、虚拟现实,MIT Technology Review,https://www.technologyreview.com,,
Ultra-Reliable Low-Latency Communication (URLLC),5G,高于1 Gbps,最长500米,高,自动驾驶、工业控制,GSMA,https://www.gsma.com,,
Cell-Free Massive MIMO,5G,4 Gbps,最长200米,高,智慧城市、公共安全,IEEE Spectrum,https://spectrum.ieee.org,,
TeraHertz Communication,6G,超过1 Tbps,预计最长100米,高,全息传输、深度虚拟现实,未来科技研究中心,https://www.futuretech.com,,
NB-IoT,LPWA,100 kbps,最长10公里,低,智能城市、环境监测,GSMA,https://www.gsma.com/,,
4G LTE Advanced,4G,1 Gbps,最远100公里,中,视频流、移动Gaming,ITU,https://www.itu.int/,,
Fifth Generation Satellite,5G,200 Mbps,不限,高,全球通信、仓储管理,SpaceX,https://www.spacex.com/,,
TDD-LTE,4G,300 Mbps,最长50公里,中,长距离数据传输、远程监控,中国信息通信研究院,https://www.caict.ac.cn,,
GSM,2G,64 kbps,最长35公里,低,语音通话、基本短信,GSM Association,https://www.gsma.com/,,
Fixed Wireless Access 5G,5G,500 Mbps,最长300米,中,住宅和企业宽带,Ericsson,https://www.ericsson.com/,,
C-V2X (Cellular Vehicle to Everything),4G/5G,1 Gbps,最远500米,高,自动驾驶、车联网,华为,https://www.huawei.com,,
Low Power Wide Area (LPWA),LPWA,10 kbps,最长15公里,低,智能计量、智慧农业,IoT Analytics,https://iot-analytics.com,,
Orchestra 6G,6G,超过100 Gbps,预计最长1公里,高,虚拟现实、增强现实,IEEE,https://ieeexplore.ieee.org/,,
Ultra-Reliable Low Latency Communication (URLLC),5G,50 Mbps,最长3公里,中,工业自动化、医疗远程手术,未来网络技术研究院,https://futureinternet.org/,,
Mesh Network,4G/5G,200 Mbps,不定,中,社区网络、灾后恢复,The Mesh Networking Alliance,https://meshnetworking.org/,,
5G NR (New Radio),5G,1.5 Gbps,最长300米,高,高密度城市、物联网,GSMA,https://www.gsma.com/,,
Enhanced Mobile Broadband (eMBB),5G,超过1 Gbps,最长200米,中,视频流、AR/VR应用,NICT,https://www.nict.go.jp/,,
Guardian 5G,5G,300 Mbps,最长150米,高,安全监控、公共安全,Mobile World Congress,https://www.mwc.com/,,
声音传输5G (Voice over 5G),5G,100 Mbps,最远40公里,中,清晰语音通话,ITU,https://www.itu.int/,,
Twilight 4G,4G,150 Mbps,最长80公里,中,高速上网、云存储,Telecom Review,https://www.telecomreview.com/,,
NR,5G,10 Gbps,最长1000米,高,虚拟现实、增强现实,Nokia,https://www.nokia.com/,,
4G LTE,4G,100 Mbps,最长50公里,中,在线视频、在线游戏,华为技术有限公司,https://www.huawei.com,,
NB-IoT,LPWA,250 kbps,最长15公里,低,智能抄表、健康监测,GSMA,https://www.gsma.com,,
GSM,2G,50-100 kbps,最长35公里,低,语音通话、短信服务,ITU,https://www.itu.int/,,
eMTC,LTE,1 Mbps,最长10公里,中,智慧城市、车联网,中国信息通信研究院,https://www.caict.ac.cn,,
HSPA++,3.75G,84 Mbps,最长30公里,中,移动宽带、数据共享,Frost & Sullivan,https://www.frost.com/,,
5G SA,5G,20 Gbps,最长500米,高,无人驾驶、边缘计算,Qualcomm,https://www.qualcomm.com/,,
LAA,4G,1 Gbps,最长800米,高,密集城市环境、赛事直播,Ericsson,https://www.ericsson.com,,
WI-FI 5G,Wi-Fi,3.5 Gbps,最长100米,中,高密度用户场景、智能家居,Cisco,https://www.cisco.com,,
V2X,5G,2 Gbps,不限,高,车辆互联、交通管理,International Transportation Forum,https://www.itf-oecd.org,,
Private 5G,5G,5 Gbps,最长1公里,高,私有网络、企业应用,McKinsey & Company,https://www.mckinsey.com,,
FDD/TDD,5G,超过1 Gbps,最长3公里,中,多媒体通信、远程工作,GSMA,https://www.gsma.com,,
Ultra-Reliable Low Latency,5G,最大10 Gbps,最长5公里,高,实时医疗、工业自动化,IEEE Communications Society,https://www.comsoc.org,,
Fifth Generation Networks,5G,8 Gbps,最长1公里,高,智慧交通、公共安全,ITU-T,https://www.itu.int/en/ITU-T/Pages/default.aspx,,
Flexible Spectrum Access,5G,3 Gbps,最长2公里,中,频谱管理、网络优化,Telecommunication Engineering Association,https://www.tea.org,,
Time-Sensitive Networking,5G,最大1 Gbps,不限,中,智能制造、工业4.0,IETF,https://www.ietf.org/,,
7G,7G,超过30 Gbps,预计最长500米,高,空间通信、未来互联网,Future Communications Forum,https://www.fcforum.org,,
4G LTE,4G,300 Mbps,最长50公里,中,移动视频直播、智能家居,爱立信,https://www.ericsson.com/,,
NB-IoT,LPWA,250 kbps,最长10公里,低,智能城市、环境监测,中国联通,https://www.chinaunicom.com/,,
