网络与通信系统名称（字符型）,网络与通信系统类型（字符型）,规格（字符型）,企业名称（字符型）,批准日期（日期型）,上市许可持有人（字符型）,规范企业名称，用于企业关联（字符型）,面向群体（字符型）,采集来源,来源链接,采集时间,备注
自主驾驶车辆通信网络,V2X通信,C-V2X,特斯拉,2023-03-15,Tesla,特斯拉公司,汽车制造商,汽车工业研究报告,https://www.tesla.com,,
智能农田监控系统,农业通信,物联网感知,京东科技,2023-09-20,京东,京东集团,农业用户,农业技术研究院,https://www.jd.com,,
远程医疗通信系统,医疗通信,视频会议,美团,2023-05-25,美团,美团点评,医疗机构,医疗技术报告,https://www.meituan.com,,
智能电网通信系统,电力通信,智能监控,国家电网公司,2021-12-12,国家电网,国家电网公司,电力公司,电力系统研究院,https://www.sgcc.com.cn,,
智慧校园沟通平台,校园网络,互动平台,腾讯,2023-01-28,Tencent,腾讯公司,学校与教育机构,教育科技报告,https://www.tencent.com,,
人脸识别安全系统,安全通信系统,生物识别,海康威视,2023-03-30,海康威视,浙江大华技术股份有限公司,公共安全,安全技术杂志,https://www.hikvision.com,,
多媒体内容分发网络,内容配送,CDN服务,CDN Technologies,2023-06-05,CDN Tech,CDN Technologies Inc.,内容提供商,在线媒体行业报告,https://www.cdntech.com,,
南美洲无线网络系统,移动通信,4G/5G兼容,Telecom Italia,2023-07-10,Telecom Italia,Telecom Italia S.p.A.,普通用户,意大利通信管理局,https://www.telecomitalia.com,,
智能电力储存通信系统,电力通信,储能管理,西门子,2023-02-14,Siemens,西门子有限公司,能源公司,电力行业协会,https://www.siemens.com,,
增强现实联接系统,虚拟现实,AR通讯,字节跳动,2023-08-25,ByteDance,字节跳动有限公司,开发者,虚拟现实行业报告,https://www.bytedance.com,,
城市无线宽带接入系统,无线通信系统,Wi-Fi 6E,中兴通讯,2023-08-15,中兴,中兴通讯股份有限公司,城市居民,技术展览会,http://www.zte.com.cn/,,
智能农业物联网平台,物联网通信,LoRaWAN,中国农业科技集团,2023-06-10,中国农业科技集团,中国农业科技集团有限公司,农民与农业企业,科技研究发布,https://www.caas.cn/,,
全球卫星互联网服务,卫星通信,低地球轨道卫星,SpaceX,2022-12-01,Starlink,SpaceX Enterprises,偏远地区用户,航天新闻网络,https://www.spacex.com/,,
智能家居控制中心,物联网通信,Zigbee,新禧科技,2023-04-05,新禧科技,新禧科技有限公司,家庭用户,行业分析报告,https://www.xinxi.com/,,
边缘数据处理平台,云计算系统,边缘计算,亚马逊,2023-09-01,AWS,亚马逊网络服务,各种行业企业,云计算大会,https://aws.amazon.com/,,
智慧城市通信平台,智慧城市系统,5G NR,爱立信,2023-10-10,爱立信,爱立信公司,城市管理者,城市科技博览会,https://www.ericsson.com/,,
基于区块链的通信网络,加密通信,加密算法,比特大陆,2023-05-22,Bitmain,比特大陆科技有限公司,金融机构,加密货币新闻,https://www.bitmain.com/,,
低功耗广域网络（LPWAN）,物联网通信,Sigfox,Sigfox,2023-02-18,Sigfox,Sigfox SA,城市基础设施,IoT技术论坛,https://www.sigfox.com/,,
量子安全网络,量子通信,量子密钥分发,中国科学技术大学,2023-09-06,中国科学技术大学,中国科学技术大学,政府与研究机构,量子通信研究中心,http://quantum.ustc.edu.cn/,,
全球5G网络,移动通信系统,5G NR,Vodafone,2021-12-30,Vodafone Group,Vodafone Group plc,普通用户与企业,电信行业报告,https://www.vodafone.com/,,
下一代卫星通信系统,卫星通信,L波段,Iridium Communications,2023-03-15,Iridium,Iridium Communications Inc.,航空与军方,卫星通信报告,https://www.iridium.com/,,
AI驱动的数据分析平台,数据通信,机器学习,IBM,2023-11-02,IBM Corporation,IBM,企业用户,企业科技新闻,https://www.ibm.com/,,
社交媒体直播平台,实时通信,低延迟传输,TikTok,2023-01-20,ByteDance,字节跳动有限公司,年轻用户,数字媒体报告,https://www.tiktok.com/,,
企业安全网络解决方案,网络安全,防火墙与入侵检测,Cisco Systems,2022-09-12,Cisco,Cisco Systems Inc.,商业机构,网络安全会议,https://www.cisco.com/,,
跨国数据传输系统,数据通信,SD-WAN,思科系统,2023-10-25,Cisco,思科系统股份有限公司,跨国公司,数据网络信息,https://www.cisco.com/,,
新一代移动边缘计算,云计算系统,移动边缘计算,AT&T,2022-06-18,AT&T,AT&T Inc.,企业和开发者,云计算峰会,https://www.att.com/,,
数字化医疗通信系统,医疗通信,远程医疗平台,Ping An Technology,2023-08-20,平安科技,平安科技有限公司,医院与医生,健康科技博览会,https://www.pingan.com/,,
智能交通监控系统,智慧城市通信,AI行为分析,索尼科技,2023-10-01,索尼,索尼公司,城市管理者,行业技术报告,https://www.sony.com,,
卫星互联网系统,卫星通信,低轨卫星,SpaceX,2022-09-15,SpaceX,Space Exploration Technologies Corp.,偏远地区用户,SpaceX官方新闻,https://www.spacex.com,,
智能家庭网络系统,物联网通信,Zigbee,亚马逊,2023-08-15,Amazon,亚马逊公司,家庭用户,智能家居消费趋势分析,https://www.amazon.com,,
大规模MIMO通信系统,移动通信系统,5G MIMO,爱立信,2023-03-22,Ericsson,爱立信公司,电信运营商,电信行业期刊,https://www.ericsson.com,,
增强现实通信平台,虚拟通信,AR/VR交互,META,2023-04-14,Meta Platforms,Meta公司,企业与开发者,科技前沿报告,https://www.meta.com,,
高速光纤接入系统,固定通信系统,10G光纤,日本电报电话公司,2022-05-05,NTT,NTT株式会社,普通用户,日本通信政策研究,https://www.ntt.com,,
量子通信集成平台,量子通信,量子信道,IBM,2023-02-28,IBM,国际商业机器公司,科研机构,前沿科技新闻,https://www.ibm.com,,
车联网通信系统,智能交通,C-V2X,英特尔,2023-06-12,Intel,英特尔公司,汽车制造商,汽车行业分析报告,https://www.intel.com,,
智能网联终端,智能设备,智能语音控制,谷歌,2023-01-18,Google,谷歌公司,家庭与办公,科技市场分析报告,https://www.google.com,,
智能电网通信系统,能源通信,AMR网络,施耐德电气,2023-03-09,Schneider Electric,施耐德电气公司,公用事业公司,能源行业研究,https://www.se.com,,
跨国高速传输网络,长途通信,国际光纤传输,AT&T,2023-07-20,AT&T,AT&T Inc.,企业客户,国际电信监察,https://www.att.com,,
农村宽带升级项目,固定通信系统,光纤,中国联通,2023-08-30,中国联通,中国联合网络通信有限公司,农村用户,中国通讯发展报告,https://www.chinaunicom.com,,
全球数据加速网络,云计算,CDN技术,Cloudflare,2022-11-15,Cloudflare,"Cloudflare, Inc.",互联网企业,云计算市场研究,https://www.cloudflare.com,,
城市应急通信系统,应急通信,专用无线网络,摩托罗拉,2022-12-12,Motorola,摩托罗拉解决方案公司,城市应急管理机构,公安部应急管理办公室,https://www.motorolasolutions.com,,
下一代移动通信平台,移动通信,6G-R,诺基亚,2023-09-05,Nokia,诺基亚公司,电信制造商,移动通信技术展览,https://www.nokia.com,,
大数据传输网络,数据通信,量子安全传输,阿里巴巴,2023-05-15,阿里云,阿里巴巴集团,数据中心,数据安全分析,https://cloud.alibaba.com,,
智能语音助手网络,人机交互,自然语言处理,微软,2023-08-20,Microsoft,微软公司,用户与开发者,计算机科学期刊,https://www.microsoft.com,,
智能农业监控系统,物联网通信,传感器网络,阿里巴巴,2023-06-15,阿里云,阿里巴巴集团,农业用户,农业科技发布,https://www.alibaba.com,,
候鸟迁徙追踪系统,环境监测系统,GPS定位,谷歌,2023-08-05,Google,Alphabet Inc.,生态保护组织,环境科学期刊,https://www.google.com,,
电动汽车充电网络,智慧能源系统,快充站,特斯拉,2023-09-10,Tesla,特斯拉公司,电动车主,技术创新报告,https://www.tesla.com,,
智能家居系统,物联网通信,家居自动化,京东科技,2023-01-25,京东,京东集团,家庭用户,家居科技评论,https://www.jd.com,,
智慧医疗系统,健康监测系统,远程医学,华大基因,2023-07-20,华大基因,华大基因科技有限公司,医院与医生,医疗行业报告,https://www.bgitech.com,,
万物互联平台,物联网平台,云服务,腾讯云,2023-02-18,腾讯,腾讯控股有限公司,企业与开发者,行业技术大会,https://cloud.tencent.com,,
量子安全通信网络,量子通信,量子加密,中国电子科技集团,2023-03-01,中电科技,中国电子科技集团公司,政府与军方,量子科技报导,http://www.cetc.com,,
智能物流系统,供应链管理,仓储自动化,顺丰速运,2023-04-15,顺丰,顺丰控股有限公司,物流企业,物流行业报告,https://www.sf-express.com,,
城市空气质量监控系统,环境监测,传感器与数据分析,IBM,2023-05-05,IBM,国际商业机器公司,政府与公共安全部门,环境研究报告,https://www.ibm.com,,
车载信息娱乐系统,车联网,多媒体与导航,索尼公司,2023-06-01,Sony,索尼公司,汽车制造商,汽车技术展,https://www.sony.com,,
5G智能制造系统,工业互联网,高速数据传输,中兴通讯,2023-07-12,中兴,中兴通讯股份有限公司,制造业用户,制造业发展报告,http://www.zte.com.cn,,
智能水务监控系统,水资源管理,传感器与数据分析,道达尔,2023-03-15,Total,道达尔公司,城市水务公司,水资源管理报告,https://www.total.com,,
智慧教育平台,教育管理,在线学习与考试,华为技术有限公司,2023-08-22,华为,华为技术有限公司,教育机构,教育科技论文,https://www.huawei.com,,
全球气候监测网络,气象与环境,数据收集与分析,NASA,2023-01-30,NASA,美国国家航空航天局,科研机构与政府,气候研究报告,https://www.nasa.gov,,
区块链金融系统,金融科技,去中心化交易,币安,2023-04-20,Binance,币安集团,金融用户,金融科技展,https://www.binance.com,,
基于云的农业管理系统,农业技术,数据分析与管理,拜耳作物科学,2023-09-01,Bayer,拜耳公司,农民与农业企业,农业科技会议,https://www.bayer.com,,
未来城市集成系统,智慧城市,多功能平台,IBM,2023-05-15,IBM,国际商业机器公司,城市规划者,城市发展大会,https://www.ibm.com,,
智能家居控制系统,物联网通信,Zigbee,小米科技,2023-08-10,小米,小米集团,家庭用户,市场调研报告,https://www.xiaomi.com,,
智能电网通信系统,能源通信,宽带PLC,西门子,2023-03-15,西门子,西门子股份公司,电力公司,国际电力公司,https://www.siemens.com,,
北极区域卫星通信网络,卫星通信,L-band,SES S.A.,2023-04-20,SES,SES卫星运营公司,政府与科研机构,欧洲航天局,https://www.ses.com,,
超低延迟5G网络,移动通信系统,5G NR Ultra-low Latency,中国移动通信公司,2023-09-01,中国移动,中国移动有限公司,普通用户与企业,中国工业和信息化部,https://www.chinamobile.com,,
智能农业监控系统,物联网通信,NB-IoT,中兴通讯,2023-02-28,中兴,中兴通讯股份有限公司,农业用户,农业科技评估,http://www.zte.com.cn,,
增强现实通信平台,通信系统,AR SDK,Magic Leap,2023-01-15,Magic Leap,Magic Leap Inc.,开发者与企业,虚拟现实工业报告,https://www.magicleap.com,,
全球通信光纤网络,国际通信系统,Submarine Fiber Optic Cable,AT&T,2023-06-12,AT&T,美国电话电报公司,跨国公司,国际电信联盟,https://www.att.com,,
高效能数据中心网络,云计算系统,SD-WAN,思科系统,2023-07-07,Cisco,思科技术公司,企业用户,数据中心协会,https://www.cisco.com,,
城市空中出行通信系统,航空通信,UAM Communication,空中客车,2023-05-25,空中客车,空中客车集团,城市交通管理,城市交通解决方案报告,https://www.airbus.com,,
智慧医院通信管理系统,医疗通信,Wi-Fi 6,华大基因,2023-03-30,华大基因,华大基因科技有限公司,医疗机构,医疗技术评估报告,https://www.genomics.cn,,
车联网C-V2X解决方案,车联网通信,C-V2X,远光软件,2023-08-05,远光,远光软件股份有限公司,汽车制造商,汽车工业研究院,https://www.yglsoft.com,,
AI驱动的网络安全系统,网络安全,AI Security,华为技术有限公司,2023-02-01,华为,华为技术有限公司,企业与机构,网络安全论坛,https://www.huawei.com,,
探索性量子通信网络,量子通信,量子密钥分发,华中科技大学,2023-04-22,华中科技大学,华中科技大学,科研与教育机构,中国量子研究院,http://www.hust.edu.cn,,
无线Mesh网络系统,无线通信系统,Wi-Fi 6 Mesh,德州仪器,2023-09-10,Texas Instruments,德州仪器股份有限公司,大型企业与校园,无线通信研究所,https://www.ti.com,,
新一代SDN网络管理系统,网络管理系统,SDN管理,Juniper Networks,2023-05-18,Juniper,Juniper Networks Inc.,服务提供商与企业,网络技术协会,https://www.juniper.net,,
数字化银行通信系统,金融通信,Blockchain Network,蚂蚁集团,2023-05-30,蚂蚁金服,蚂蚁科技集团有限公司,金融机构,金融科技协会,https://www.antgroup.com,,
智能家庭网络,物联网通信,智能家居集成,小米科技,2023-08-15,小米,小米科技有限公司,普通家庭,智能家居行业报告,https://www.mi.com,,
全球卫星互联网,卫星通信,低地轨道卫星,Starlink,2023-05-12,SpaceX,SpaceX公司,偏远地区用户,卫星通信市场分析,https://www.starlink.com,,
智能工业物联网平台,工业通信,设备连接管理,西门子,2022-11-10,西门子,西门子股份公司,制造业用户,工业自动化周刊,https://www.siemens.com,,
智能移动支付系统,移动通信,NFC支付,支付宝,2023-01-30,阿里巴巴,蚂蚁科技集团,零售商和消费者,金融科技报告,https://www.alipay.com,,
宽带ISP解决方案,宽带通信,光纤和DSL,骏网科技,2023-04-05,骏网,骏网科技有限公司,小型企业和家庭,行业分析中心,http://www.junwangtech.com,,
车辆到一切通信系统,车联网通信,V2X协议,丰田汽车,2023-09-20,丰田,丰田汽车公司,汽车制造商和城市管理者,汽车技术杂志,https://www.toyota.com,,
5G边缘计算平台,云计算,低延迟数据处理,华为技术有限公司,2023-06-10,华为,华为技术有限公司,企业用户,IT科技时报,https://www.huawei.com,,
全球远程医疗通信系统,医疗通信,视频会议与数据传输,远程医疗公司,2023-08-01,远程医疗,远程医疗科技有限公司,医疗机构与患者,医学通讯杂志,https://www.telemedicine.com,,
智能电网通信系统,能源管理,自动化数据采集,国家电网,2021-12-05,国网公司,国家电网公司,公共事业,电力行业协会,https://www.sgcc.com.cn,,
数字货币交易网络,金融通信,区块链技术,币安,2022-08-20,币安,币安集团,投资者与交易员,加密货币市场分析,https://www.binance.com,,
量子加密通信系统,量子通信,量子纠缠传输,中国量子科技发展有限公司,2023-03-15,中国量子科技,中国量子科技发展有限公司,政府与安全机构,量子技术研究所,http://www.quantumtech.com,,
社交网络通信平台,社交媒体,实时消息与视频,字节跳动,2023-02-28,抖音,字节跳动科技有限公司,年轻用户,市场研究报告,https://www.bytedance.com,,
城市智能监控系统,公共安全通信,高清监控与分析软件,海康威视,2022-10-15,海康威视,杭州海康威视数字技术股份有限公司,政府与公共部门,公共安全技术发展报告,https://www.hikvision.com,,
5G智能公共交通系统,智慧城市通信,实时跟踪与信息发布,中国移动,2023-09-10,中国移动通信,中国移动通信集团有限公司,城市居民,中国城市交通管理研究院,https://www.chinamobileltd.com,,
虚拟现实通信平台,沉浸式通信,3D交互技术,Meta平台,2023-07-01,Meta,"Meta Platforms, Inc.",媒体与娱乐用户,虚拟现实行业报告,https://www.meta.com,,
无线传感网络,环保监测通信,环境数据采集,恩智浦半导体,2023-11-22,恩智浦,恩智浦半导体公司,环境监测机构,环保科技期刊,https://www.nxp.com,,
基于区块链的安全通信系统,网络安全通信,加密消息传递,BlockChain技术公司,2023-05-05,BlockChain,BlockChain技术有限公司,金融机构,网络安全技术界,https://www.blockchain.com,,
智能家居控制系统,物联网通信,智能家居网关,小米科技,2023-06-15,小米,小米科技有限公司,家庭用户,智能家居报告,http://www.mi.com,,
开放式无线网络,无线通信系统,开放标准,思科系统,2023-08-01,思科,思科系统有限公司,大型企业,行业技术交流会,https://www.cisco.com,,
基于AI的客服系统,云计算系统,智能对话生成,腾讯科技,2023-09-22,腾讯,腾讯控股有限公司,企业用户,IT行业分析报告,https://www.tencent.com,,
低延迟视频直播系统,多媒体通信系统,实时传输协议,快手科技,2023-07-10,快手,快手科技有限公司,内容创作者,视频技术论坛,https://www.kuaishou.com,,
全球卫星互联网系统,卫星通信,多频段覆盖,Starlink,2022-12-25,SpaceX,SpaceX公司,全球用户,国际互联网发展报告,https://www.starlink.com,,
车联网通信系统,智能交通系统,DSRC,福特汽车,2023-04-18,福特,福特汽车公司,车辆制造商,汽车行业展会,https://www.ford.com,,
多元化媒体传播平台,新媒体通信,平台集成,字节跳动,2023-01-15,抖音,北京字节跳动科技有限公司,内容消费用户,新媒体分析报告,https://www.bytedance.com,,
智能停车管理系统,智慧城市系统,传感器监控,华为技术有限公司,2023-03-05,华为,华为技术有限公司,城市管理者,城市交通管理局,https://www.huawei.com,,
全球边缘计算平台,云计算系统,分布式计算,亚马逊,2023-02-20,AWS,亚马逊网络服务公司,开发者,技术大会,https://aws.amazon.com,,
生物识别安全通信网络,安全通信系统,指纹/人脸识别,苹果公司,2023-07-30,Apple,苹果公司,高端用户,安全技术协会,https://www.apple.com,,
数字货币交易平台,金融通信系统,区块链技术,币安,2023-06-30,Binance,币安有限公司,投资者,金融科技研究院,https://www.binance.com,,
5G高密度网络,移动通信系统,增强型室内解决方案,中兴通讯,2023-05-01,中兴,中兴通讯股份有限公司,普通用户,通信行业研究,http://www.zte.com.cn,,
全光网络服务平台,光通信系统,动态波长分配,中国联通,2022-11-25,中国联通,中国联通有限公司,企业用户,通信规划院,https://www.chinaunicom.com,,
智能医疗监测系统,医疗通信系统,远程监控,华大基因,2023-01-20,华大,华大基因科技有限公司,医院及患者,医疗行业监测中心,https://www.bgitech.com,,
低功耗广域网络（LPWAN）,物联网通信,Sigfox,Sigfox,2023-02-02,Sigfox,Sigfox公司,智能设备制造商,物联网发展论坛,https://www.sigfox.com,,
未来网络架构系统,通信系统研究,6G技术,诺基亚,2023-03-30,Nokia,诺基亚公司,研发机构,未来网络研讨会,https://www.nokia.com,,
跨境通信解决方案,国际通信系统,VPN服务,AT&T,2022-10-02,AT&T,AT&T公司,跨国企业,全球通信网络研讨会,https://www.att.com,,
智能家居网络,家庭自动化通信系统,Zigbee,小米科技,2023-08-01,小米,小米科技有限公司,家庭用户,市场研究报告,https://www.mi.com,,
车联网通信平台,移动通信系统,V2X通信,华为技术有限公司,2023-06-10,华为,华为技术有限公司,汽车制造商,行业白皮书,https://www.huawei.com,,
混合云计算平台,云计算系统,Hybrid Cloud,IBM,2023-07-20,IBM Cloud,国际商业机器公司,企业用户,企业级解决方案报告,https://www.ibm.com,,
自动驾驶网络系统,专用通信系统,5G NR优先,特斯拉,2023-03-28,特斯拉汽车,特斯拉公司,个人用户,汽车行业分析,https://www.tesla.com,,
全球卫星互联网,卫星通信,Starlink,SpaceX,2023-10-10,SpaceX,Space Exploration Technologies Corp.,偏远地区用户,国际航天报告,https://www.spacex.com,,
智能医疗通信系统,医疗通信系统,5G医疗网络,华大基因,2023-05-25,华大基因,深圳华大基因科技有限公司,医院与诊所,医疗科技期刊,https://www.bgitech.com,,
城市wi-fi系统,公共互联网接入,Wi-Fi 6,思科,2023-09-05,思科系统公司,思科系统有限责任公司,城市居民,城市管理报告,https://www.cisco.com,,
电信网络基础设施,固定通信系统,光纤到户,AT&T,2023-04-12,AT&T Inc.,AT&T公司,家庭用户,电信业报告,https://www.att.com,,
个人社交网络平台,社交媒体通信,实时消息,Meta,2023-09-01,Meta Platforms,"Meta Platforms, Inc.",大众,社交媒体分析,https://www.meta.com,,
公园无线网络系统,公共无线接入,Wi-Fi 5,Netgear,2023-02-15,Netgear,"Netgear, Inc.",公共景点,网络基础设施报告,https://www.netgear.com,,
远程办公网络解决方案,企业通信,VPN连接,Cisco Meraki,2023-08-20,Cisco,思科梅拉基,企业客户,云计算和网络安全报告,https://meraki.cisco.com,,
农村宽带网络,固定通信系统,DSL,中国联通,2018-11-05,中国联通,中国联合网络通信有限公司,农村用户,区域通信调查,https://www.chinaunicom.com,,
高性能数据中心网络,云基础设施,NVMe over Fabrics,亚马逊网络服务,2023-07-15,AWS,亚马逊科技（中国）有限公司,企业客户,数据中心网络报告,https://aws.amazon.com/,,
远程医疗通信平台,医疗通信,虚拟诊疗,平安健康,2023-03-12,平安集团,平安健康科技有限公司,医疗机构,医疗科技报告,https://pingan.com,,
智能物流跟踪系统,物联网通信,LoRaWAN,顺丰速运,2023-09-26,顺丰集团,顺丰速运有限公司,物流行业,物流解决方案报告,http://www.sf-express.com,,
量子计算网络,量子通信,量子量子密钥分发,谷歌,2023-07-30,Google Cloud,Alphabet Inc.,研发机构,量子计算研究报告,https://www.google.com,,
抗干扰无线通信系统,军事通信,抗干扰,诺基亚,2023-09-05,诺基亚公司,诺基亚内部,军事机构,军事技术期刊,https://www.nokia.com,,
智能医疗通信网络,医疗通信系统,5G远程监护,西门子医疗,2023-06-15,西门子医疗,西门子医疗股份有限公司,医院与医疗机构,医疗技术报告,https://www.siemens-healthineers.com,,
智能家居控制网络,家庭自动化系统,Zigbee控制,阿里智能,2023-08-01,阿里智能,阿里巴巴集团,家庭用户,智能家居市场研究,https://smart.aliyun.com,,
欧洲宽带无线通信网,无线通信系统,Wi-Fi 6E,爱立信,2022-12-10,爱立信,爱立信股份有限公司,企业用户,欧洲广播联盟,https://www.ericsson.com,,
智能农业传感器网络,农业物联网,LoRaWAN,美国农科公司,2023-03-05,美农科技,美国农科技术公司,农民与农业企业,农业科技杂志,https://www.agriculturalscience.com,,
卫星气象监控系统,卫星通信,气象卫星数据传输,NASA,2023-01-23,NASA,美国国家宇航局,研究机构,NASA官方网站,https://www.nasa.gov,,
智能公共照明系统,智慧城市通信,IoT LED灯,飞利浦照明,2023-07-18,飞利浦,飞利浦电子公司,城市管理部门,城市规划委员会,https://www.philips.com,,
智能物流跟踪系统,物流管理系统,RFID跟踪,顺丰速运,2023-08-30,顺丰,顺丰控股股份有限公司,物流公司与商家,物流行业报告,https://www.sf-express.com,,
城市无线传感网络,智慧城市系统,传感器融合,IBM,2023-05-12,IBM,国际商用机器公司,城市政府,智慧城市发展报告,https://www.ibm.com,,
无人驾驶汽车通信系统,车联网,V2X通信,特斯拉,2023-09-25,特斯拉,特斯拉公司,汽车用户,汽车技术报告,https://www.tesla.com,,
农业无人机通信网络,农业物联网,5G通信,大疆创新,2023-02-14,大疆,大疆科技股份有限公司,农民与农业管理者,无人机研究中心,https://www.dji.com,,
智能电网通信解决方案,智慧电网,基于云的管理平台,施耐德电气,2023-04-08,施耐德电气,施耐德电气公司,电力公司,电力行业分析,https://www.se.com,,
智能防盗报警系统,安全通信系统,IoT传感器,霍尼韦尔,2023-07-22,霍尼韦尔国际,霍尼韦尔国际公司,商业与住宅用户,安防设备行业观察,https://www.honeywell.com,,
全球卫星导航系统,卫星通信,GNSS技术,欧盟航天局,2023-09-01,欧盟,欧盟航天局,国际用户,宇航技术报告,https://www.esa.int,,
快递自动化管理系统,物流管理系统,智能分拣系统,京东物流,2023-08-13,京东,京东集团,电商平台,物流行业动态,https://www.jd.com,,
智慧课堂系统,教育通信系统,在线学习平台,腾讯教育,2023-03-29,腾讯,腾讯控股有限公司,学校与学生,教育科技研究,https://ke.qq.com,,
远程影片播放系统,媒体通信,4K视频流,Netflix,2023-10-05,Netflix,网飞国际公司,家庭用户,媒体与娱乐行业报告,https://www.netflix.com,,
自动驾驶公交车通信系统,车联网,自动驾驶网络管理,波士顿动力,2023-04-23,波士顿动力,波士顿动力公司,公共交通部门,交通科技研究,https://www.bostondynamics.com,,
智能家居集成平台,物联网平台,智能家居管理,小米科技,2023-08-15,小米,小米集团,家庭用户,行业白皮书,https://www.mi.com,,
智能农业监控系统,农业物联网,传感器监控,华为技术有限公司,2023-01-10,华为,华为技术有限公司,农场主,农业发展研究中心,https://www.huawei.com,,
6G 高速移动通信系统,移动通信系统,6G NR,诺基亚,2023-09-22,诺基亚,诺基亚公司,企业与个人,国际通信技术论坛,https://www.nokia.com,,
城市智能电网系统,智慧城市解决方案,智能计量,ABB,2022-06-18,ABB,ABB有限公司,城市管理者,能源与电力研究报告,https://global.abb,,
智能医疗通信平台,医疗通信系统,实时数据传输,微医集团,2023-03-05,微医,微医科技有限公司,医疗服务提供者,中国医疗信息化协会,https://www.wed120.com,,
车联网数据交换平台,物联网系统,V2X,百度,2023-02-14,百度,百度公司,汽车制造商,车联网技术研究,https://www.baidu.com,,
全球卫星导航系统,卫星通信,GNSS,洛克希德·马丁,2023-06-25,洛克希德·马丁,Lockheed Martin Corporation,政府机构与民用市场,国际卫星导航协会,https://www.lockheedmartin.com,,
高效数据传输网络,数据通信系统,超大带宽,思科系统,2023-04-15,思科,思科系统公司,企业用户,网络技术期刊,https://www.cisco.com,,
无人驾驶车辆通信系统,智能交通系统,DSRC,特斯拉,2023-05-10,特斯拉,"Tesla, Inc.",个人及企业用户,汽车科技杂志,https://www.tesla.com,,
智能物流追踪平台,物联网,RFID追踪,京东物流,2023-01-25,京东,京东集团,供应链管理,物流技术研究,https://www.jd.com,,
防灾减灾通信网络,应急通信系统,无线与有线结合,诺基亚贝尔,2022-11-05,诺基亚,Nokia Bell Labs,公共安全机构,气象局与应急管理部,https://www.nokia.com,,
基于云的灾备系统,云计算系统,数据备份与恢复,亚马逊网络服务,2023-07-05,AWS,"Amazon Web Services, Inc.",企业用户,云计算技术论坛,https://aws.amazon.com,,
智能水务管理系统,智慧水务,水质监测,意昂,2023-08-02,意昂,"Itron, Inc.",市政水务公司,水利部与环境监测局,https://www.itron.com,,
光纤增强现实通信系统,增强现实,光纤网络支持,索尼,2023-02-01,索尼,Sony Corporation,娱乐与游戏开发商,游戏与通讯技术杂志,https://www.sony.com,,
全球Blockchain通信平台,区块链通信,去中心化应用,以太坊基金会,2023-01-15,以太坊,Ethereum Foundation,开发者与金融机构,区块链技术论坛,https://ethereum.org,,
远程协作通信平台,视频会议与协作工具,高清视频与共享,Zoom Video Communications,2023-09-15,Zoom,"Zoom Video Communications, Inc.",企业与教育机构,办公技术研究,https://zoom.us,,
个性化教育通信平台,在线教育系统,学习管理系统,Coursera,2023-04-22,Coursera,"Coursera, Inc.",学生与教育者,教育科技杂志,https://www.coursera.org,,
智能家居控制系统,物联网通信,智能家居协议,小米科技,2023-08-01,小米,小米集团,家庭用户,市场研究报告,http://www.mi.com,,
新一代通信网络,5G通信系统,5G NR,中国移动,2023-07-12,中国移动,中国移动通信集团公司,普通用户,中国工业和信息化部,https://www.chinamobileltd.com,,
开放式网络架构,数据中心,开放式API,亚马逊,2023-09-05,AWS,亚马逊网络服务,企业用户,云计算行业报告,https://aws.amazon.com,,
北美跨境通信网,国际通信系统,海底光缆,Verizon,2020-11-21,Verizon,Verizon通讯公司,跨国企业,美国联邦通信委员会,https://www.verizon.com,,
智慧农业监测系统,物联网通信,传感器网络,灵动科技,2023-06-20,灵动科技,灵动科技有限责任公司,农业用户,农业技术协会,http://www.lingdong.com,,
全球导航卫星系统,卫星通信,GNSS,欧空局,2023-04-10,European Space Agency,欧洲航天局,科技研发,欧空局发布,https://www.esa.int,,
高能物理实验通信网,科研网络,光纤传输,CERN,2022-12-01,CERN,欧洲核子研究中心,科研机构,国际科学合作,https://home.cern,,
下一代区块链通信系统,区块链技术,去中心化,Coinbase,2023-01-25,Coinbase,"Coinbase Global, Inc.",金融科技用户,金融科技报告,https://www.coinbase.com,,
超宽带无线通信系统,无线通信系统,UWB,博通公司,2023-03-15,Broadcom Inc.,博通公司,智能设备制造商,电子产业协会,https://www.broadcom.com,,
南美洲电信网,移动通信系统,4G LTE/5G,Telefónica,2021-09-09,Telefónica,Telefónica S.A.,普通用户,南美电信监管局,https://www.telefonica.com,,
高速度宽带网络,固定通信系统,光纤,日本电信,2022-04-04,NTT Communications,NTT株式会社,普通用户,日本通信协会,https://www.ntt.com,,
智能连通汽车系统,车联网,V2X通信,奔驰,2023-02-20,Mercedes-Benz,梅赛德斯-奔驰公司,汽车制造商与用户,汽车产业协会,https://www.mercedes-benz.com,,
基于云的安全监控系统,安全通信系统,云监控,Cisco,2023-05-11,Cisco,思科系统公司,企业与机构,网络安全报告,https://www.cisco.com,,
智能电网管理系统,能源通信,智能电网,GE能源,2023-03-30,GE,通用电气公司,公用事业公司,能源管理协会,https://www.ge.com,,
分布式抗干扰通信系统,无线通信,抗干扰技术,诺基亚,2023-08-15,Nokia,诺基亚网络公司,企业用户,通信标准委员会,https://www.nokia.com,,
