基础结构（字符型）,上行带宽（字符型）,下行带宽（字符型）,抗氢老化稳定性（字符型）,采集来源,来源链接,采集时间,备注
下一代合作网络,600 Mbps,1.5 Gbps,中,网络技术论坛,http://www.wirelessforum.org,,
移动无线基站(5G),120 Mbps,1.5 Gbps,高,中国移动,https://www.chinamobileltd.com/,,
量子通信网络,特定,特定,高,量子技术研究所,http://www.quantuminstitute.org,,
固定无线接入（FWA）,50 Mbps,200 Mbps,中,百度技术,https://www.baidu.com,,
流媒体与游戏专用网络,250 Mbps,1 Gbps,高,腾讯科技,https://www.tencent.com,,
下一代多域议价网络,300 Mbps,2 Gbps,高,搜狐科技,https://www.sohu.com,,
分布式网络存储,100 Mbps,500 Mbps,中,微软Azure,https://azure.microsoft.com,,
光纤到户（FTTH）,1 Gbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
PLC网,50 Mbps,200 Mbps,中,国际电信联盟,https://www.itu.int,,
光纤通信,500 Mbps,2 Gbps,高,华三通讯,https://www.h3c.com,,
WLAN 6E,1.2 Gbps,9.6 Gbps,中,网络世界,https://www.networkworld.com,,
电缆调制解调器,30 Mbps,800 Mbps,中,中兴通讯,https://www.zte.com.cn,,
混合光纤同轴电缆,100 Mbps,500 Mbps,中,美国联邦通讯委员会,https://www.fcc.gov,,
超宽带无线通信,200 Mbps,1 Gbps,高,华为技术,https://www.huawei.com,,
5G毫米波网络,300 Mbps,2 Gbps,高,中国移动,https://www.chinamobileltd.com/,,
移动边缘计算网络,400 Mbps,1.5 Gbps,高,云计算观察,https://www.cloudcomputingobserver.com,,
IPv6网络,50 Mbps,300 Mbps,中,国际互联网工程任务组,https://www.ietf.org,,
量子通信网络,特定,特定,高,北京量子研究院,https://www.bqi.ac.cn,,
智能家庭网络,150 Mbps,1 Gbps,高,智能家居网,https://www.smarthome.com,,
电力线通信,40 Mbps,100 Mbps,中,电信科学研究院,https://www.caict.ac.cn,,
云计算网络,80 Mbps,600 Mbps,高,阿里巴巴,https://www.alibaba.com,,
卫星宽带,15 Mbps,300 Mbps,中,卫星技术协会,https://www.satelliteassociation.org,,
无线网状网络,200 Mbps,800 Mbps,中,网络技术论坛,https://www.networktechnologyforum.com,,
智能城市无线网,90 Mbps,500 Mbps,高,未来城市,https://www.smartcityfuture.com,,
光纤到户（FTTH）,1 Gbps,1 Gbps,高,电信研究院,https://www.citra.ac.cn/,,
高速电缆接入,300 Mbps,600 Mbps,中,中国电信,https://www.chinatel.com.cn/,,
基于光纤的无线接入,400 Mbps,1.2 Gbps,高,微波科技网,https://www.microwaves101.com/,,
光纤扩展网络,100 Mbps,500 Mbps,高,国际通信协会,https://www.itu.int/,,
Wi-Fi 6E网络,1.2 Gbps,9.6 Gbps,中,China Daily,https://www.chinadaily.com.cn/,,
以太网光纤接入,10 Gbps,10 Gbps,高,中兴通讯,https://www.zte.com.cn/,,
无人机通信网络,200 Mbps,300 Mbps,中,中国科学院,https://www.cas.cn/,,
边缘计算网络,500 Mbps,1 Gbps,高,云科技资讯,https://www.cloudtech.cn/,,
超级宽带接入,2 Gbps,2 Gbps,高,信息产业部,https://www.miit.gov.cn/,,
无线城市网络,150 Mbps,450 Mbps,中,互联网发展论坛,https://www.internetforum.cn/,,
5G毫米波网络,300 Mbps,1 Gbps,高,高通技术,https://www.qualcomm.com/,,
超宽带接入,500 Mbps,5 Gbps,高,清华大学,https://www.tsinghua.edu.cn/,,
量子通信网络,特定,特定,高,国家量子计划,https://www.nqat.org/,,
车联网,100 Mbps,400 Mbps,中,智能交通协会,https://www.its.org/,,
公共区域Wi-Fi网络,50 Mbps,250 Mbps,中,全国Wifi联盟,https://www.wifialliance.org/,,
卫星光纤接入,30 Mbps,100 Mbps,高,NASA,https://www.nasa.gov/,,
长距离无线网络,60 Mbps,180 Mbps,中,长途无线技术协会,https://www.lwta.org/,,
量测网络,250 Mbps,750 Mbps,高,信息技术实验室,https://www.itlab.org/,,
光纤到户（FTTH）,300 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
宽带无线接入,50 Mbps,300 Mbps,中,香港电讯,https://www.hkt.com,,
卫星互联网,25 Mbps,100 Mbps,低,亚太卫星公司,https://www.apstar.com,,
宽带电力线通信,100 Mbps,500 Mbps,中,中电联,http://www.cec.org.cn,,
G.fast技术,150 Mbps,1 Gbps,高,IEEE Communications Society,https://www.comsoc.org,,
云游戏专用网络,200 Mbps,800 Mbps,高,B站游戏公告,https://www.bilibili.com,,
移动宽带,30 Mbps,150 Mbps,中,中国移动,https://www.chinamobile.com,,
无线网状网络,40 Mbps,200 Mbps,高,华南理工大学,https://www.scut.edu.cn,,
5G毫米波技术,500 Mbps,2 Gbps,高,工信部,https://www.miit.gov.cn,,
Wi-Fi 6E,1.5 Gbps,9.6 Gbps,中,高通,https://www.qualcomm.com,,
Mesh网络,60 Mbps,400 Mbps,高,网易数码,https://digi.163.com,,
有线电视网络（HFC）,30 Mbps,1 Gbps,中,广电总局,http://www.gapp.gov.cn,,
4G LTE,50 Mbps,200 Mbps,中,中国联通,https://www.chinaunicom.com,,
LoRaWAN,5 Mbps,50 Mbps,高,物联网技术研究院,https://www.iotnews.com,,
以太网光纤接入,1 Gbps,5 Gbps,高,英特尔,https://www.intel.com,,
量子通信网络,特定,特定,高,中国科学院,http://www.cas.cn,,
FTTx（光纤到一切）,200 Mbps,1.5 Gbps,高,中国广电,http://www.china-digital.com,,
边缘计算网络,300 Mbps,1 Gbps,中,阿里云研究院,https://www.aliyun.com,,
光纤通信 (FTTH),500 Mbps,2 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
ADSL,1 Mbps,24 Mbps,中,小米科技,https://www.mi.com,,
5G小基站,100 Mbps,800 Mbps,高,华为技术,https://www.huawei.com,,
毫米波通信,2 Gbps,10 Gbps,高,清华大学,https://www.tsinghua.edu.cn/,,
光纤到户 (FTTH),1 Gbps,1 Gbps,高,中国移动,https://www.chinamobileltd.com/,,
卫星宽带,30 Mbps,300 Mbps,中,俄罗斯卫星通讯社,https://sputniknews.com/,,
4G LTE,50 Mbps,150 Mbps,中,爱立信,https://www.ericsson.com,,
PON,10 Gbps,40 Gbps,高,光纤通信协会,https://www.osa.org,,
固定无线接入,20 Mbps,100 Mbps,中,网易云,https://cloud.163.com/,,
微波通信,40 Mbps,400 Mbps,中,中兴通讯,https://www.zte.com.cn,,
802.11ax (Wi-Fi 6),1.2 Gbps,9.6 Gbps,高,TP-Link,https://www.tp-link.com,,
纳米卫星互联网,50 Mbps,150 Mbps,低,Planet Labs,https://www.planet.com,,
共轴电缆,30 Mbps,1 Gbps,中,Charter Communications,https://www.charter.com,,
光纤射频接入 (RFoG),150 Mbps,1.5 Gbps,高,Fiber Optic Association,https://www.foa.org,,
热电联产网络,200 Mbps,800 Mbps,高,国际能源署,https://www.iea.org,,
边缘计算网络,1 Gbps,5 Gbps,高,微软 Azure,https://azure.microsoft.com,,
移动宽带,25 Mbps,100 Mbps,中,Sprint Corporation,https://www.sprint.com,,
光纤到户（FTTH）,300 Mbps,1 Gbps,高,电信研究院,https://www.cnii.com.cn/,,
LTE网络,50 Mbps,150 Mbps,中,中兴通讯,https://www.zte.com.cn/,,
宽带无线接入 (WBA),20 Mbps,200 Mbps,低,中国广播电视网络,https://www.cbtv.com.cn/,,
混合光纤同轴电缆 (HFC),100 Mbps,800 Mbps,高,思科系统,https://www.cisco.com/,,
5G超宽带,200 Mbps,1.5 Gbps,高,华为技术,https://www.huawei.com,,
光纤无源接入 (PON),100 Mbps,10 Gbps,高,国际电信联盟,https://www.itu.int/,,
DSL网络,25 Mbps,75 Mbps,中,中国联通,https://www.chinaunicom.com/,,
Wi-Fi 6E,1.2 Gbps,9.6 Gbps,低,IT之家,https://www.ithome.com/,,
延展性网络 (SASE),200 Mbps,1 Gbps,高,亚马逊网络服务,https://aws.amazon.com/,,
超高速光纤,500 Mbps,5 Gbps,高,谷歌云,https://cloud.google.com/,,
电力线通讯 (PLC),2 Mbps,25 Mbps,中,赛迪网,https://www.ccidnet.com/,,
空口技术 (OTN),400 Mbps,2 Gbps,高,中科院,http://www.cas.cn/,,
区域网 (LAN),1 Gbps,1 Gbps,中,苹果公司,https://www.apple.com/,,
无线宽带 (WiMAX),75 Mbps,1.5 Gbps,中,英特尔,https://www.intel.com/,,
双频信号网络,10 Mbps,40 Mbps,低,中华人民共和国工业和信息化部,http://www.miit.gov.cn/,,
最新一代卫星通信,1 Mbps,300 Mbps,中,SpaceX Starlink,https://www.starlink.com/,,
SD-WAN,50 Mbps,200 Mbps,高,阿里云,https://www.aliyun.com/,,
光纤到户（FTTH）,500 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn/,,
4G LTE,50 Mbps,300 Mbps,中,中国联通,https://www.chinaunicom.com/,,
无线局域网（WLAN）,200 Mbps,300 Mbps,低,腾讯科技,https://tech.qq.com/,,
毫米波通信,2 Gbps,10 Gbps,高,中兴通讯,https://www.zte.com.cn/,,
低轨卫星网络,30 Mbps,120 Mbps,中,OneWeb,https://www.oneweb.world/,,
DOCSIS 3.1,1 Gbps,10 Gbps,高,美国康卡斯特,https://www.comcast.com/,,
以太网光纤接入,10 Gbps,10 Gbps,高,阿里巴巴集团,https://www.alibaba.com/,,
长距离光通信,150 Mbps,600 Mbps,高,中国科学技术大学,https://www.ustc.edu.cn/,,
量子通信网络,不适用,不适用,高,上海交通大学,https://www.sjtu.edu.cn/,,
NB-IoT,100 Kbps,100 Kbps,中,中国移动,https://www.chinamobileltd.com/,,
VPLS网络,1 Gbps,5 Gbps,高,全球网络解决方案,https://www.globalnetsolutions.com/,,
开放式接入网络,1.5 Gbps,2.5 Gbps,高,欧盟智能网络研究,https://ec.europa.eu/,,
全球移动通信,75 Mbps,400 Mbps,中,全球移动通信标准化组织,https://www.3gpp.org/,,
超宽带通信,1 Gbps,7 Gbps,高,Kyocera Communication,https://www.kyocera.com/,,
小区基站,10 Mbps,900 Mbps,中,Verizon,https://www.verizon.com/,,
Wi-Fi 7,2 Gbps,30 Gbps,高,Intel,https://www.intel.com/,,
多接入边缘计算,500 Mbps,5 Gbps,中,亚马逊云服务,https://aws.amazon.com/,,
量子关键分发,不适用,不适用,高,加州大学伯克利分校,https://berkeley.edu/,,
光纤到户（FTTH）,300 Mbps,1 Gbps,高,中国电信,https://www.china telecom.com/,,
封闭式光纤网络,10 Gbps,10 Gbps,高,全球宽带论坛,https://www.broadbandforum.org/,,
G.fast技术,500 Mbps,1 Gbps,中,Fiber Broadband Association,https://www.fiberbroadband.org/,,
Wired Equivalent Privacy（WEP）,54 Mbps,54 Mbps,低,技术杂志,https://www.techmagazine.com/,,
钠离子电池通信,75 Mbps,500 Mbps,中,清华大学学报,https://www.tsinghua.edu.cn/,,
毫米波通信,1 Gbps,5 Gbps,高,IEEE Spectrum,https://spectrum.ieee.org/,,
V-SAT技术,30 Mbps,150 Mbps,中,Satellite Now,https://www.satellitenow.com/,,
超高速以太网,25 Gbps,25 Gbps,高,国际电信联盟,https://www.itu.int/,,
固定无线接入,50 Mbps,200 Mbps,中,人类互联网,https://www.ihumaninternet.com/,,
4G LTE,100 Mbps,300 Mbps,中,全球移动通信系统协会,https://www.gsma.com/,,
LPWAN（低功耗广域网络）,5 Mbps,5 Mbps,低,物联网电信协会,https://www.lora-alliance.org/,,
高频无线电通信,150 Mbps,600 Mbps,高,国家无线电管理局,https://www.ntia.gov/,,
区块链承载网络,200 Mbps,200 Mbps,中,MIT科技评论,https://www.technologyreview.com/,,
量子通信,特定,特定,高,清华大学量子研究所,https://www.tsinghua.edu.cn/,,
低地轨道卫星通信,30 Mbps,100 Mbps,中,NASA,https://www.nasa.gov/,,
人工智能驱动的网络,200 Mbps,1 Gbps,高,百度研究院,https://research.baidu.com/,,
光纤到户 (FTTH),500 Mbps,2 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
Cable Modem,40 Mbps,800 Mbps,中,美国有线电视协会,https://www.ncta.com,,
微波通信,10 Mbps,100 Mbps,中,中国通信研究院,http://www.cri.cn,,
增强型移动宽带 (eMBB),200 Mbps,1 Gbps,高,华为技术,https://www.huawei.com,,
FWA (固定无线接入),50 Mbps,300 Mbps,中,中国联通,https://www.chinaunicom.com,,
4G LTE,20 Mbps,150 Mbps,中,中国移动,https://www.chinamobileltd.com,,
光纤分光接入,100 Mbps,500 Mbps,高,光纤连接技术合作社,https://www.foatech.org,,
Next-Gen Wi-Fi (Wi-Fi 6E),2 Gbps,9.6 Gbps,中,IEEE,https://www.ieee.org,,
光波长分复用 (WDM),1 Gbps,10 Gbps,高,光纤网络协会,http://www.fiberoptics.com,,
卫星宽带,30 Mbps,300 Mbps,中,SES S.A.,https://www.ses.com,,
LTE-Advanced,100 Mbps,600 Mbps,高,高通公司,https://www.qualcomm.com,,
PON (无源光网络),200 Mbps,1 Gbps,高,中国信息通信研究院,http://www.cai.gov.cn,,
SD-WAN,50 Mbps,500 Mbps,中,Fortinet,https://www.fortinet.com,,
移动边缘计算,150 Mbps,1 Gbps,高,华为技术,https://www.huawei.com,,
VDSL2,80 Mbps,100 Mbps,中,中国电信,https://www.chinatelecom.com.cn,,
路由器级双频Wi-Fi,100 Mbps,600 Mbps,中,TP-Link,https://www.tp-link.com,,
Broadband over Powerline (BPL),30 Mbps,200 Mbps,中,IEEE P1901工作组,https://www.ieee802.org/1901/,,
Wi-Fi Mesh 网络,200 Mbps,1 Gbps,高,网络技术协会,https://www.networktech.org,,
光纤到户 (FTTH),200 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn/,,
无线宽带接入,50 Mbps,150 Mbps,中,美国通信委员会,https://www.fcc.gov/,,
光纤网络聚合 (PON),1 Gbps,10 Gbps,高,日本电信,https://www.ntt.com/,,
4G LTE网络,50 Mbps,300 Mbps,中,AT&T,https://www.att.com/,,
CBRS网络,40 Mbps,200 Mbps,中,T-Mobile,https://www.t-mobile.com/,,
Wi-Fi 7,2 Gbps,30 Gbps,高,IEEE 802.11 Working Group,https://www.ieee802.org/11/,,
低地球轨道卫星网络,50 Mbps,800 Mbps,中,OneWeb,https://www.oneweb.world/,,
NRS（网络切片）,80 Mbps,500 Mbps,高,诺基亚,https://www.nokia.com/,,
云接入网络,100 Mbps,1.5 Gbps,高,微软Azure,https://azure.microsoft.com/,,
移动宽带网络,30 Mbps,200 Mbps,中,Verizon,https://www.verizon.com/,,
长距离数字用户线 (VDSL2),100 Mbps,200 Mbps,中,德国电信,https://www.telekom.com/,,
智能光纤接入,300 Mbps,3 Gbps,高,光纤技术协会,https://www.thefoa.org/,,
以太网光纤 (EoF),2 Gbps,10 Gbps,高,思科,https://www.cisco.com/,,
回程网络,500 Mbps,2 Gbps,中,Google Fiber,https://fiber.google.com/,,
行动宽带,20 Mbps,50 Mbps,中,亚马逊AWS,https://aws.amazon.com/,,
多接入边缘计算 (MEC),60 Mbps,400 Mbps,高,IBM,https://www.ibm.com/,,
光纤链路,1 Gbps,10 Gbps,高,阿里巴巴,https://www.alibaba.com/,,
边缘计算网络,75 Mbps,500 Mbps,中,Oracle,https://www.oracle.com/,,
光纤到户（FTTH）,1 Gbps,1 Gbps,高,中国电信,https://www.chinatelecom.com,,
6G网络,1 Gbps,10 Gbps,中,中国科学技术大学,https://www.ustc.edu.cn/,,
固定无线接入,30 Mbps,100 Mbps,中,移动互联网观察,https://www.mi.gov.cn/,,
先进集成光子技术,200 Mbps,200 Mbps,高,清华大学,https://www.tsinghua.edu.cn/,,
全双工光纤通信,500 Mbps,1 Gbps,高,光纤通信协会,https://www.ofcconference.org/,,
5G固定无线接入,200 Mbps,1 Gbps,中,爱立信,https://www.ericsson.com/,,
光纤复用技术,400 Mbps,800 Mbps,中,中兴通讯,https://www.zte.com.cn/,,
无线光通信,100 Mbps,500 Mbps,高,国家光电技术研究中心,http://www.optic.ac.cn/,,
超级光纤网络,2 Gbps,10 Gbps,高,华为技术,https://www.huawei.com,,
机动频谱接入,50 Mbps,300 Mbps,中,联通研究院,https://www.chinaunicom.com/,,
下一代字节光传输,150 Mbps,600 Mbps,高,大连理工大学,http://www.dlut.edu.cn/,,
光纤平面波导技术,50 Mbps,250 Mbps,高,南方科技大学,https://www.sustech.edu.cn/,,
动态频谱共享,120 Mbps,450 Mbps,中,国家无线电监测中心,http://www.nrsc.gov.cn/,,
折叠式波导,300 Mbps,1.5 Gbps,高,中国科学院,http://www.cas.cn/,,
超宽带无线技术,100 Mbps,2 Gbps,中,清华大学,https://www.tsinghua.edu.cn/,,
智能电网通信,60 Mbps,150 Mbps,高,国家电网公司,http://www.sgcc.com.cn/,,
低轨道卫星互联网,10 Mbps,300 Mbps,中,OneWeb,https://www.oneweb.world/,,
量子通信网络,特定,特定,高,中科院量子信息重点实验室,http://www.iqp.cas.cn/,,
FTTH (光纤到户),1 Gbps,1 Gbps,高,中国电信,https://www.ct108.com,,
4G LTE,50 Mbps,150 Mbps,中,移动通信协会,https://www.mta.org,,
Wi-Fi 6E,1.2 Gbps,9.6 Gbps,高,NetGear,https://www.netgear.com,,
光纤图像传输,600 Mbps,1.2 Gbps,低,清华大学,https://www.tsinghua.edu.cn/,,
宽带接入,100 Mbps,500 Mbps,中,Cisco,https://www.cisco.com,,
6G网络,未定,未定,高,中国互联网协会,https://www.cnia.org.cn,,
动态频谱接入技术,120 Mbps,300 Mbps,中,中国移动,https://www.chinamobileltd.com/,,
混合接入方案,70 Mbps,250 Mbps,中,艾瑞咨询,https://www.iresearch.com.cn,,
微波接入,30 Mbps,200 Mbps,中,ZTE,https://www.zte.com.cn,,
智能中继网络,150 Mbps,480 Mbps,低,华为技术,https://www.huawei.com,,
链路层聚合,200 Mbps,600 Mbps,高,中兴通讯,https://www.zte.com.cn,,
超宽带无线技术,500 Mbps,2 Gbps,高,高通,https://www.qualcomm.com,,
多接入边缘计算,100 Mbps,800 Mbps,低,阿里巴巴,https://www.aliyun.com,,
窄带物联网,100 Kbps,500 Kbps,高,物联网协会,https://www.iot.org,,
快速接入网络,50 Mbps,100 Mbps,中,企业网,https://www.enterprise.com,,
区域性宽带接入,25 Mbps,150 Mbps,低,国家广播电视总局,http://www.nrta.gov.cn,,
卫星光纤接入,40 Mbps,100 Mbps,高,SpaceX Starlink,https://www.starlink.com/,,
城市宽带网络,150 Mbps,500 Mbps,中,移动互联网论坛,https://www.miforum.org,,
光纤到户 (FTTH),500 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn/,,
Coaxial Cable,40 Mbps,500 Mbps,中,Comcast,https://www.comcast.com/,,
Wi-Fi 5,400 Mbps,3.5 Gbps,中,Network World,https://www.networkworld.com/,,
毫米波 5G,200 Mbps,1.5 Gbps,高,5G Americas,https://www.5gamericas.org/,,
DSL (数字用户线),10 Mbps,50 Mbps,低,国信办,https://www.gba.gov.cn/,,
光纤接入 (GPON),1 Gbps,2.5 Gbps,高,Nokia,https://www.nokia.com/,,
Wi-Fi 6E,1 Gbps,9.6 Gbps,中,TP-Link,https://www.tp-link.com/,,
固定无线接入,30 Mbps,300 Mbps,中,联通研究院,https://www.chinaunicom.com/,,
光纤分布式接入,150 Mbps,600 Mbps,高,Verizon,https://www.verizon.com/,,
DSL (30A),20 Mbps,200 Mbps,中,AT&T,https://www.att.com/,,
卫星移动互联网,10 Mbps,150 Mbps,中,OneWeb,https://www.oneweb.world/,,
下一代移动通信网络 (6G),1 Gbps,20 Gbps,高,ITU,https://www.itu.int/,,
固定光纤接入,250 Mbps,1 Gbps,高,中国国际互联网技术促进会,https://www.ciiap.org.cn/,,
智能边缘计算网络,300 Mbps,3 Gbps,高,Hewlett Packard Enterprise,https://www.hpe.com/,,
合作伙伴光纤网络,900 Mbps,2.2 Gbps,高,中国网信网,https://www.cac.gov.cn/,,
车载网络,50 Mbps,400 Mbps,中,IHS Markit,https://ihsmarkit.com/,,
校园光网络,150 Mbps,750 Mbps,高,高校智库,https://www.edu.cn/,,
新型光纤接入,500 Mbps,1.5 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
LTE高级服务,100 Mbps,400 Mbps,中,移动通信研究院,https://www.miit.gov.cn,,
超级宽带光纤网,1 Gbps,10 Gbps,高,国际电信联盟,https://www.itu.int,,
下一代Wi-Fi (802.11ax),800 Mbps,4.8 Gbps,中,Wi-Fi联盟,https://www.wi-fi.org,,
分布式天线系统 (DAS),300 Mbps,1 Gbps,高,中国信息通信研究院,https://www.caict.ac.cn,,
光纤到户 (FTTH),200 Mbps,1 Gbps,中,百度科技,https://www.baidu.com,,
微波通信技术,50 Mbps,200 Mbps,中,中兴通讯,https://www.zte.com.cn,,
5G毫米波通信,500 Mbps,2 Gbps,高,工信部,https://www.miit.gov.cn,,
超声波网络,10 Mbps,80 Mbps,低,科学技术部,https://www.most.gov.cn,,
长距离低空卫星网络,30 Mbps,300 Mbps,中,中国卫星通信,https://www.chinasatcom.com,,
云计算网络架构,1 Gbps,1 Gbps,高,腾讯云,https://cloud.tencent.com,,
增强现实网络基础设施,200 Mbps,1.2 Gbps,中,阿里巴巴集团,https://www.alibaba.com,,
智能家居网络连接,50 Mbps,300 Mbps,低,小米科技,https://www.mi.com,,
量子通信网络,需视情况而定,需视情况而定,非常高,中国科学院,https://www.cas.cn,,
城市光网规划,250 Mbps,1.5 Gbps,高,全国总工会,https://www.acftu.org,,
互联网协议电视 (IPTV),100 Mbps,1 Gbps,高,优酷,https://www.youku.com,,
智能交通网络基础设施,120 Mbps,600 Mbps,中,交通运输部,https://www.mot.gov.cn,,
家庭多媒体网络,300 Mbps,800 Mbps,高,申城宽带,https://www.shanghaikong.com,,
智能传感器网络,60 Mbps,150 Mbps,低,中科院自动化所,https://www.ia.cas.cn,,
光纤到户（FTTH）,500 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn/,,
卫星回传系统,25 Mbps,150 Mbps,中,Eutelsat,https://www.eutelsat.com/,,
无线局域网 (WLAN),200 Mbps,800 Mbps,中,Cisco Systems,https://www.cisco.com/,,
光纤配线架,10 Gbps,10 Gbps,高,APC by Schneider Electric,https://www.apc.com/,,
混合光纤,2 Gbps,2 Gbps,中,光纤通信研发中心,http://www.fiberoptics.edu.cn/,,
大规模MIMO,300 Mbps,2 Gbps,高,华为技术,https://www.huawei.com,,
Coaxial Cable,100 Mbps,500 Mbps,中,Comcast,https://www.comcast.com/,,
移动宽带,50 Mbps,300 Mbps,中,中国移动,https://www.chinamobileltd.com/,,
光纤入户 (FTTP),1 Gbps,2 Gbps,高,AT&T,https://www.att.com/,,
以太网交换机,1 Gbps,1 Gbps,中,Netgear,https://www.netgear.com/,,
未来量子通信,特定,特定,高,麻省理工学院,https://www.mit.edu/,,
5G NR,300 Mbps,1.5 Gbps,高,高通公司,https://www.qualcomm.com/,,
区块链通信网络,特定,特定,高,区块链技术协会,https://www.blockchainassociation.org/,,
子载波多路复用,45 Mbps,350 Mbps,中,IBM,https://www.ibm.com/,,
云计算边缘网络,10 Gbps,10 Gbps,高,Amazon Web Services,https://aws.amazon.com/,,
兆赫兹光通信,5 Gbps,10 Gbps,中,光通信协会,https://www.osa.org/,,
形状记忆合金 (SMA),30 Mbps,150 Mbps,高,材料科学研究所,https://www.mrs.org/,,
集成光子学,特定,特定,高,光子学协会,https://wwwPhotonics.com/,,
光纤入户（FTTH）,500 Mbps,2 Gbps,高,中国电信,https://www.chinadetelecom.com,,
XG-PON,1 Gbps,10 Gbps,高,IEEE Spectrum,https://spectrum.ieee.org,,
Hybrid Fiber Coaxial (HFC),30 Mbps,500 Mbps,中,CableLabs,https://www.cablelabs.com,,
LTE Advanced,100 Mbps,300 Mbps,中,华为技术,https://www.huawei.com,,
卫星回传,5 Mbps,25 Mbps,低,欧洲航天局,https://www.esa.int,,
5G NR,500 Mbps,1 Gbps,高,高通公司,https://www.qualcomm.com,,
混合光纤接入,200 Mbps,800 Mbps,中,中国移动,https://www.chinamobileltd.com,,
固定无线接入,50 Mbps,150 Mbps,中,AT&T,https://www.att.com,,
Wi-Fi 6E,1.2 Gbps,9.6 Gbps,高,IEEE 802.11,https://www.ieee802.org,,
光纤网络（PON）,2 Gbps,10 Gbps,高,Fiber Optic Association,https://www.foa.org,,
边缘计算网络,300 Mbps,3 Gbps,高,谷歌云技术,https://cloud.google.com,,
长距离无线电,15 Mbps,50 Mbps,中,华为技术,https://www.huawei.com,,
4G LTE,50 Mbps,150 Mbps,中,Sprint,https://www.sprint.com,,
无线局域网（WLAN）,600 Mbps,1.2 Gbps,高,Cisco,https://www.cisco.com,,
移动宽带接入,80 Mbps,400 Mbps,中,Verizon,https://www.verizon.com,,
高通量卫星,25 Mbps,100 Mbps,低,Intelsat,https://www.intelsat.com,,
FTTC（光纤到街道）,100 Mbps,500 Mbps,中,British Telecom,https://www.bt.com,,
光纤到户（FTTH）,200 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn/,,
全光网络,500 Mbps,2 Gbps,高,中兴通讯,https://www.zte.com.cn/,,
HFC网络,30 Mbps,200 Mbps,中,思科系统,https://www.cisco.com/,,
卫星光纤网络,10 Mbps,300 Mbps,低,SES S.A.,https://www.ses.com/,,
Local Area Network (LAN),1 Gbps,1 Gbps,高,IEEE 802.11 Working Group,https://www.ieee802.org/,,
无线光通信,25 Mbps,150 Mbps,中,Future Communications,https://www.futurecomms.com/,,
5G毫米波网络,300 Mbps,3 Gbps,高,华为技术,https://www.huawei.com/,,
低轨卫星通信,60 Mbps,400 Mbps,中,OneWeb,https://www.oneweb.world/,,
FTTC（光纤到节点）,50 Mbps,200 Mbps,高,英国电信（BT）,https://www.bt.com/,,
LTE Advanced,150 Mbps,600 Mbps,中,高通公司,https://www.qualcomm.com/,,
DSL（数字用户线）,5 Mbps,20 Mbps,低,欧洲电信研究所,https://www.etsi.org/,,
Wi-Fi 6E,1.2 Gbps,9.6 Gbps,高,Intel,https://www.intel.com/,,
设备间通信（D2D）,75 Mbps,300 Mbps,高,OOKLA,https://www.speedtest.net/,,
最新Wi-Fi 7,2 Gbps,30 Gbps,中,TP-Link,https://www.tp-link.com/,,
CDMA网络,2 Mbps,10 Mbps,低,爱立信,https://www.ericsson.com/,,
国防网络,500 Mbps,1.5 Gbps,高,百度云,https://cloud.baidu.com/,,
边缘计算网络,150 Mbps,700 Mbps,高,Amazon Web Services (AWS),https://aws.amazon.com/,,
长途数字化网络,100 Mbps,800 Mbps,中,诺基亚,https://www.nokia.com/,,
FTTX光纤接入,300 Mbps,1.5 Gbps,高,中国电信,https://www.chinatelecom.com.cn/,,
DSL技术,10 Mbps,50 Mbps,中,中国广电,https://www.cbg.cn/,,
电力线宽带,15 Mbps,100 Mbps,低,国家电网,https://www.sgcc.com.cn/,,
固定无线接入,30 Mbps,200 Mbps,中,中国移动,https://www.chinamobile.com/,,
4G LTE,50 Mbps,150 Mbps,高,中国联通,https://www.chinaunicom.com/,,
全球卫星互联网,25 Mbps,100 Mbps,中,OneWeb,https://www.oneweb.world/,,
光纤到户（FTTH）,500 Mbps,2 Gbps,高,中兴通讯,https://www.zte.com.cn/,,
新一代卫星通信,40 Mbps,300 Mbps,高,Iridium Communications,https://www.iridium.com/,,
Wi-Fi 7,2 Gbps,30 Gbps,中,IEEE Standards Association,https://standards.ieee.org/,,
Mesh网络接入,150 Mbps,1 Gbps,高,TP-Link,https://www.tp-link.com/,,
SR fiber接入,400 Mbps,1.2 Gbps,高,FiberHome,http://www.fiberhome.com/,,
超宽带接入,100 Mbps,500 Mbps,中,华为云,https://www.huaweicloud.com/,,
量子通信网络,特定,特定,高,北京量子通信研究院,https://www.baqi.edu.cn/,,
声学通信,5 Mbps,30 Mbps,低,声波技术研究所,http://www.acoustictech.com/,,
中国移动云接入,150 Mbps,800 Mbps,高,中国移动云,https://cloud.chinamobile.com/,,
