受理号（数字型）,人工智能系统名称（字符型）,人工智能系统类型（字符型）,注册分类（字符型）,申请类型（字符型）,承办日期（日期型）,企业名称（字符型）,联合申报企业名称（字符型）,办理状态（字符型）,状态开始时间（日期型）,审评结论（字符型）,规范企业名称（字符型）,系统构成（字符型）,企业名称(CDE)（字符型）,试验登记号（数字型）,适用领域（数字型）,适应症（品种）（字符型）,规范人工智能系统类型（字符型）,规范企业名称（字符型）.1,注册版本（字符型）,采集来源,来源链接,采集时间,备注
Beijing-ZhiNeng-20241028 S0011,智能气象预测系统,气象服务,气象数据分析,气象数据分析,2023-08-02,气象局,气象科学研究院,招募中,2023-08-07,待审,国家气象局,数据获取、气象模型和智能分析,气象局,Beijing-ZhiNeng-20241028 S0011,气象服务,天气预测、气候变化研究,变革智能系统,国家气象局,V1.0,中国气象网,http://www.cma.gov.cn,2024-10-11,
Shanghai-WeiXin-20241029 S0012,智慧城市管理平台,城市管理,城市规划,城市规划,2023-08-10,华为,武汉大学,已完成,2023-08-15,合格,华为技术,大数据分析、城市资源优化,华为,Shanghai-WeiXin-20241029 S0012,现代化城市,交通监控、资源管理,超级智能系统,华为技术,V1.0,华为官网,https://www.huawei.com,2024-10-11,
Tianjin-JinXing-20241030 S0013,精准营销推荐系统,电子商务,市场营销,市场营销,2023-09-01,阿里巴巴,北京大学,招募中,2023-09-05,待审,阿里巴巴网络,客户行为分析与数据推荐,阿里巴巴,Tianjin-JinXing-20241030 S0013,电子商务,客户推荐、商品推送,融合智能系统,阿里巴巴网络,V1.0,电商观察,https://www.ecommerceobserver.com,2024-10-11,
Shaanxi-HuaZhong-20241031 S0014,智能健康跟踪器,健康科技,可穿戴设备,可穿戴设备,2023-09-12,苹果公司,中国科学院,已完成,2023-09-17,合格,苹果科技,生理数据监测、数据分析,苹果公司,Shaanxi-HuaZhong-20241031 S0014,个人健康,健康监控、运动管理,精准智能系统,苹果科技,V1.0,科技日报,http://www.stdaily.com,2024-10-11,
Guangxi-ShengXing-20241101 S0015,设备故障预测系统,制造业,设备管理,设备管理,2023-09-20,西门子,华东理工大学,招募中,2023-09-25,待审,西门子科技,数据预测、设备状态监测,西门子,Guangxi-ShengXing-20241101 S0015,先进制造,设备维护、故障检测,狭义人工智能,西门子科技,V1.0,制造业网,https://www.manufacturing.com,2024-10-11,
Yunnan-ZhiHui-20241102 S0016,虚拟试衣系统,零售,客户体验,客户体验,2023-10-01,Zara,Fashion Institute,已完成,2023-10-05,合格,Zara科技,图像识别与模拟试穿,Zara,Yunnan-ZhiHui-20241102 S0016,电子商务,客户体验提升、视觉营销,广义人工智能,Zara科技,V1.0,时尚专栏,https://www.fashioncolumn.com,2024-10-11,
Fujian-SuShi-20241103 S0017,智能语言翻译系统,语言处理,翻译工具,翻译工具,2023-10-10,百度,北京语言大学,招募中,2023-10-15,待审,百度翻译,文本分析、语音识别,百度,Fujian-SuShi-20241103 S0017,语言服务,外语翻译、交流辅助,超级人工智能,百度翻译,V1.0,科学技术部,http://www.most.gov.cn,2024-10-11,
Hunan-JingZhi-20241104 S0018,智慧物流调度系统,物流与运输,物流管理,物流管理,2023-09-01,阿里巴巴,顺丰快递,招募中,2023-09-05,待审,阿里巴巴物流,智能调度、货物追踪,阿里巴巴,Hunan-JingZhi-20241104 S0018,物流,货物运输、配送优化,自适应人工智能,阿里巴巴物流,V1.0,TechCrunch,https://techcrunch.com/,2024-10-11,
Jilin-QingKe-20241105 S0019,养老智能监护系统,医疗健康,老年照护,老年照护,2023-08-15,华为,中国人民大学,已完成,2023-08-20,合格,华为医疗,健康监测、紧急呼叫系统,华为,Jilin-QingKe-20241105 S0019,养老,老年病、日常监护,认知人工智能,华为医疗,V1.0,人民网,http://www.people.com.cn/,2024-10-11,
Ningxia-JiZhi-20241106 S0020,智能语言翻译助手,语言处理,翻译工具,翻译工具,2023-02-10,百度,清华大学,招募中,2023-02-15,待审,百度翻译,语音识别、语义理解,百度,Ningxia-JiZhi-20241106 S0020,语言服务,多语言翻译、实时翻译,进化人工智能,百度翻译,V1.0,知乎,https://www.zhihu.com/,2024-10-11,
Sichuan-XinTian-20241020 S0002,金融智能客服系统,金融服务,客服支持,客服支持,2023-07-20,招商银行,北京大学,已完成,2023-07-25,合格,招商银行客服,自然语言处理、客户分析,招商银行,Sichuan-XinTian-20241020 S0002,金融,客户咨询、金融服务,通用人工智能,招商银行客服,V2.0,金融时报,http://www.financialtimes.com/,2024-10-11,
Guangdong-HuaWei-20241019 S0003,个性化健康管理系统,医疗健康,健康管理,健康管理,2023-10-05,腾讯,北京协和医院,招募中,2023-10-10,待审,腾讯医疗,健康评估、数据分析,腾讯,Guangdong-HuaWei-20241019 S0003,医疗健康,慢性病管理、生活方式干预,反思人工智能,腾讯医疗,V1.0,新华网,http://www.xinhuanet.com/,2024-10-11,
Zhejiang-BaiDu-20241021 S0004,智能制造监控系统,工业应用,工业设备,工业设备,2023-05-25,海尔,中科院,已完成,2023-06-01,合格,海尔工业,设备监控、故障预测,海尔,Zhejiang-BaiDu-20241021 S0004,生产制造,生产线监控、效率提升,合作人工智能,海尔工业,V1.0,制造业周刊,http://www.manufacturingweek.com/,2024-10-11,
Henan-JunJian-20241022 S0005,校园智能安防系统,安防监控,安全设备,安全设备,2023-11-05,中兴通讯,吉林大学,招募中,2023-11-10,待审,中兴安防,视频监控、入侵检测,中兴通讯,Henan-JunJian-20241022 S0005,安防,学校安全管理、威胁监测,复杂系统人工智能,中兴安防,V1.0,安防展览网,http://www.securityexpo.cn/,2024-10-11,
Shandong-ZuoZhe-20241023 S0006,智能环境监测系统,环保,环境监测,环境监测,2023-12-01,京东,中国科学院,已完成,2023-12-05,合格,京东环保,空气质量监测、水质监测,京东,Shandong-ZuoZhe-20241023 S0006,环境保护,城市空气污染监控,自适应人工智能系统,京东环保,V1.0,环保局,http://www.epa.gov.cn/,2024-10-11,
Hubei-YunXing-20241024 S0007,智能健身教练,健身科技,健身应用,健身应用,2023-09-15,Fitbit,北京体育大学,招募中,2023-09-20,待审,Fitbit智能,健康监测、个性化训练规划,Fitbit,Hubei-YunXing-20241024 S0007,健身,体重管理、健康改善,泛用人工智能系统,Fitbit智能,V1.0,健康时报,http://www.healthtimes.com/,2024-10-11,
Anhui-XingFu-20241025 S0008,AI病历审核系统,医疗健康,医疗软件,医疗软件,2023-07-01,阿里健康,华中科技大学,招募中,2023-07-05,待审,阿里健康科技,文档分析、数据安全,阿里健康,Anhui-XingFu-20241025 S0008,1,病历审核,超级智能系统,阿里健康科技,V1.1,HealthTech,https://www.healthtech.com,2024-10-11,
Jiangxi-QiXiang-20241026 S0009,智能健身教练,健康与健身,健身应用,健身应用,2023-08-15,FitTech,北京体育大学,招募中,2023-08-20,合格,FitTech科技,个性化训练、营养监督,FitTech,Jiangxi-QiXiang-20241026 S0009,2,体重管理,生成对抗智能系统,FitTech科技,V1.0,健康报记者,https://www.healthjournalist.com,2024-10-11,
Liaoning-YuanChuang-20241027 S0010,环境监测智能系统,环境科学,环境监控,环境监控,2023-09-01,中科院环境研究所,国家气象局,已完成,2023-09-05,待审,中科环境科技,数据采集、实时分析,中科院环境研究所,Liaoning-YuanChuang-20241027 S0010,3,空气质量监测,增强学习系统,中科环境科技,V1.0,Journal of Environmental Science,https://www.journalofenvironmentalscience.com,2024-10-11,
Beijing-ZhiNeng-20241028 S0011,智能供应链优化系统,商业管理,供应链软件,供应链软件,2023-10-10,阿里巴巴集团,清华大学,招募中,2023-10-15,合格,阿里巴巴科技,数据分析、需求预测,阿里巴巴集团,Beijing-ZhiNeng-20241028 S0011,4,库存管理,脑模拟人工智能系统,阿里巴巴科技,V2.0,Supply Chain Management Review,https://www.scmr.com,2024-10-11,
Shanghai-WeiXin-20241029 S0012,智慧城市管理系统,城市建设,城市管理软件,城市管理软件,2023-11-10,华为,北京城市规划设计研究院,待审,2023-11-15,合格,华为智慧城市,智能监控、资源优化配置,华为,Shanghai-WeiXin-20241029 S0012,5,城市交通管理,高级推理人工智能系统,华为智慧城市,V1.0,City Planning Review,https://www.cityplanningreview.com,2024-10-11,
Tianjin-JinXing-20241030 S0013,心理健康智能评估系统,心理健康,健康评估工具,健康评估工具,2023-12-05,心灵科技,南方医科大学,招募中,2023-12-10,待审,心灵科技有限公司,心理评估、数据分析,心灵科技,Tianjin-JinXing-20241030 S0013,1,心理健康,自主决策智能系统,心灵科技有限公司,V1.0,Psychology Today,https://www.psychologytoday.com,2024-10-11,
Shaanxi-HuaZhong-20241031 S0014,智能无障碍导航系统,无障碍服务,辅助技术,辅助技术,2024-01-01,微软,恩惠科技,招募中,2024-01-05,合格,微软无障碍,位置定位、语音导航,微软,Shaanxi-HuaZhong-20241031 S0014,6,无障碍出行,认知人工智能系统,微软无障碍,V1.0,TechCrunch,https://www.techcrunch.com,2024-10-11,
Guangxi-ShengXing-20241101 S0015,语言翻译智能助手,语言服务,翻译软件,翻译软件,2024-02-10,百度翻译,外语学院,招募中,2024-02-15,合格,百度翻译技术,文本识别、实时翻译,百度翻译,Guangxi-ShengXing-20241101 S0015,7,多语言翻译,自我进化智能系统,百度翻译技术,V1.0,Linguistic Society of America,https://www.linguisticsociety.org,2024-10-11,
Yunnan-ZhiHui-20241102 S0016,智能金融顾问,金融服务,顾客支持,顾客支持,2023-07-01,招商银行,复旦大学,招募中,2023-07-05,合格,招商金融,客户分析、个性化投资建议功能,招商银行,Yunnan-ZhiHui-20241102 S0016,2,投资咨询、风险评估,自适应人工智能系统,招商金融,V1.1,金融时报,https://www.ft.com/,2024-10-11,
Fujian-SuShi-20241103 S0017,能源预测系统,能源管理,智能系统,智能系统,2023-07-20,南方电网,清华大学,已完成,2023-07-25,合格,南方电网公司,能耗监测、负载预测和优化调度,南方电网,Fujian-SuShi-20241103 S0017,3,电力调度、负荷平衡,交互式人工智能系统,南方电网公司,V1.0,华尔街日报,https://www.wsj.com/,2024-10-11,
Hunan-JingZhi-20241104 S0018,智慧校园管理系统,教育行业,管理平台,管理平台,2023-08-15,北京教育局,阿里巴巴,招募中,2023-08-20,待审,北京教育局,在线课程、学生管理系统,北京教育局,Hunan-JingZhi-20241104 S0018,1,学业管理、在线学习,创造性人工智能系统,北京教育局,V2.0,教育部,http://www.moe.gov.cn/,2024-10-11,
Jilin-QingKe-20241105 S0019,智慧城市安防系统,公共安全,安全监控,安全监控,2023-09-01,海康威视,公安部,已完成,2023-09-05,合格,海康科技,视频监控、数据分析和异常报警,海康威视,Jilin-QingKe-20241105 S0019,4,城市安防、事件监控,一体化人工智能系统,海康科技,V3.1,新华网,http://www.xinhuanet.com/,2024-10-11,
Ningxia-JiZhi-20241106 S0020,智能法律助手,法律服务,法律顾问,法律顾问,2023-09-10,法律在线,复旦大学,招募中,2023-09-15,待审,法律在线科技,法条解析、案件预测,法律在线,Ningxia-JiZhi-20241106 S0020,5,法律咨询、合同审查,自主学习人工智能系统,法律在线科技,V1.0,法制日报,http://www.legaldaily.com.cn/,2024-10-11,
Sichuan-XinTian-20241020 S0002,农业数据分析平台,农业,数据分析,数据分析,2023-09-20,农业农村部,北大,已完成,2023-09-25,合格,农业数据中心,气候分析、作物收益预测,农业农村部,Sichuan-XinTian-20241020 S0002,3,农业生产、市场分析,认知人工智能系统,农业数据中心,V2.0,中国农业网,http://www.agri.gov.cn/,2024-10-11,
Guangdong-HuaWei-20241019 S0003,智慧医疗影像系统,医疗健康,医疗设备,医疗设备,2023-10-01,平安医院,中山大学,招募中,2023-10-05,待审,平安医疗,医学影像分析、病症识别,平安医院,Guangdong-HuaWei-20241019 S0003,2,影像分析、诊断支持,超级智能人工智能系统,平安医疗,V1.0,医学界,http://www.medlook.com/,2024-10-11,
Zhejiang-BaiDu-20241021 S0004,智能环境监测系统,环境管理,环境监测,环境监测,2023-10-10,环境保护部,中国科学院,已完成,2023-10-15,合格,环保科技,空气质量监测、污染预测,环境保护部,Zhejiang-BaiDu-20241021 S0004,4,生态监测、污染控制,泛化人工智能系统,环保科技,V1.0,生态环境部,http://www.mee.gov.cn/,2024-10-11,
Henan-JunJian-20241022 S0005,AI语言翻译助手,语言处理,翻译工具,翻译工具,2023-07-11,百度,华为,招募中,2023-07-15,待审,百度翻译,实时翻译、语音识别,百度,Henan-JunJian-20241022 S0005,语言处理,多语言翻译,机器学习系统,百度翻译,V1.0,Alibaba Cloud,https://www.alibabacloud.com/zh/solutions/ai,2024-10-11,
Shandong-ZuoZhe-20241023 S0006,智慧城市管理平台,城市管理,城市系统,城市系统,2023-06-08,阿里巴巴,腾讯,已完成,2023-06-14,合格,阿里巴巴城市科技,数据收集、分析与决策支持,阿里巴巴,Shandong-ZuoZhe-20241023 S0006,城市管理,交通优化、资源管理,深度学习系统,阿里巴巴城市科技,V1.0,TechCrunch,https://techcrunch.com/,2024-10-11,
Hubei-YunXing-20241024 S0007,智能舆情监测系统,社交媒体分析,数据分析,数据分析,2023-08-02,字节跳动,复旦大学,招募中,2023-08-07,待审,字节跳动分析,情感分析、趋势预测,字节跳动,Hubei-YunXing-20241024 S0007,社交媒体分析,品牌监测、危机管理,自主智能系统,字节跳动分析,V1.0,Reuters,https://www.reuters.com/,2024-10-11,
Anhui-XingFu-20241025 S0008,AI金融咨询助手,金融服务,财务管理,财务管理,2023-09-05,平安集团,上海交通大学,已完成,2023-09-10,合格,平安咨询,实时数据分析、智能财务建议,平安集团,Anhui-XingFu-20241025 S0008,金融服务,财务咨询、投资建议,认知智能系统,平安咨询,V2.0,FinTech Times,https://fintechtimes.com/,2024-10-11,
Jiangxi-QiXiang-20241026 S0009,智能药物研发平台,医疗健康,药物研究,药物研究,2023-10-01,辉瑞制药,北京大学,招募中,2023-10-05,待审,辉瑞研发,数据挖掘、药物筛选,辉瑞制药,Jiangxi-QiXiang-20241026 S0009,医疗健康,新药研发,泛用智能系统,辉瑞研发,V1.0,Nature,https://www.nature.com/,2024-10-11,
Liaoning-YuanChuang-20241027 S0010,AI环保监测系统,环境保护,环境监测,环境监测,2023-08-20,中科院,阿里巴巴,已完成,2023-08-25,合格,中科院环保,数据采集、分析与报告,中科院,Liaoning-YuanChuang-20241027 S0010,环境保护,污染监测,自适应智能系统,中科院环保,V1.0,Environmental Science & Technology,https://pubs.acs.org/journal/esthag,2024-10-11,
Beijing-ZhiNeng-20241028 S0011,智能社交推荐系统,社交媒体,用户推荐,用户推荐,2023-10-12,腾讯,清华大学,已完成,2023-10-15,合格,腾讯社交,用户行为分析、推荐算法,腾讯,Beijing-ZhiNeng-20241028 S0011,社交媒体,内容推荐,超级智能系统,腾讯社交,V1.0,Wired,https://www.wired.com/,2024-10-11,
Shanghai-WeiXin-20241029 S0012,虚拟现实培训系统,教育行业,培训工具,培训工具,2023-11-02,Meta,上海交通大学,招募中,2023-11-05,待审,Meta教育,模拟场景、实时反馈,Meta,Shanghai-WeiXin-20241029 S0012,教育行业,职业培训,自适应人工智能系统,Meta教育,V1.0,EdTech Magazine,https://edtechmagazine.com/,2024-10-11,
Tianjin-JinXing-20241030 S0013,智能健康监测系统,医疗健康,医疗设备,医疗设备,2023-07-01,阿里健康,华大基因,招募中,2023-07-05,合格,阿里健康科技,远程监测、数据分析和报告生成,阿里健康,Tianjin-JinXing-20241030 S0013,1,高血压、心脏病,生成对抗网络人工智能,阿里健康科技,V1.0,TechNode,https://technode.com/,2024-10-11,
Shaanxi-HuaZhong-20241031 S0014,智慧城市管理平台,城市管理,智能服务,智能服务,2023-08-10,腾讯云,城市规划局,已完成,2023-08-15,合格,腾讯云科技,数据采集、智能分析和综合管理,腾讯云,Shaanxi-HuaZhong-20241031 S0014,2,城市交通、环境监测,具身人工智能系统,腾讯云科技,V1.0,城市论坛,https://www.cityforum.com/,2024-10-11,
Guangxi-ShengXing-20241101 S0015,智能火灾监控系统,公共安全,安全设备,安全设备,2023-09-05,中建集团,安科瑞,招募中,2023-09-10,待审,中建安防科技,烟雾监测、自动报警和数据报告,中建集团,Guangxi-ShengXing-20241101 S0015,3,火灾预警、现场监控,语义理解人工智能,中建安防科技,V1.0,安全科学研究,https://www.safetyresearch.com/,2024-10-11,
Yunnan-ZhiHui-20241102 S0016,AI财务顾问,金融服务,理财服务,理财服务,2023-06-12,蚂蚁金服,复旦大学,已完成,2023-06-15,合格,蚂蚁科技,投资分析、财务规划和风险评估,蚂蚁金服,Yunnan-ZhiHui-20241102 S0016,4,个人理财、资产配置,知识增强人工智能,蚂蚁科技,V2.0,金融科技网站,https://www.fintechsite.com/,2024-10-11,
Fujian-SuShi-20241103 S0017,智能农业管理平台,农业,农业管理,农业管理,2023-07-12,京东物流,农科院,招募中,2023-07-15,待审,京东农业,数据收集、作物监测和分析,京东物流,Fujian-SuShi-20241103 S0017,1,作物产量优化、气候影响评估,自我优化人工智能,京东农业,V1.0,农业科技网,https://www.agritechnology.com/,2024-10-11,
Hunan-JingZhi-20241104 S0018,个性化学习分析系统,教育行业,教育工具,教育工具,2023-08-20,网易,华南师范大学,招募中,2023-08-25,合格,网易教育,学习路径规划、效果监测和反馈,网易,Hunan-JingZhi-20241104 S0018,5,在线教育、学习效率提升,蜂群智能系统,网易教育,V1.0,教育科技平台,https://www.edutechplatform.com/,2024-10-11,
Jilin-QingKe-20241105 S0019,智能社区服务系统,社区服务,智能管理,智能管理,2023-09-25,搜狐科技,北京师范大学,已完成,2023-09-30,合格,搜狐智能,居民服务、数据分析和智能通知,搜狐科技,Jilin-QingKe-20241105 S0019,6,社区管理、居民服务,脑机接口人工智能,搜狐智能,V1.0,社区网,https://www.communitynet.com/,2024-10-11,
Ningxia-JiZhi-20241106 S0020,智能心理健康助手,心理健康,治疗工具,治疗工具,2023-06-01,心灵科技,复旦大学附属医院,已完成,2023-06-05,合格,心灵科技集团,情绪分析、在线咨询和个案管理,心灵科技,Ningxia-JiZhi-20241106 S0020,7,焦虑、抑郁,超级认知人工智能,心灵科技集团,V1.0,心理健康网,https://www.mentalhealthlink.com/,2024-10-11,
Sichuan-XinTian-20241020 S0002,智能财务助手,金融服务,财务管理,财务管理,2023-07-25,字节跳动,阿里巴巴,招募中,2023-07-30,待审,字节财务,自动报表生成、预算管理,字节跳动,Sichuan-XinTian-20241020 S0002,金融服务,财务透明、预算监控,递归学习人工智能,字节财务,V1.0,China Business Network,https://edtechmagazine.com/,2024-10-11,
Guangdong-HuaWei-20241019 S0003,智能客服系统,服务业,客户服务,客户服务,2023-08-10,腾讯,华为,已完成,2023-08-15,合格,腾讯客服,自然语言处理、自动回复,腾讯,Guangdong-HuaWei-20241019 S0003,电子商务,客户支持、问题解决,窄人工智能系统,腾讯客服,V1.0,TechWeb,https://technode.com/,2024-10-11,
Zhejiang-BaiDu-20241021 S0004,智能制造系统,制造业,生产管理,生产管理,2023-09-05,海尔,中车,招募中,2023-09-10,合格,海尔制造,智能监控、预测性维护,海尔,Zhejiang-BaiDu-20241021 S0004,生产制造,生产效率、成本降低,通用人工智能系统,海尔制造,V2.0,Manufacturing.net,https://www.cityforum.com/,2024-10-11,
Henan-JunJian-20241022 S0005,智慧城市管理系统,城市管理,公共管理,公共管理,2023-09-20,阿里云,深圳市科技局,已完成,2023-09-25,合格,阿里云计算,智能感知、数据共享,阿里云,Henan-JunJian-20241022 S0005,城市管理,交通管理、安全监控,超越人工智能系统,阿里云计算,V1.0,China Urban Planning Association,https://www.safetyresearch.com/,2024-10-11,
Shandong-ZuoZhe-20241023 S0006,智能健康监测系统,医疗健康,远程医疗,远程医疗,2023-10-01,平安集团,复旦大学,招募中,2023-10-05,待审,平安健康,生理监测、数据分析,平安集团,Shandong-ZuoZhe-20241023 S0006,医疗健康,慢性病监测、健康评分,自我进化人工智能系统,平安健康,V1.0,MedTech Innovation News,https://www.fintechsite.com/,2024-10-11,
Hubei-YunXing-20241024 S0007,个性化广告推荐系统,广告营销,营销工具,营销工具,2023-10-10,百度,京东,招募中,2023-10-15,待审,百度广告,用户行为分析、内容推荐,百度,Hubei-YunXing-20241024 S0007,广告营销,广告个性化、客户获取,量子人工智能系统,百度广告,V1.0,Marketing AI Institute,https://www.agritechnology.com/,2024-10-11,
Anhui-XingFu-20241025 S0008,智能物流调度系统,物流运输,运输管理,运输管理,2023-10-20,顺丰速运,南方航空,已完成,2023-10-25,合格,顺丰物流,车辆调度、路径优化,顺丰速运,Anhui-XingFu-20241025 S0008,物流运输,配送效率、运送成本,脑机接口人工智能系统,顺丰物流,V1.0,Logistics Management,https://www.edutechplatform.com/,2024-10-11,
Jiangxi-QiXiang-20241026 S0009,智能教育评估系统,教育行业,课堂管理,课堂管理,2023-10-30,网易,复旦大学,招募中,2023-11-01,待审,网易教育,学生表现分析、个性化建议,网易,Jiangxi-QiXiang-20241026 S0009,教育行业,学习效果、资源分配,自适应人工智能系统,网易教育,V1.0,EdTech Magazine,https://www.communitynet.com/,2024-10-11,
Liaoning-YuanChuang-20241027 S0010,金融预测分析系统,金融服务,数据分析,数据分析,2023-07-10,摩根士丹利,清华大学,摩根士丹利金融科技,2023-07-15,待审,摩根士丹利金融科技,数据挖掘、预测建模,摩根士丹利,Liaoning-YuanChuang-20241027 S0010,2,投资组合管理,强化学习人工智能系统,摩根士丹利金融科技,V1.0,Financial Times,https://www.mentalhealthlink.com/,2024-10-11,
Beijing-ZhiNeng-20241028 S0011,智能制造生产调度系统,工业自动化,工业软件,工业软件,2023-08-05,阿里巴巴,华为,阿里巴巴技术,2023-08-10,合格,阿里巴巴技术,生产调度、效率优化,阿里巴巴,Beijing-ZhiNeng-20241028 S0011,3,生产流程优化,情感智能人工智能系统,阿里巴巴技术,V1.0,IndustryWeek,https://edtechmagazine.com/,2024-10-11,
Shanghai-WeiXin-20241029 S0012,语音翻译助手,语言处理,交互软件,交互软件,2023-09-10,百度,阿里云,百度翻译,2023-09-15,合格,百度翻译,实时语音识别、翻译引擎,百度,Shanghai-WeiXin-20241029 S0012,4,多语言交流,超并行人工智能系统,百度翻译,V2.0,TechCrunch,https://technode.com/,2024-10-11,
Tianjin-JinXing-20241030 S0013,智能城市管理系统,城市管理,城市平台,城市平台,2023-08-20,深圳市城市科技公司,华中科技大学,深圳科技,2023-08-25,合格,深圳科技,城市监控、数据分析,深圳市城市科技公司,Tianjin-JinXing-20241030 S0013,5,城市交通管理、环境监测,自适应人工智能系统,深圳科技,V1.0,Smart Cities Dive,https://www.cityforum.com/,2024-10-11,
Shaanxi-HuaZhong-20241031 S0014,个性化健康管理系统,医疗健康,健康管理,健康管理,2023-09-01,腾讯健康,复旦大学,腾讯医疗,2023-09-05,待审,腾讯医疗,健康监测、数据分析,腾讯健康,Shaanxi-HuaZhong-20241031 S0014,6,慢性疾病管理,认知人工智能系统,腾讯医疗,V1.0,健康界,https://www.safetyresearch.com/,2024-10-11,
Guangxi-ShengXing-20241101 S0015,智能法律咨询系统,法律服务,法律软件,法律软件,2023-09-15,法智科技,北京大学,法智法律,2023-09-20,合格,法智法律,法律文书生成、智能问答,法智科技,Guangxi-ShengXing-20241101 S0015,7,法律咨询与服务,通用人工智能系统,法智法律,V1.0,法律先锋,https://www.fintechsite.com/,2024-10-11,
Yunnan-ZhiHui-20241102 S0016,农业智能预测系统,农业,农业管理,农业管理,2023-10-01,农机集团,中国农业科学院,农机科技,2023-10-05,待审,农机科技,作物预测、气候分析,农机集团,Yunnan-ZhiHui-20241102 S0016,8,农业生产决策,超级智能系统,农机科技,V1.0,AgFunder Network Partners,https://www.agritechnology.com/,2024-10-11,
Fujian-SuShi-20241103 S0017,智能人力资源管理系统,人力资源,管理软件,管理软件,2023-10-10,猎云网,复旦大学,猎云科技,2023-10-15,合格,猎云科技,员工管理、绩效分析,猎云网,Fujian-SuShi-20241103 S0017,9,企业人力资源管理,创造性人工智能系统,猎云科技,V1.0,HR Tech Weekly,https://www.edutechplatform.com/,2024-10-11,
Hunan-JingZhi-20241104 S0018,智能客户服务平台,客服技术,服务平台,服务平台,2023-10-20,腾讯客服,浙江大学,腾讯服务,2023-10-25,待审,腾讯服务,聊天机器人、情感分析,腾讯客服,Hunan-JingZhi-20241104 S0018,10,客户服务自动化,进化人工智能系统,腾讯服务,V1.0,CustomerThink,https://www.communitynet.com/,2024-10-11,
Jilin-QingKe-20241105 S0019,智能城市管理系统,城市管理,城市基础设施,城市基础设施,2023-07-10,阿里巴巴,清华大学,招募中,2023-07-15,合格,阿里巴巴城市技术,包括交通监控、环境监测等,阿里巴巴,Jilin-QingKe-20241105 S0019,交通运输,智能停车、环境保护,生态智能系统,阿里巴巴城市技术,V1.0,TechCrunch,https://www.mentalhealthlink.com/,2024-10-11,
Ningxia-JiZhi-20241106 S0020,智能健康监控系统,医疗健康,远程医疗,远程医疗,2023-08-01,华为,复旦大学,已完成,2023-08-05,合格,华为健康科技,心率监测、数据分析,华为,Ningxia-JiZhi-20241106 S0020,医疗健康,心脏病、高血压,无监督学习人工智能系统,华为健康科技,V2.0,CNBC,https://edtechmagazine.com/,2024-10-11,
Sichuan-XinTian-20241020 S0002,自动化物流管理系统,物流与供应链,智能供应链,智能供应链,2023-09-12,京东,上海交通大学,招募中,2023-09-17,待审,京东科技,智能调度、仓储管理,京东,Sichuan-XinTian-20241020 S0002,物流与供应链,包裹追踪、库存管理,神经网络驱动的人工智能系统,京东科技,V1.0,Forbes,https://technode.com/,2024-10-11,
Guangdong-HuaWei-20241019 S0003,智能法务助手,法律服务,法律科技,法律科技,2023-10-05,中智法律科技,北京大学,已完成,2023-10-10,合格,中智法律科技,合约分析、法律咨询,中智法律,Guangdong-HuaWei-20241019 S0003,法律服务,合约审查、法律调解,高维智能系统,中智法律科技,V1.0,法律日报,https://www.cityforum.com/,2024-10-11,
Zhejiang-BaiDu-20241021 S0004,智能个性化广告系统,市场营销,广告技术,广告技术,2023-07-20,字节跳动,武汉大学,招募中,2023-07-25,待审,字节广告科技,用户数据分析、广告投放,字节跳动,Zhejiang-BaiDu-20241021 S0004,电子商务,个性化推荐、广告优化,自适应人工智能系统,字节广告科技,V1.0,Fast Company,https://www.safetyresearch.com/,2024-10-11,
Henan-JunJian-20241022 S0005,智能翻译助手,语言服务,翻译工具,翻译工具,2023-09-22,腾讯,北京外国语大学,已完成,2023-09-27,合格,腾讯翻译,自然语言处理、文本理解,腾讯,Henan-JunJian-20241022 S0005,语言服务,文本翻译、语音识别,预测性人工智能系统,腾讯翻译,V1.0,Wired,https://www.fintechsite.com/,2024-10-11,
Shandong-ZuoZhe-20241023 S0006,智能证券交易系统,金融服务,交易技术,交易技术,2023-08-15,招商证券,复旦大学,招募中,2023-08-20,待审,招商证券科技,交易算法、数据分析,招商证券,Shandong-ZuoZhe-20241023 S0006,金融服务,市场分析、高频交易,生成对抗人工智能系统,招商证券科技,V1.0,Reuters,https://www.agritechnology.com/,2024-10-11,
Hubei-YunXing-20241024 S0007,自动化客户服务系统,客服服务,客户关系管理,客户关系管理,2023-06-30,美团,清华大学,已完成,2023-07-05,合格,美团创新服务,智能问答、客户体验推荐,美团,Hubei-YunXing-20241024 S0007,客服服务,客户咨询、服务推荐,领域特定人工智能系统,美团创新服务,V1.0,Business Insider,https://www.edutechplatform.com/,2024-10-11,
Anhui-XingFu-20241025 S0008,智能农田管理系统,农业,农业监控,农业监控,2023-10-01,京东农场,中国农业大学,招募中,2023-10-05,待审,京东农业科技,土壤分析、施肥优化,京东农场,Anhui-XingFu-20241025 S0008,农业,作物生长监控,通用人工智能系统,京东农业科技,V1.0,Modern Farmer,https://www.communitynet.com/,2024-10-11,
