人工智能系统名称（字符型）,人工智能系统类型（字符型）,作用类型（字符型）,适应群体（字符型）,规格大小（字符型）,全球最高研究状态（字符型）,建设目标（字符型）,建设内容（字符型）,重点发展领域（字符型）,合作结构（字符型）,所属产业类别（字符型）,其他研发单位（字符型）,人工智能系统概述（字符型）,采集来源,来源链接,采集时间,备注,,,
个性化学习系统,自适应学习、数据分析,学校与教育科技公司合作,学生,Coursera、腾讯课堂,已商用,提高学习效果，降低教育成本,个性化学习路径推荐,在线教育,学校与教育科技公司合作,教育,Coursera、腾讯课堂,个性化学习系统利用AI分析学生数据，提供量身定制的学习方案。,教育观察,https://www.educationobserver.com/,2024-10-17,,,,
智能安全监控系统,图像识别、视频分析,公共安全与安保公司合作,城市管理,海康威视、科大讯飞,在研,增强公共安全,智能化监控、实时事件识别,公共安全,公共安全与安保公司合作,安全科技,海康威视、科大讯飞,智能安全监控系统通过AI进行视频分析，提高城市安全管理能力。,安全科技论坛,https://www.securitytechforum.com/,2024-10-17,,,,
语音翻译助手,自然语言处理、语音识别,跨国交流与协作,国际商务用户,小型,已商用,促进跨语言沟通,实时语音翻译功能,语言服务,翻译公司与科技公司合作,信息技术,Google、百度,语音翻译助手利用AI进行实时语音翻译，消除语言障碍。,翻译技术网,https://www.translationtech.com/,2024-10-17,,,,
智能城市管理系统,数据集成、机器学习,政府与科技公司合作,市政管理,IBM、阿里云,在研,提升城市管理效率,数据分析与实时监测,城市发展,政府与科技公司合作,城市管理,IBM、阿里云,智能城市管理系统运用AI对城市数据进行集成与分析，提高管理效率。,智能城市新闻,https://www.smartcitynews.com/,2024-10-17,,,,
情感计算平台,情感分析、深度学习,企业与心理健康机构合作,心理健康用户,大型,在研,提高心理健康评估精确度,用户情感状态分析,心理健康,企业与心理健康机构合作,心理健康,微软、华为,情感计算平台利用AI分析用户情感，辅助心理健康评估与干预。,心理学前沿,https://www.frontiersinpsychology.com/,2024-10-17,,,,
虚拟试衣系统,计算机视觉、增强现实,零售商与服装品牌合作,消费者,中型,已商用,提升购物体验,虚拟试衣与搭配建议,零售与电商,零售商与服装品牌合作,零售,Zalando、淘宝,虚拟试衣系统通过AI技术让消费者在网上试穿服装，提升购物体验。,电商观察,https://www.ecommerceobserver.com/,2024-10-17,,,,
语言学习助手,自然语言处理、学习算法,教育机构与语言培训公司合作,语言学习者,小型,在研,提高语言学习效率,个性化学习与反馈,语言教育,教育机构与语言培训公司合作,教育,Duolingo、VIPKID,语言学习助手帮助学习者实现个性化学习路径和实时反馈，提高学习效果。,语言学习研究所,https://www.languagelearninginstitute.com/,2024-10-17,,,,
智能健身教练,运动生物识别、个性化推荐,健身房与科技公司合作,健身爱好者,中型,已商用,提升健身效果与用户粘性,智能健身计划与反馈,健身科技,健身房与科技公司合作,体育与健康,Nike、Peloton,智能健身教练通过AI分析用户数据，提供个性化的健身方案与指导。,健康科技网,https://www.healthtech.com/,2024-10-17,,,,
AI金融分析系统,数据分析、机器学习,投资公司与银行合作,金融服务,摩根士丹利、汇丰银行,已商用,提高投资决策的准确性,利用AI数据分析市场趋势,金融科技,投资公司与银行合作,金融服务,摩根士丹利、汇丰银行,AI金融分析系统通过数据分析和机器学习帮助投资公司进行市场趋势分析和决策支持。,金融时报,https://www.ft.com,2024-10-17,,,,
智能教育辅助系统,个性化学习、自然语言处理,学校与科技公司合作,学生与教师,Coursera、清华大学,在研,提升学习效果,根据学生情况提供个性化学习资源,教育技术,学校与科技公司合作,教育,Coursera、清华大学,智能教育辅助系统利用AI分析学生学习情况，提供个性化学习建议，提升学习效果。,教育部,http://www.moe.gov.cn,2024-10-17,,,,
个性化推荐系统,机器学习、数据挖掘,电商企业内部使用,在线购物用户,阿里巴巴、京东,已商用,提高购货转化率,分析用户行为，提供个性化商品推荐,电商,电商企业内部使用,零售,阿里巴巴、京东,个性化推荐系统通过分析用户行为数据，利用机器学习提高在线购物转化率。,电子商务观察网,http://www.ecommerceobservers.com,2024-10-17,,,,
智能废弃物管理系统,数据分析、物联网,城市管理与企业合作,城市居民,Cisco、IBM,在研,提高废弃物回收率,实时监控废物处理过程,环境管理,城市管理与企业合作,环境保护,Cisco、IBM,智能废弃物管理系统利用物联网技术实时监控各类废弃物的处理过程，提高废弃物回收率。,环境部,http://www.mee.gov.cn,2024-10-17,,,,
AI农作物监控系统,计算机视觉、数据分析,农业企业内部使用,农民和农业工作者,小型合作社、科技公司,在研,提高农作物产量,利用图像识别监控作物生长情况,农业,农业企业内部使用,农业,小型合作社、科技公司,AI农作物监控系统通过图像识别技术监测农作物生长情况，帮助农业提高产量。,农业技术网,http://www.agritechnology.com,2024-10-17,,,,
智能翻译助手,自然语言处理、机器学习,企业与国际组织合作,商贸及外交人士,中型,已商用,提高语言沟通效率,提供多语言即时翻译服务,语言服务,企业与国际组织合作,信息技术,Google、IBM,智能翻译助手通过高效的自然语言处理技术，提供多语言的即时翻译服务，提升国际沟通效率。,科技日报,http://www.stdaily.com,2024-10-17,,,,
健康监测系统,生物信息学、数据分析,医院与科技公司合作,患者,大型医院,在研,提高疾病预防率,实时监测患者健康指标,医疗健康,医院与科技公司合作,医疗健康,华大基因、医科院,健康监测系统通过实时监测技术，跟踪患者健康指标，提高疾病预防率。,医学杂志,http://www.medicaljournal.com,2024-10-17,,,,
AI音乐创作平台,生成艺术、深度学习,音乐创作与制作,音乐人和爱好者,中型,在研,提升音乐创作灵感,基于AI生成音乐曲调,艺术与娱乐,独立艺术家与平台合作,娱乐,Amper Music、OpenAI,AI音乐创作平台利用深度学习技术，帮助用户生成多样化的音乐曲调，提升创作灵感。,音乐科技网,http://www.musictechnology.com,2024-10-17,,,,
智能气候监测系统,数据分析、物联网,城市管理与科研机构合作,政府与公众,联合国气候变化组织,在研,改善环境监测,实时监测气候变化数据,环境保护,城市管理与科研机构合作,环境保护,联合国、WWF,智能气候监测系统通过物联网技术和数据分析实时监测气候变化，帮助政府做出环境管理决策。,联合国环境署,http://www.unep.org,2024-10-17,,,,
农业智能监测系统,环境监测、数据分析,农业企业与科技公司合作,农民与农业管理者,北京大学、华南农业大学,在研,提高农作物产量与资源利用效率,利用AI监测土壤健康与气候条件,智能农业,农业企业与科技公司合作,农业,北京大学、华南农业大学,农业智能监测系统利用AI技术对环境因素进行实时监测，增强农业生产力。,农民日报,https://www.nmrb.cn,2024-10-17,,,,
智能金融顾问,机器学习、数据分析,金融机构与研究院合作,个人投资者,大型,在研,提高投资决策的智能化,应用AI预测市场趋势与个性化投资建议,金融服务,金融机构与研究院合作,金融,摩根大通、哈佛大学,智能金融顾问通过AI提供个性化投资建议，帮助用户优化投资决策。,彭博社,https://www.bloomberg.com/,2024-10-17,,,,
智能语音翻译系统,自然语言处理、语音识别,国际企业与高校合作,全球用户,大型,在研,实现实时多语言翻译,提供多语言即时语音翻译服务,通信与语言服务,国际企业与高校合作,信息技术,微软、清华大学,智能语音翻译系统利用AI实现实时多语言翻译，便利全球交流。,科技日报,http://www.stdaily.com/,2024-10-17,,,,
智能安防系统,图像识别、视频分析,安防公司与政府合作,公共安全管理,中型,在研,提升公共安全监控能力,利用AI技术监控公共场所活动,公共安全,安防公司与政府合作,安防,海康威视、深圳大学,智能安防系统通过AI进行监控，帮助提高公共安全管理与响应能力。,安防网,http://www.safetoday.cn/,2024-10-17,,,,
个性化学习平台,教育科技、个性化推荐,教育机构与科技公司合作,学生,中型,已商用,提升学习效果与效率,根据学生学习进度提供个性化学习资源,教育,教育机构与科技公司合作,教育,Coursera、清华大学,个性化学习平台通过AI算法根据学生情况提供推荐学习资源，提升学习效果。,教育部,http://www.moe.gov.cn/,2024-10-17,,,,
情感分析系统,自然语言处理、情感识别,企业分析与市场研究,企业客户,中型,在研,理解消费者情感与需求,分析客户反馈与市场趋势,市场研究,企业分析与市场研究单位合作,商业智能,NLP Lab、中科院,情感分析系统通过AI技术分析客户情感，帮助企业理解消费者需求。,千鸢网,http://www.qianquandata.com/,2024-10-17,,,,
虚拟健康助手,健康数据分析、智能助理,医院与科技公司合作,患者,大型,在研,提升患者管理与健康监测,提供疾病预警与健康建议,医疗健康,医院与科技公司合作,医疗,未来医疗科技、复旦大学,虚拟健康助手应用AI监测患者健康状况，提前预警潜在健康问题。,医药经济报,http://www.yaozheng.com/,2024-10-17,,,,
智能能源管理系统,能源监控、数据分析,能源公司与科研机构合作,企业与家庭用户,大型,已商用,优化能源使用与节约成本,通过AI优化能源分配与使用,能源,能源公司与科研机构合作,能源,国家电网、清华大学,智能能源管理系统通过AI分析能源使用数据，帮助用户优化能源成本。,中国电力网,http://www.sgcc.com.cn/,2024-10-17,,,,
智能城市管理系统,城市规划、数据分析,政府与科技公司合作,城市管理者,大型,在研,提升城市管理效率与智能,数据驱动的城市管理和决策支持,城建,政府与科技公司合作,城市建设,阿里云、东南大学,智能城市管理系统利用AI技术为城市管理提供决策支持与效率优化。,城市规划网,http://www.urbancn.com/,2024-10-17,,,,
智能农业系统,农作物监测、数据分析,农民与科技公司合作,农业生产,加州大学、农田科技,在研,提高农作物产量和质量,通过AI监测土壤和作物健康,农业,农民与科技公司合作,农业,加州大学、农田科技,智能农业系统利用AI技术监测土壤质量和作物健康，提高产量和质量。,农业科技网,https://www.agritech.com,2024-10-17,,,,
语言翻译助手,自然语言处理、机器翻译,国际合作机构,跨国企业,大型,已商用,促进沟通与理解,实时翻译与翻译建议,信息技术,科技公司开发,信息技术,谷歌、微软,语言翻译助手提供实时语言翻译，支持多种语言，促进跨国商业沟通。,TechCrunch,https://techcrunch.com,2024-10-17,,,,
智慧城市管理系统,大数据分析、城市规划,地方政府,城市居民,国际城市发展组织,在研,改善城市生活质量,利用AI分析城市数据,城市管理,政府与企业合作,智慧城市,麻省理工学院,智慧城市管理系统通过AI技术分析城市数据，优化交通、能耗和公共服务。,城市观察网,https://www.cityobserver.com,2024-10-17,,,,
智能金融风控系统,大数据分析、行为识别,金融机构,贷款申请人,阿里巴巴、平安科技,在研,降低金融欺诈风险,AI实时监控和分析用户行为,金融科技,金融机构与科技公司合作,金融科技,华为、阿里巴巴,智能金融风控系统通过AI分析用户行为以降低欺诈风险，提升贷款审批效率。,金融时报,https://www.financialtimes.com,2024-10-17,,,,
个性化学习助手,教育科技、个性化推荐,教育机构与学生,学生,世界线上教育平台,已商用,提高学习效果,分析学生学习习惯提供个性化课程,教育,教育机构与科技平台合作,教育,Coursera、edX,个性化学习助手通过AI分析学生需求，提供定制化学习材料，提升学习效果。,教育技术网,https://www.edtech.com,2024-10-17,,,,
智能合约审核系统,区块链技术、法律合规,法律事务所,企业与律师,中型,在研,提高合同审核效率,AI审查与审核智能合约,法律科技,律师事务所与技术公司合作,法律科技,区块链研究所、市场分析公司,智能合约审核系统利用AI技术自动审核合同，吃糠合规风险，提升效率。,Law Technology Today,https://www.lawtechtoday.com,2024-10-17,,,,
环境监测AI系统,数据分析、气候研究,环保组织与政府,环境保护,国际环保组织,在研,降低环境污染,AI实时监测环境数据,环境科学,环保机构与政府合作,环境科学,清华大学、国际环保组织,环境监测AI系统通过AI技术实时分析环境数据，帮助减少污染，提升环境质量。,环境科学论坛,https://www.environmentalscienceforum.com,2024-10-17,,,,
情感分析营销系统,数据分析、市场营销,企业营销部门,消费者,中型,已商用,提升品牌形象,AI分可分析消费者反馈,市场营销,企业内部合作,市场营销,阿里云、百度,情感分析营销系统通过AI技术分析消费者反馈和趋势，提升企业品牌形象与客户满意度。,营销智库,https://www.marketinginsights.com,2024-10-17,,,,
智能健身教练,健康科技、个性化推荐,健身应用开发者,健身爱好者,大型,在研,提高运动效果与安全性,分析用户运动数据，提供锻炼建议,健康科技,开发者与健身品牌合作,健康科技,Fitbit、Nike,智能健身教练通过AI分析用户数据，提供个性化的健身指导与安全建议。,健康科技新闻,https://www.healthtechnews.com,2024-10-17,,,,
智慧医疗助手,健康管理、个性化医疗,医疗机构与科技企业合作,患者与医生,清华大学、阿里健康,在研,提升个性化医疗服务,利用AI进行健康数据分析,医疗健康,医疗机构与科技企业合作,医疗健康,清华大学、阿里健康,智慧医疗助手通过AI分析患者健康数据，提供个性化医疗建议。,医疗科技网,https://www.medicaltech.com,2024-10-17,,,,
农田智能监测系统,环境监测、数据分析,农业企业与科研机构合作,农民与农业企业,中型,在研,提高作物产量与质量,实时监测土壤与气候条件,农业,农业企业与科研机构合作,农业,中国农业科学院、华为,农田智能监测系统利用AI分析气候与土壤数据，优化农作物管理。,现代农业新闻网,https://www.modernagriculture.com,2024-10-17,,,,
智能城市管理平台,数据分析、城市管理,政府与技术公司合作,城市管理者与居民,大型,在研,提升城市治理效率,整合城市数据进行智能决策,城市管理,政府与技术公司合作,公共管理,清华大学、阿里巴巴,智能城市管理平台通过AI分析城市各部门数据，提升治理能力。,城市科技论坛,https://www.citytechforum.com,2024-10-17,,,,
智能金融风控系统,风险管理、数据分析,金融机构与技术合作,银行与投资公司,大型,在研,降低金融风险,使用AI监控交易行为,金融,金融机构与技术公司合作,金融服务,招商银行、腾讯,智能金融风控系统通过实时监测交易数据，识别潜在风险。,金融科技网,https://www.fintech.com,2024-10-17,,,,
教育智能辅导系统,个性化学习、数据分析,学校与培训机构合作,学生,中型,在研,提升学习效果与兴趣,分析学生学习习惯与成绩,教育,学校与教育科技公司合作,教育,北京师范大学、好未来,教育智能辅导系统通过AI分析学生学习数据，提供定制化学习方案。,教育信息化网,https://www.eduinfo.com,2024-10-17,,,,
无人机物流运输系统,无人机技术、物流管理,物流公司与无人机制造商合作,消费者与企业,大型,在研,提高物流运输效率,使用无人机进行快递配送,物流与运输,物流公司与无人机制造商合作,物流,顺丰快递、DJI,无人机物流运输系统通过AI优化配送路线，提高快递效率和准确性。,物流科技网,https://www.logisticstech.com,2024-10-17,,,,
社交媒体情感分析系统,自然语言处理、舆情分析,企业与研究机构合作,营销与公关团队,中型,已商用,优化品牌舆论管理,监测社交平台用户情感,市场营销,企业与研究机构合作,市场营销,腾讯、阿里巴巴,社交媒体情感分析系统利用AI分析用户在社交网络上的情感变化，帮助企业制定公关策略。,品牌观察网,https://www.brandwatch.com,2024-10-17,,,,
虚拟现实教育平台,虚拟现实、在线学习,教育机构与科技公司合作,学生与教师,中型,在研,提升个性化学习体验,提供虚拟现实学习环境,教育,教育机构与科技公司合作,教育,北京大学、百度,虚拟现实教育平台通过沉浸式学习环境提升学生学习体验与参与感。,在线教育研究网,https://www.onlineeducation.com,2024-10-17,,,,
智能广告投放系统,数据分析、广告技术,市场营销与广告公司合作,广告商与企业用户,大型,已商用,提高广告投放准确性,实时分析用户行为与偏好,市场营销,广告公司与技术公司合作,广告,字节跳动、腾讯,智能广告投放系统通过AI分析用户数据，优化广告投放效果。,广告观察网,https://www.adwatch.com,2024-10-17,,,,
智能农业系统,精准农业、数据分析,农业公司与科研单位合作,农民与农业企业,中国农业大学、普林斯顿大学,在研,优化作物产量与资源使用,利用AI技术进行作物监测与管理,农业,农业公司与科研单位合作,农业,中国农业大学、普林斯顿大学,智能农业系统利用AI进行作物监测，提高农作物产量和资源使用效率。,中国科技网,http://www.cninfo.com.cn/,2024-10-17,,,,
智能垃圾分类系统,计算机视觉、机器学习,城市管理与环保组织合作,市民,市级,在研,提升垃圾分类效率与准确性,利用AI识别垃圾种类并分类,环保,城市管理与环保组织合作,环保,清华大学、阿里巴巴,智能垃圾分类系统通过AI技术快速识别垃圾，实现准确分类，促进环保。,网易科技,https://tech.163.com/,2024-10-17,,,,
情感分析助手,自然语言处理、情感计算,企业与市场研究机构合作,市场营销专业人员,中型,已商用,洞察消费者情感与需求,通过分析社交媒体数据提供情感洞察,市场营销,企业与市场研究机构合作,市场研究,Facebook、百度,情感分析助手利用AI分析社交媒体数据，测量品牌情感并支持市场决策。,市场研究协会,http://www.mra.org/,2024-10-17,,,,
智能能源管理系统,能源优化、预测分析,企业与能源公司合作,商业建筑,大型,在研,优化能源使用与降低成本,基于AI进行能耗预测与管理,能源,企业与能源公司合作,能源管理,麻省理工学院、施耐德电气,智能能源管理系统通过AI优化商业建筑的能耗，降低成本与环境影响。,能源信息局,https://www.eia.gov/,2024-10-17,,,,
城市智能监控系统,计算机视觉、数据分析,政府与安防公司合作,城市居民,城市级,在研,提升城市安全与管理效率,利用AI进行城市公共区域监控,安防,政府与安防公司合作,公共安全,华为、清华大学,城市智能监控系统利用AI监控公共场所，提升安全性并帮助管理。,人民日报,http://www.people.com.cn/,2024-10-17,,,,
智慧健康管理系统,健康监测、数据分析,医院与健康科技公司合作,患者与医疗工作者,大型,在研,提升健康管理和监测效率,利用AI进行健康数据收集与分析,医疗健康,医院与健康科技公司合作,健康管理,戴维医疗、哈佛大学,智慧健康管理系统通过AI技术提升健康监测与管理能力，实现个性化健康服务。,医学论坛网,http://www.cmtforum.com/,2024-10-17,,,,
智慧金融系统,机器学习、风险评估,银行与科技公司合作,金融从业者,大型,已商用,提升金融服务效率与安全性,利用AI进行信用评估与风险管理,金融服务,银行与科技公司合作,金融,摩根大通、阿里巴巴,智慧金融系统通过AI技术优化信用评估流程，提高金融服务的安全性与效率。,金融时报,https://www.ft.com/,2024-10-17,,,,
智能水管理系统,环境监测、数据分析,政府与水务公司合作,居民与农业用户,城市级,在研,提升水资源管理效率,基于AI的水质监测与管理系统,水资源管理,政府与水务公司合作,水利,清华大学、国家水利部,智能水管理系统通过AI监控水质，实现高效的水资源管理与使用。,水利部官网,http://www.mwr.gov.cn/,2024-10-17,,,,
智能旅游推荐系统,推荐系统、数据分析,旅游公司与科技合作,旅游者,中型,在研,提供个性化旅游推荐,根据用户喜好进行智能旅游推荐,旅游,旅游公司与科技合作,旅游服务,携程网、百度,智能旅游推荐系统利用AI分析用户数据，提供个性化的旅游推荐服务。,旅游网,http://www.travel.cn/,2024-10-17,,,,
智能农业系统,农业监控、数据分析,农场与科技公司合作,农业生产者,农业部、国际农业研究中心,已商用,提高作物产量与资源利用效率,利用AI技术优化农作物种植,农业科技,农场与科技公司合作,农业,农业部、国际农业研究中心,智能农业系统利用AI优化作物种植，提升农作物产量与资源管理效率。,Modern Agriculture,https://www.modernagriculture.com,2024-10-17,,,,
城市安全监控系统,视频分析、人脸识别,政府与安防公司合作,城市居民,华为、海康威视,已商用,确保城市安全，减少犯罪率,全国范围内安装监控摄像头与AI分析,城市安全,政府与安防公司合作,安全监控,华为、海康威视,城市安全监控系统通过AI分析视频数据，达到减少犯罪和提高响应速度的目标。,China Security Industry,https://www.csic.com.cn/,2024-10-17,,,,
语言学习助手,自然语言处理、语音识别,教育机构与科技公司合作,学生与语言学习者,Duolingo、腾讯教育,在研,提升语言学习效率与体验,提供个性化的语言学习课程与评估,教育科技,教育机构与科技公司合作,教育,Duolingo、腾讯教育,语言学习助手通过AI提供个性化语言学习平台，帮助用户提高语言能力。,EdTech Review,https://edtechreview.in/,2024-10-17,,,,
智能金融系统,风险评估、自动化交易,银行与金融科技公司合作,金融投资者,摩根大通、财新科技,已商用,提高投资效率与降低风险,利用AI进行市场分析与风险评估,金融科技,银行与金融科技公司合作,金融,摩根大通、财新科技,智能金融系统通过AI技术进行市场预测与风险评估，帮助投资者做出信息化决策。,Finance News,https://www.finanzen.net/,2024-10-17,,,,
智能环境监测系统,环境监测、数据分析,政府与环保组织合作,社区与环保爱好者,世界自然基金会、蓝天白云,在研,优化空气质量监测与管理,收集与分析环境数据，提供改善建议,环境保护,政府与环保组织合作,环保,世界自然基金会、蓝天白云,智能环境监测系统利用AI分析环境数据，制定改善措施以保护自然环境。,Environmental Science Journal,https://www.environmentalsciencejournal.com/,2024-10-17,,,,
情感分析系统,情感识别、数据分析,市场调研公司合作,企业市场部门,Statista、艾瑞咨询,已商用,提升市场策略的有效性,利用社交媒体数据分析情感趋势,市场营销,市场调研公司合作,市场调研,Statista、艾瑞咨询,情感分析系统通过AI分析用户反馈，帮助企业了解市场需求与消费者情感。,Marketing Insights,https://www.marketinginsights.com/,2024-10-17,,,,
智能音乐推荐系统,用户偏好分析、推荐引擎,音乐平台内部研发,音乐爱好者,Spotify、网易云音乐,已商用,提供个性化音乐推荐,分析用户听歌习惯与偏好,音乐科技,音乐平台内部研发,音乐产业,Spotify、网易云音乐,智能音乐推荐系统利用AI分析用户偏好，为他们提供个性化音乐推荐服务。,TechCrunch,https://techcrunch.com/,2024-10-17,,,,
智能化能源管理系统,能源监测、数据分析,企业与能源公司合作,大型企业,壳牌、国家电网,在研,优化能源使用效率,利用AI监测与分析能源使用情况,能源管理,企业与能源公司合作,能源,壳牌、国家电网,智能化能源管理系统通过AI技术监测能源使用，制定节能方案，提升能源效率。,Energy Management Journal,https://www.energymanagementjournal.com/,2024-10-17,,,,
虚拟助手系统,语音助手、自然语言处理,个人用户,所有年龄段,Amazon、百度,已商用,提升日常生活便利性,提供智能响应与信息检索功能,家庭助手,科技公司与用户,科技,Amazon、百度,虚拟助手系统为用户提供智能响应，能够处理多项日常任务，如设定闹钟和查找信息。,TechRadar,https://www.techradar.com/,2024-10-17,,,,
智能农业监控系统,图像识别、数据分析,农业合作社与科技公司合作,农业生产,全球农业联盟、清华大学,在研,提高作物产量与管理效率,利用AI技术进行农业监控与分析,智能农业,农业合作社与科技公司合作,农业,全球农业联盟、清华大学,智能农业监控系统通过视觉识别和数据分析来监控作物生长状况，提加强管理效率。,中国农业科学院,http://caas.cn/,2024-10-17,,,,
工业设备预测维护系统,机器学习、数据分析,制造企业与技术服务公司合作,制造业,西门子、GE,已商用,降低设备故障率，提高设备使用效率,使用AI技术进行设备状态预测与维护,工业自动化,制造企业与技术服务公司合作,制造业,西门子、GE,工业设备预测维护系统通过机器学习预测设备故障，降低停机时间，提高生产效率。,制造业创新网,http://www.manufacturinginnovation.com/,2024-10-17,,,,
个性化电子学习平台,自然语言处理、推荐系统,教育机构与科技企业合作,学生与教师,Coursera、腾讯教育,在研,提高学习体验与效果,利用AI技术进行个性化学习内容推荐,教育技术,教育机构与科技企业合作,教育,Coursera、腾讯教育,个性化电子学习平台通过AI推荐系统为学生提供量身定制的学习内容，提高学习效率。,教育技术国际论坛,http://www.edtechforum.org/,2024-10-17,,,,
情感计算社交机器人,情感计算、对话系统,社交服务与人机互动,普通公众,SoftBank Robotics、阿里巴巴,在研,提升社交互动体验,利用AI技术理解用户情绪,社会服务,科技公司与研究机构合作,人工智能,SoftBank Robotics、阿里巴巴,情感计算社交机器人通过情感识别技术提升人机互动体验，为用户提供情感支持。,未来科技杂志,http://www.futuretechmagazine.com/,2024-10-17,,,,
智能金融投资顾问,数据分析、金融技术,金融机构与投资公司合作,投资者,摩根大通、平安集团,在研,提高投资决策效率,提供基于AI的投资建议与分析,金融科技,金融机构与投资公司合作,金融,摩根大通、平安集团,智能金融投资顾问利用数据分析技术，为投资者提供科学的投资建议，优化投资组合。,金融科技评论,http://www.fintechreview.com/,2024-10-17,,,,
语言翻译智能助手,自然语言处理、机器翻译,商务与旅行,国际旅客与商业人士,Google、科大讯飞,已商用,提高语言交流的便利性,实时语言翻译应用,语言服务,科技公司与语言服务机构合作,信息技术,Google、科大讯飞,语言翻译智能助手通过高效的机器翻译技术，帮助用户实现实时、顺畅的跨语言交流。,TechCrunch,http://www.techcrunch.com/,2024-10-17,,,,
城市环境监测系统,数据分析、物联网,政府与环境机构合作,城市居民,城市管理局、环保组织,在研,提高城市环境质量,通过AI分析监测城市污染数据,环境保护,政府与环保机构合作,环境,城市管理局、环保组织,城市环境监测系统通过分析监测数据，及时掌握城市环境质量，改善居民生活环境。,生态环境部,http://www.mee.gov.cn/,2024-10-17,,,,
智能监控安防系统,人脸识别、视频分析,安全公司与政府合作,公共安全,大华科技、海康威视,已商用,提高公共安全水平,整合AI进行实时监控与报警,公共安全,安全公司与政府合作,安全,大华科技、海康威视,智能监控安防系统利用人脸识别技术和视频分析，提升公共场所的安全监控和应对能力。,公安部,http://www.mps.gov.cn/,2024-10-17,,,,
智能炼油系统,数据预测、优化算法,能源企业与技术咨询公司合作,石油炼制,壳牌、埃克森美孚,在研,提高炼油效率与降低能源消耗,运用AI技术优化炼油过程,能源,能源公司与技术咨询公司合作,能源,壳牌、埃克森美孚,智能炼油系统通过数据分析与优化算法，实现炼油过程的智能化，提高能效。,能源领域观察,http://www.energyobservation.com/,2024-10-17,,,,
智慧农业系统,精准农业、数据分析,农民与农业公司合作,农业生产,悉尼科技大学、阿里巴巴,在研,提高作物产量，减少资源浪费,利用AI进行作物病虫害检测,农业科技,农民与农业公司合作,农业,悉尼科技大学、阿里巴巴,智慧农业系统利用AI技术进行精准农业，旨在提高作物产量和资源利用效率。,农科技网,https://www.nongkeji.com,2024-10-17,,,,
智能城市管理系统,城市规划、数据分析,政府部门与科技企业合作,城市居民,新加坡国立大学、IBM,在研,提高城市管理效率,整合城市各类数据进行智能决策,城市管理,政府与科技企业合作,城市管理,新加坡国立大学、IBM,智能城市管理系统通过数据分析优化城市管理，提高居民生活质量。,智慧城市论坛,https://www.smartcityforum.com,2024-10-17,,,,
个性化学习系统,教育技术、推荐系统,学校与教育科技公司合作,学生,哈佛大学、Coursera,已商用,提高学生学习效率,根据学习习惯定制课程内容,教育,学校与教育科技公司合作,教育,哈佛大学、Coursera,个性化学习系统利用AI分析学生学习数据，为每位学生提供量身定制的学习方案。,教育在线,https://www.eduonline.com,2024-10-17,,,,
气候预测系统,气象模型、数据分析,研究机构与政府合作,公众、科学家,MIT、NOAA,在研,准确预测气候变化趋势,使用AI模型分析气象数据,气候科学,研究机构与政府合作,气象服务,MIT、NOAA,气候预测系统通过AI技术分析大量气象数据，以更准确地预测未来气候变化。,气候变化网,https://www.climatechange.org,2024-10-17,,,,
金融风险评估系统,数据分析、机器学习,金融机构与科技企业合作,金融服务,高盛、京东数科,已商用,降低信贷风险,评估客户信贷风险，提供决策支持,金融科技,金融机构与科技企业合作,金融服务,高盛、京东数科,金融风险评估系统利用数据分析技术，帮助金融机构评估客户的信贷风险。,金融时报,https://www.ft.com,2024-10-17,,,,
智能电网系统,能源管理、优化算法,政府与能源公司合作,区域电力管理,电力公司、清华大学,在研,提高能源利用效率,通过AI优化电力分配和负载管理,能源,政府与能源公司合作,能源管理,电力公司、清华大学,智能电网系统通过AI实现对电力分配的优化，提高能源利用效率，减少浪费。,能源监测网,https://www.energymonitor.com,2024-10-17,,,,
人工智能翻译系统,自然语言处理、机器翻译,科技企业与教育机构合作,语言学习者与商务人士,Google、Linguee,已商用,提升跨语言沟通能力,提供多语言翻译服务,语言服务,科技企业与教育机构合作,语言服务,Google、Linguee,人工智能翻译系统利用自然语言处理技术，提供高效的机器翻译服务。,语言科技网,https://www.linguatech.com,2024-10-17,,,,
机器人陪伴系统,人机交互、情感计算,老年人照护,老年人,JP Robotics、海尔,在研,提高老年人生活质量,提供情感交流及日常帮助,健康照护,科技公司与医疗机构合作,养老与健康,JP Robotics、海尔,机器人陪伴系统通过情感计算技术，与老年人建立情感联系，提供生活上的帮助。,养生论坛,https://www.yansheng.com,2024-10-17,,,,
虚拟现实治疗系统,虚拟现实、心理治疗,医疗机构与科技公司合作,心理健康患者,斯坦福大学、虚拟护理,在研,改善心理健康治疗效果,利用VR技术进行心理治疗,医疗健康,医疗机构与科技公司合作,医疗健康,斯坦福大学、虚拟护理,虚拟现实治疗系统结合心理治疗与VR技术，帮助患者在安全环境中进行情感治疗。,心理健康网,https://www.mentalhealth.com,2024-10-17,,,,
智能农业系统,精准农业、数据分析,农业合作社与科技公司合作,农业生产,华中科技大学、阿里巴巴,在研,提高作物产量和资源利用率,利用AI分析土壤和气候数据,农业科技,农业合作社与科技公司合作,农业,华中科技大学、阿里巴巴,智能农业系统通过AI分析土壤和气候数据，帮助农民提高作物产量和资源利用率。,农业数字化,https://www.agriculture.ai,2024-10-17,,,,
