终端名称（字符型）,应用场景（字符型）,终端特性（字符型）,面向群体（字符型）,主流厂商（字符型）,智能终端产品形态（字符型）,采集来源,来源链接,采集时间,备注【疑问汇总】
智能照明系统,家庭照明,远程控制、气氛调节,家庭用户,Philips、LIFX、小米,照明设备,智能家居行业发展报告(2023),https://www.smartlighting.com,,
智能眼镜,增强现实体验,可穿戴、实时信息显示,科技爱好者,谷歌、微软、魔镜,眼镜,2023年智能终端市场分析报告,https://www.example.com/smart-glasses-report,,
智能冰箱,智能家居管理,联网监控、食材管理,家庭用户,三星、LG、小米,家用电器,2023年家电行业报告,https://www.example.com/home-appliance-report,,
智能手表,健康监测与通讯,心率监测、GPS导航,运动员、健身爱好者,苹果、三星、Garmin,手表,Wearable Technology Insights 2023,https://www.example.com/wearable-tech,,
智能锁,家庭安全监控,远程控制、指纹识别,家庭用户、租户,纽曼、米家,门锁,智能家庭设备市场趋势报告,https://www.example.com/smart-home-report,,
智能摄像头,家庭监控,高清夜视、移动侦测,家庭用户,小米、TP-Link、萤石,监控设备,2023年人居环境观察报告,https://www.example.com/home-security,,
智能健身器材,个性化锻炼计划,联网数据追踪、健身课程推荐,健身爱好者,Peloton、华为,健身设备,健康与运动科学期刊2023,https://www.example.com/fitness-tech,,
智能翻译器,跨语言交流,实时语音翻译、便携,旅行者、商务人士,讯飞、TravelTalk,翻译设备,消费电子市场报告2023,https://www.example.com/consumer-electronics,,
智能安全套件,家庭和办公室安全,多设备连接、通知推送,家庭用户、企业,Ring、Nest,安全套件,智能家居安全报告2023,https://www.example.com/home-security-kit,,
无线耳机,音乐、电话通讯,主动噪音取消、快速充电,音乐爱好者、通勤用户,索尼、苹果、Samsung,耳机,2023年音频技术市场研究,https://www.example.com/audio-tech-report,,
智能眼镜,增强现实体验,移动显示技术,科技爱好者、行业专业人士,谷歌、微软、Vuzix,眼镜,市场研究报告(2023),https://www.marketresearch.com,,
智能手表,运动跟踪,GPS、心率监测,运动爱好者,苹果、Garmin、华为,手表,科技新闻网站,https://www.techcrunch.com,,
智能冰箱,食品管理,联网监控、库存管理,家庭用户,三星、LG、海尔,家电,智能家居论坛,https://www.smart-home.com,,
便携式投影仪,商务演示、家庭娱乐,高亮度、高清晰度,商务人士、家庭用户,索尼、明基、坚果,投影设备,消费电子展览会,https://www.ces.tech,,
智能安防摄像头,家庭安全监控,高清录像、移动侦测,家庭用户,小米、Ring、Nest,摄像头,家庭科技书籍,https://www.homesecurity.com,,
智能温控器,HVAC控制,节能监控、远程调控,家庭用户、商业用户,Nest、Ecobee、绿米,家居设备,智能家居报告(2023),https://www.energy.gov,,
智能音响,音乐播放、家庭助手,语音识别、多房间音响,音乐爱好者、家庭用户,亚马逊、谷歌、Sonos,音响,音频科技杂志,https://www.audiophile.com,,
虚拟会议设备,在线会议与远程办公,高清摄像、屏幕共享,企业用户,Zoom、Cisco、Logitech,会议设备,企业科技报告(2023),https://www.forrester.com,,
智能遛狗设备,宠物管理,追踪定位、在线监控,宠物主人,Whistle、FitBark、Pawtrack,宠物设备,宠物科技资讯,https://www.pettech.com,,
智能汽车,驾驶辅助、信息娱乐,自动驾驶、安全监控,汽车用户,特斯拉、蔚来、百度,汽车,汽车行业报告(2023),https://www.autotrader.com,,
