系统名称（字符型）,系统类型（字符型）,系统架构（字符型）,系统性能（字符型）,系统搭建环境（字符型）,系统关键功能（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,
空天可持续发展决策系统,决策支持系统,动态反馈架构,模拟与优化能力强,云服务平台,政策评估、资源配置,可持续发展研究中心,http://www.sustainabledev.org,2024-10-08,,,,,,,,,,,
空天卫星数据共享平台,数据共享系统,开放式平台架构,高可靠性与可用性,云存储环境,卫星数据检索、数据下载,国家卫星气象中心,http://www.nmc.cn,2024-10-08,,,,,,,,,,,
空天安全监控与防范系统,安全监控系统,融合式架构,实时风险评估与响应,私有云环境,安全监控、异常检测,国家网络安全局,http://www.cac.gov.cn,2024-10-08,,,,,,,,,,,
空天无人机协同作战系统,作战系统,协同网络架构,高效战术协调与执行,战术指挥平台,任务规划、运动控制,军事科技研究院,http://www.miltech.cn,2024-10-08,,,,,,,,,,,
空天物流配送中心系统,物流系统,多层级架构,高效路线优化与调度,云物流平台,货物调度、配送管理,中国物流与采购联合会,http://www.chinawuliu.com.cn,2024-10-08,,,,,,,,,,,
空天精准农业监测系统,农业监测系统,智能化架构,传统农业转型升级,农业物联网环境,土壤检测、作物健康监测,农业农村部,http://www.moa.gov.cn,2024-10-08,,,,,,,,,,,
空天灾害预警与响应系统,预警系统,智能分析架构,快速响应与决策支持,基于云的应急平台,预警信息发布、应急指挥,国家应急管理部,http://www.mem.gov.cn,2024-10-08,,,,,,,,,,,
空天智能合同管理系统,合同管理系统,流程驱动架构,降低合同风险与管理效率,企业级软件环境,合同审核、风险评估,商业法律协会,http://www.cba.org.cn,2024-10-08,,,,,,,,,,,
空天材料研究平台,科研平台,分层研究架构,多材料实验分析,高性能计算环境,材料性能测试、数据分析,中国航天科技集团,http://www.spacechina.com,2024-10-08,,,,,,,,,,,
空间任务仿真系统,仿真系统,虚拟现实架构,实时渲染与交互,高效图形计算环境,任务模拟、情景演练,国家航天局,http://www.cnsa.gov.cn,2024-10-08,,,,,,,,,,,
空天实时监控平台,监控系统,集中式监控架构,数据流处理能力强,云服务环境,实时数据监控、警报系统,现代技术公司,https://www.techmodern.com,2024-10-08,,,,,,,,,,,
卫星数据集成系统,数据集成系统,模块化集成架构,高并发数据处理,多云技术环境,数据集成、信息分享,中国卫星发射与控制中心,http://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
空间安全防护系统,安全系统,分布式安全架构,复杂场景识别能力,边缘计算环境,威胁监测、安全警报,国家网络安全局,http://www.cybersecurity.gov.cn,2024-10-08,,,,,,,,,,,
空间基础设施云平台,基础设施平台,多层次基础架构,高可用性与灵活性,云计算基础设施,资源管理、服务调度,云计算研究所,http://www.cloudresearch.org,2024-10-08,,,,,,,,,,,
空间探测数据分析平台,分析平台,开放架构,大数据处理与分析,高性能计算环境,数据挖掘、模式识别,遥感与探测技术中心,https://www.remotesensing.org,2024-10-08,,,,,,,,,,,
多维空间数据展示系统,展示系统,三维可视化架构,用户友好交互界面,云端可视化环境,数据可视化、交互展示,国家地理信息局,http://www.ngcc.gov.cn,2024-10-08,,,,,,,,,,,
空天技术应用示范项目,应用示范系统,集成示范架构,多场景应用能力,云与边缘结合环境,案例展示、经验分享,技术推广中心,http://www.technologytrends.com,2024-10-08,,,,,,,,,,,
空天环境监测系统,监测系统,分布式监测网络,多源数据融合能力,实时监测平台环境,环境数据监测、异常检测,环保科技研究院,http://www.environmentaltech.org,2024-10-08,,,,,,,,,,,
未来空天监测系统,监测系统,现代化网络架构,全天候监测与预警,边缘计算环境,环境监测、事件预警,国家气象局,https://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
先进多传感器融合系统,融合系统,智能化边缘架构,超高精度数据融合,分布式计算环境,多传感器数据融合、实时分析,研发技术公司,https://www.techinst.com,2024-10-08,,,,,,,,,,,
空天平台数据共享系统,数据共享系统,云端分布式架构,高可用性与扩展性,公有云服务环境,数据共享、用户访问权限管理,国际数据联盟,https://www.idalliance.org,2024-10-08,,,,,,,,,,,
智能航天监控系统,监控系统,模块化平台架构,快速响应与智能判断,专用集成环境,航天器状态监控、故障检测,航天科技集团,http://www.casc.cn,2024-10-08,,,,,,,,,,,
空天智能决策支持系统,决策支持系统,云计算与大数据架构,支持大量数据实时分析,多云环境,决策建议、情况分析,战略研究院,https://www.sra.gov.cn,2024-10-08,,,,,,,,,,,
空天资源管理平台,管理平台,一体化系统架构,资源调度与预警能力强,企业云环境,资源管理、数据分析,资源管理局,http://www.rmb.gov.cn,2024-10-08,,,,,,,,,,,
先进空中防御系统,防御系统,分级防御架构,对抗能力强、响应迅速,高安全性环境,极端天气响应、应急准备,国防科技大学,http://www.nudt.edu.cn,2024-10-08,,,,,,,,,,,
卫星数据处理平台,数据处理平台,多层次数据架构,数据处理能力强,本地与云结合环境,卫星数据接收、数据分析与可视化,中国卫星测控系统,http://www.cmcs.org.cn,2024-10-08,,,,,,,,,,,
全新设计的空间科学平台,科学平台,先进的系统架构,可扩展与高效响应,灵活存储与计算环境,科学实验执行、数据分析,航天科技发展中心,http://www.space.gov.cn,2024-10-08,,,,,,,,,,,
高效卫星通信传输系统,通信传输系统,星间通信架构,高传输速率、低延迟,新一代通信环境,高数据率传输、信号处理,卫星通信研究所,http://www.satcomm.org.cn,2024-10-08,,,,,,,,,,,
空天监视与探测系统,监视系统,云边协同架构,高效目标识别与跟踪,边缘计算环境,实时目标监控、数据聚合,中国科学院遥感与数字地球研究所,http://www.radi.ac.cn,2024-10-08,,,,,,,,,,,
空天安全监控与预警系统,安全管理系统,集成化安全架构,实时安全风险评估,私有云环境,风险评估、预警通知,国家安全专家委员会,http://www.nsec.gov.cn,2024-10-08,,,,,,,,,,,
空天卫星任务调度系统,任务调度系统,分布式服务架构,高效任务调度与优化,混合云环境,卫星任务分配、调度优化,中国卫星导航系统管理办公室,http://www.superty.com,2024-10-08,,,,,,,,,,,
空天气象数据融合平台,数据融合系统,模块化融合架构,多元气象数据分析,云计算环境,气象数据接入、实时分析,中国气象局,http://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
空天环境监测系统,监测系统,基于传感器网络的架构,高分辨率环境监测能力,IoT环境,环境数据采集、分析反馈,环境保护部,http://www.mee.gov.cn,2024-10-08,,,,,,,,,,,
空天科学与技术研究平台,研究平台,开放式研究架构,综合性科研支持,开放实验室环境,科研数据分析、共享,科学技术部,http://www.most.gov.cn,2024-10-08,,,,,,,,,,,
空天无人机协同系统,无人机管理系统,具备自适应学习的架构,高度自动化操作,无人机控制中心,无人机群体编队、任务执行,民航发展研究中心,http://www.cadr.gov.cn,2024-10-08,,,,,,,,,,,
空天网络资源管理平台,资源管理平台,区块链驱动技术架构,安全高效资源管理,区块链云环境,资源共享、访问控制,区块链研究院,http://www.blockchaininstitute.cn,2024-10-08,,,,,,,,,,,
空天空间碎片管理系统,监控管理系统,系统集成架构,精确追踪空间碎片,地面控制中心,空间碎片监控、路径预测,中国航天科技集团,http://www.casc.gov.cn,2024-10-08,,,,,,,,,,,
空天通信安全防护系统,安全防护系统,多层防护架构,快速响应安全威胁,专用安全环境,入侵检测、数据加密,网络安全与信息化部门,http://www.cybersecurity.gov.cn,2024-10-08,,,,,,,,,,,
新一代空天探测系统,探测系统,集成模块架构,高度自动化和智能化,云平台与本地结合,多种类目标识别、实时数据回传,中国科学院空间科学部,http://www.isscas.ac.cn,2024-10-08,,,,,,,,,,,
空天环境监测数据平台,监测系统,分布式数据处理架构,实时大数据分析,云计算环境,环境变化监测、数据可视化,国家环保局,http://www.mee.gov.cn,2024-10-08,,,,,,,,,,,
空天信息融合与共享系统,信息系统,模块化融合架构,高效信息共享与处理,高可靠性信息环境,信息融合、系统互联,中国信息通信研究院,http://www.ccsa.org.cn,2024-10-08,,,,,,,,,,,
空间监视和态势感知系统,监视系统,多层架构,全方位监视能力,混合云与本地部署,态势感知、预警系统,国家安全部,http://www.mps.gov.cn,2024-10-08,,,,,,,,,,,
空天海洋综合监测系统,综合监测系统,集成架构,高精度监测与定位,海洋平台与陆地平台结合,海洋数据采集、气象预报,中国海洋局,http://www.soa.gov.cn,2024-10-08,,,,,,,,,,,
空天应急响应管理系统,应急管理系统,综合协调架构,快速响应与决策支持,集成应急指挥平台,应急事件监控、资源调配,中国应急管理部,http://www.mem.gov.cn,2024-10-08,,,,,,,,,,,
空天社区安全监控系统,安全监控系统,智能监控架构,高效风险评估功能,智能硬件与网络集成,视频监控、数据分析预警,地方公安局,http://www.mps.gov.cn,2024-10-08,,,,,,,,,,,
空天人道主义救援系统,救援系统,响应式架构,快速动员与协调能力,应急物资云平台,灾害响应、资源配置,国际红十字会,http://www.icrc.org,2024-10-08,,,,,,,,,,,
空天气象服务平台,气象服务系统,服务导向架构,精确气象数据分析,互联网与本地服务器结合,气象预测、数据共享,中国气象局,http://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
长时间轨道监测系统,轨道监测系统,分布式监测架构,实时数据处理和分析,高频数据传输网络,轨道位置跟踪、异常检测,中国科学院自动化研究所,http://www.ia.cas.cn,2024-10-08,,,,,,,,,,,
空天气象监测系统,监测系统,卫星地面一体化架构,实时天气数据获取,混合云环境,气象数据收集、气象预测,国家气象局,http://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
空天目标探测与跟踪系统,探测系统,分布式感知架构,高精度目标识别,实时数据处理平台,目标识别、路径跟踪,军工科技协会,http://www.militarytech.org.cn,2024-10-08,,,,,,,,,,,
空天网络安全监控系统,安全系统,全链路监控架构,智能入侵检测,私有云环境,安全事件响应、数据加密,网络安全研究院,https://www.cybersecurity.gov.cn,2024-10-08,,,,,,,,,,,
空天智能决策支持系统,决策系统,人工智能架构,多源数据融合能力,云计算与边缘计算结合环境,决策模拟、风险评估,人工智能产业发展联盟,http://www.ai.gov.cn,2024-10-08,,,,,,,,,,,
空天军事侦察系统,侦察系统,集成化云架构,高效数据获取与分析,虚拟化环境,实时侦察数据分析、情报汇总,国防科技大学,http://www.nudt.edu.cn,2024-10-08,,,,,,,,,,,
空天航天器管理系统,管理系统,模块化管理架构,动态资源调配,虚拟资源池环境,任务分配、设备管理,中国航天科技集团,http://www.casc.cn,2024-10-08,,,,,,,,,,,
空天大气监测与分析系统,分析系统,交互式分析架构,环境数据实时分析,云环境与边缘计算结合,大气成分监测、数据报告,环保部空气质量中心,http://www.mee.gov.cn,2024-10-08,,,,,,,,,,,
空天搜索与救援系统,救援系统,实时响应架构,快速救援响应,地面与空中协同环境,事故现场定位、现场评估,应急管理部,http://www.mem.gov.cn,2024-10-08,,,,,,,,,,,
空天精确农业决策系统,农业系统,智能农业架构,精准施肥与灌溉,云信息服务环境,种植管理、实时监测,农业部农业科技中心,http://www.moa.gov.cn,2024-10-08,,,,,,,,,,,
空天环境监控与评估系统,监控系统,多源一体化架构,综合环境评估,云与边缘计算混合环境,环境评估、报告生成,生态环境部,http://www.mee.gov.cn,2024-10-08,,,,,,,,,,,
空天监测与预警系统,监测系统,集成化架构,快速响应、实时监测,云计算与边缘计算结合环境,威胁检测、数据分析,国家气象局,http://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
区域空天资源管理系统,资源管理系统,分布式数据处理架构,资源调配效率高,跨区域分布式环境,资源监控、仓储管理,中国国家资源局,http://www.mnr.gov.cn,2024-10-08,,,,,,,,,,,
空天环境监控系统,环境监控系统,模块化架构,高精度气象数据获取能力,物联网智能环境,污染检测、数据可视化,环保技术研究院,http://www.epa.gov.cn,2024-10-08,,,,,,,,,,,
空天轨道跟踪与监视系统,跟踪系统,星地协调架构,高精度跟踪能力,多星系统网络环境,轨道监测、航天器状态评估,航天科技集团,http://www.casic.gov.cn,2024-10-08,,,,,,,,,,,
空天灾害应急响应系统,应急管理系统,信息共享架构,快速反应与决策能力,综合应急指挥平台,灾害监测、实时通讯,应急管理部,http://www.mem.gov.cn,2024-10-08,,,,,,,,,,,
空天航天器通信系统,通信系统,自适应网络架构,高效数据传输能力,深空通信环境,深空通信、数据加密,中国航天科技集团公司,http://www.spacechina.com,2024-10-08,,,,,,,,,,,
空天多维数据融合系统,数据融合系统,多层次融合架构,支持多源数据融合,云服务计算环境,数据融合、情报分析,中国信息产业部,http://www.miit.gov.cn,2024-10-08,,,,,,,,,,,
空天气象数据服务系统,服务平台,云计算架构,高并发数据服务能力,公共云服务平台,气象数据实时发布、API接口,中国气象局,http://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
智能空天决策支持系统,决策支持系统,人工智能集成架构,决策效率高、推理能力强,深度学习环境,智能建议、决策模拟,人工智能技术研究所,http://www.aitri.com,2024-10-08,,,,,,,,,,,
空天无人机协同作战系统,作战系统,协同控制架构,动态任务分配能力,5G通信环境,自动飞行、任务协同,无人机研究中心,http://www.uav-research.cn,2024-10-08,,,,,,,,,,,
空间数据实时分析系统,分析系统,云端集成架构,高效率、实时反应,公有云环境,空间数据集成、智能分析,中国科学院空间科学研究所,https://www.cssar.ac.cn,2024-10-08,,,,,,,,,,,
无人机监视与管理系统,监控系统,分布式管理架构,实时数据监控与分析,混合云环境,航线监控、实时数据传输,无人机技术研究中心,https://www.uavtech.org.cn,2024-10-08,,,,,,,,,,,
航天器状态监测系统,监控系统,模块化架构,状态实时反馈,本地控制中心,气象数据监测、故障预警,航天科技集团,http://www.casc.com.cn,2024-10-08,,,,,,,,,,,
星际网络传输系统,通信系统,星地一体架构,超高速数据传输,5G及卫星环境,全天候数据传输、信号编码,卫星通信技术研究院,https://www.satcom.edu.cn,2024-10-08,,,,,,,,,,,
空间环境监测系统,监测系统,集成化架构,多参数监测能力,地面观察站,空间辐射监测、大气成分分析,国家环境保护部,http://www.epa.gov.cn,2024-10-08,,,,,,,,,,,
空间运输调度系统,调度系统,综合调度架构,高效调度、预警管理,云端调度平台,航天任务调度、资源管理,中国航天局,http://www.cnsa.gov.cn,2024-10-08,,,,,,,,,,,
跨域数据融合平台,数据融合系统,开放平台架构,数据驱动集成,多源数据环境,数据归并、智能分析工具,人工智能研究院,http://www.ai-research.edu.cn,2024-10-08,,,,,,,,,,,
空间交通预测系统,预测系统,人工智能架构,高精度预测能力,云基础设施,航天交通流量预测、安全分析,未来科技与创新中心,https://www.fic.ac.cn,2024-10-08,,,,,,,,,,,
智能空间探测器系统,探测系统,自适应架构,高适应性与任务执行能力,边缘计算环境,自主导航、环境探测,光学工程研究院,http://www.optics.edu.cn,2024-10-08,,,,,,,,,,,
超高空监控平台,监控系统,多层级架构,长时间监控能力,组织特定环境,超高空航迹监控、关键数据储存,民航信息中心,https://www.cac.gov.cn,2024-10-08,,,,,,,,,,,
空天探测综合管理平台,管理系统,云协同架构,多维数据分析能力,混合云环境,数据收集、分析报告生成,航天科技集团,https://www.spacechina.com,2024-10-08,,,,,,,,,,,
海洋监测数据集成系统,数据集成系统,服务导向架构,实时数据整合与展示,私有云环境,海洋状态实时反馈、数据共享,国家海洋局,http://www.soa.gov.cn,2024-10-08,,,,,,,,,,,
空天环境监测平台,监测系统,分布式系统架构,高效实时数据监测,边缘计算环境,气象数据采集、异常天气监控,气象局,http://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
无人机航拍数据处理系统,数据处理系统,多层架构,高效影像处理与分析,云端处理环境,影像分析、3D建模,无人机技术协会,http://www.dji.com,2024-10-08,,,,,,,,,,,
星际通信支持系统,通信系统,多信道架构,低延迟高可靠性,深空通信网络,跨星际数据传输、信号调制,国际深空探测组织,http://www.nasa.gov,2024-10-08,,,,,,,,,,,
空天资源共享平台,共享平台,多供方架构,高可用性、跨域型共享,公共云环境,资源登记、访问控制,中国科技部,http://www.most.gov.cn,2024-10-08,,,,,,,,,,,
空天量测与评估平台,评估系统,功能模块化架构,高精准度量测能力,城市数据中心环境,量测反馈、评估报告生成,国家计量局,http://www.aqsiq.gov.cn,2024-10-08,,,,,,,,,,,
空天科研数据融合平台,数据融合系统,集成化架构,多源数据协调处理,综合科研网络环境,数据融合、科研协作支持,中国科学院,http://www.cas.cn,2024-10-08,,,,,,,,,,,
空天技术实验仿真平台,实验仿真系统,虚拟化架构,高效仿真与模块测试,专业实验室环境,实验设计、结果分析,航天科技研究院,http://www.rocketforce.cn,2024-10-08,,,,,,,,,,,
全球定位与导航服务平台,导航服务系统,综合服务架构,高精度定位服务,多信号源集成环境,实时导航、轨迹记录,全球导航卫星系统,http://www.gnss.org,2024-10-08,,,,,,,,,,,
智能空天监测系统,监测系统,一体化架构,实时监测与分析,云计算与边缘计算结合环境,数据监测、事件响应,中国航天科技集团,https://www.spacechina.com,2024-10-08,,,,,,,,,,,
空天安全防护系统,安全系统,模块化安全架构,高安全性与可靠性,私有云环境,安全审计、访问控制,网络安全研究院,https://www.cybersecurity.com,2024-10-08,,,,,,,,,,,
量子通信空天框架,通信系统,量子网络架构,零噪声通信,量子计算环境,量子密钥分发、信息加密,量子研究所,https://www.quantumresearch.org,2024-10-08,,,,,,,,,,,
多光谱遥感应用平台,数据集成系统,开放式架构,高效影像处理能力,云端处理环境,多源数据融合、图像分析,遥感与地理信息系统协会,https://www.rsgis.org,2024-10-08,,,,,,,,,,,
空天灾害应急响应系统,响应管理系统,分布式响应架构,动态响应与调配,综合响应平台,资源调配、应急实时监控,国家自然灾害应急中心,https://www.ncs.gov.cn,2024-10-08,,,,,,,,,,,
空天气象监测与预测系统,气象系统,云计算气象架构,精准气象预测,气象数据云环境,气候模型、数据分析,气象局,https://www.weather.gov.cn,2024-10-08,,,,,,,,,,,
智慧城市空天集成平台,城市管理系统,智能互联架构,城市运行监控与管理,大数据云环境,人口流动分析、交通监控,城市发展研究会,https://www.smartcity.org,2024-10-08,,,,,,,,,,,
空天深宇探测系统,探测系统,星际网络架构,深远空间探测与数据传输,跨星际环境,探测数据收集、深邃空间监控,国家航天局,https://www.cnsa.gov.cn,2024-10-08,,,,,,,,,,,
无人机网络管理系统,管理系统,集中管理架构,高效无人机调度,无人机管理平台,无人机编队、数据收集,无人机技术研发中心,https://www.drones.gov.cn,2024-10-08,,,,,,,,,,,
空间信息融合与分析平台,数据分析系统,信息融合架构,多维数据分析能力,云技术应用环境,信息融合、趋势预测,信息技术研究院,https://www.informationtech.org,2024-10-08,,,,,,,,,,,
空天监测与评估系统,监测系统,三层架构,实时环境监测,边缘计算环境,气象数据收集、环境影响评估,环境保护部,https://www.mee.gov.cn,2024-10-08,,,,,,,,,,,
空天动态目标跟踪系统,跟踪系统,服务导向架构,精确跟踪与数据同步,虚拟化环境,目标识别、动态预测,军用科技研究院,http://www.militarytech.gov.cn,2024-10-08,,,,,,,,,,,
空间资源管理系统,资源管理系统,集成应用架构,高效资源利用,云服务环境,资源调度、优化分配,国家发改委,https://www.ndrc.gov.cn,2024-10-08,,,,,,,,,,,
空天防空态势感知系统,感知系统,分布式实时架构,快速态势感知与响应,4G网络与传感器集成,威胁识别、态势展示,国防科技大学,https://www.nudt.edu.cn,2024-10-08,,,,,,,,,,,
空天数据融合分析系统,分析系统,大数据架构,多源数据分析与处理,私有云环境,数据清洗、情报提取,中国科学院,http://www.cas.cn,2024-10-08,,,,,,,,,,,
空天指挥与控制系统,指挥系统,多层次架构,信息集成度高,网络化指挥控制环境,战场态势整合、决策支持,中国人民解放军,http://www.pla.gov.cn,2024-10-08,,,,,,,,,,,
空天卫星导航增强系统,导航增强系统,增量式架构,定位精度提升,混合信号环境,信号增强、位置校正,国家测绘局,http://www.nasg.gov.cn,2024-10-08,,,,,,,,,,,
空天电磁干扰系统,干扰系统,分布式网络架构,广泛电磁波干扰能力,可移动部署环境,干扰路径计算、影响评估,电子科技大学,http://www.uestc.edu.cn,2024-10-08,,,,,,,,,,,
空天决策支持系统,决策系统,智联网架构,数据驱动的决策支持,大数据集成环境,情报分析、决策模拟,清华大学,http://www.tsinghua.edu.cn,2024-10-08,,,,,,,,,,,
空天地海一体化观测系统,观测系统,全方位观测架构,多维度数据捕获,综合监控平台,异构数据集成、实时监控,中国测绘科学研究院,http://www.casm.ac.cn,2024-10-08,,,,,,,,,,,
空天智能监视系统,监视系统,集成化多层架构,实时监控、多源数据融合,虚拟化环境,目标跟踪、数据分析,智能监控技术研究所,https://www.smrtt.com,2024-10-08,,,,,,,,,,,
空天环境监测系统,监测系统,云计算架构,环境数据采集频率高,分散式云平台,气象数据采集、污染监测,环境保护部,http://www.mee.gov.cn,2024-10-08,,,,,,,,,,,
国际空天合作平台,协作平台,开放式架构,增强跨国数据共享,多国云服务,信息共享、合作研究,全球空天合作组织,https://www.spacecooperation.org,2024-10-08,,,,,,,,,,,
空天数据安全系统,安全系统,防火墙与入侵检测架构,高可靠性与安全性,专用安全服务器,数据加密、访问控制,网络安全协会,http://www.cybersecurity.org.cn,2024-10-08,,,,,,,,,,,
空天自动化导航系统,自动化系统,智能感知架构,自主学习与适应能力强,基于边缘计算的环境,自动航线规划、动态更新,智能交通科技中心,http://www.smarttraffic.org,2024-10-08,,,,,,,,,,,
空天无人机管理系统,管理系统,集中控制架构,高效资源分配与调度,专用管理平台,无人机调度、任务执行监控,无人机产业协会,http://www.droneindustry.com,2024-10-08,,,,,,,,,,,
空天气象预报系统,预测系统,基于模型的结构,高精度气象预测,大数据处理环境,数据挖掘、模型训练,中国气象局,http://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
空天多传感器融合系统,融合系统,多层级融合架构,综合信息处理能力强,虚拟现实环境,数据融合、实时决策,高科技公司,https://www.hightech.com,2024-10-08,,,,,,,,,,,
空天应急响应系统,响应系统,集中管理与应急分散架构,快速资源调配,应急指挥中心,事件响应、资源配置,应急管理局,https://www.emergency.gov.cn,2024-10-08,,,,,,,,,,,
空天民用监测系统,监测系统,多层开放架构,高效民用数据应用,云服务环境,灾害监测、资源管理,民用监测研究中心,http://www.civilmonitoring.org,2024-10-08,,,,,,,,,,,
空间环境监测与评估系统,监测系统,云边协同架构,实时数据采集与分析能力,边缘计算环境,环境数据监测、数据可视化,中国科学院空间科学研究院,https://www.csp.science.cn,2024-10-08,,,,,,,,,,,
无人机群体协作系统,无人机系统,多层次网络架构,高效的群体协作能力,虚拟仿真环境,群体任务分配、路径优化,空天创新科技研究中心,https://www.aerospaceinnovation.org,2024-10-08,,,,,,,,,,,
高精度空天定时系统,定时系统,全球定位架构,纳秒级时间同步,星地一体化系统,精准时间服务、同步信号发射,国家时间与频率标准化中心,https://www.ntsc.ac.cn,2024-10-08,,,,,,,,,,,
城市空域管理优化系统,城市管理系统,集中式控制架构,高效城市空域利用,本地数据中心,空域规划、实时监控,城市发展研究院,https://www.urbanresearch.cn,2024-10-08,,,,,,,,,,,
太空垃圾监测与清理系统,环保系统,介质驱动架构,高灵敏度监测能力,太空工程平台,垃圾识别、清理调度,中国航天科技集团,http://www.spacechina.com,2024-10-08,,,,,,,,,,,
多模态空间传感器网络,传感器系统,分布式传感网络,多信号类型共存,多实体交互环境,数据融合、连接管理,电子科技大学,http://www.uec.edu.cn,2024-10-08,,,,,,,,,,,
智能化空天安全保障系统,安全系统,智能决策架构,实时威胁检测与响应,基于云与边缘计算,风险评估、应急响应,国家安全科技研究院,https://www.nstra.com,2024-10-08,,,,,,,,,,,
空天监视与预警系统,监视系统,统一数据管理架构,全面的监测能力,专用监控平台,目标监测、数据分析,气象局空间气象研究所,https://www.cmms.gov.cn,2024-10-08,,,,,,,,,,,
空天多源情报融合系统,情报分析系统,分层融合架构,高效信息整合能力,综合指挥中心,情报整合、分析决策支持,辅导情报研究机构,http://www.intelresearch.cn,2024-10-08,,,,,,,,,,,
空天信息共享与交互平台,共享平台,开放式平台架构,信息交互流畅,多方云环境,信息共享、跨平台互操作,国家信息中心,https://www.nisc.cn,2024-10-08,,,,,,,,,,,
空天探测与追踪系统,探测系统,集中架构,高精度目标跟踪,边缘计算环境,目标识别、路径预测,国家发展与改革委员会,https://www.sdpc.gov.cn,2024-10-08,,,,,,,,,,,
空天生态监测系统,监测系统,分层架构,高效环境数据采集,物联网环境,生态数据分析、环境评估,中国生态环境部,https://www.mee.gov.cn,2024-10-08,,,,,,,,,,,
空天多维态势感知系统,感知系统,智能化架构,快速信息处理,大数据处理环境,综合信息分析、实时预警,中央网络安全和信息化委员会,https://www.cac.gov.cn,2024-10-08,,,,,,,,,,,
未来空天物流系统,物流系统,动态调度架构,低成本高效率配送,无人机运输环境,订单管理、配送路线优化,中国无人机产业协会,http://www.uav.org.cn,2024-10-08,,,,,,,,,,,
空天智能决策支持系统,决策支持系统,云原生架构,高效数据决策支持,云智能环境,数据可视化、分析模型构建,国家创新与发展战略研究会,http://www.nids.org.cn,2024-10-08,,,,,,,,,,,
空天领域实验室管理系统,管理系统,模块化管理架构,资源管理高效,实验室信息化环境,实验任务安排、设备调度,中国科学院,http://www.cas.cn,2024-10-08,,,,,,,,,,,
空天监视与评估系统,监视系统,网络化架构,及时监测与评估能力,互联网络环境,遥感监视、数据报告生成,中国遥感应用与研究中心,http://www.cra.org.cn,2024-10-08,,,,,,,,,,,
空天数据融合与分析系统,融合系统,混合架构,多源数据高效融合,大规模数据分析环境,数据收集、预测分析,中国科学技术协会,http://www.cast.org.cn,2024-10-08,,,,,,,,,,,
空天防务与安全系统,安全系统,多层防护架构,高安全性与可靠性,专有安全环境,威胁检测、响应系统,国家安全生产监督管理局,http://www.chinasafety.gov.cn,2024-10-08,,,,,,,,,,,
空天数据共享平台,共享系统,开放式架构,高并发数据访问,云共享环境,数据共享、应用接口,国家信息中心,http://www.nic.gov.cn,2024-10-08,,,,,,,,,,,
空天气象监测系统,监测系统,分布式网络架构,实时气象数据捕获,云平台环境,气象数据分析、气候预警,气象科学研究院,https://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
空天目标识别系统,识别系统,深度学习架构,高精度图像识别,GPU加速计算环境,目标检测、数据标注,人工智能研究所,https://www.aiml.institute,2024-10-08,,,,,,,,,,,
空天资源管理系统,管理系统,整合式架构,资源调度效率高,本地与云结合环境,资源分配、使用情况监控,国家资源管理局,https://www.resource.gov.cn,2024-10-08,,,,,,,,,,,
空天兵力监控系统,军用监控系统,多层次架构,多路视频信息实时传输,专用军用网络环境,兵力动态监测、实时指挥,国防科技大学,https://www.ndu.edu.cn,2024-10-08,,,,,,,,,,,
空天机器人协作系统,协作系统,模块化协作架构,高效的群体协作,仿真测试环境,机器人群体管理、任务指挥,机器人技术协会,https://www.robotics.org.cn,2024-10-08,,,,,,,,,,,
空天卫星数据分析系统,分析系统,云计算架构,大数据处理能力强,虚拟化环境,卫星数据处理、趋势分析,国家卫星气象中心,https://www.nsmc.org.cn,2024-10-08,,,,,,,,,,,
空天虚拟现实训练系统,训练系统,虚拟仿真架构,沉浸式训练体验,随着VR/AR技术发展的环境,模拟训练、战术演练,军事科技创新研究中心,https://www.militaryinnovation.cn,2024-10-08,,,,,,,,,,,
空天全景视觉系统,视觉系统,全景视频架构,360度视角捕捉,多传感器融合环境,全景视觉监控、空间分析,显示技术开发公司,https://www.display-tech.com,2024-10-08,,,,,,,,,,,
空天数据融合系统,融合系统,动态融合架构,高效数据整合,分布式计算环境,多源数据整合、信息共享,智能信息技术公司,https://www.intelligentdata.com,2024-10-08,,,,,,,,,,,
空天决策支持系统,支持系统,智能决策架构,实时数据驱动决策,高可用云服务环境,决策模拟、风险评估,风险管理研究中心,https://www.riskmanagement.cn,2024-10-08,,,,,,,,,,,
智能空天监测集成系统,监测系统,边缘计算架构,实时监测与分析,混合云环境,环境监测、事件预警,环境保护部,http://www.mee.gov.cn,2024-10-08,,,,,,,,,,,
空天信息安全防护系统,安全系统,多层防护架构,高安全性和抗攻击能力,安全专用服务器,信息加密、风险评估,国家网络与信息安全管理局,http://www.cac.gov.cn,2024-10-08,,,,,,,,,,,
空天能源管理系统,能源管理系统,集中式架构,高效节能处理,智能电网环境,能源监测、优化分配,国家能源局,http://www.nea.gov.cn,2024-10-08,,,,,,,,,,,
