网络与通信系统名称（字符型）,网络与通信系统类型（字符型）,规格（字符型）,企业名称（字符型）,批准日期（日期型）,上市许可持有人（字符型）,规范企业名称，用于企业关联（字符型）,面向群体（字符型）,采集来源,来源链接,采集时间,备注【疑问汇总】
光纤通信系统,固定通信系统,GPON,中国电信,2018-05-30,中国电信,中国电信股份有限公司,普通用户,中国工业和信息化部,https://www.chinatelecom.com.cn,,
Next-Gen移动网络,移动通信系统,6G,中兴通讯,2023-03-01,中兴,中兴通讯股份有限公司,未来用户,IEEE通讯协会,https://ieeexplore.ieee.org,,
物联网通信网络,专用通信系统,LoRaWAN,阿里巴巴集团,2021-11-18,阿里云,阿里巴巴网络技术有限公司,IoT开发者,阿里云官网,https://www.aliyun.com,,
企业专线网络,固定通信系统,MPLS,中国联通,2022-02-15,中国联通,中国联通股份有限公司,商业用户,中国联通官网,https://www.chinaunicom.com,,
边缘计算网络,云计算网络,边缘计算,百度云,2023-08-10,百度,百度云计算技术有限公司,开发者,百度云官网,https://cloud.baidu.com,,
深海通信网络,海底光缆网络,Submarine Cable,深圳海缆科技有限责任公司,2020-06-30,深圳海缆, 深圳海缆科技有限公司,国际用户,中国海洋局,http://www.soa.gov.cn,,
国家宽带网络,固定通信系统,FTTH,中国电信,2019-07-25,中国电信,中国电信股份有限公司,普通用户,国家发展改革委员会,https://www.ndrc.gov.cn,,
超级宽带无线网络,固定通信系统,WiMAX,中国电信,2015-03-15,中国电信,中国电信股份有限公司,家庭用户,中国工业和信息化部,https://www.miit.gov.cn/,,
高速5G网络,移动通信系统,5G NR,华为技术有限公司,2022-01-10,华为,华为技术有限公司,企业用户,华为官方网站,https://www.huawei.com/,,
卫星互联网,卫星通信系统,Starlink,SpaceX,2020-05-29,SpaceX,Space Exploration Technologies Corp,偏远地区用户,SpaceX官方网站,https://www.spacex.com/,,
智能IoT通信平台,物联网通信系统,LoRaWAN,阿里巴巴,2021-08-12,阿里巴巴云,阿里巴巴集团控股有限公司,企业用户,阿里云官方网站,https://cloud.alibaba.com/,,
下一代移动通信系统,移动通信系统,6G,中兴通讯,2025-12-01,中兴,中兴通讯股份有限公司,科研机构,中兴官方网站,https://www.zte.com.cn/,,
城市公共Wi-Fi网络,固定通信系统,Wi-Fi 6,电信运营商,2021-05-05,某市电信公司,国家电信公司,市民用户,地方政府官方网站,https://www.gov.cn/,,
长距离低功耗网络,物联网通信系统,NB-IoT,未来网络科技,2023-03-20,未来网络,未来网络科技有限公司,物联网开发者,技术评估机构,http://www.technologyreview.cn/,,
车联网通信系统,移动通信系统,V2X,特斯拉,2024-11-05,特斯拉,特斯拉汽车公司,汽车厂商,汽车新闻网站,https://www.autoblog.com/,,
远程医疗通信系统,固定通信系统,5G医疗,中国科技大学,2023-06-15,中国科技大学,中国科技大学,医疗机构,学术期刊,https://www.sciencedirect.com/,,
多站点大数据传输,数据通信系统,光纤通讯,博通,2022-02-26,博通,博通有限公司,企业用户,金融时报,https://www.ft.com/,,
智联5G系统,移动通信系统,5G,中国移动,2021-09-15,中国移动,中国移动通信集团有限公司,智能设备用户,中国工业和信息化部,https://www.miit.gov.cn/,,
增强现实通信网络,移动通信系统,5G AR,腾讯科技,2022-05-01,腾讯科技,腾讯控股有限公司,游戏玩家,中国互联网信息中心,https://www.cnnic.net.cn/,,
全球卫星通信网,卫星通信系统,Satellite-5,SpaceX,2020-12-21,SpaceX,Space Exploration Technologies Corp.,全球用户,美国联邦通信委员会,https://www.fcc.gov/,,
NextGen Wi-Fi,无线通信系统,Wi-Fi 6E,英特尔公司,2021-03-10,英特尔,英特尔公司,家庭用户,IEEE标准协会,https://www.ieee.org/,,
工业物联网网络,物联网通信系统,NB-IoT,阿里巴巴集团,2022-08-02,阿里巴巴,阿里巴巴集团控股有限公司,工业用户,中国通信标准化协会,http://www.caisa.org.cn/,,
星际链路通信系统,深空通信系统,Interstellar Link,NASA,2023-02-10,NASA,美国国家航空航天局,科学研究机构,NASA官方网站,https://www.nasa.gov/,,
量子通信网络,安全通信系统,Quantum Secure,北京量子科技公司,2023-06-17,北京量子,北京量子科技股份有限公司,政府机构,中国科学院,https://www.cas.cn/,,
移动边缘计算网络,云计算通信系统,Edge Computing,华为技术有限公司,2022-11-30,华为,华为技术有限公司,企业用户,中国工业和信息化部,https://www.miit.gov.cn/,,
智能交通信号系统,城市通信系统,Smart Traffic 2.0,上海交通大学,2021-04-05,上海交通大学,上海交通大学,城市管理者,中国城市交通规划协会,http://www.cctp.org.cn/,,
校园无线网络,校园通信系统,Wi-Fi 6,清华大学,2020-09-30,清华大学,清华大学,学生与教职工,教育部,http://www.moe.gov.cn/,,
5G超高速移动网络,移动通信系统,5G,中国移动,2020-11-15,中国移动,中国移动通信集团有限公司,普通用户,中国工业和信息化部,https://www.miit.gov.cn/,,
智联物联网系统,物联网,NB-IoT,华为技术有限公司,2019-03-20,华为,华为技术有限公司,企业用户,国家物联网产业发展联盟,https://www.iot.gov.cn/,,
卫星自适应通信系统,卫星通信,L波段,中国卫星通信集团有限公司,2021-01-10,中国卫星,中国卫星通信集团有限公司,政府及企事业单位,中国卫星通信网,http://www.chinasatcom.com/,,
LoRaWAN低功耗广域网,物联网,LoRa,中兴通讯,2020-07-01,中兴,中兴通讯股份有限公司,普通用户,中国电子通信研究院,https://www.zte.com.cn/,,
优质宽带接入网,固定通信系统,光纤到户(FtTH),中国电信,2018-06-15,中国电信,中国电信股份有限公司,家庭用户,中国电信网,http://www.chinatelecom.com.cn/,,
移动边缘计算平台,边缘计算,计算平台,阿里云计算有限公司,2022-05-18,阿里云,阿里云计算有限公司,应用开发者,阿里巴巴集团,https://www.aliyun.com/,,
智能家居网络,家庭网络,Wi-Fi 6,TP-Link,2021-08-30,TP-Link,TP-Link科技有限公司,家庭用户,网络科技资讯,https://www.tp-link.com/,,
全球卫星互联网服务,卫星互联网,Starlink,SpaceX,2021-10-01,SpaceX,Space Exploration Technologies Corp.,全球用户,国际电信联盟,https://www.spacex.com/,,
量子通信网络,量子通信,量子密钥分发,中国科学技术大学,2023-04-12,中国科学技术大学,中国科学技术大学,科研单位,中国科学技术部,http://www.ustc.edu.cn/,,
