品牌,面料,科技含量,特点,主要产品,采集来源,来源链接,采集时间,备注
Adidas,AEROREADY、Primeblue,高,环保、快干、舒适,训练服、紧身裤,品牌设计理念,https://www.adidas.com/,,
Lorna Jane,LJ Active、Moisture Wicking,中,舒适、轻便、内衬设计,运动文胸、健身裤,消费者调研,https://www.lornajane.com/,,
Gymshark,Flex、Energy,高,拉伸自由、透气、时尚设计,运动紧身衣、短裤,社交媒体分析,https://www.gymshark.com/,,
Decathlon,Forclaz、Easy Care,中,耐用、易打理、性价比高,户外服、运动装备,线上市场调查,https://www.decathlon.com/,,
Oiselle,Racer Mesh、Flyout,高,透气、柔软、轻便,跑步背心、短裤,产品反馈,https://www.oiselle.com/,,
Saucony,Everun、Secure Fit,高,良好的回弹、舒适和贴合,跑鞋、比赛服,市场报告,https://www.saucony.com/,,
Patagonia,H2No、Capilene,高,防水、透气、环保,滑雪服、户外夹克,环保活动支持,https://www.patagonia.com/,,
H&M Sport,REPREVE、Elastane,中,回收材料、弹性强、时尚设计,运动服、休闲服,行业动态分析,https://www.hm.com/,,
Under Armour,UA Tech、HeatGear,高,快干、轻盈、透气,运动背心、短裤,公司官网,https://www.underarmour.cn/,,
New Balance,Fresh Foam、NB Dry,高,舒适、轻量、良好的缓震性,跑鞋、训练鞋,用户评价平台,https://www.newbalance.cn/,,
Lululemon,Nulu、Silverscent,高,舒适、抗菌、透气,运动文胸、瑜伽裤,公司官网,https://shop.lululemon.com/,,
ASICS,GEL、FluidFit,高,支撑性好、贴合脚型,跑步鞋、训练鞋,运动科技展览会,https://www.asics.com.cn/,,
Oiselle,Vapor Stretch、Polyester,中,耐磨、形状持久、舒适,跑步短裤、运动衫,环保时尚论坛,https://www.oiselle.com/,,
H&M,Bamboo Waste、Recycled Polyester,高,可持续、柔软、轻便,运动服、休闲装,年度可持续发展报告,https://www.hm.com/,,
PUMA,R138科技、DryCell,高,吸湿控温、舒适伸展,跑步鞋、运动外套,产品上市发布会,https://www.puma.com/,,
Columbia,Omni-Tech、Omni-Shield,高,防水透气、抗污,户外服、运动鞋,户外运动展,https://www.columbia.com/,,
Reebok,Cotton Blend、Flexweave,中,舒适、耐用、透气性好,健身鞋、运动服,健身博览会,https://www.reebok.cn/,,
Lands' End,CoolPlus、Softex,中,轻量、透气、适合日常穿着,休闲装、轻便外套,时尚趋势报告,https://www.landsend.com/,,
Fabletics,Powerlite、Ecovero,中,环保、弹性佳、速干,运动衣、运动裤,时尚评价网站,https://www.fabletics.com/,,
Nike,Flyknit、Therma,高,贴合、环保、保暖,跑鞋、外套,运动新闻门户,https://www.nike.com/,,
Athleta,Challenger、Eco-Rib,高,抗UV、变形小、柔软,运动裤、运动衫,女性运动论坛,https://www.athleta.com/,,
Lululemon,Warpstream、Everlux,中,舒适、快速排汗、耐穿,运动服、瑜伽裤,健身博客,https://shop.lululemon.com/,,
The North Face,GORE-TEX、FlashDry,高,防水、快干、透气,外套、户外鞋,登山装备指南,https://www.thenorthface.com/,,
Lole,Organic Cotton、Tencel,中,亲肤、环保、舒适,瑜伽服、休闲服,可持续品牌推介,https://www.lole.com/,,
Skechers,Air Cooled、Goga Mat,高,透气、缓震、舒适,运动鞋、休闲鞋,消费者评价网站,https://www.skechers.com/,,
New Balance,Fresh Foam、AeroFab,高,高弹性、超轻、舒适透气,运动鞋、跑步服,公司官网,https://www.newbalance.com/,,
Lorna Jane,LJ Active、EcoFlex,高,环保、轻便、适合多场合,瑜伽服、健身套装,时尚杂志,https://www.lornajane.com.au/,,
H&M,Recycled Polyester、Tencel,中,柔软、环保、适合日常穿着,休闲服、运动衣,公司官网,https://www.hm.com/,,
Under Armour,UA HeatGear、UA Tech,高,快干、减震、舒适贴合,训练服、运动短裤,体育展会,https://www.underarmour.com/,,
Mizuno,Waveknit、Enerzy,中,轻盈、舒适、安全性好,跑步鞋、健身服,用户评论反馈,https://www.mizuno.com.cn/,,
Fabletics,Lux Leggings Fabric、PowerHold,高,防透、舒适、适合运动,运动服、瑜伽裤,公司官网,https://www.fabletics.com/,,
Columbia,Omni-Tech、Omni-Wick,高,防水、透气、快速干燥,户外服装、滑雪装备,公司官网,https://www.columbia.com/,,
ASOS,Eco Viscose、Organic Cotton,中,柔软、凉爽、适合夏季,日常服装、休闲装,时尚博主,https://www.asos.com/,,
Lululemon,Nulu、SwiftTech,高,超柔软、透气、适合瑜伽,运动裤、运动上衣,公司官网,https://www.lululemon.com/,,
PUMA,ForeverRun、Allnature,中,适合户外、耐磨、舒适,跑步鞋、登山鞋,用户测试报告,https://www.puma.com/,,
Lands' End,Chamois Cloth、Water repellent,高,耐磨、快干、防水,户外夹克、运动服,季节发布会,https://www.landsend.com/,,
Ecco,Fluidform、Natural Leather,中,舒适、合脚、适合日常,休闲鞋、运动鞋,顾客反馈,https://www.ecco.com/,,
Skechers,Air-Cooled Memory Foam、Hyper Burst,高,超轻舒适、透气、适合长时间穿着,运动鞋、休闲鞋,厂家说明会,https://www.skechers.cn/,,
On Running,CloudTec、Helion,高,反弹性好、轻量、适合跑步,跑鞋、运动服,公司官网,https://www.on-running.com/,,
Uniqlo,AIRism、Blocktech,中,透气、舒适、易于护理,基础款、运动衣,时尚杂志,https://www.uniqlo.com/,,
Patagonia,Worn Wear、NetPlus,高,再生材料、环保、耐用,户外服装、滑雪装备,环保论坛,https://www.patagonia.com/,,
Fjällräven,G-1000、Eco-Shell,中,耐磨、防水、透气,户外背包、夹克,行业展会,https://www.fjallraven.com/,,
Under Armour,HeatGear、UA Tech,高,轻量、透气、移动自如,运动衫、紧身裤、训练短裤,体育杂志,https://www.underarmour.com.cn/,,
Lands' End,Thermochromatic Fabric,中,温度变化变色、舒适适合户外,外套、休闲衬衣,官方发布,https://www.landsend.com/,,
H&M,REPREVE再生聚酯,高,环保、快干、柔软,休闲服、运动套装,公司官网,https://www.hm.com.cn/,,
Skechers,Air Cooled Goga Mat,中,舒适、透气、轻量化,运动鞋、沙滩鞋,用户反馈,https://www.skechers.com.cn/,,
ASICS,FlyteFoam、GEL科技,高,减震、轻量、反应灵敏,跑步鞋、训练鞋,运动展览,https://www.asics.com.cn/,,
Li-Ning,Coolmax面料,高,排汗速干、透气性强,篮球服、运动裤,官方新闻稿,https://global.lining.com/,,
New Balance,Fresh Foam、Ndurance,高,舒适、耐磨、抗震,跑步鞋、训练鞋,市场调研,https://www.newbalance.com.cn/,,
Reebok,Speedwick、Cotton Blend,中,速干、舒适、适合各种训练,训练服、健身鞋,行业展会,https://www.reebok.com.cn/,,
Champion,Double Dry、EcoSmart,中,环境友好、吸湿排汗,卫衣、运动裤,公司年报,https://www.champion.com.cn/,,
Fila,Vibrant Technology,高,适应度高、色泽鲜艳,网球服、运动鞋,品牌历史回顾,https://www.fila.com.cn/,,
Columbia,Omni-Tech、防水透气,高,防水、透气、防风,户外冲锋衣、登山裤,户外运动展,https://www.columbia.com.cn/,,
The North Face,Futurelight fabric,高,透气、轻量、防水,登山装备、户外服,公司发布会,https://www.thenorthface.cn/,,
Puma,PUMA CELL、DRY CELL,中,透气、易清洗、舒适,运动网球鞋、跑步鞋,品牌营销活动,https://www.puma.com.cn/,,
ZARA,Technical Fabrics,中,时尚、功能结合,休闲街头服装,时尚市场研究,https://www.zara.com/cn/,,
Mizuno,AeroHug、Dynamotion Fit,高,适应运动姿态、舒适透气,跑步鞋、训练服,运动员反馈,https://www.mizuno.com.cn/,,
Fila,Climacool、Flexibility Fiber,中,优化运动表现、呼吸性好,运动内衣、短裤,体育活动,https://www.fila.com.cn/,,
Nike,Air Max、React,高,轻量舒适、支撑好,运动鞋、跑步鞋,用户评价,https://www.nike.com.cn/,,
Anta,Coolyarn、Shock-absorbing,中,舒适、减震、适合运动,训练鞋、运动服,科技展览会,https://www.anta.com/,,
Under Armour,UA RUSH、HOVR,高,增强肌肉力量、轻量透气,运动T恤、跑步鞋,公司官网,https://www.underarmour.cn/,,
New Balance,NB Dry、Fresh Foam,高,快速干燥、舒适脚感,跑步鞋、运动袜,用户评测,https://www.newbalance.com.cn/,,
Lululemon,Nulu、Silverescent,高,无缝舒适、抗臭,瑜伽服、运动内衣,时尚杂志,https://www.lululemon.cn/,,
H&M,RE:NEWCELL、Lycra,中,环保可再生、优良弹性,休闲裤、运动外套,公司官网,https://www.hm.com/,,
Alo Yoga,Airlift、Soft Resilient,高,塑形、舒适贴合,瑜伽服、运动短裤,社交媒体宣传,https://www.aloyoga.com/,,
Asics,MotionDry、FlyteFoam,高,动态舒适、超轻,马拉松鞋、跑步装备,行业展会,https://www.asics.com.cn/,,
Fila,Coolmax、AirCool,中,排汗、轻量透气,运动裙、T恤,公司官网,https://www.fila.cn/,,
Mizuno,AeroHug、Wave Technology,高,支持性能、舒适感,跑鞋、运动服,用户评测,https://www.mizuno.com.cn/,,
Puma,NXT、Flextape,高,适应性强、环保材料,运动鞋、训练服,市场分析报告,https://www.puma.com.cn/,,
Columbia,Omni-Tech、Omni-Shade,高,防水、防紫外线,户外夹克、登山靴,户外装备展,https://www.columbia.com.cn/,,
ZARA,EcoVero、Recycled Polyester,中,可持续性高、舒适,休闲服、时尚夹克,品牌介绍,https://www.zara.com/,,
Lands' End,Thermatex、Breeze,中,隔热、透气,户外服装、休闲装,公司官网,https://www.landsend.com/,,
Gymshark,FlexFabric、PowerMesh,高,透气、塑形,健身服、运动文胸,运动博主评测,https://www.gymshark.com/,,
Roxy,Eco Fabric、Chlorinated Rubber,中,耐水、舒适适合冲浪,冲浪服、海滩裙,品牌推广,https://www.roxy.com/,,
Adidas,GORE-TEX、Climacool,高,高度耐用、防水透气,登山服、户外鞋,行业新闻,https://www.adidas.cn/,,
Mammut,DRYtech、Base Performance,高,防风、防水,登山夹克、运动背包,专业户外杂志,https://www.mammut.com/,,
Beyond Yoga,Super Soft、Sublime,中,极致舒适、适合日常运动,瑜伽服、休闲装,社交媒体宣传,https://www.beyondyoga.com/,,
Arc'teryx,N70p GORE-TEX、Coreloft,高,轻量、防水、保暖性好,技术夹克、登山装备,专业评测,https://www.arcteryx.com/,,
Lululemon,Nulu、Silverscent,高,超柔软、抗菌、适合瑜伽,瑜伽裤、运动文胸,用户体验报告,https://www.lululemon.com/,,
华为,智能纤维、液态金属,高,抗紫外线、温控调节,智能运动服,科技展览,https://consumer.huawei.com/,,
Under Armour,HeatGear、ColdGear,高,温度调节、透气性好,运动T恤、运动外套,公司官网,https://www.underarmour.cn/,,
新百伦,Fresh Foam、Hypoknit,中,舒适、轻量,跑步鞋、休闲鞋,消费者调研,https://www.newbalance.com.cn/,,
安踏,3D打印技术、轻量网面,高,定制合脚、支持性强,篮球鞋、训练鞋,科技新品发布会,https://www.anta.com/,,
PUMA,FutureFlow、Flawless,高,动态适应性、减震,运动服、滑板鞋,时尚杂志,https://www.puma.com/,,
匡威,Renew Cotton、Flyknit,中,可回收材料、舒适感,休闲鞋、运动背包,公司发布会,https://www.converse.com.cn/,,
ADIDAS,Aeroready、Primeknit,高,吸湿排汗、贴合,运动短裤、跑步鞋,产业报告,https://www.adidas.com.cn/,,
Pattern,Smart Dry、Bio-blend,高,防水、可生物降解,户外运动服,杂志专业分析,https://www.pattern.com/,,
Goose Bumps,Thermal Control、Eco-Wool,中,自然保暖、可持续,冬季外套、毛衣,电子商务平台,https://www.goosebumps.com/,,
Lands' End,Smart Performance、Windbreak,中,抗风、防水,户外夹克、运动裤,行业分析报告,https://www.landsend.com/,,
Nike,Flyleather、Nike Air,高,透气、轻便,运动鞋、跑步服,公司官网,https://www.nike.com/,,
Fabletics,PowerHold、SculptKnit,高,塑形、耐用,瑜伽服、运动文胸,社交媒体广告,https://www.fabletics.com/,,
Superdry,DryTouch、Superlite,中,快干、抗皱,时尚外套、短裤,用户反馈,https://www.superdry.com/,,
Patagonia,H2No、Traceable Down,高,防水、责任采购,登山服、夹克,环保评估报告,https://www.patagonia.com/,,
Balenciaga,Techno Mesh、Ultra Stretch,高,前卫设计、舒适感,运动风时尚服,时尚分析网,https://www.balenciaga.com/,,
H&M,Recycled Polyester、Linen Blend,中,环保、舒适,日常休闲服、运动系列,公司新闻稿,https://www.hm.com/,,
OISelle,High Rise、Breathe Tech,高,高腰设计、排汗透气,跑步服、运动文胸,用户评论,https://www.oiselle.com/,,
Under Armour,UA Tech、HeatGear,高,快干、轻巧、抗菌,训练T恤、运动长裤,公司官网,https://www.underarmour.cn/,,
新百伦,Fresh Foam、Hypoknit,高,舒适性、灵活性、透气性,跑步鞋、训练鞋,行业展会,https://www.newbalance.cn/,,
Lululemon,Nulu、Lightweight Luon,高,极致柔软、适合高强度运动,瑜伽裤、运动文胸,时尚杂志,https://www.lululemon.com/,,
H&M,反向网眼、可持续涤纶,中,环保、舒适、时尚,运动背心、休闲裤,公司官网,https://www.hm.com/,,
PUMA,LITE-SHOW、FlexFoam,高,轻盈、反射设计、适合夜间运动,跑步鞋、运动外套,社交媒体广告,https://www.puma.com/,,
李宁,氮气鞋底、3D编织,高,减震、稳定、耐磨,篮球鞋、跑步鞋,官网产品发布,https://www.lining.com/,,
HOKA ONE ONE,Oligomeric Resin、Gore-Tex,中,抓地力强、防水、超轻,越野跑鞋、徒步鞋,专业跑步论坛,https://www.hoka.com/,,
GAP,Blue Sign认证棉、Modal,中,环保、柔软、透气,运动大衣、休闲服,时尚展会,https://www.gap.com/,,
ASICS,GEL、FlyteFoam,高,缓震、轻量、舒适,跑步鞋、训练鞋,运动科学研究,https://www.asics.com/,,
Columbia,Omni-Tech、防水透气,高,防水、透气、耐磨,户外夹克、徒步装备,户外社群,https://www.columbia.com/,,
FILA,Coolmax、轻量聚酯,中,透气、排湿、快速干,运动裙、抗UV上衣,电商平台,https://www.fila.com/,,
ZARA,再生聚酯、轻量亚麻,中,时尚、透气、环保,运动裤、休闲外套,公司年度报告,https://www.zara.com/,,
Speedo,Endurance+、UltraLite,高,耐氯、超快干、轻便,泳衣、游泳配件,体育赛事赞助,https://www.speedo.com/,,
Oiselle,LuxAnd、Jet Set,高,流动性、柔软性、抗风,运动内衣、跑步外套,品牌活动,https://www.oiselle.com/,,
Arc'teryx,GORE-TEX Pro、Coreloft,高,全防水、透气、保暖,户外背包、夹克,科技测评网站,https://www.arcteryx.com/,,
快时尚品牌,ECO Vero、Tencel,中,可再生材料、柔软、透气性好,运动AS服、休闲裙,时尚博主,https://www.fastfashion.com/,,
AntiSocial,Repreve、Nylon 6,中,高度耐磨、时尚环保,街头风格运动服、外套,潮流网站,https://www.antisocial.com/,,
Alo Yoga,Airlift、Ultralite,高,紧致、透气、抗菌,瑜伽服、运动裤,健康生活杂志,https://www.aloyoga.com/,,
Under Armour,UA HOVR、Microthread,高,舒适、透气、抗菌,运动鞋、跑步服,公司官网,https://www.underarmour.cn/,,
Lululemon,Nulu、Everlux,高,无缝设计、柔软、弹性好,瑜伽裤、运动内衣,用户体验调查,https://www.lululemon.cn/,,
New Balance,Fresh Foam、Hypoknit,高,舒适、轻量、支撑性强,跑步鞋、训练服,市场调研报告,https://www.newbalance.cn/,,
斯凯奇,Air-Cooled Memory Foam,中,透气、轻便、舒适,休闲鞋、运动服,品牌推广活动,https://www.skechers.cn/,,
Asics,GEL、FlyteFoam,高,减震鞋底、动态适应,跑步鞋、运动装备,公司官网,https://www.asics.com.cn/,,
H&M,REPREVE、Tencel,中,环保、透气性好、柔软,时尚休闲服、运动服,公司新闻稿,https://www.hm.com/cn/,,
PUMA,NRC、RS-X,中,回弹性、舒适性、时尚,休闲鞋、运动服装,时尚潮流展,https://www.puma.cn/,,
Fila,Dri-FIT、Lightweight Stretch,中,轻便、适合运动、透气,运动鞋、休闲装,市场推广活动,https://www.fila.cn/,,
ANTA,AGC、Skin-friendly fabric,高,功能性、防紫外线、排汗,运动外套、训练服,产品发布会,https://www.anta.com/,,
Columbia,Omni-Tech、Omni-Heat,高,防水、防风、保暖,户外服装、鞋靴,户外展会,https://www.columbia.cn/,,
来喜,Coolmax、Quick-Dry,中,速干、舒适、透气,健身服、跑步服,消费者调查,https://www.lx.com/,,
Li-Ning,Cushion、UltraLight,高,舒适、减震、轻固,篮球鞋、运动服,产品技术分享会,https://www.lining.com/,,
DECATHLON,Kaway、Softshell,中,耐磨、轻便、适合户外,运动装备、健身器材,公司官网,https://www.decathlon.cn/,,
Nike,Flyknit、Dri-FIT,高,包裹感、透气性优越、轻量,跑步鞋、运动袜,市场分析报告,https://www.nike.com.cn/,,
ZARA,EcoVero、Sustainable Cotton,中,环保、舒适、时尚,休闲装、女装,公司环保计划,https://www.zara.cn/,,
Skechers,Hyper Burst、Air Cooled,高,超轻、透气、舒适,运动鞋、休闲鞋,用户反馈平台,https://www.skechers.cn/,,
Billabong,Ecoluxe、Recycled Polyester,中,环保、防紫外线、舒适,冲浪服、休闲服,社交媒体推广,https://www.billabong.com/,,
Alo Yoga,AirLift、Silhouette,高,极致舒适、宽松剪裁、透气性,瑜伽服、运动套装,健身教练推荐,https://www.aloyoga.com/,,
Under Armour,UA Tech、HeatGear,高,轻量、速干、防异味,运动衫、短裤,市场研究报告,https://www.underarmour.cn/,,
New Balance,NB Dry、Fresh Foam,中,透气、舒适、减震,跑鞋、健身鞋,客户调查,https://www.newbalance.com.cn/,,
Lululemon,Nulu、Luxtreme,高,柔软透气、快干、塑形效果好,瑜伽裤、运动顶,品牌发布会,https://www.lululemon.com/,,
ASICS,GEL、FlyteFoam,高,减震、舒适、耐磨,跑鞋、训练鞋,行业展会,https://www.asics.com/,,
Columbia,Omni-Tech、Omni-Wick,高,防水透气、快速干燥,徒步服、外套,用户反馈,https://www.columbia.com.cn/,,
PUMA,Forever Run、RUNGUIDE,中,舒适、反应灵敏、环保材料,运动鞋、休闲鞋,社会媒体,https://www.puma.com/,,
Reebok,Reebok Cotton+、Speedwick,中,亲肤、速干、适合健身,运动服、训练器材,时尚杂志,https://www.reebok.com/,,
Decathlon,Kalenji Dry+、Sustainable Cotton,高,透气、可持续、轻便,跑步装备、户外设备,公司新闻发布,https://www.decathlon.cn/,,
H&M,Conscious Cotton、Recycled Polyester,中,环保、轻便、快速干燥,休闲服、运动服,环保时尚论坛,https://www.hm.com/,,
FILAS,Drifit、Adapt,高,防潮、快速干燥、贴身舒适,运动鞋、跑步服,行业调研,https://www.fila.com/,,
Lands' End,Tech Knit、Coolmax,中,舒适透气、易打理,休闲运动服、户外装备,市场观察,https://www.landsend.com/,,
The North Face,Futurelight、ThermoBall,高,防水透气、保暖、长期耐用,户外夹克、滑雪服,品牌动态,https://www.thenorthface.com/,,
Hoka One One,EVA Foam、Early Stage Meta-Rocker,高,轻量、缓震、适合越野,跑步鞋、徒步鞋,专业评测,https://www.hoka.com/,,
Patagonia,Hemp Canvas、Recycled Nylon,高,耐用、环保、透气,户外夹克、背包,环境报告,https://www.patagonia.com/,,
Zalora,Zalora Air、Mosaic,中,舒适、轻便、时尚,休闲服、时尚单品,在线商店,https://www.zalora.com/,,
Mizuno,Wave、AeroWave,高,减震、耐用、适合长跑,跑步鞋、训练服,科技新闻,https://www.mizuno.com/,,
Lands' End,Waterproof Shell、Lightweight Insulation,高,防水、保暖、适合恶劣天气,旅行服、户外运动装备,消费者调查,https://www.landsend.com/,,
Giggle,Organic Cotton、Bamboo Fabric,中,舒适柔软、亲肤、环保可持续,婴儿服、休闲装,行业刊物,https://giggle.com/,,
耐克,AeroSwift、Nike Vapor,高,轻便、透气性好、快干,马拉松跑鞋、短跑服,时尚运动展会,https://www.nike.com.cn/,,
Lululemon,Nulu、Luon,高,柔软、舒适、适合瑜伽,瑜伽裤、运动紧身衣,公司官网,https://www.lululemon.com/,,
安踏,HYPERLIGHT、GEL,高,减震、舒适性强、易于穿着,篮球鞋、慢跑鞋,运动品牌博览会,https://www.anta.com/,,
亚瑟士,FlyteFoam、GEL,高,轻量、减震、耐磨,跑鞋、徒步鞋,公司官网,https://www.asics.com.cn/,,
彪马,PUMAGRIP、CELL科技,高,抓地力强、耐磨、舒适,户外鞋、健身服,户外运动展,https://www.puma.com/,,
Under Armour,HeatGear、ColdGear,高,调节温度、舒适、吸湿排汗,运动衫、紧身裤,体育用品市场分析,https://www.underarmour.com/,,
李宁,CoolShell、DBE,中,轻便、透气性一般、抗风,运动外套、功能性裤子,产品发布会,https://www.lining.com/,,
Reebok,NanoWeave、Flexweave,高,强韧、灵活性强、透气好,训练服、跑鞋,健身行业会议,https://www.reebok.com/,,
New Balance,Fresh Foam、Ndurance,中,舒适、防水、耐磨,跑步鞋、日常运动鞋,行业调查,https://www.newbalance.com/,,
Champion,Double Dry、Tech Fleece,中,快干、保暖、耐用,运动卫衣、休闲裤,消费者论坛,https://www.champion.com/,,
FILA,V-FLEX、AEROFRESH,高,高透气性、轻便、运动休闲风,运动鞋、休闲服,时尚杂志,https://www.fila.com/,,
H&M,EcoVero、Lycra,中,环保材料、舒适、适合日常穿着,运动服、休闲装,可持续发展会议,https://www.hm.com.cn/,,
Uniqlo,AIRism、Ultra Light Down,高,轻便、透气、速干,基础T恤、外套,公司官网,https://www.uniqlo.com/,,
Athleta,Chill-Luxe、PowerLite,高,柔软光滑、适合运动、支撑性好,瑜伽服、运动裤,公司官网,https://athleta.gap.com/,,
Mammut,DRYtech、Core>(),高,防水、强韧、适合户外,登山服、滑雪服,户外之旅展,https://www.mammut.com/,,
Columbia,Omni-Tech、Omni-Shield,中,阻挡水分、抗紫外线、透气,户外夹克、运动裤,公司官网,https://www.columbia.com/,,
Patagonia,Hemp、Recycled polyester,高,环保、耐磨、舒适,登山装备、休闲服,可持续品牌调查,https://www.patagonia.com/,,
New Balance,Fresh Foam、Hypoknit,高,舒适、透气、轻量,跑步鞋、健身鞋,公司官网,https://www.newbalance.cn/,,
Under Armour,UA Tech、Storm,高,速干、防水、温控,运动服、外套,公司官网,https://www.underarmour.cn/,,
Lululemon,Nulu、Swift,高,超轻、无缝设计、极致舒适,瑜伽服、运动文胸,用户评价分析,https://www.lululemon.com.cn/,,
H&M,Recycled Cotton、Lenzing Tencel,中,环保、舒适、透气,休闲服、夏季运动服,可持续发展报告,https://www.hm.com.cn/,,
Xtep,TerraSoft、LightShell,高,科技透气、超轻量,马拉松跑鞋、运动外套,品牌推介会,http://www.xtep.com/,,
Puma,RDS羽绒、DryCell,高,保暖、透气、可持续,轻便羽绒服、运动鞋,公司官网,https://www.puma.com.cn/,,
Adidas,AEROREADY、Primeblue,高,速干、环保、舒适合身,运动背心、跑步鞋,公司官网,https://www.adidas.cn/,,
FILA,UltraDry、SoftSpun,中,吸湿、柔软、舒适,羽绒服、休闲裤,市场调查,https://www.fila.cn/,,
Lands' End,AquaTight、ThermaCheck,中,防水、保暖、经典设计,外套、泳衣,客户评价,https://www.landsend.com/,,
Columbia,Omni-Freeze、Omni-Tech,高,冷热调节、透气、防雨,徒步鞋、户外服装,新闻发布会,https://www.columbia.com.cn/,,
Arc'teryx,GORE-TEX、Coreloft,高,防水、绝缘、耐磨,滑雪服、登山夹克,户外展览,https://www.arcteryx.com/,,
Uniqlo,Heattech、AIRism,中,保暖、透气、舒适,保暖内衣、T恤,公司官网,https://www.uniqlo.com/,,
Asics,FlyteFoam、Rear Guard,高,轻量、缓震、透气,跑步鞋、运动服,专业评论,https://www.asics.com.cn/,,
Jack Wolfskin,Texapore、Nanuk,高,防水保暖、环保护,露营服、户外背包,品牌活动,https://www.jackwolfskin.com.cn/,,
Skechers,GOGA Mat、Hyper Burst,高,舒适、支持性强、耐磨,休闲鞋、慢跑鞋,公司官网,https://www.skechers.com.cn/,,
Lands' End,Canvas、Quilted,中,耐用、经典风格、易于护理,休闲外套、帆布鞋,市场反馈,https://www.landsend.com/,,
OnRunning,CloudTec、Speedboard,高,减震、反弹、适合长跑,跑步鞋、运动袜,公司官网,https://www.on-running.cn/,,
New Balance,Fresh Foam X、NB Dry,高,缓震、透气性好、快速干燥,跑步鞋、健身服,公司官网,https://www.newbalance.com.cn/,,
Lululemon,Nulu、Everlux,高,重磅舒适、透气性强、环保可持续,瑜伽服、运动文胸,时尚杂志,https://www.lululemon.com/,,
李宁,Coolmax、超轻涤纶,高,速干、抗皱、轻量,运动T恤、篮球服,公司发布会,https://www.lining.com/,,
Under Armour,UA Tech、HeatGear,高,干爽、舒适、耐磨,运动衫、短裤,用户评价,https://www.underarmour.cn/,,
H&M,Recycled Polyester、Tencel,中,环保、柔软、透气,日常穿着、休闲装,公司年度报告,https://www.hm.com/,,
李宁,SCOORe-TECH、Smart Fabric,高,智能调温、舒适性强,运动裤、长袖T恤,线上市场调查,https://www.lining.com/,,
Columbia,Omni-Tech、Omni-Wick,高,防水透气、速干,户外夹克、远足鞋,户外运动博览会,https://www.columbia.com.cn/,,
Champion,Double Dry、Eco Fleece,中,舒适、回弹性好、持久耐用,运动卫衣、短裤,公司官网,https://www.champion.cn/,,
ASICS,GEL、FlyteFoam,高,减震、轻盈、稳定性好,跑鞋、徒步鞋,公司官网,https://www.asics.com.cn/,,
Puma,ProFoam、RUnCELL,高,极佳反馈、舒适性好,跑步鞋、训练服,行业动态报道,https://www.puma.com.cn/,,
FILA,AeroDry、CoolMax,高,快干、轻便、良好透气性,运动上衣、足球服,时尚行业展览,https://www.fila.cn/,,
Zara,Lyocell、环保棉,中,柔软舒适、日常穿搭,休闲衫、连衣裙,品牌官方资讯,https://www.zara.com/,,
Arc'teryx,GORE-TEX、Coreloft,高,极强防风、防水性能,冬季外套、滑雪服,极限运动展会,https://www.arcteryx.com/,,
Vans,Eco Canvas、ComfyCush,中,可再生材料、舒适,休闲裤、运动鞋,官方产品发布,https://www.vans.cn/,,
Patagonia,Better Sweater、Hemp Fabric,高,可持续、环保、舒适,户外服、活动服,户外品牌论坛,https://www.patagonia.cn/,,
Roxy,WarmFlight、DryFlight,高,保暖、防水、适合冲浪,冲浪服、冬季外套,历史月刊,https://www.roxy.cn/,,
Everlane,Air Weight、ReNew Fabric,中,轻盈透气、环保回收,休闲装、基础服,品牌发布会,https://www.everlane.com/,,
Lululemon,Nulu、Everlux,高,柔软、轻盈、速干,瑜伽服、运动内衣,公司官网,https://www.lululemon.cn/,,
Under Armour,UA Microthread、Threadborne,高,快速干燥、舒适、透气性好,运动T恤、运动裤,公司官网,https://www.underarmour.cn/,,
Asics,Gel、AeroX,高,减震、稳定、透气,跑步鞋、训练鞋,科技新品发布会,https://www.asics.com.cn/,,
Reebok,Flexweave、Floatride,中,耐用、舒适、适合多场景使用,训练鞋、运动服,用户体验调查,https://www.reebok.cn/,,
New Balance,Fresh Foam、Hypoknit,高,舒适性、弹性、防滑,跑步鞋、休闲鞋,公司新闻发布,https://www.newbalance.com.cn/,,
H&M,EcoVero、Tencel,中,环保、柔软、吸湿,休闲服、时尚裙,环境报告,https://www.hm.com/,,
PUMA,NITRO Foam、CELL,高,轻便、舒适、反弹性好,跑鞋、运动外套,设计评审,https://www.puma.cn/,,
Fabletics,PowerHold、LuxLift,中,支撑感、柔软、易清洗,健身服、运动小腿套,用户调研,https://www.fabletics.cn/,,
Mizuno,Wave Plate、Mizuno Breath Thermo,高,保温、减震、耐用,跑步鞋、羽毛球服,行业博览会,https://www.mizuno.cn/,,
On,CloudTec、Zero-Gravity Foam,高,极致舒适、轻便、反弹性极佳,跑步鞋、户外鞋,科技展览,https://www.on-running.com/,,
Anthropologie,Recycled Polyester、Organic Cotton,中,时尚、可持续、舒适,时尚裙、休闲外套,时尚博客,https://www.anthropologie.com/,,
Uniqlo,AIRism、BlockTech,高,透气、快干、轻量,基础款T恤、外套,公司官网,https://www.uniqlo.cn/,,
Nike,NIKESKIN、Flyknit,高,贴合、灵活、透气,足球鞋、跑步鞋,公司官网,https://www.nike.com.cn/,,
L.L.Bean,ThermoGrid、Waterproof Nylon,中,保暖、防水、耐磨,户外夹克、工作服,产品评测,https://www.llbean.com/,,
