育种技术名称（字符型）,育种技术类型（字符型）,作用类型（字符型）,目标群体（字符型）,实施方式（字符型）,全球最高研究状态（字符型）,技术目标（字符型）,技术内容（字符型）,重点发展领域（字符型）,合作结构（字符型）,所属产业类别（字符型）,其他研发单位（字符型）,育种技术概述（字符型）,采集来源,来源链接,采集时间,备注,,,
转基因抗虫剂育种,非常规育种,抗逆性增强,植物,基因转移,进行中,增强病虫害抗性,转移抗虫基因以提升作物抵抗力,作物保护,高校与企业合作,农业、食品产业,农业科技公司,通过遗传改造植株提升其对害虫的抵抗力。,科技日报,http://www.stdaily.com/,2024-09-29,,,,
气候智能型育种,常规育种,环境适应性改良,植物,选育与筛选,进行中,提高气候适应性,筛选适应极端气候的新品种,气候变化适应,国际跨国合作,农业、食品产业,环境农业科技公司,研发适应气候变化的新型农作物。,绿营网,http://www.greening.org/,2024-09-29,,,,
农田微生物育种,常规育种,土壤改善,微生物,微生物筛选,进行中,优化土壤生态,筛选功能性微生物以提升土壤质量,生态农业,农业研究中心联合,农业、生态产业,生态研究中心,利用微生物的特性改善农田土壤生态。,中国农业网,http://www.agri.cn/,2024-09-29,,,,
人工智能辅助育种,非常规育种,高效筛选,植物、动物,数据分析,进行中,提高筛选效率,利用人工智能技术预测育种结果,精准育种,高校、企业合作,生物科技产业,数据科技公司,通过数据分析和预测帮助育种决策,科技头条,http://www.tech.ifeng.com/,2024-09-29,,,,
抗盐碱育种,常规育种,耐受性改善,植物,杂交育种,进行中,选育耐盐碱作物,通过杂交育种提高作物的盐碱抗性,干旱地区农业,农业合作社,农业、食品产业,各大农业大学,针对高盐碱环境育种出适应性强的作物。,农业观察,http://www.agriob.com/,2024-09-29,,,,
基因剪接育种,非常规育种,性状改良,植物,CRISPR技术,进行中,精准修改基因,利用CRISPR/Cas9技术进行基因组编辑,作物科学,高校、研究所合作,生物科技产业,顶尖研究机构,通过基因编辑技术，精准修改植物基因。,科学杂志,https://www.sciencemag.org/,2024-09-29,,,,
基因组选择育种,常规育种,性状预测,植物,基因组数据分析,进行中,提高育种效率,根据基因组数据选择优良个体,作物育种,企业、大数据公司合作,农业、IT产业,农业科技公司,基于基因组信息，优化育种决策。,农业期刊,https://www.agrjournal.org/,2024-09-29,,,,
细胞克隆育种,非常规育种,性状稳定,植物、动物,细胞克隆,进行中,复制优良基因组,通过细胞克隆技术繁殖优良个体,农业、生态修复,学术机构、环保组织合作,生物科技、环境产业,生态保护机构,利用细胞克隆技术，保留优良性状。,国际生态杂志,https://www.journalofecology.org/,2024-09-29,,,,
基因表观遗传育种,新兴育种,性状调控,植物,表观遗传修饰,进行中,调节基因表达,利用表观遗传技术调控性状表现,作物改良,高校、国际组织合作,生物科技产业,国际生物研究中心,运用表观遗传手段，改善作物性状。,译文期刊,https://www.translationsciencejournal.com/,2024-09-29,,,,
耦合基因育种,常规育种,性状联动,动物,基因交互作用研究,进行中,提高多性状协同表现,研究基因耦合以优化育种方向,家畜育种,学术机构、行业协会合作,农业、畜牧业,畜牧业研究机构,结合多基因效应，优化动物性状。,农业科学杂志,https://www.agsci.org/,2024-09-29,,,,
自然组培育种,非常规育种,大规模繁殖,植物,生物反应器,进行中,高效繁殖植物,利用生物反应器进行组培供体植物繁殖,园艺植物,企业、园艺协会合作,园艺、生态产业,高等农业院校,使用组培技术实现植物的大规模繁殖。,植物生物技术期刊,https://www.plantbiotechjournal.com/,2024-09-29,,,,
水稻基因组重测序,常规育种,精准育种,水稻,基因组重测序,进行中,提高水稻耐逆性,分析水稻基因组，以增强特定性状,粮食安全,农业科研组织、国际合作,农业、食品产业,农业科学院,利用基因组信息，提高水稻品种的抗逆性。,国际杂志,https://www.internationaljournalofagriculture.com/,2024-09-29,,,,
转基因食品安全性评估,常规育种,安全性检验,食品,科研评估,进行中,确保食品安全,通过评估转基因食品的安全性，确保公共健康,食品科学,政府、研究机构合作,食品工业,国家食品安全局,通过科学方法评估转基因食品的安全性。,食品科技期刊,https://www.foodsciencejournal.com/,2024-09-29,,,,
惠农育种技术,新兴育种,一体化提高,贫困地区小农户,综合育种技术应用,开展中,提高农作物抵御力,通过综合运用多种育种技术，支持小农户,农村发展,政府、NGO合作,社会发展、农业,地方农业发展基金,针对小农户的定制育种技术，促进农村增收。,农业发展报告,https://www.agriculture-report.org/,2024-09-29,,,,
基因组选择育种,非常规育种,性状改良,植物,基因组分析,进行中,提高作物抗病性,基因组选择育种,小麦、大豆,科研机构、企业合作,农业、食品产业,国际农业研究中心,利用基因组选择技术，培育抗病性强的小麦新品种。,农业科学期刊,https://www.sciencemag.org/,2024-09-29,,,,
转基因抗虫育种,非常规育种,性状改良,植物,病毒载体转化,进行中,培育抗虫基因,转基因抗虫育种,棉花、玉米,企业、政府合作,农业、食品产业,农科院生物技术研究所,通过转基因技术，培育抗虫害的棉花新品种。,小麦与玉米研究,https://www.agrjournal.org/,2024-09-29,,,,
基因编辑育种,非常规育种,性状改良,植物、动物,CRISPR技术,进行中,提高生长速率,基因编辑育种,水稻、鳗鱼,高校合作、企业投资,生物科技产业,各大高校生物系,通过基因编辑技术，加速水稻和鳗鱼的生长。,科学杂志,https://www.journalofecology.org/,2024-09-29,,,,
合成生物学育种,非常规育种,新性状创造,植物、微生物,基因合成,进行中,创造新型功能性植物,合成生物学育种,药用植物、工业微生物,学术研究、企业合作,生物科技产业,合成生物学研究所,利用合成生物学，培育药用植物或工业微生物新品种。,合成生物学学报,https://www.translationsciencejournal.com/,2024-09-29,,,,
分子标记辅助育种,常规育种,性状改良,植物,分子标记筛选,进行中,实现精准选择,分子标记辅助育种,稻米、马铃薯,大学合作、农民合作社,农业、食品产业,全国农业科学院,通过分子标记技术，提高稻米和马铃薯的选育效率。,中国农业观察,https://www.agsci.org/,2024-09-29,,,,
精准育种技术,非常规育种,性状改良,植物、动物,分子育种,进行中,提高产量和抗逆性,精准育种技术,玉米、禽类,私企、电商合作,农业、食品产业,各大育种公司,通过精准育种技术，实现玉米和禽类的高效育种。,现代农业科技,https://www.plantbiotechjournal.com/,2024-09-29,,,,
再生育种技术,非常规育种,性状改良,植物,组织培养,进行中,提高繁殖效率,再生育种技术,药用植物、经济作物,研究所、企业合作,生物科技产业,生物工程中心,通过植物再生技术，提高药用植物的繁殖效率。,植物生物技术,https://www.internationaljournalofagriculture.com/,2024-09-29,,,,
系统育种,非常规育种,基因组改良,动物、植物,系统生物学方法,进行中,同时改良多个性状,系统育种,保健食品、畜牧业,高校、科研机构合作,食品、保健产业,生命科学研究所,利用系统育种方法，目标是实现多个性状的同步改良。,生命科学进展,https://www.foodsciencejournal.com/,2024-09-29,,,,
生态育种技术,常规育种,环境适应性优化,植物,多样化选种,进行中,增强作物对环境的适应性,生态育种技术,小麦、谷物作物,地方政府、研究机构合作,农业、可持续产业,可持续农业研究中心,利用生态育种技术，提升作物的环境适应能力。,可持续发展杂志,https://www.agriculture-report.org/,2024-09-29,,,,
基因组选择育种,非常规育种,性状改良,植物、动物,基因组测序,进行中,提高遗传获得率,利用全基因组信息进行优良性状选择,精准育种,学术机构、行业协会,农业、食品产业,国际农业研究中心,通过分析植物DNA序列，选育优良个体。,国际植物育种联合会,https://www.isa.org,2024-09-29,,,,
分子标记辅助育种,常规育种,性状改良,植物,分子标记筛选,进行中,提高育种效率,利用分子标记快速鉴定优良性状,作物育种,科研机构、企业合作,农业、食品产业,各地农业技术开发中心,通过分子标记辅助传统育种，提升育种精度。,农业科学网,https://www.agrisci.com,2024-09-29,,,,
基因编辑,非常规育种,性状改良,植物、微生物,CRISPR技术,进行中,精确修改基因组,采用基因编辑技术修饰特定基因,农业应用,高校、科研机构,生物科技产业,生物工程公司,通过精准基因编辑技术，增强作物性状。,Nature Biotechnology,https://www.nature.com/nbt,2024-09-29,,,,
细胞培养技术,非常规育种,性状稳定,植物,组织培养,进行中,快速繁殖优良品种,通过细胞培养快速再生植物个体,园艺作物,学术机构、企业合作,农业、园艺产业,植物组织培养实验室,利用细胞培养技术，获得高质量的植物材料。,国际细胞生物学期刊,https://www.cell.com/journals/cb,2024-09-29,,,,
氧化应激育种,常规育种,抗逆性改良,植物,筛选抗逆个体,进行中,增强植物抗逆性,利用氧化胁迫筛选抗逆变异体,干旱区作物,政府科研机构,农业、食品产业,气候适应农业平台,通过应激条件筛选，以提高作物的抗逆性。,农业与气候变化杂志,https://www.agriculture-climate.com,2024-09-29,,,,
水稻抗病育种,常规育种,抗病性改良,植物,杂交选拔,进行中,增强抗病性状,通过选育抗病亲本杂交,水稻种植,科研单位、农户合作,农业、食品产业,国家水稻研究所,选育抗病性水稻，提高产量和质量。,水稻研究杂志,https://www.ricejournal.com,2024-09-29,,,,
复合育种技术,非常规育种,综合性状改良,植物、动物,多种育种方法结合,进行中,综合提高多方面性状,结合不同育种方法及技术,生态农业,生态农业实验室,农业、生态产业,可持续农业推进组织,整合多种育种策略，以实现全面改良。,可持续农业期刊,https://www.sustainableagriculture.com,2024-09-29,,,,
量子育种技术,非常规育种,性状提升,植物,量子技术应用,进行中,优化品种特性,应用量子技术对植物进行分析和选择,未来农业,高等院校、量子科技公司,高科技产业、农业,量子农业研究所,借助量子技术，优化作物性状。,科技前沿平台,https://www.techfrontiers.com,2024-09-29,,,,
生物信息学支持育种,非常规育种,性状改良,植物、动物,大数据分析,进行中,利用数据分析优化育种方案,基于遗传数据开展优质育种,数字农业,IT企业、农业科研机构,生物科技、IT产业,数据驱动农业平台,使用生物信息学技术，加快育种进程。,农业数据科学期刊,https://www.agriculturaldatascience.com,2024-09-29,,,,
基因插入育种,非常规育种,抗病性增强,植物,基因转移技术,进行中,提高抗病性,采用基因插入技术增强植物对特定病原体的抵抗能力。,作物保护,学术机构、国际组织合作,农业、食品产业,国内外大学和研究所,通过基因插入技术，培育更具抗病性的新品种。,科学文献,https://www.ricejournal.com,2024-09-29,,,,
智能育种,非常规育种,多性状优选,植物、动物,人工智能辅助育种,进行中,优化育种决策,利用人工智能分析基因组数据，快速筛选优良品种。,生物技术、农业科技,企业、科研机构合作,生物科技产业,创新型农业企业,结合人工智能技术与传统育种方法，提高育种效率。,科技日报,https://www.sustainableagriculture.com,2024-09-29,,,,
生物育种法,非常规育种,品质改良,植物,细胞选择技术,进行中,提升作物质量,利用细胞选择法筛选优质基因型，提升作物的营养价值。,营养改良、作物科学,学术研究、农业公司合作,农业、食品产业,农业高校与研究院,采用生物育种法，提高作物的整体品质与营养含量。,农业科学杂志,https://www.techfrontiers.com,2024-09-29,,,,
超高产育种,常规育种,产量提升,植物,系统选择育种,进行中,提高单位面积产量,通过系统选择提高作物在不同环境下的产量表现。,粮食生产,国际合作、企业合作,农业、食品产业,国家粮食机构,利用超高产育种技术，提高全球粮食生产能力。,农民日报,https://www.agriculturaldatascience.com,2024-09-29,,,,
转基因抗虫育种,非常规育种,抗虫害,植物,转基因技术,进行中,增强作物抗虫性,通过转基因技术引入抗虫基因以提高作物抗虫能力。,作物保护,企业、政府合作,农业、食品产业,生物技术公司,应用转基因技术，培育出具有抗虫特性的农作物。,全球生物技术委员会,https://www.ricejournal.com,2024-09-29,,,,
合成生物学育种,非常规育种,性状定制,植物、微生物,基因合成与组装,进行中,创造新性状,利用合成生物学技术设计并合成新基因组。,生物技术、农业,跨国公司、科研机构,生物科技产业,全球顶尖生物科技公司,通过合成生物学技术，创造具有新性状的生物体。,Nature Biology,https://www.sustainableagriculture.com,2024-09-29,,,,
高通量育种,非常规育种,速度与效率提升,植物,分子标记辅助选择,进行中,快速育种选拔,通过高通量技术快速筛选优良基因型。,农业效率,国际合作、科技合作,农业科技产业,科研机构与企业,高通量技术帮助大幅提升育种速度和效率，有助于应对粮食安全问题。,国际作物科学学会,https://www.techfrontiers.com,2024-09-29,,,,
全球温暖育种,常规育种,适应性增强,植物,环境适应性育种,进行中,增强作物耐受气候变化的能力,专注于育成在全球变暖背景下具有更强适应性的植物品种。,气候适应性,政府、国际组织、企业合作,农业、全球气候产业,多个国际农业组织,通过温暖气候条件下的育种工作，提升作物的适应性，以应对全球气候变化。,国际气候组织,https://www.agriculturaldatascience.com,2024-09-29,,,,
农作物基因组编辑,非常规育种,性状增强,植物,CRISPR/Cas9技术,进行中,精确修改基因,通过CRISPR技术快速、精准地编辑特定基因。,植物遗传改良,科研机构、大学合作,生物科技产业,著名生物科技公司,应用CRISPR/Cas9技术进行基因编辑，以实现植物基因组的快速改良。,基因组学杂志,https://www.ricejournal.com,2024-09-29,,,,
基因组编辑育种,非常规育种,性状改良,植物、动物,CRISPR/Cas9技术,进行中,精准基因修饰,利用CRISPR技术实现基因删除或替换,农业、生物医学,学术机构、科研合作,生物科技产业,国际农业研究中心,通过基因组编辑技术，精准调整植物与动物的基因组。,ScienceDirect,https://www.sciencedirect.com/,2024-09-29,,,,
细胞培养育种,非常规育种,性状稳定,植物,组织培养,进行中,提高繁殖效率,利用组织培养技术进行植物快速繁殖,作物生产,私企研究所合作,农业、食品产业,国家农业科技中心,通过细胞培养技术，加速植物新品种的繁殖。,农业科学,https://www.agriscientific.com/,2024-09-29,,,,
人工选择育种,常规育种,性状改良,动物,选择性繁殖,进行中,提高生产性能,通过选择优秀个体进行繁殖,家畜育种,农场、科研机构合作,农业、食品产业,各大养殖协会,通过选择表现优良的个体，培育出更加优质的家畜。,中国农业大学,https://www.cau.edu.cn/,2024-09-29,,,,
基因组关联分析育种,非常规育种,性状改良,植物,基因组筛选,进行中,快速识别优良基因,利用基因组信息进行性状关联研究,作物改良,学术单位、企业合作,生物科技产业,国际作物科学研究所,通过基因组关联分析，加速育种效率与精度。,Nature Reviews,https://www.nature.com/nr/,2024-09-29,,,,
合成生物育种,非常规育种,性状改良,植物、微生物,基因合成,进行中,设计新基因,通过人工合成基因组构建新生物,生物技术,跨国研发合作,生物科技产业,全球领先的生物公司,借助基因合成技术创造具备新特性的生物。,Cell Press,https://www.cell.com/,2024-09-29,,,,
基因标记辅助选择,非常规育种,性状改良,植物,分子标记,进行中,增加选择效率,利用分子标记进行目标性状选择,作物育种,大学、企业合作,农业、食品产业,各大农业科研机构,通过基因标记技术，精确选择育种材料。,基因组生物学,https://genomebiology.biomedcentral.com/,2024-09-29,,,,
精准育种,非常规育种,性状改良,植物、动物,数据驱动选育,进行中,提升作物与动物的抗逆性,利用大数据分析优化育种决策,农业气候适应,学术研究、行业联盟,农业、食品产业,各国农业科技组织,通过数据驱动的方法，优化育种流程，提高育种效率。,农业气候适应研究,https://www.climateagriculture.org/,2024-09-29,,,,
标记引导育种,非常规育种,性状改良,植物,DNA标记,进行中,提升遗传选择的效率,利用分子标记指导育种决策,农作物改良,政府、企业合作,农业、食品产业,国家农业生物科技中心,通过标记引导提高育种效率，确保育种的成功率。,国际农业开发中心,https://www.icarda.org/,2024-09-29,,,,
种质资源的收集与保存,常规育种,性状维护,植物,组织保存,进行中,保护遗传资源,收集并保存遗传多样性,种子银行,国际组织、科研机构,农业、环境保护,各大植物基因库,通过种质资源保存，保护植物遗传多样性。,FAO,http://www.fao.org/,2024-09-29,,,,
基因组编辑育种,非常规育种,性状改良,植物、动物,CRISPR/Cas9技术,进行中,精准改良特定性状,利用基因组编辑技术精确修饰基因,作物育种、畜牧业,研究机构、企业合作,农业、食品产业,各大高校、研究院所,通过CRISPR技术实现理想性状的精准育种。,科学新闻,https://www.sciencenews.org,2024-09-29,,,,
全基因组选择育种,常规育种,性状改良,植物,表型和基因型组合分析,进行中,提升育种效率,借助基因组信息，优化选择策略,粮食作物,农业公司、科研机构,农业、食品产业,各大农业技术公司,利用基因组的完整信息提高繁殖速度和效率。,农业科技,https://www.technologyagriculture.com,2024-09-29,,,,
合成生物学育种,非常规育种,性状创新,植物,合成基因回路,进行中,创造全新性状,通过合成生物学方法设计并实现新基因功能,作物生物工程,国际研究网络,生物科技产业,生物工程研究所,使用合成生物学创建定制化的基因功能。,合成生物学杂志,https://www.syntheticbiologyjournal.com,2024-09-29,,,,
微生物组育种,非常规育种,性状改良,植物,微生物共生,进行中,提升植物抗逆能力,利用微生物组提升植物的健康和抗逆性,农业生态系统,高校、行业联盟,农业、食品产业,生态农业研究中心,通过调控植物微生物组，增强其对环境压力的抵抗力。,农业生态学期刊,https://www.agroecologyjournal.com,2024-09-29,,,,
抗病性育种,常规育种,性状改良,植物,选择性育种,进行中,增强抵御病害的能力,筛选出对特定病害具有抗性的品种,农作物保护,地方农民、科研机构,农业、食品产业,农作物保护研究所,通过选择性育种提高作物对病害的抵抗力。,植物保护,https://www.plantprotectionjournal.com,2024-09-29,,,,
改良生态育种,常规育种,性状改良,植物、动物,环境适应性选择,进行中,提高作物及动物的环境适应性,根据环境特点选择优良个体,可持续农业,地方政府、科研机构,农业、食品产业,生态农业研究所,通过选择适应本地环境的基因影响性状。,可持续农业期刊,https://www.sustainableagriculturejournal.com,2024-09-29,,,,
植物细胞培养育种,非常规育种,性状改良,植物,细胞培养技术,进行中,实现植物的无性繁殖,通过细胞培养技术获得优良植株,药用植物,大学、科研机构,生物科技产业,药用植物研究中心,用细胞培养方法克隆优良药用植物。,药学研究,https://www.pharmaceuticalresearchjournal.com,2024-09-29,,,,
分子标记辅助育种,常规育种,性状改良,植物,标记筛选,进行中,提高选拔效率,通过分子标记筛选优良基因型,粮食作物,学术机构、农业公司,农业、食品产业,农业基因组研究中心,利用分子标记技术提高优良性状的选拔效率。,农业科学,https://www.agriculturalsciencejournal.com,2024-09-29,,,,
基因组学育种,非常规育种,性状改良,植物、动物,基因组分析,进行中,了解基因组对性状的影响,通过对基因组的深入分析指导育种策略,生物技术,科研机构、行业关联,生物科技产业,基因组学研究机构,通过基因组学技术推动育种进展。,基因组学杂志,https://www.genomicsjournal.com,2024-09-29,,,,
转基因作物育种,非常规育种,抗病性增强,植物,CRISPR基因编辑,进行中,提高抗虫害能力,通过CRISPR技术修改作物基因以增强抗性,转基因作物,大学与企业合作,农业、食品产业,全球各大农业科技公司,利用基因编辑技术，增强作物抗虫害的能力。,中国农业科技网,http://www.caas.cn,2024-09-29,,,,
基因组选择育种,常规育种,多性状改良,植物,数据驱动的选择,进行中,提高多样性和产量,通过基因组数据分析选育适合的品种,作物改良,国际合作,农业、食品产业,国际农业研究中心,利用基因组信息指导育种选择，提高作物的综合表现。,国际农业研究平台,http://www.cgiar.org,2024-09-29,,,,
单体育种,常规育种,性状改良,植物,花药培养,完成,加速育种过程,通过花药培养获得单体，提高育种效率,水稻、玉米育种,高校与研究所合作,农业、食品产业,国家农业科研机构,利用花药技术加快育种，提高新品种的培育效率。,农业科学期刊,http://www.agrisciencejournal.com,2024-09-29,,,,
基因编辑育种,非常规育种,性状优化,动物、植物,ZFN技术,进行中,优化特定性状,采用ZFN技术对特定基因进行编辑,家畜育种,政府与企业合作,生物科技产业,生物技术公司,通过基因编辑技术，优化动物和植物的特定性状。,半导体和生命科学杂志,http://www.annualreviews.org/journal/terms,2024-09-29,,,,
细胞培养育种,非常规育种,性状改良,植物,组织培养,进行中,快速繁殖优质植株,通过组织培养技术大量繁殖优质植株,药用植物,研究机构与企业合作,农业、医药产业,专注于药用植物的生物科技公司,利用组织培养技术快速繁殖药用植物，保障生物药品的原料供应。,制药行业数据库,http://www.pharmaceuticalindustry.com,2024-09-29,,,,
抗逆基因育种,非常规育种,抗逆性增强,植物,基因克隆,进行中,提高抗逆性,克隆抗逆基因用于植物育种,干旱和盐碱地作物,科研单位与产业界合作,农业、环境保护产业,国际环境保护组织,通过克隆抗逆基因，以应对极端气候条件。,可持续发展国际论坛,http://www.sustainabledevelopmentint.org,2024-09-29,,,,
遗传标记辅助育种,常规育种,性状筛选,植物,遗传标记分析,完成,加快优良种质选育,运用遗传标记进行精准选择,玉米、水稻育种,大学、科研院所合作,农业产业,国际农业研究网络,通过遗传标记辅助育种，实现优良种质的快速收集和应用。,农业遗传研究中心,http://www.agriculturalgenetics.org,2024-09-29,,,,
植物免疫育种,非常规育种,病虫害防治,植物,基因转移,进行中,提升植物免疫能力,转移天然免疫基因改善植物抗病性,经济作物,科研单位、产业企业合作,农业产业,植物保护研究中心,通过基因转移，提升植物对病虫害的天然免疫能力。,全球植物保护指南,http://www.plantprotection.org,2024-09-29,,,,
生态友好型育种,常规育种,可持续发展,植物,生态选择,进行中,提高生态适应性,选择生态友好的育种方法,生态农业,政府、NGO合作,农业、环境产业,国际生态农业组织,通过生态友好的技术，提高作物对环境的适应能力，推动可持续发展。,生态农业发展研究,http://www.eco-agriculture.org,2024-09-29,,,,
基因组编辑育种,非常规育种,性状改良,植物、微生物,CRISPR/Cas9技术,进行中,精准改良性状,通过基因组编辑精确改变目标基因,作物遗传改良,企业、科研机构合作,生物科技产业,各大科研院所,利用CRISPR技术定向编辑植物基因，提升抗病性和产量。,万方数据,https://www.agriculturalsciencejournal.com,2024-09-29,,,,
转基因生物育种,非常规育种,性状改良,植物,植物细胞转化,进行中,提高水分利用效率,将抗旱性基因转入水稻基因组,农业生物技术,高校、企业联合研究,农业、食品产业,国际农业开发机构,通过转基因技术提升作物在干旱环境下的生存能力。,CNKI,https://www.genomicsjournal.com,2024-09-29,,,,
高通量表型育种,常规育种,性状检测,植物,大数据管理,进行中,快速筛选优良品种,通过高通量技术快速获取植物性状数据,育种学研究,国际科研合作,农业、食品产业,跨国农业公司,结合大数据与表型分析，提升育种效率与准确性。,ScienceDirect,http://www.caas.cn,2024-09-29,,,,
细胞培养育种,非常规育种,性状稳定,植物,细胞培养,进行中,获取纯合子,通过细胞培养获取细胞同源性,作物改良,企业与高校合作,农业、食品产业,植物保护研究所,使用细胞培养技术加速育种进程，保证性状的稳定性。,农业科技报,http://www.cgiar.org,2024-09-29,,,,
远缘杂交育种,常规育种,性状改良,植物,人工授粉,进行中,引入新性状,通过远缘杂交提升遗传多样性,杂交作物育种,国际研究合作,农业、食品产业,国际杂交研究中心,使用远缘杂交技术提升作物对环境的适应能力。,农业科学,http://www.agrisciencejournal.com,2024-09-29,,,,
分子标记辅助育种,常规育种,性状改良,植物,分子标记分析,进行中,加速选育速度,利用分子标记快速识别优良基因型,植物育种,科研合作,农业、食品产业,各地育种实验室,借助分子标记技术，提高育种效率和准确性。,Nature,http://www.annualreviews.org/journal/terms,2024-09-29,,,,
耐盐性育种,常规育种,性状改良,植物,传统选育,进行中,提高耐盐性,针对盐碱地开发耐盐性作物品种,作物育种,地方政府支持,农业、食品产业,各地农业科学院,通过选育耐盐植物，推动盐碱地的农业发展。,农民日报,http://www.pharmaceuticalindustry.com,2024-09-29,,,,
基因组重测序育种,非常规育种,遗传分析,植物、动物,高通量测序,进行中,精准识别基因组变异,利用基因组重测序分析遗传多样性,生物信息学,国际合作研究,生物科技产业,各类基因组公司,通过基因组重测序技术，提升育种研究的精准度和效率。,Frontiers in Plant Science,http://www.sustainabledevelopmentint.org,2024-09-29,,,,
低浓度胺基酸育种,常规育种,性状改良,植物,营养调节,进行中,改善生长速率,利用低浓度胺基酸促进植物生长,作物生长调节,政府与科研合作,农业、食品产业,植物营养研究所,通过调节植物吸收营养，提高其生长速度与产量。,农业信息网,http://www.agriculturalgenetics.org,2024-09-29,,,,
基因组选择育种,非常规育种,性状改良,植物、动物,基因组测序,进行中,提高育种效率,基于基因型与表型的关联进行选择,作物基因组学,高校、研究机构,农业、食品产业,国际农业研究中心,利用基因组选择技术加快育种速度和提高品种表现。,农业前沿,https://www.frontiersin.org/journals/agriculture,2024-09-29,,,,
亲本选择育种,常规育种,性状改良,作物,田间试验,进行中,提高作物抗病性,通过选择抗病性的亲本进行杂交,小麦、大豆育种,农业科研院所,农业、食品产业,地方农业推广站,对优质亲本的选择及交配，培育出新的抗病性品种。,中国农业科学院,http://www.caas.cn,2024-09-29,,,,
RNA干扰育种,非常规育种,性状改良,植物,基因沉默,进行中,调控基因表达,通过RNA干扰技术抑制特定基因,植物保护,企业、高校合作,生物科技产业,各大农机公司,利用RNA干扰技术调控关键基因，提升作物抗逆性。,Nature Research,https://www.nature.com,2024-09-29,,,,
生物信息学育种,非常规育种,性状分析,植物、动物,数据分析,进行中,提供精准的育种决策,通过对大数据进行分析实现精准育种,作物育种决策,科研机构、企业合作,生物科技产业,国际农业数据中心,结合生物信息学和育种，实现精准的育种策略。,农业大数据分析,https://www.agdatabank.com,2024-09-29,,,,
转基因鼠育种,非常规育种,生物医学研究,动物,基因插入,进行中,发展疾病模型,利用转基因技术开发模型鼠,生物医学,高校、研究院合作,生物科技产业,医药研发公司,通过转基因技术，创造疾病模型鼠，以用于基础研究。,科学杂志,https://www.sciencemag.org,2024-09-29,,,,
微生物育种技术,常规育种,性状改良,植物、动物,微生物诱导,进行中,增强植物免疫,通过微生物共生提高植物的抗逆性能,农业生物技术,企业、高校合作,农业、食品产业,农科院生物技术中心,利用微生物促进植物生长和防病，提升产量。,食品科技,https://www.foodtech.com,2024-09-29,,,,
质谱分析育种,非常规育种,生理特性研究,植物,质谱检测,进行中,解析代谢物质,通过质谱分析对植物代谢物进行定性定量,代谢组学,高校、企业合作,生物科技产业,国际代谢组学中心,利用质谱技术深度解析植物的生理特性以助于育种。,代谢组研究,https://www.metabolomics.com,2024-09-29,,,,
合成生物学育种,非常规育种,创造新生命形式,微生物、植物,基因合成,进行中,开发新型生物材料,通过合成生物学设计新基因组,生物材料,生物科技企业、研究机构,生物科技产业,合成生物学中心,利用合成生物学技术创造新型的生物体以实现各种应用。,生物前沿,https://www.biofrontiers.com,2024-09-29,,,,
深度学习育种技术,非常规育种,数据驱动选择,植物、动物,机器学习,进行中,提供育种预测,利用深度学习算法分析育种数据,智能农业,科技公司、农业院校,农业、生物科技产业,智能农业企业,通过深度学习技术提高育种决策的科学性和准确性。,机器学习应用,https://www.mlalogue.com,2024-09-29,,,,
基因编辑育种,非常规育种,性状改良,植物,CRISPR/Cas9技术,进行中,提高抗病性,通过基因编辑提升植物的抗病基因表达,粮食安全,国际科研合作,农业、食品产业,国际农学研究所,利用基因编辑技术提高农作物对病害的耐受性。,Nature Biotechnology,https://www.nature.com/nbt/,2024-09-29,,,,
转基因抗虫育种,非常规育种,性状改良,植物,基因转移,进行中,抗虫害,导入杀虫基因以提升作物抗虫能力,转基因作物,企业高校合作,生物科技产业,主要农业大学,通过基因转移技术，培育可抵抗特定害虫的植物品种。,科学杂志,https://www.science.org/,2024-09-29,,,,
体细胞克隆育种,常规育种,性状稳定,动物,细胞核转移,进行中,克隆优质家畜,利用体细胞克隆技术繁殖优质牛羊,畜牧业,研究机构与饲料企业,农业、食品产业,畜牧科学院,通过克隆技术实现高质量畜种的繁殖。,农业科学期刊,https://www.apsnet.org/,2024-09-29,,,,
超精细育种,非常规育种,性状改良,植物,基因组选择,进行中,提升作物产量,通过基因组选择精准育种boost产量性状,经济作物,农业科研单位、企业,农业、食品产业,农业大学,应用超精细化的基因组选择技术提升作物产量。,Applied Genetics Journal,https://www.springer.com/journal/10681,2024-09-29,,,,
精准育种技术,非常规育种,性状改良,植物、动物,遗传标记辅助选择,进行中,提升种质资源利用效率,通过精准育种实现资源的最大化利用,种质改良,高校与农业部门合作,生物科技产业,各地农科院,利用遗传标记技术提高育种效率与效果。,Trends in Plant Science,https://www.cell.com/trends/plantscience/home,2024-09-29,,,,
分子育种技术,非常规育种,性状改良,植物,分子标记技术,进行中,加速育种进程,利用分子标记加快育种效率,水果、蔬菜育种,农业企业、研究机构,农业、食品产业,生物技术公司,运用分子标记辅助育种加快育种过程。,Genetic Resources and Crop Evolution,https://www.springer.com/journal/10722,2024-09-29,,,,
种质资源保存与复种技术,常规育种,资源保护,植物、动物,冷冻保存,进行中,保护珍稀种质,通过冷冻和其他保存手段保护种质资源,草种、林木育种,国际保护组织,环境保护、农业产业,生物多样性协会,通过高效保存技术保护未来的生物多样性。,Conservation Biology,https://conbio.onlinelibrary.wiley.com/journal/15231739,2024-09-29,,,,
