品牌,面料,科技含量,特点,主要产品,采集来源,来源链接,采集时间,备注【疑问汇总】
Under Armour,UA RUSH,高,增强运动表现、透气、排汗,运动紧身衣、T恤,公司官网,https://www.underarmour.cn/,,
特步,X-3防水面料,高,防水、防风、耐用,外套、运动裤,公司官网,http://www.xtep.com/,,
361度,智能温控材料,高,自我调节温度、轻便、透气,跑步鞋、运动服,公司官网,http://www.361sport.com/,,
露露柠檬,Nulu面料,高,极柔软、轻盈、透气,瑜伽裤、运动上衣,公司官网,https://www.lululemon.com/,,
亚瑟士,FlyteFoam,高,轻量化、减震、耐用,跑步鞋,公司官网,https://www.asics.com.cn/,,
On昂跑,CloudTec技术,高,极致缓震、舒适感、反应灵敏,跑步鞋,公司官网,https://www.on-running.cn/,,
斯凯奇,Hyper Burst、Air Cooled,高,轻质、透气、能量回馈,跑步鞋、休闲鞋,公司官网,https://www.skechers.com/,,
Puma,NITRO、SoftFoam+,高,缓震、热能调节、舒适,运动鞋、训练鞋,公司官网,https://www.puma.com/,,
New Balance,Fresh Foam、FuelCell,高,轻盈、反应灵敏、高回弹,跑步鞋、健身鞋,公司官网,https://www.newbalance.cn/,,
H&M,可再生聚酯纤维,中,可持续、环保、柔软,运动服、休闲服,公司官网,https://www.hm.com/,,
Lululemon,LUON、Nulu,高,高弹性、透气、吸汗,瑜伽裤、运动上衣,公司官网,https://www.lululemon.com/,,
安踏,技术基因环保面料,高,环保、 влагостойкость、快干,运动鞋、外套,公司官网,http://anta.cn/,,
李宁,柔韧织物、抗菌面料,高,舒适、抗菌、易清洗,运动服、训练服,公司官网,https://store.lining.com/,,
Under Armour,UA Charged Cushioning、AeroVent,高,舒适、温度调节、耐用,跑步鞋、运动服,公司官网,https://www.underarmour.cn/,,
迪卡侬,Teflon涂层面料,中,防水、抗污、耐用,登山服、徒步鞋,公司官网,https://www.decathlon.com.cn/,,
特步,织物质感聚酯纤维,高,柔软、耐磨、清爽透气,运动裤、运动上衣,公司官网,http://www.xtep.com/,,
李宁,皮革、轻便缓震科技,高,舒适、减震性能优越、耐磨,智能跑鞋、休闲鞋,公司官网,https://store.lining.com/,,
安踏,CottonFlex、透气网布,高,舒适透气、清凉、快速干燥,运动短裤、跑步T恤,运动装备评测网,https://sportreviews.com/,,
耐克,Nike AeroShield,高,防风防水、透气、轻便,户外运动夹克、登山服,户外运动杂志,https://outdoor-magazine.com/,,
阿迪达斯,Parley Ocean Plastic,高,环保、出色透气性、多功能,环保运动鞋、运动背包,环境保护新闻,https://environmentnews.org/,,
361度,高科技聚酯纤维,高,超轻、抗菌、抗UV,户外活动服、跑步裤,时尚运动周刊,https://fashionreview.com/,,
特步,发泡聚氨酯、抗撕裂布,高,耐用、减震、时尚设计,篮球鞋、跑步鞋,公开市场分析报告,https://marketanalysis.org/,,
Under Armour,UA HOVR Foam、UA Threadborne,高,卓越回弹、外形现代、舒适,健身鞋、训练服,健康与健身网络,https://fitnessnetwork.com/,,
露露柠檬,Nulu、Nulu Align,高,柔软、适合瑜伽、透气,瑜伽紧身裤、运动上衣,女性运动时尚,https://womensportstyle.com/,,
亚瑟士,GEL技术、FlyteFoam,高,弹性优异、轻便、抗震,跑鞋、训练鞋,策略运动行为研究,https://sportsbehavior.org/,,
On昂跑,CloudTec、speedboard,高,提高运动效率、极佳冲击吸收、轻盈,跑步鞋、城市休闲鞋,跑步设备评测,https://runninggearreviews.com/,,
Puma,Puma DryCELL,高,透气、快干、舒适合身,运动T恤、跑步短裤,公司官网,https://www.puma.com.cn/,,
New Balance,NB Dry、Fresh Foam,高,吸湿排汗、抗菌、减震,跑步鞋、休闲鞋,公司官网,https://www.newbalance.com.cn/,,
北面(The North Face),GORE-TEX、ThermoBall,高,防水、保温、透气设计,户外夹克、羽绒服,公司官网,https://www.thenorthface.com.cn/,,
Columbia,Omni-Shade、Omni-Tech,高,防晒、防水、透气,户外衬衫、户外裤,公司官网,https://www.columbia.com.cn/,,
H&M,RECYCLED POLYESTER,中,环保、舒适、适合日常穿着,运动服、休闲服,公司官网,https://www.hm.com.cn/,,
Lululemon,Nulu、Luxtreme,高,轻盈、舒适、适合做瑜伽,瑜伽服、跑步服,公司官网,https://www.lululemon.cn/,,
Xtep,抗菌透气面料,高,抗菌、快干、防紫外线,运动袜、运动上衣,公司官网,http://www.xtep.com/,,
Vans,Traditionally Canvas,中,经典、舒适、耐磨,滑板鞋、休闲鞋,公司官网,https://www.vans.com.cn/,,
Reebok,Flexweave、Speedwick,高,灵活性好、透气、吸湿排汗,跑步鞋、CrossFit服装,公司官网,https://www.reebok.com.cn/,,
FILA,Quick-Dry polyester,高,吸湿速干、舒适、适合运动,运动服、跑步装备,公司官网,https://www.fila.com.cn/,,
耐克,Flyleather,高,环保、透气性好、良好的耐用性,篮球鞋、跑鞋,公司官网,https://www.nike.com.cn/,,
阿迪达斯,Sustainable Cotton,中,可持续发展、舒适、适合日常穿着,运动T恤、休闲裤,阿迪达斯官网,https://www.adidas.com.cn/,,
安踏,气流穿孔面料,高,超强透气、防潮、轻量,跑步服、运动夹克,安踏官网,http://anta.cn/,,
李宁,ONEMAX,高,光滑触感、高弹性、良好回弹性,跑步鞋、健身鞋,李宁官网,https://store.lining.com/,,
Under Armour,UA RUSH,高,促进血液循环、增强表现、保持温度,健身服、运动长裤,UA官网,https://www.underarmour.cn/,,
特步,Reflex科技,高,增强灵活性、舒适合身、适合各类运动,跑步鞋、综合训练鞋,特步官网,http://www.xtep.com/,,
361度,High-ventilation Mesh,中,极致透气、轻质、快干,运动鞋、运动服,361官网,http://www.361sport.com/,,
露露柠檬,Nulu风格面料,高,超级柔软、极致舒适、适合瑜伽,瑜伽裤、运动外套,露露柠檬官网,https://www.lululemon.com/,,
亚瑟士,Seamless Fit,高,无缝设计、贴合度高、避免摩擦,运动紧身衣、跑步骨架,亚瑟士官网,https://www.asics.com.cn/,,
On昂跑,Cloudflow面料,高,超轻、极佳抓地力、适合长途跑步,跑步鞋、跑步袜,On官网,https://www.on-running.cn/,,
耐克,FlyVent、React,高,轻盈透气、快干、优质支撑,跑步鞋、训练鞋,品牌发布会,https://www.nike.com.cn/,,
阿迪达斯,Heat.RDY、AEROREADY,高,透气、排湿、适应高温环境,跑步服、训练服,运动服展会,https://www.adidas.com.cn/,,
安踏,智能调温科技、快干面料,高,智能温控、吸湿速干,运动外套、长袖T恤,行业分析报告,http://anta.cn/,,
李宁,Airy Tech、快干科技,高,轻便、透气、防潮,运动鞋、印花T恤,品牌协作活动,https://store.lining.com/,,
Under Armour,UA Storm、Coolswitch,高,防水、调温、透气,运动外套、跑步鞋,公司官网,https://www.underarmour.cn/,,
特步,X-Temperature面料,高,智能温控、轻量,长裤、夹克,新品发布会,http://www.xtep.com/,,
361度,Stretch防风面料,高,防风、弹性强、舒适,风衣、运动裤,行业分析报告,http://www.361sport.com/,,
露露柠檬,Nulu面料、Everlux,高,柔软舒适、透气、适合高强度训练,运动文胸、瑜伽裤,公司的时尚活动,https://www.lululemon.com/,,
亚瑟士,GEL-Containment技术、Reflective素材,高,增强支持、夜间可视性,跑步鞋、慢跑服,品牌运动会,https://www.asics.com.cn/,,
On昂跑,Speedboard技术、Zero-Gravity泡沫,高,高能量反馈、超轻,越野跑鞋、城市跑鞋,产品发布会,https://www.on-running.cn/,,
新百伦,Fresh Foam,高,缓震、吸湿排汗、轻盈,跑步鞋、健身鞋,公司官网,https://www.newbalance.cn/,,
彪马,NITRO Foam,高,轻便、最大回弹、舒适,跑步鞋、训练鞋,公司官网,https://www.puma.com.cn/,,
H&M,再生聚酯纤维,中,环保、耐磨、轻便,运动服、休闲装,公司官网,https://www2.hm.com/zh_cn/index.html,,
惬意,BioTech面料,高,生物可降解、透气、防水,户外夹克、风衣,公司官网,https://qi.syscn.com/,,
安踏,反向透气面料,高,冬季保暖、夏季透气、高性能,多功能外套、运动裤,公司官网,http://anta.cn/,,
李宁,AIRFLOW科技,高,良好气流、舒适度高、快干,运动T恤、紧身衣,公司官网,https://store.lining.com/,,
Under Armour,UA RUSH,高,红外线回馈、增强肌肉表现、透气,训练服、跑步服,公司官网,https://www.underarmour.cn/,,
亚瑟士,GEL科技,高,缓震强、舒适、适合长距离跑步,跑步鞋、训练鞋,公司官网,https://www.asics.com.cn/,,
露露柠檬,Nulux,高,极致舒适、轻便、贴合,瑜伽连体衣、运动短裤,公司官网,https://www.lululemon.com/,,
特步,Ultralight科技,高,超轻、防水、热反射,健身服、跑步装备,公司官网,http://www.xtep.com/,,
新百伦,Fresh Foam,高,优秀的缓震性能、透气性强、轻盈舒适,跑步鞋,公司官网,https://www.newbalance.cn/,,
安德玛,UA RUSH,高,促进血液循环、加速恢复、轻便,运动T恤、跑步裤,公司官网,https://www.underarmour.cn/,,
李宁,铂金科技、氢科技,高,高性能回弹、轻便舒适、透气,篮球鞋、跑步鞋,公司官网,https://store.lining.com/,,
斐乐,Quick Dry,中,快干、透气、轻便,运动T恤、跑步短裤,公司官网,https://www.fila.com.cn/,,
优衣库,AIRism,高,超轻、透气、抗菌防臭,运动背心、衬衫,公司官网,https://www.uniqlo.com/cn/,,
百事可乐,Recycled PET,中,环保、耐磨、轻便,运动水瓶、背包,公司官网,https://www.pepsi.com/,,
阿迪达斯,Parley Ocean Plastic,高,使用回收的海洋塑料、环保理念、轻便,运动鞋、外套,公司官网,https://www.adidas.com.cn/,,
Reebok,Flexweave,高,高透气性、支撑性好、耐磨,训练鞋、运动裤,公司官网,https://www.reebok.com.cn/,,
tommy hilfiger,TH Cool,中,透气、防潮、轻盈,休闲运动衫、泳装,公司官网,https://usa.tommy.com/,,
匡威,Chuck Taylor All Star,低,经典透气、多功能使用,休闲鞋、帆布鞋,公司官网,https://www.converse.com/,,
阿迪达斯,Recycled Polyester,高,环保材料、轻便、吸湿排汗,运动T恤、训练裤,公司官网,https://www.adidas.com.cn/,,
安踏,超轻透气技术,高,极佳通风性、轻巧、减轻运动负担,跑步鞋、户外鞋,行业研究报告,https://www.chinabrandwatch.com/,,
李宁,据猫科技,高,优秀的吸湿速干性能，耐磨、舒适,运动夹克、运动裤,公司官网,https://store.lining.com/,,
361度,网状聚酯纤维,高,透气、快速干燥、舒适,跑步短裤、越野跑鞋,体育赛事展会,http://www.361sport.com/,,
特步,Heat Reflective技术,高,反射体温、增强舒适感，适合高温天气,跑步鞋、训练服,公司新闻,http://www.xtep.com/,,
Under Armour,Storm技术,高,防水、轻量、适合潮湿天气,运动软壳夹克、跑步外套,户外装备杂志,https://www.underarmour.cn/,,
露露柠檬,Nimbus Fabric,高,超柔软、高弹性、适合力量训练,瑜伽裤、运动文胸,客户评价与市场趋势分析,https://www.lululemon.com/,,
亚瑟士,FlyteFoam技术,高,轻量、优良回弹性、舒适,跑步鞋、马拉松鞋,行业评论与在线论坛,https://www.asics.com.cn/,,
On昂跑,CloudTec技术,高,出色减震、舒适贴合，适合长时间佩戴,跑步鞋、日常休闲鞋,国际跑步博览会,https://www.on-running.cn/,,
Puma,Biofiber复合材料,高,可降解、环保、高耐用性,跑步服、运动鞋,环保时尚杂志,https://www.puma.com.cn/,,
新百伦,FRESH FOAM、AT TREAD,高,轻盈舒适、缓震良好、靴型设计,跑步鞋、登山鞋,公司官网,https://www.newbalance.com.cn/,,
H&M,有机棉、TENCEL,中,环保、透气、舒适性好,休闲T恤、夏季服装,公司官网,https://www2.hm.com/,,
PUMA,PUMAGRIP、IGNITE,高,抓地力强、能量回馈、适合极限运动,跑步鞋、自行车鞋,公司官网,https://www.puma.com.cn/,,
Uniqlo,Airism、UV Protection,高,快速干燥、紫外线防护、透气性佳,功能性内衣、秋冬外套,公司官网,https://www.uniqlo.com/,,
北面,GORE-TEX、ThermoBall,高,防水、保暖、抗风,徒步外套、防寒夹克,公司官网,https://www.thenorthface.com.cn/,,
Savage,抗撕裂聚酯面料,高,耐磨、轻便、多用途,运动背包、野外装备,户外装备展,https://www.savagelife.com/,,
Highmark,氯丁橡胶、聚酯,高,抗水、耐磨、高弹性,潜水服、冲浪服,行业技术杂志,https://www.highmark.com/,,
耐克,Nike A.I.R.、Nike React,高,智能反应、贴合脚型、灵活性好,跑步鞋、训练鞋,公司官网,https://www.nike.com/,,
IMPACT,速干聚酯,中,适合各种运动、速干、轻便舒适,运动T恤、紧身衣,体育用品店,https://www.impactapparel.com/,,
Champion,Reverse Weave、Eco-fleece,高,极其耐磨、环保、适合休闲时穿,卫衣、休闲裤,公司官网,https://www.champion.com/,,
New Balance,Fresh Foam,高,舒适、透气、提供优异支撑,跑步鞋、训练鞋,公司官网,https://www.newbalance.cn/,,
PUMA,PUMA CELL、ForeverRUN,高,卓越弹性、减震、舒适贴合,跑步鞋、健身鞋,公司官网,https://www.puma.com.cn/,,
特步,Recycled Polyester,高,环保、轻便、透气,篮球服、运动裤,公司官网,http://www.xtep.com/,,
李宁,三维结构网面,高,增强透气性、结构稳定、轻盈,运动鞋、训练夹克,公司官网,https://store.lining.com/,,
安踏,冻干科技、抗菌面料,高,防菌、出色保温、持久耐用,滑雪服、长裤,公司官网,http://anta.cn/,,
Nike,Innovative Stretch Fabric,高,优良弹性、运动灵活性、耐久性,运动衫、运动裤,公司官网,https://www.nike.com.cn/,,
Adidas,Ultraboost,高,超轻、出色回弹，适用于长跑,跑步鞋、训练鞋,公司官网,https://www.adidas.com.cn/,,
Under Armour,UA RUSH,高,增强血液循环、提高运动表现,运动T恤、训练服,公司官网,https://www.underarmour.cn/,,
On昂跑,Cloudstratus,高,具有双云垫结构，提供更好支持,跑步鞋、慢跑鞋,公司官网,https://www.on-running.cn/,,
361度,Insulation Fabric,高,保温、轻盈、适合寒冷天气,运动外套、保暖裤,公司官网,http://www.361sport.com/,,
耐克,Space Knit,高,轻盈、环保、舒适贴合,运动鞋、休闲鞋,公司官网,https://www.nike.com.cn/,,
阿迪达斯,Fabrics of Future,高,可回收材料、轻便、抗撕裂,环保系列运动服、跑鞋,公司官网,https://www.adidas.com.cn/,,
安踏,冷感面料,高,降温、透气、运动灵活,运动T恤、短裤,公司官网,http://anta.cn/,,
李宁,Dynamic Stretch,高,高弹性、适合极限运动、耐磨,滑雪服、登山服,公司官网,https://store.lining.com/,,
Under Armour,Ultralight,高,超轻、抗风、快速干燥,跑步外套、运动裤,公司官网,https://www.underarmour.cn/,,
特步,Eco Fiber,高,生物基、舒适、透气,跑步鞋、运动T恤,公司官网,http://www.xtep.com/,,
361度,CoolMax,高,高效排汗、轻盈、抗UV,瑜伽服、运动短裤,公司官网,http://www.361sport.com/index.php?m=Product&a=index&p=7,,
露露柠檬,Warp Knit,高,双向弹性、舒适贴合、无缝设计,健身裤、运动文胸,公司官网,https://www.lululemon.com/,,
亚瑟士,GEL-Fit,高,缓震、支撑、舒适,跑步鞋、训练鞋,公司官网,https://www.asics.com.cn/,,
On昂跑,Cloudstratus,高,双层云垫、能量回馈、舒适脚感,跑步鞋、训练鞋,公司官网,https://www.on-running.cn/,,
新百伦,Fresh Foam、REVlite,高,轻量化、优越缓震、舒适性强,跑步鞋,公司官网,https://www.newbalance.cn/,,
彪马,PUMA CELL、NITRO Foam,高,高回弹、响应迅速、舒适透气,篮球鞋、跑步鞋,公司官网,https://www.puma.com.cn/,,
奥康,氢能科技材料、透气网衣面料,中,强透气、轻便、耐用,运动休闲鞋,公司官网,https://www.aokang.com/,,
Mizuno美津浓,AEROHUG、DynamotionFit,高,贴合舒适、灵活自如、高透气,跑步鞋、羽毛球鞋,公司官网,https://www.mizuno.com.cn/,,
斐乐,ThermoRegulate、Woven Fabric,高,温控调节、极佳透气性、弹性好,运动外套、运动裤,公司官网,https://www.fila.com.cn/,,
海尔,纳米吸汗面料、抗UV材料,高,快速干燥、抗紫外线防护、轻便舒适,户外运动衣,公司官网,https://www.haier.com/,,
Under Armour,UA HOVR、Charged Cushioning,高,缓震设计、回馈能量、加强抓地力,跑步鞋,公司官网,https://www.underarmour.cn/,,
露露柠檬,Nulu、Luxtreme,高,极轻盈、超柔软、舒适透气,瑜伽裤、运动文胸,公司官网,https://www.lululemon.com/,,
North Face,GORE-TEX、ThermoBall,高,防水透湿、温度调节、耐磨,户外夹克、登山鞋,公司官网,https://www.thenorthface.com.cn/,,
Puma,NetFit、Ignite Foam,高,个性化鞋带设计、舒适缓震、高弹性,跑步鞋、足球鞋,公司官网,https://www.puma.com/,,
新百伦,FuelCell、Fresh Foam,高,能量回馈、舒适性佳、轻便透气,跑步鞋、健身鞋,公司官网,https://www.newbalance.com.cn/,,
Columbia,Omni-Tech、Omni-Heat,高,防水透气、保暖舒适、轻量化设计,户外夹克、登山裤,公司官网,https://www.columbia.com.cn/,,
North Face,GORE-TEX、ThermoBall,高," waterproof, 保暖、透气性好",登山包、户外衣物,公司官网,https://www.thenorthface.com.cn/,,
Mark&Spencer,Cool Comfort、Flexifit,中,易打理、舒适合身、透气性强,运动内衣、家居服,公司官网,https://www.markandspencer.com.cn/,,
Li-Ning,A-PRO、TensorFlow,高,出色的碰撞吸收、拉伸强度高、软硬适中,滑雪装备、运动鞋,公司官网,https://www.lining.com/,,
H&M,REPREVE回收纤维、Sustainable Cotton,中,环保、透气、适合日常穿着,休闲服、运动服,公司官网,https://www2.hm.com/,,
Lululemon,Nulu、Luxtreme,高,极致舒适、适合高负荷运动、吸湿排汗,瑜伽裤、运动内衣,公司官网,https://www.lululemon.com/,,
唯品会,抗紫外线面料、透气涤纶,高,防晒、抗菌、透气,户外运动服、旅游服,公司官网,https://www.vip.com/,,
Decathlon,KALENJI面料、QUECHUA材料,高,高性价比、舒适度高、耐磨,跑步鞋、登山服,公司官网,https://www.decathlon.com.cn/,,
Puma,NITRO Foam,高,轻量化、卓越回弹、优越舒适性,跑步鞋、训练鞋,公司官网,https://www.puma.com/,,
New Balance,Fresh Foam、Hypoknit,高,柔软支撑、透气性好、灵活性强,跑步鞋、休闲鞋,公司官网,https://www.newbalance.com/,,
运动,Committed Fiber,中,可回收材料、环保、舒适,运动服、运动裤,可持续发展报告,https://www.sustainability.com/,,
H&M,TENCEL™ 纤维,中,柔软、可生物降解，来源可持续,运动衫、长裤,公司官网,https://www.hm.com/,,
Lululemon,Luon Light,高,轻盈、柔软、出色透气性,瑜伽裤、运动上衣,公司官网,https://www.lululemon.com/,,
Mizuno,AeroHug,高,超轻、空气流通、贴身性能好,跑步鞋、训练服,公司官网,https://www.mizuno.com/,,
Columbia,Omni-Tech,高,防水透气、抗风、适合户外活动,冬季夹克、户外裤,公司官网,https://www.columbia.com/,,
Skechers,Air-Cooled Goga Mat,高,透气、舒适、减震效果佳,运动鞋、休闲鞋,公司官网,https://www.skechers.com/,,
加拿大鹅,Arctic Tech,高,极端气候保护、耐磨损、抗水性,冬季外套、羽绒服,公司官网,https://www.canada-goose.com/,,
Asics,FlyteFoam,高,超轻、优良动力传输、耐久,跑步鞋、训练鞋,公司官网,https://www.asics.com.cn/,,
Champion,双面氨纶,高,舒适、弹性好、耐磨,运动T恤、训练裤,公司官网,https://www.champion.cn/,,
Puma,Puma DryCell,高,超强吸湿排汗、透气、快干,跑步鞋、运动裤,官方报告,https://www.puma.com.cn/,,
New Balance,Fresh Foam、Hypoknit,高,缓震性佳、支持性强、透气性好,跑步鞋、休闲鞋,行业杂志,https://www.newbalance.com.cn/,,
H&M,Tencel,中,透气、环保、舒适,运动服、休闲裤,可持续发展报告,https://www2.hm.com/,,
ASICS,GEL、FlyteFoam,高,轻盈、减震、回弹性好,跑步鞋,公司官网,https://www.asics.com.cn/,,
Millet,PERTEX、Thermolite,高,防风、保暖、轻便,户外夹克、滑雪服,户外运动展会,https://www.millet.fr/,,
Columbia,Omni-Tech、Omni-Heat,高,防水、透气、保暖,户外外套、登山靴,公司官网,https://www.columbia.com/,,
MIZUNO,AeroHug、Mizuno Wave,高,减震、支撑、舒适合脚,跑鞋、训练鞋,运动科学研究,https://www.mizuno.com/,,
The North Face,GORE-TEX、Futurelight,高,防水透气、耐用、轻量,登山服、户外背包,行业报告,https://www.thenorthface.com/,,
Salomon,ClimaSalomon、SensiFit,高,高度适应性、舒适、透气,跑步鞋、户外鞋,户外装备评测,https://www.salomon.com/,,
Nike,Flyleather,高,环保材料、轻便、优良透气性,运动鞋、休闲鞋,公司官网,https://www.nike.com.cn/,,
Adidas,Parley Ocean Plastic,高,可回收、环保、减少海洋塑料,跑鞋、泳衣,公司官网,https://www.adidas.com.cn/,,
李宁,弹性母粒,高,超高弹性、舒适体验、耐磨,瑜伽裤、运动舒适服,运动科技新闻平台,https://news.sports.cn/,,
特步,Graphene,高,导热、抗菌、轻巧透气,运动T恤、秋冬外套,公司官网,http://www.xtep.com/,,
361度,Nanofiber,高,超轻、透气、耐磨,跑步鞋、运动外套,行业分析报告,http://www.361sport.com/,,
Under Armour,UA RUSH,高,增强表现、加速恢复、透气,运动服、健身器械,公司官网,https://www.underarmour.cn/,,
On昂跑,CloudTec Zero,高,极致舒适、减压、长期使用不变形,综合性跑步鞋,运动科技论坛,https://www.on-running.cn/,,
露露柠檬,Lululemon Nulu,高,贴肤舒适、四面弹性、轻巧透气,运动服、瑜伽装备,公司官网,https://www.lululemon.com/,,
安踏,Flying Technology,高,超轻材料、快速干爽、提高运动性能,篮球鞋、跑步鞋,公司官网,http://anta.cn/,,
亚瑟士,Gel Technology,高,高效减震、舒适稳定、适合长时间运动,跑步鞋、训练鞋,运动科技杂志,https://www.asics.com.cn/,,
李宁,AI科技面料,高,智能调节、透气性强、舒适反馈,智能运动鞋、跑步服,行业动态报告,https://www.lining.com.cn/,,
耐克,Nike Air制造科技,高,减震、轻质、适合长时间穿着,跑步鞋、生活休闲鞋,品牌广告宣传,https://www.nike.com.cn/,,
阿迪达斯,Futurecraft 4D,高,3D打印、个性化、舒适贴合,定制跑鞋,科技新闻,https://www.adidas.com.cn/,,
安踏,Flame Technology,高,耐高温、轻盈、防水,训练鞋、户外鞋,户外运动杂志,http://anta.cn/,,
特步,环保聚酯复合面料,中,可降解、通风、适合夏季,运动T恤、短裤,环保产业报告,http://www.xtep.com/,,
露露柠檬,Nulux Ultra,高,迅速干燥、超轻、适合高强度训练,瑜伽服、健身服,行业展会,https://www.lululemon.com/,,
361度,ThermoBreeze,高,温度调节、快干、适合冬季,运动外套、保暖紧身衣,体育科技论坛,http://www.361sport.com/,,
Under Armour,UA RUSH,高,增强血液循环、提升运动表现,运动紧身衣、训练上衣,运动科研机构,https://www.underarmour.cn/,,
亚瑟士,GEL泡沫科技,高,减震、舒适、支持性强,跑步鞋、训练鞋,专业跑鞋评测,https://www.asics.com.cn/,,
On昂跑,CloudTec Zero,高,超轻、回弹好、短距离表现出色,短跑鞋、竞赛鞋,跑步博客,https://www.on-running.cn/,,
新百伦,FuelCell、VaporFit,高,轻质、回弹性能优越、舒适透气,跑步鞋、训练鞋,公司官网,https://www.newbalance.cn/,,
彪马,PUMAGRIP、CELL,高,耐磨抓地力强、减震舒适、适合不同地形,跑步鞋、登山鞋,公司官网,https://www.puma.cn/,,
安德玛,UA RUSH、UA Tech,高,红外线回馈、透气、快速干燥,运动T恤、紧身衣,公司官网,https://www.underarmour.cn/,,
李宁,云尔科技、动能科技,高,舒适贴合、高强度缓震、灵活性强,足球鞋、训练鞋,公司官网,https://store.lining.com/,,
H&M,再生聚酯、可回收棉,中,环保、透气、时尚设计,运动服、休闲装,公司官网,https://www.hm.com/,,
Lululemon,Nulux、Dynamight,高,轻盈、柔软、适合高强度活动,运动裤、瑜伽服,公司官网,https://www.lululemon.com/,,
阿迪达斯,Linear Stretch、AEROREADY,高,极佳伸展性、透气、舒适快干,运动短裤、训练服,公司官网,https://www.adidas.com.cn/,,
Patagonia,NetPlus、H2No,高,可回收材料、防水透气、环保,外套、背包,公司官网,https://www.patagonia.com/,,
Nike,AeroSwift、FlyMesh,高,轻盈透气、极速干燥、专业设计,专业跑步服、训练鞋,公司官网,https://www.nike.com.cn/,,
特步,Dyneema、功能防水面料,高,超轻、防水、抗撕裂,专业户外鞋、运动夹克,公司官网,http://www.xtep.com/,,
新百伦,Fresh Foam,高,舒适柔软、高回弹,跑鞋、健身鞋,公司官网,https://www.newbalance.cn/,,
李宁,氢气纤维,高,超轻、防水、透气,羽毛球服、运动夹克,市场调研报告,https://www.lining.com/,,
安踏,针对性科技,高,运动专用、动态支撑,专业运动鞋,用户评论及问卷调查,http://anta.cn/,,
亚瑟士,GEL技术,高,缓震保护、舒适支撑,跑鞋、训练鞋,行业分析报告,https://www.asics.com.cn/,,
Under Armour,UA Tech,高,快干、轻便、舒适,运动T恤、短裤,公司官网,https://www.underarmour.cn/,,
特步,抗菌聚酯,中,防臭、透气、舒适,训练服、休闲裤,商品说明书,http://www.xtep.com/,,
361度,Cloud 2.0,高,轻盈、热感应、回弹,跑步鞋、休闲鞋,用户评测,http://www.361sport.com/,,
露露柠檬,Nulu,高,超轻、极佳舒适度,瑜伽裤、舒适运动服,行业分析报告,https://www.lululemon.com/,,
On昂跑,Zero-Gravity,高,重量极轻、减震技术,跑步鞋、户外鞋,市场报导,https://www.on-running.cn/,,
Nike,Nike Air,高,良好悬浮支撑、舒适,运动鞋、篮球鞋,网站用户体验调研,https://www.nike.com.cn/,,
新百伦,Fresh Foam,高,轻柔舒适、减震、透气性好,跑步鞋、运动鞋,公司官网,https://www.newbalance.cn/,,
PUMA,Clyde Court,高,高弹性、支持性强、现代设计,篮球鞋、休闲鞋,公司官网,https://www.puma.com/,,
李宁,360°安稳科技,高,全方位保护、运动灵活性佳,篮球鞋、跑步鞋,公司官网,https://store.lining.com/,,
安踏,A-Flex,高,抗拉扯、弹性佳、防水,运动外套、跑步服,公司官网,http://anta.cn/,,
Under Armour,3D Print Technology,高,个性化贴合、透气、增强稳定性,跑步鞋、运动衣,公司官网,https://www.underarmour.cn/,,
专门为运动设计,EcoTech,高,环保、可再生材料、轻便,瑜伽服、运动鞋,公司官网,https://www.repurposedsport.com/,,
亚瑟士,FlyteFoam,高,超轻、支撑性佳、减震效果好,跑步鞋、马拉松鞋,公司官网,https://www.asics.com.cn/,,
H&M,再生聚酯纤维,中,环保、舒适、透气,休闲服、运动衣,公司官网,https://www2.hm.com/,,
预算运动品牌,Quick Dry Mesh,中,快干、透气、轻便,运动袜子、运动衫,专门零售平台,https://www.aliexpress.com/,,
Nautica,抗UV面料,高,防晒、舒适、适合户外,春秋夹克、T恤,公司官网,https://www.nautica.com/,,
Puma,NITRO、Cell,高,轻盈、舒适、出色缓震,跑步鞋、训练鞋,公司官网,https://www.puma.com.cn/,,
New Balance,Fresh Foam、Hypoknit,高,透气、支撑性强、耐磨,跑步鞋、健身鞋,公司官网,https://www.newbalance.com.cn/,,
匡威,CONSCTUCTION、Comfort,中,耐磨、舒适、经典设计,休闲鞋、帆布鞋,公司官网,https://www.converse.com.cn/,,
ASICS,FlyteFoam、GEL,高,轻盈、缓震、适合长跑,跑步鞋、田径鞋,公司官网,https://www.asics.com.cn/,,
Lululemon,Silverscent、Luxtreme,高,抗菌、透气、柔软舒适,运动紧身裤、瑜伽服,公司官网,https://www.lululemon.com/,,
李宁,FLIGHT科技、LIGHT科技,高,轻便、灵活、防水,跑步鞋、户外运动鞋,公司官网,https://store.lining.com/,,
特步,360°立体舒适科技、透气网眼,高,全方位舒适、出色透气,跑步鞋、运动T恤,公司官网,http://www.xtep.com/,,
Under Armour,UA RUSH、UA INFINITE,高,增强肌肉表现、透气,高强度训练服、运动鞋,公司官网,https://www.underarmour.cn/,,
Vans,Ultracush、Canvas,中,耐磨、复古风、舒适,滑板鞋、休闲鞋,公司官网,https://www.vans.com.cn/,,
Mizuno,Wave科技、AeroHug,高,完美支持、高强度、透气,跑步鞋、运动服装,公司官网,https://www.mizuno.cn/,,
