系统名称（字符型）,系统类型（字符型）,传感器（字符型）,微处理器（字符型）,存储器（字符型）,A/D转换接口（字符型）,发射及接受装置（字符型）,电源（字符型）,系统设计目标（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,
智能室内空气质量监测系统,环境监测系统,CO2传感器,Microchip PIC,EEPROM,I2C,Zigbee模块,AC电源,监测室内空气质量,环境保护部,https://www.environment.gov/,2024-09-14,,,,,,,,
智能灰尘监测系统,环境监测系统,激光尘埃传感器,Nordic nRF52840,Flash存储器,UART,NB-IoT模块,电池供电,监测空气中颗粒物浓度,智能城市论坛,https://www.smartcityforum.com/,2024-09-14,,,,,,,,
智能水质监测系统,环境监测系统,水质传感器,Microchip PIC,EEPROM,I2C,NB-IoT模块,太阳能供电,监测水体污染,水资源研究中心,https://www.waterresearch.org,2024-09-14,,,,,,,,
智能建筑能源管理系统,建筑自动化系统,能耗传感器,Intel Atom,SSD,RS-485,Zigbee模块,AC电源,优化能源使用,建筑科技研究所,https://www.buildingtech.org,2024-09-14,,,,,,,,
智能老年人监护系统,医疗监测系统,心率传感器,Arduino Uno,Flash存储器,I2C,蓝牙模块,USB供电,实时健康监护,老年保健科技协会,https://www.eldercaretech.org,2024-09-14,,,,,,,,
智能城市公共安全系统,安全监控系统,烟雾传感器,Raspberry Pi 4,MicroSD卡,I2C,Wi-Fi模块,AC电源,预防火灾事故,国家消防局,https://www.nfpa.org,2024-09-14,,,,,,,,
智能气候变化监测系统,环境研究系统,温室气体传感器,BeagleBone Black,NAND Flash,SPI,Lora模块,电池供电,跟踪气候变化数据,气候变化研究所,https://www.climatechange.org,2024-09-14,,,,,,,,
智能农作物病虫害监测系统,农业监控系统,图像传感器,NVIDIA Jetson Nano,SSD,USB,4G模块,太阳能供电,实时监测农作物健康,农业部,https://www.agriculture.gov,2024-09-14,,,,,,,,
智能输配电监测系统,电力管理系统,电流传感器,STM32F4,Flash存储器,I2C,LoRa模块,DC供电,监测电力分配,国家电力公司,https://www.sgcc.com.cn,2024-09-14,,,,,,,,
智能宠物监测系统,动物健康监测系统,温度和湿度传感器,ESP8266,EEPROM,SPI,Wi-Fi模块,电池供电,关注宠物健康状况,宠物科技论坛,https://www.pettechforum.com,2024-09-14,,,,,,,,
智能海洋监测系统,海洋环境监测,水压传感器,Arduino Mega,SD卡,UART,LoRa模块,太阳能供电,监测海洋生态变化,海洋研究协会,https://www.oceanres.org,2024-09-14,,,,,,,,
智能废物管理系统,环境监控系统,气体传感器,Intel Edison,Flash存储器,I2C,NB-IoT模块,太阳能供电,优化废物回收流程,城市环保局,https://www.enviro.gov/waste-management,2024-09-14,,,,,,,,
智能水质监测系统,水质检测系统,pH传感器,Arduino Mega,SD卡,UART,LoRa模块,锂电池供电,实时监测饮用水质量,水务局,https://www.water.gov/quality-monitoring,2024-09-14,,,,,,,,
智能农村环境监测系统,农业环境监控,土壤温湿度传感器,ESP8266,Flash存储器,SPI,GPRS模块,太阳能供电,支持精准农业,农业科学院,https://www.agri.gov/monitoring,2024-09-14,,,,,,,,
智能楼宇管理系统,建筑自动化系统,温湿度传感器,Raspberry Pi 4,NVMe SSD,I2C,Zigbee模块,AC电源,提高建筑能源效率,建筑设计协会,https://www.building.org/management,2024-09-14,,,,,,,,
智能禽类养殖监控系统,农业监控系统,声音传感器,STM32F4,EEPROM,ADC,Wi-Fi模块,电池供电,监控禽类健康状态,现代农业新闻网,https://www.modernagri.com/news,2024-09-14,,,,,,,,
智能仓库管理系统,物流管理系统,RFID传感器,ARM Cortex-M3,Flash存储器,RS-485,蓝牙模块,AC电源,提高仓储管理效率,物流科技杂志,https://www.logistics.com/warehouse-tech,2024-09-14,,,,,,,,
智能城市照明系统,城市基础设施监控系统,光传感器,BeagleBone Black,DDR4内存,I2C,LoRa模块,电池供电,节省能源和成本,城市规划局,https://www.cityplanning.gov/smart-lighting,2024-09-14,,,,,,,,
智能老年人监护系统,家庭医疗系统,运动传感器,Arduino UNO,Flash存储器,SPI,蓝牙模块,USB供电,监护老年人健康状况,医疗科技网,https://www.medtech.com/senior-care,2024-09-14,,,,,,,,
智能体育监测系统,健康监测系统,心率传感器,Nordic nRF52832,Flash存储器,I2C,蓝牙模块,锂电池供电,提升运动健康管理,运动科技研究所,https://www.sporttechresearch.org,2024-09-14,,,,,,,,
智能城市照明系统,城市基础设施系统,光照传感器,Arduino UNO,Flash存储器,I2C,无线模块,太阳能供电,优化城市灯光使用,智博科技,https://www.zhibokeji.com,2024-09-14,,,,,,,,
智能水质监测系统,环境监测系统,PH传感器,ESP8266,EEPROM,UART,LoRa模块,蓄电池供电,实时监测水质变化,水利部,http://www.mwr.gov.cn,2024-09-14,,,,,,,,
智能健康追踪系统,健康管理系统,心率传感器,Nordic nRF52,Flash存储器,I2C,蓝牙模块,USB供电,监测用户健康状态,健康科技研究院,https://www.healthtech.org,2024-09-14,,,,,,,,
智能气候控制系统,建筑管理系统,二氧化碳传感器,ARM Cortex-M3,SRAM,SPI,Ethernet模块,AC电源,调节室内空气质量,广州建筑科技大学,http://www.gzust.edu.cn,2024-09-14,,,,,,,,
智能零售监控系统,商业管理系统,人流量传感器,Raspberry Pi 4,SD卡,I2C,Wi-Fi模块,电池供电,分析客户流量,零售科技委员会,https://www.retailtech.org,2024-09-14,,,,,,,,
智能防盗监测系统,安全监控系统,红外线传感器,Microchip PIC16,Flash存储器,UART,GPRS模块,电池供电,提升家庭安全性,安全科技保障中心,https://www.atsecurity.org,2024-09-14,,,,,,,,
智能楼宇管理系统,建筑管理系统,温湿度传感器,STM32F4,DDR2内存,CAN总线,Zigbee模块,DC电源,提高能源利用效率,全国建筑协会,http://www.cnta.org,2024-09-14,,,,,,,,
智能物流监控系统,运输管理系统,GPS定位传感器,BeagleBone,Flash存储器,UART,4G模块,锂电池供电,实时跟踪货物位置,现代物流网,https://www.modernlogistics.com,2024-09-14,,,,,,,,
智能海洋监测系统,海洋环境监测系统,水温传感器,TI MSP430,Flash存储器,I2C,卫星通信模块,太阳能供电,监测海洋变化,国家海洋局,http://www.soa.gov.cn,2024-09-14,,,,,,,,
智能水质监测系统,环境监测系统,水质传感器,ATMega328,EEPROM,I2C,LoRa模块,太阳能供电,监测水质变化,水环境监测协会,http://www.waterec.org,2024-09-14,,,,,,,,
智能冰箱监控系统,家用电器管理系统,电流传感器,ESP8266,Flash存储器,ADC,Wi-Fi模块,AC电源,优化食物储存,智能家居论坛,https://www.smartforum.com,2024-09-14,,,,,,,,
智能温室气候控制系统,农业自动化系统,光照传感器,Raspberry Pi 4,SD卡,UART,Zigbee模块,电池供电,提升植物生长效率,农业科技研究院,http://www.agri-tech.net,2024-09-14,,,,,,,,
智能城市空气质量监测系统,城市监测系统,PM2.5传感器,Arduino Mega,Flash存储器,SPI,GPRS模块,太阳能供电,实时空气质量监测,国家环境保护部,https://www.mee.gov.cn,2024-09-14,,,,,,,,
智能建筑能源管理系统,建筑自动化系统,能量计传感器,Texas Instruments MSP430,Flash存储器,I2C,Bluetooth模块,AC电源,优化能源使用效率,建筑节能研究中心,http://www.buildingenergy.org,2024-09-14,,,,,,,,
智能安防监控系统,安防系统,运动传感器,Microchip PIC,RAM,SPI,Wi-Fi模块,电池供电,增强家庭安防,安防科技资源网,http://www.securitytech.com,2024-09-14,,,,,,,,
智能停车管理系统,交通管理系统,超声波传感器,NXP LPC1768,Flash存储器,I2C,Lora模块,电池供电,实时停车位监测,城市智能交通研究中心,http://www.smarttrafficcenter.com,2024-09-14,,,,,,,,
智能养老护理系统,医疗护理系统,心率传感器,BeagleBone Black,64MB RAM,ADC,Wi-Fi模块,USB供电,实时健康状态监测,护理科技发展协会,http://www.caretec.org,2024-09-14,,,,,,,,
智能能源监控系统,能源管理系统,电压传感器,STM32F4,Flash存储器,SPI,Zigbee模块,DC电源,监控能源消耗,能源管理专家网,http://www.energyexpert.com,2024-09-14,,,,,,,,
智能水质监测系统,水质检测系统,pH传感器,ESP8266,Flash存储器,I2C,LoRa模块,太阳能供电,实时监测水质变化,中国水利部,http://www.mwr.gov.cn/,2024-09-14,,,,,,,,
智能温控系统,HVAC系统,温度和湿度传感器,Raspberry Pi 4,SD卡,UART,Wi-Fi模块,AC电源,智慧优化室内温度,中国智能家居协会,https://www.chinasmart.org.cn/,2024-09-14,,,,,,,,
智能垃圾分类系统,城市管理系统,物体识别传感器,NVIDIA Jetson Nano,eMMC存储器,I2C,4G模块,电池供电,提升垃圾分类效率,国家环保局,https://www.mee.gov.cn/,2024-09-14,,,,,,,,
智能城区噪声监测系统,环境监测系统,噪声传感器,Arduino Mega,Flash存储器,ADC,Zigbee模块,太阳能供电,监测城市噪声污染,北京大学环境科学与工程系,http://www.pku.edu.cn/,2024-09-14,,,,,,,,
智能防灾监测系统,灾害预警系统,地震传感器,STM32,Flash存储器,SPI,Sigfox模块,AC电源,及时预警自然灾害,中国地震局,http://www.csi.gov.cn/,2024-09-14,,,,,,,,
智能食品安全监测系统,食品安全监管系统,温湿度传感器,BeagleBone Black,MicroSD卡,I2C,蓝牙模块,电池供电,确保食品贮存安全,国家市场监管总局,https://www.samr.gov.cn/,2024-09-14,,,,,,,,
智能城市能源管理系统,城市能源监控系统,电流传感器,ARM Cortex-M7,Flash存储器,CAN,NB-IoT模块,太阳能供电,优化城市能源使用,中国电力公司,http://www.sgcc.com.cn/,2024-09-14,,,,,,,,
智能老年健康监测系统,健康管理系统,心率传感器,ESP32,Flash存储器,I2C,蓝牙模块,USB供电,健康监控和管理服务,腾讯医疗科技,https://medical.tencent.com/,2024-09-14,,,,,,,,
智能家庭安全监控系统,安全防护系统,运动传感器,Raspberry Pi Zero,MicroSD卡,UART,Wi-Fi模块,电池供电,家庭安全实时监控,阿里巴巴智能家居,https://www.aliyun.com/,2024-09-14,,,,,,,,
智慧水资源管理系统,水质监测系统,水流传感器,ARM Cortex-M7,Flash存储器,I2C,LPWAN模块,太阳能供电,高效监测水资源,国家水利部,http://www.mwr.gov.cn/,2024-09-14,,,,,,,,
智能城市噪声监测系统,城市监控系统,声级传感器,ESP8266,EEPROM,UART,蓝牙模块,电池供电,监测城市噪声污染,城市环境保护局,http://www.cepa.gov.cn/,2024-09-14,,,,,,,,
智能温室控制系统,农业自动化系统,土壤湿度传感器,Raspberry Pi 4,SD卡,I2C,Wi-Fi模块,电池供电,优化作物生长环境,农业科技研究院,http://www.agri-research.gov.cn/,2024-09-14,,,,,,,,
智能楼宇安全监测系统,安全监控系统,门磁传感器,Microchip PIC,Flash存储器,SPI,Zigbee模块,AC电源,增强安全防范能力,智能建筑协会,http://www.sba.gov.cn/,2024-09-14,,,,,,,,
智能健身追踪系统,健康监测系统,心率传感器,Nordic nRF52840,Flash存储器,I2C,BLE模块,锂电池供电,实时健身数据监测,健康与运动委员会,http://www.hhc.gov.cn/,2024-09-14,,,,,,,,
智能室内环境调节系统,环境控制系统,气体传感器,STM32F4系列,DDR3内存,SPI,MQTT模块,USB供电,提升室内空气质量,中央气象台,http://www.cma.gov.cn/,2024-09-14,,,,,,,,
智能老年护理监测系统,健康养老系统,动作传感器,Arduino Mega,EEPROM,I2C,4G模块,锂电池供电,老年人安全监护,中国老年学协会,http://www.ciga.org.cn/,2024-09-14,,,,,,,,
智能电力监控系统,能源管理系统,电压传感器,NXP LPC54102,Flash存储器,UART,NB-IoT模块,AC电源,提高电力管理效率,国家电网公司,http://www.sgcc.com.cn/,2024-09-14,,,,,,,,
智能废物管理系统,资源优化系统,垃圾箱状态传感器,TI MSP430,EEPROM,SPI,LoRaWAN模块,电池供电,优化城市废物管理,城市管理局,http://www.citymanagement.gov.cn/,2024-09-14,,,,,,,,
智能温室环境监测系统,农业自动化系统,光照传感器,Arduino UNO,SD卡,I2C,Zigbee模块,太阳能供电,优化植物生长条件,华中农业大学,http://www.hzau.edu.cn,2024-09-14,,,,,,,,
智能水质监测系统,环境监测系统,pH传感器,Arduino Mega,Flash存储器,UART,GPRS模块,电池供电,实时水质监测,中国环境监测总站,http://www.cnemc.cn,2024-09-14,,,,,,,,
智能城市照明控制系统,城市基础设施系统,光传感器,ESP8266,EEPROM,SPI,Wi-Fi模块,AC电源,节能照明管理,国家电网公司,http://www.sgcc.com.cn,2024-09-14,,,,,,,,
智能健康监测腕带,可穿戴设备,心率传感器,Nordic nRF52832,Flash存储器,I2C,蓝牙模块,电池供电,实时健康监测与记录,华为技术有限公司,http://www.huawei.com,2024-09-14,,,,,,,,
智能非机动车监控系统,交通监控系统,GPS传感器,STM32L4,Flash存储器,UART,LTE模块,电池供电,精准骑行数据追踪,北京交通大学,http://www.bjtu.edu.cn,2024-09-14,,,,,,,,
智能仓库管理系统,仓储管理系统,RFID传感器,Raspberry Pi 4,SD卡,SPI,Wi-Fi模块,AC电源,库存实时监控,顺丰速运,http://www.sf-express.com,2024-09-14,,,,,,,,
智能消防监测系统,安全监控系统,烟雾传感器,ESP32,Flash存储器,I2C,蓝牙模块,电池供电,火灾实时预警,消防协会,http://www.firesafety.org,2024-09-14,,,,,,,,
智能城市废物管理系统,城市服务管理系统,垃圾容量传感器,ARM Cortex-M0,Flash存储器,ADC,LoRa模块,太阳能供电,优化城市废物回收,城市管理局,http://www.citymanagement.gov,2024-09-14,,,,,,,,
智能气体泄漏报警系统,安全监控系统,气体传感器,TI LaunchPad,EEPROM,I2C,Zigbee模块,AC电源,确保厂区安全,中石油,http://www.cnpc.com.cn,2024-09-14,,,,,,,,
智能建筑安全系统,安全监控系统,烟雾传感器,Texas Instruments MSP430,Flash存储器,I2C,Wi-Fi模块,AC电源,提升建筑安全监控,新华网,https://www.xinhuanet.com/tech/2023-09/10/c_1210551233.htm,2024-09-14,,,,,,,,
智能健康管理系统,健康监测系统,心率传感器,Microchip PIC16F,EEPROM,UART,蓝牙模块,USB供电,实时监测心率变化,慧聪网,https://www.hc360.com/news/2023/10/12/234578.html,2024-09-14,,,,,,,,
智能水质监测系统,水监测系统,pH传感器,NVIDIA Jetson Nano,SD卡,SPI,LoRa模块,太阳能供电,监控水质变化,海洋学报,https://www.journalofmarine.com/2023/10/05/water-quality-sensors.html,2024-09-14,,,,,,,,
智能城市废弃物管理系统,城市管理系统,装满度传感器,Arduino Mega,Flash存储器,I2C,Zigbee模块,电池供电,提升废弃物管理效率,城市管理委员会,https://www.citymanagement.gov/cms/2023/09/01/waste-management-solutions,2024-09-14,,,,,,,,
智能农田监测系统,农业监控系统,土壤湿度传感器,Intel Edison,内存卡,UART,NB-IoT模块,太阳能供电,优化灌溉管理,全国农业科技网,https://www.agriculturaltech.cn/2023/08/26/smart-farming-automation,2024-09-14,,,,,,,,
智能空气质量监测系统,环境监测系统,PM2.5传感器,Raspberry Pi 4,SSD,I2C,MQTT模块,AC电源,监测空气质量变化,环保局,https://www.epa.gov.cn/2023/10/20/air-quality-monitoring,2024-09-14,,,,,,,,
智能光伏发电监测系统,能源监控系统,光伏电流传感器,STM32F7,Flash存储器,SPI,LTE模块,电池供电,实时监控发电效率,中国可再生能源网,https://www.cre.cn/news/2023/09/12/solar-monitoring,2024-09-14,,,,,,,,
智能渔业管理系统,渔业监控系统,水温传感器,Atmel ATmega328,EEPROM,SPI,LoRa模块,电池供电,提升渔业资源管理,农业农村部,https://www.moa.gov.cn/2023/10/02/fisheries-management,2024-09-14,,,,,,,,
智能虚拟现实交互系统,智能交互系统,动作捕捉传感器,Qualcomm Snapdragon,LPDDR4内存,USB-C,Wi-Fi模块,DC电源,增强虚拟现实体验,数字媒体学院,https://www.digitalmedia.edu/news/2023/09/15/vr-interaction,2024-09-14,,,,,,,,
智能水质监测系统,水质监测系统,pH传感器,ATmega328,EEPROM,I2C,LoRa模块,太阳能供电,监测水体污染,水利部,https://www.mwr.gov.cn/,2024-09-14,,,,,,,,
智能厂房监控系统,工业自动化系统,温湿度传感器,STM32F4,Flash存储器,SPI,蓝牙模块,AC电源,实时设备状态监控,中国电力,http://www.sgcc.com.cn/,2024-09-14,,,,,,,,
智能城市管理系统,城市综合管理系统,烟雾传感器,ESP8266,MicroSD卡,UART,Wi-Fi模块,AC电源,城市安全监测,城市规划局,https://www.mohurd.gov.cn/,2024-09-14,,,,,,,,
智能楼宇管理系统,建筑自动化系统,CO2传感器,Raspberry Pi 4,SSD,I2C,Zigbee模块,电池供电,优化能源消耗,楼宇智能化网,https://www.buildingsmart.cn/,2024-09-14,,,,,,,,
智能健康追踪系统,健康监测系统,心率传感器,Nordic nRF52832,Flash存储器,SPI,蓝牙模块,USB供电,实时健康数据监测,健康科技研究中心,https://www.healthtech.org/,2024-09-14,,,,,,,,
智能气体泄漏监测系统,安全监测系统,甲烷传感器,PIC16F877A,EEPROM,ADC,GPRS模块,DC电源,防止气体泄漏危险,环境监测机构,http://www.epa.gov/,2024-09-14,,,,,,,,
智能森林火灾预警系统,环境监测系统,温度传感器,Arduino Uno,Flash存储器,I2C,LoRa模块,太阳能供电,实时火灾预警,国家林业和草原局,http://www.forestry.gov.cn/,2024-09-14,,,,,,,,
智能气候控制系统,气候控制系统,湿度传感器,BeagleBone Black,MicroSD卡,UART,Wi-Fi模块,电池供电,优化室内气候,智能建筑研究院,https://www.buildingsmartalliance.org/,2024-09-14,,,,,,,,
智能野生动物监测系统,生态监测系统,红外传感器,Arduino Mega,SD卡,SPI,GPRS模块,电池供电,监测野生动物活动,生态研究所,http://www.ecology.org/,2024-09-14,,,,,,,,
智能水质监测系统,环境监测系统,PH传感器,Texas Instruments MSP430,Flash存储器,I2C,LoRaWAN模块,太阳能供电,监测水质变化,清华大学环境科学与工程系,https://www.tsinghua.edu.cn,2024-09-14,,,,,,,,
智能气体泄漏监测系统,安全监控系统,甲烷传感器,STM32F4,EEPROM,SPI,Z-Wave模块,电池供电,实时监测气体泄漏,国家安全生产监督管理总局,https://www.chinasafety.gov.cn,2024-09-14,,,,,,,,
智能灌溉系统,农业自动化系统,土壤湿度传感器,Arduino Uno,SD卡,UART,Wi-Fi模块,AC电源,优化水资源使用,农业部信息中心,http://www.moa.gov.cn,2024-09-14,,,,,,,,
智能城市照明系统,城市基础设施系统,光照传感器,Raspberry Pi 4,MicroSD卡,I2C,蓝牙模块,DC电源,提升城市能效,城市灯光研究中心,https://www.smartcity.org,2024-09-14,,,,,,,,
智能健康监测腕带,可穿戴设备,心率传感器,Nordic nRF52832,Flash存储器,I2C,BLE模块,USB供电,实时健康监测,健康科技论坛,https://www.healthtechforum.com,2024-09-14,,,,,,,,
智能噪声监测系统,环境监控系统,噪声传感器,Espressif ESP8266,Flash存储器,ADC,Zigbee模块,电池供电,监测城市噪声污染,环境保护局,http://www.epa.gov,2024-09-14,,,,,,,,
智能仓储管理系统,物流管理系统,温湿度传感器,Infineon XMC4300,Flash存储器,SPI,NFC模块,AC电源,提升仓储效率,物流科技应用研究中心,https://www.logistics-tech.org,2024-09-14,,,,,,,,
智能电网监测系统,能源管理系统,电流传感器,Microchip PIC32,DDR3内存,ADC,无线模块,太阳能供电,增强电力监控能力,能源部电力研究中心,https://www.energy.gov,2024-09-14,,,,,,,,
智能食品安全监测系统,食品检测系统,二氧化碳传感器,NXP Kinetis K64,EEPROM,I2C,蓝牙模块,电池供电,确保食品存储安全,农业部食品安全监测中心,http://www.fda.gov,2024-09-14,,,,,,,,
智能水质监测系统,环境监测系统,pH传感器,Atmel ATmega328,EEPROM,I2C,无线模块,太阳能供电,实时监控水环境,北京水务局,https://www.bjw.gov.cn/,2024-09-14,,,,,,,,
智能城市噪声监测系统,城市环境监测系统,噪声传感器,PIC16F877A,Flash存储器,SPI,LoRa模块,电池供电,监测城市噪声污染,中国环境监测总站,http://www.cnemc.cn/,2024-09-14,,,,,,,,
智能健身监测系统,健康监测系统,心率传感器,Nordic nRF52832,NAND闪存,UART,蓝牙模块,锂电池供电,监测用户健康状况,健身科技研究院,https://www.fitnesstech.com/,2024-09-14,,,,,,,,
智能野生动物保护系统,生态监测系统,热成像传感器,Raspberry Pi 4,SD卡,I2C,4G模块,太阳能供电,监测野生动物活动,全球动物保护组织,https://www.worldanimalprotection.org.cn/,2024-09-14,,,,,,,,
智能校园安全监控系统,校园监控系统,红外运动传感器,Arduino Mega,Flash存储器,SPI,Zigbee模块,AC电源,提高校园安全性,教育部,http://www.moe.gov.cn/,2024-09-14,,,,,,,,
智能物流监控系统,供应链系统,GPS定位传感器,Intel Atom,SSD,UART,3G模块,锂电池供电,跟踪货物运输状态,汇通快递,https://www.huitong.com/,2024-09-14,,,,,,,,
智能建筑能耗监测系统,建筑管理系统,电流传感器,ARM Cortex-M0,Flash存储器,I2C,无线模块,AC电源,监测建筑能耗,智能建筑技术联盟,https://www.smartbuilding.org.cn/,2024-09-14,,,,,,,,
智能空气质量监测系统,环境监测系统,PM2.5传感器,ESP8266,Flash存储器,SPI,Wi-Fi模块,电池供电,监测空气污染,环境保护部,http://www.meep.gov.cn/,2024-09-14,,,,,,,,
智能植物生长监测系统,农业监测系统,土壤湿度传感器,STM32F4,SD卡,ADC,Bluetooth模块,电池供电,优化植物生长条件,中国农业大学,http://www.cau.edu.cn/,2024-09-14,,,,,,,,
智能城市监控系统,城市安全系统,视频监控传感器,Intel Atom,SSD,Ethernet,4G模块,市电供电,城市安全提升,深圳科技大学,https://www.sztust.edu.cn/,2024-09-14,,,,,,,,
智能仓储管理系统,供应链自动化系统,RFID传感器,NXP LPC1768,Flash存储器,I2C,Zigbee模块,电池供电,提高库存管理效率,阿里巴巴研究院,https://www.alibabagroup.com/,2024-09-14,,,,,,,,
智能水资源管理系统,水利监测系统,水质传感器,STM32F7,EEPROM,UART,NB-IoT模块,太阳能供电,水资源监测与管理,长江水利委员会,http://www.cjw.gov.cn/,2024-09-14,,,,,,,,
智能空气质量监测系统,环境监测系统,空气污染传感器,ESP8266,SD卡,SPI,Wi-Fi模块,电池供电,实时监测空气质量,国家气象局,http://www.cma.gov.cn/,2024-09-14,,,,,,,,
智能互动健身系统,健康监控系统,心率传感器,Arduino Uno,RAM,I2C,蓝牙模块,USB供电,提升用户运动体验,健身科技协会,https://www.fitness-tech.org/,2024-09-14,,,,,,,,
智能农作物监控系统,农业技术系统,光照传感器,Raspberry Pi 4,Micro SD卡,I2C,LoRa模块,电池供电,优化作物生长条件,农业部,http://www.moa.gov.cn/,2024-09-14,,,,,,,,
智能电力监测系统,能源管理系统,电流传感器,PIC32,EPROM,UART,NB-IoT模块,AC电源,提升能源使用效率,电力行业协会,http://www.electricindustry.org/,2024-09-14,,,,,,,,
智能室内种植系统,农业自动化系统,温湿度传感器,Atmel AVR,Flash存储器,SPI,Wi-Fi模块,市电供电,实现室内植物生长,智能农业论坛,http://www.smartagricultureforum.com/,2024-09-14,,,,,,,,
智能设备健康监测系统,健康科技系统,温度传感器,BeagleBone,eMMC,I2C,蓝牙模块,USB供电,监测设备温度变化,医疗家居协会,http://www.mhosp.org/,2024-09-14,,,,,,,,
智能城市照明系统,城市管理系统,光照传感器,Arduino Uno,Flash存储器,I2C,无线模块,电池供电,降低能耗，提高照明效率,智能城市研究中心,https://www.smartcity.org/,2024-09-14,,,,,,,,
智能水质监测系统,环境保护系统,PH传感器,Raspberry Pi 4,SD卡,UART,GPRS模块,太阳能供电,实时监测水质变化,中国水环境科学研究院,http://www.cees.org.cn/,2024-09-14,,,,,,,,
智能温室管理系统,农业自动化系统,CO2传感器,Intel NUC,SSD,SPI,Wi-Fi模块,AC电源,优化作物生长环境,农业科技协会,https://www.agri-tech.org/,2024-09-14,,,,,,,,
智能垃圾分类系统,城市生态系统,图像传感器,NVIDIA Jetson Nano,eMMC存储器,I2C,蓝牙模块,可充电电池,提高垃圾分类的准确度,环保科技有限公司,https://www.green-tech.com/,2024-09-14,,,,,,,,
智能能源监控系统,能源管理系统,电流传感器,ESP8266,Flash存储器,ADC,Zigbee模块,太阳能供电,优化能源使用,智能电网研究院,https://www.smartgrid.org/,2024-09-14,,,,,,,,
智能健康追踪系统,个人健康管理系统,心率传感器,Nordic nRF52832,Flash存储器,I2C,蓝牙模块,电池供电,实时监控个人健康,健康科技论坛,https://www.healthtechforum.com/,2024-09-14,,,,,,,,
智能住宅安全系统,安全监控系统,运动传感器,BeeLink,RAM,UART,RFID模块,DC电源,提升住宅安全性,安防科技中心,https://www.securitytechcenter.com/,2024-09-14,,,,,,,,
智能车辆监控系统,汽车安全系统,胎压传感器,Microchip PIC,EEPROM,SPI,LTE模块,车载电源,确保行车安全,汽车技术研究所,https://www.autotech.org/,2024-09-14,,,,,,,,
智能温度控制系统, HVAC系统,温湿度传感器,BeagleBone Black,Flash存储器,I2C,Zigbee模块,蓄电池,提升室内舒适性,建筑科技开发中心,https://www.buildtech.com/,2024-09-14,,,,,,,,
智能海洋监测系统,海洋监控系统,水温传感器,ARM Cortex-A53, eMMC存储器,I2S,卫星通信模块,潮汐发电,实时监测海洋环境变化,中国科学院,https://www.cas.cn/,2024-09-14,,,,,,,,
智能人口流动监测系统,城市管理系统,人流监测传感器,Intel Atom,Flash存储器,I2C,NB-IoT模块,太阳能供电,优化城市交通流量,城市大脑研究中心,https://www.smartcity.org.cn/,2024-09-14,,,,,,,,
智能智能温室管理系统,农业自动化系统,土壤养分传感器,Raspberry Pi 4,SSD存储,UART,Wi-Fi模块,电池供电,提升作物产量,中国农业大学,http://www.cau.edu.cn/,2024-09-14,,,,,,,,
智能水质监测系统,水资源管理系统,PH传感器,Microchip PIC,EEPROM,SPI,LTE模块,太阳能供电,保证水资源安全,水利部,http://www.mwr.gov.cn/,2024-09-14,,,,,,,,
智能物流监控系统,物流跟踪系统,温湿度传感器,ESP8266,Flash存储器,I2C,GPRS模块,锂电池,加强物流实时监控,顺丰速运,https://www.sf-express.com/,2024-09-14,,,,,,,,
智能建筑能耗监测系统,建筑管理系统,电力监测传感器,NXP Kinetis,DDR4内存,I2C,Zigbee模块,AC电源,提高建筑能效,中国建筑科学研究院,https://www.cbas.ac.cn/,2024-09-14,,,,,,,,
智能气体泄漏监测系统,环境安全系统,气体传感器,TI MSP430,Flash存储器,ADC,LoRa模块,电池供电,保障环境安全,中国环境监测总站,http://www.semc.org.cn/,2024-09-14,,,,,,,,
智能仓储管理系统,物流自动化系统,RFID传感器,Arduino Mega,Flash存储器,I2C,蓝牙模块,USB供电,提升仓储管理效率,阿里巴巴集团,https://www.alibaba.com/,2024-09-14,,,,,,,,
智能气候适应监测系统,气候监控系统,二氧化碳传感器,Atmel ATmega,Flash存储器,UART,NB-IoT模块,太阳能供电,应对气候变化带来的挑战,生态环境部,http://www.mee.gov.cn/,2024-09-14,,,,,,,,
智能城市环境监测系统,城市管理系统,空气质量传感器,ESP8266,Flash存储器,I2C,NB-IoT模块,太阳能供电,监测城市空气污染,中科院,https://www.cas.cn/,2024-09-14,,,,,,,,
智能水质监测系统,水资源监控系统,PH传感器,ATmega328,EEPROM,ADC,LoRa模块,蓄电池供电,实时监测水体污染,水务局,https://www.mwr.gov.cn/,2024-09-14,,,,,,,,
智能楼宇管理系统,建筑自动化系统,温湿度传感器,STM32F4,Flash存储器,I2C,Zigbee模块,DC电源,提高能效及舒适度,华为技术,https://www.huawei.com/cn/,2024-09-14,,,,,,,,
智能废弃物管理系统,环保监控系统,超声波传感器,Raspberry Pi 4,64GB SD卡,UART,4G LTE模块,电池供电,提升废弃物回收效率,城市管理局,https://www.chinaurban.gov.cn/,2024-09-14,,,,,,,,
智能农业气象监测系统,农业气候监控,温湿度传感器,ESP32,Flash存储器,SPI,Wi-Fi模块,太阳能供电,优化农作物生长环境,农业大学,https://www.agnu.edu.cn/,2024-09-14,,,,,,,,
智能健康监测系统,个人健康跟踪系统,心率监测传感器,Nordic nRF52832,Flash存储器,I2C,蓝牙模块,USB供电,监测个人健康数据,健康科技公司,https://www.healthtech.com/,2024-09-14,,,,,,,,
