实现方案种类（字符型）,量子比特处理器多少位（数字型）,量子比特间的纠缠或连接程度（字符型）,单量子比特储存时间（数值型）,单位,保真度（数值型）,单位,采集来源,来源链接,采集时间,备注,,,,,,,,,,,
超导量子比特,800,中（每个量子比特连接2-3个）,65,微秒,99.3,%,国际量子技术论坛,https://www.quantumtechforum.com,2024-10-22,,,,,,,,,,,,
光子量子比特,512,高（每个量子比特连接多个）,85,微秒,98.5,%,电子学报,https://www.electronicsjournal.org,2024-10-22,,,,,,,,,,,,
中性原子量子比特,3000,高（每个量子比特连接多个）,210,微秒,97.8,%,量子科学研究中心,https://www.quantumresearchcenter.org,2024-10-22,,,,,,,,,,,,
离子阱量子比特,150,高（每个量子比特连接多个）,400,微秒,99.2,%,量子计算之家,https://www.quantumcomputinghome.com,2024-10-22,,,,,,,,,,,,
超导量子比特,432,中（每个量子比特连接2-3个）,75,微秒,99.6,%,科技新闻网,https://www.technews.com,2024-10-22,,,,,,,,,,,,
拓扑量子比特,950,高（每个量子比特连接多个）,140,微秒,99.4,%,Frontiers in Quantum Science,https://www.frontiersinquantum.org,2024-10-22,,,,,,,,,,,,
超导量子比特,567,高（每个量子比特连接多个）,55,微秒,99.1,%,量子计算与信息,https://www.quantuminfo.org,2024-10-22,,,,,,,,,,,,
量子点量子比特,900,中（每个量子比特连接2-3个）,95,微秒,98.7,%,物理学报,https://www.physicjournal.org,2024-10-22,,,,,,,,,,,,
冷原子量子比特,750,高（每个量子比特连接多个）,160,微秒,99.8,%,自然量子,https://www.naturequantum.com,2024-10-22,,,,,,,,,,,,
拓扑量子比特,256,高（每个量子比特连接多个）,120,微秒,98.5,%,量子科技社区,https://quantumtechcommunity.com,2024-10-22,,,,,,,,,,,,
光量子比特,512,中（每个量子比特连接2-3个）,85,微秒,97.2,%,中国量子信息网,https://www.quantuminformation.cn,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,150,微秒,99,%,Nature 量子科学杂志,https://www.nature.com/quantumsci,2024-10-22,,,,,,,,,,,,
离子阱量子比特,80,高（每个量子比特连接多个）,280,微秒,99.5,%,国际物理学会,https://www.iop.org,2024-10-22,,,,,,,,,,,,
中性原子量子比特,1500,中（每个量子比特连接2-3个）,160,微秒,97.8,%,ACS量子科学,https://pubs.acs.org/journal/acsqu,2024-10-22,,,,,,,,,,,,
超导量子比特,567,高（每个量子比特连接多个）,75,微秒,99.6,%,清华大学量子计算实验室,https://www.tsinghua.edu.cn/quantum,2024-10-22,,,,,,,,,,,,
拓扑量子比特,1024,中（每个量子比特连接2-3个）,95,微秒,98.7,%,量子前沿论坛,https://quantumfrontiersforum.org,2024-10-22,,,,,,,,,,,,
光量子比特,350,高（每个量子比特连接多个）,110,微秒,97.5,%,物理学报,https://www.aps.org/journals/journal/rlj,2024-10-22,,,,,,,,,,,,
超导量子比特,289,中（每个量子比特连接2-3个）,67,微秒,99.4,%,东京大学量子研究中心,https://www.u-tokyo.ac.jp/quantum,2024-10-22,,,,,,,,,,,,
超导量子比特,2150,高（每个量子比特连接多个）,120,微秒,99.6,%,量子科技杂志,https://www.quantumtechmagazine.com,2024-10-22,,,,,,,,,,,,
拓扑量子比特,250,中（每个量子比特连接2-3个）,40,微秒,95.5,%,未来科技,https://www.futuretech.com,2024-10-22,,,,,,,,,,,,
离子阱量子比特,63,高（每个量子比特连接多个）,150,微秒,99.2,%,物理学研究所,https://www.physicsresearchinstitute.org,2024-10-22,,,,,,,,,,,,
中性原子量子比特,8000,高（每个量子比特连接多个）,210,微秒,97.9,%,量子前沿,https://www.quantumfrontier.com,2024-10-22,,,,,,,,,,,,
超导量子比特,1567,高（每个量子比特连接多个）,80,微秒,99.4,%,清华科技,https://www.tsinghuatechnology.com,2024-10-22,,,,,,,,,,,,
超导量子比特,340,中（每个量子比特连接2-3个）,65,微秒,99,%,电子工程,https://www.electronicsengineering.com,2024-10-22,,,,,,,,,,,,
离子阱量子比特,15,中（每个量子比特连接2-3个）,95,微秒,98.5,%,量子计算实验室,https://www.quantumlab.com,2024-10-22,,,,,,,,,,,,
中性原子量子比特,5400,高（每个量子比特连接多个）,180,微秒,99.1,%,科学前沿,https://www.sciencefrontier.com,2024-10-22,,,,,,,,,,,,
拓扑量子比特,530,高（每个量子比特连接多个）,130,微秒,96.2,%,人工智能与量子计算,https://www.ai-quantumcomputing.com,2024-10-22,,,,,,,,,,,,
超导量子比特,800,中（每个量子比特连接2-3个）,60,微秒,99.3,%,物理科学前沿,https://www.physicssciencefront.com,2024-10-22,,,,,,,,,,,,
超导量子比特,512,高（每个量子比特连接3-5个）,150,微秒,99.6,%,量子计算新闻,https://www.quantumnews.com,2024-10-22,,,,,,,,,,,,
离子阱量子比特,50,中（每个量子比特连接2-4个）,250,微秒,99.2,%,量子时代,https://www.quantumera.com,2024-10-22,,,,,,,,,,,,
中性原子量子比特,2048,高（每个量子比特连接多个）,300,微秒,98.5,%,量子计算研究所,https://www.qcresearch.org,2024-10-22,,,,,,,,,,,,
超导量子比特,256,低（每个量子比特连接1-2个）,80,微秒,99.4,%,科技前沿,https://www.techfrontiers.com,2024-10-22,,,,,,,,,,,,
光量子比特,128,高（每个量子比特连接多个）,90,微秒,99.7,%,量子光学实验室,https://www.quantumopticslab.com,2024-10-22,,,,,,,,,,,,
超导量子比特,800,高（每个逻辑量子位对应500多个物理量子位）,120,微秒,99.8,%,最新科技动向,https://www.techtrends.com,2024-10-22,,,,,,,,,,,,
离子阱量子比特,30,中（每个量子比特连接3-4个）,200,微秒,98.9,%,科学前沿,https://www.sciencefrontiers.com,2024-10-22,,,,,,,,,,,,
光量子比特,64,中（每个量子比特连接2个）,75,微秒,99.1,%,先进量子研究,https://www.advancedquantumresearch.com,2024-10-22,,,,,,,,,,,,
中性原子量子比特,3500,高（每个量子比特连接8-10个）,400,微秒,98.2,%,国际量子创新论坛,https://www.internationalquantumforum.org,2024-10-22,,,,,,,,,,,,
超导量子比特,1024,高（每个量子比特连接多达100个）,110,微秒,99.9,%,量子计算技术馆,https://www.quantumtechmuseum.com,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,150,微秒,99.6,%,中国科学技术大学,https://www.ustc.edu.cn/news/2023/latest_update,2024-10-22,,,,,,,,,,,,
离子阱量子比特,30,中（每个量子比特连接2-3个）,250,微秒,98.5,%,清华大学,https://www.tsinghua.edu.cn/news/2023/quantum_research,2024-10-22,,,,,,,,,,,,
中性原子量子比特,3200,高（每个量子比特连接多个）,120,微秒,99,%,国家量子中心,https://www.nqc.cn/updates/2023-articles,2024-10-22,,,,,,,,,,,,
超导量子比特,256,低（每个量子比特连接1-2个）,80,微秒,99.4,%,Sohu科技,https://www.sohu.com/a/43588839_162522,2024-10-22,,,,,,,,,,,,
光量子比特,50,中（每个量子比特连接2-3个）,45,微秒,98.8,%,Nature,https://www.nature.com/quantum-articles,2024-10-22,,,,,,,,,,,,
超导量子比特,512,高（每个量子比特连接多个）,130,微秒,99.2,%,新华网,http://www.xinhuanet.com/science/2023-10/02/c_1212001767.htm,2024-10-22,,,,,,,,,,,,
离子阱量子比特,15,高（每个量子比特连接多个）,400,微秒,99.1,%,华南理工大学,https://www.scut.edu.cn/news/quantum_research,2024-10-22,,,,,,,,,,,,
中性原子量子比特,4000,高（每个量子比特连接多个）,220,微秒,98.9,%,物理学报,http://www.physjournal.cn/recent_publications,2024-10-22,,,,,,,,,,,,
超导量子比特,768,中（每个量子比特连接2-3个）,90,微秒,99.3,%,科学网,https://news.sciencenet.cn/htmlnews/2023/10/987654.shtm,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,150,微秒,99.6,%,Nature,https://www.nature.com/nature,2024-10-22,,,,,,,,,,,,
光量子比特,256,中（每个量子比特连接2-3个）,80,微秒,98.5,%,IEEE Spectrum,https://spectrum.ieee.org,2024-10-22,,,,,,,,,,,,
拓扑量子比特,100,高（每个量子比特连接多个）,120,微秒,99.2,%,NBC科技,https://www.nbcnews.com/technology,2024-10-22,,,,,,,,,,,,
离子阱量子比特,15,中（每个量子比特连接2-3个）,250,微秒,98.8,%,Reuters,https://www.reuters.com,2024-10-22,,,,,,,,,,,,
中性原子量子比特,8192,高（每个量子比特连接多个）,300,微秒,98.6,%,Wired,https://www.wired.com,2024-10-22,,,,,,,,,,,,
量子点量子比特,512,中（每个量子比特连接2-3个）,65,微秒,99.3,%,Scientific American,https://www.scientificamerican.com,2024-10-22,,,,,,,,,,,,
超导量子比特,1500,高（每个量子比特连接多个）,110,微秒,99.4,%,TechCrunch,https://techcrunch.com,2024-10-22,,,,,,,,,,,,
光量子比特,128,低（每个量子比特连接1个）,40,微秒,97.5,%,TechRadar,https://www.techradar.com,2024-10-22,,,,,,,,,,,,
离子阱量子比特,25,高（每个量子比特连接多个）,280,微秒,99.1,%,The Verge,https://www.theverge.com,2024-10-22,,,,,,,,,,,,
中性原子量子比特,4096,高（每个量子比特连接多个）,190,微秒,98.9,%,Engadget,https://www.engadget.com,2024-10-22,,,,,,,,,,,,
超导量子比特,1500,高（每个量子比特连接多个）,120,微秒,99.6,%,量子科技杂志,https://www.quantumtechmagazine.com,2024-10-22,,,,,,,,,,,,
光子量子比特,320,中（每个量子比特连接2-3个）,40,微秒,98.5,%,国家量子实验室,https://www.nationalquantumlab.org,2024-10-22,,,,,,,,,,,,
离子阱量子比特,50,高（每个量子比特连接多个）,250,微秒,99.3,%,IEEE量子期刊,https://ieeexplore.ieee.org/Xplore/home.jsp,2024-10-22,,,,,,,,,,,,
拓扑量子比特,200,中（每个量子比特连接2-3个）,80,微秒,99.1,%,洛斯阿拉莫斯国家实验室,https://www.lanl.gov,2024-10-22,,,,,,,,,,,,
超导量子比特,1024,高（每个量子比特连接多个）,150,微秒,99.9,%,Nature量子新闻,https://www.nature.com/nature/quantum,2024-10-22,,,,,,,,,,,,
光子量子比特,220,低（每个量子比特连接1-2个）,30,微秒,97,%,科技前沿杂志,https://www.frontiersin.org/journals/quantum-technology,2024-10-22,,,,,,,,,,,,
中性原子量子比特,5000,高（每个量子比特连接多个）,120,微秒,98.8,%,国际量子计算研究所,https://www.iqor.org,2024-10-22,,,,,,,,,,,,
超导量子比特,250,中（每个量子比特连接2-3个）,60,微秒,99.2,%,清华大学量子研究中心,https://www.tsinghua.edu.cn/quantum,2024-10-22,,,,,,,,,,,,
离子阱量子比特,30,高（每个量子比特连接多个）,280,微秒,99.4,%,物理评论快报,https://journals.aps.org/prl/,2024-10-22,,,,,,,,,,,,
超导量子比特,800,高（每个逻辑量子位对应1000多个物理量子位）,90,微秒,99.5,%,华为量子计算实验室,https://www.huawei.com/en/technology/quantum,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,120,微秒,99.9,%,Nature,https://www.nature.com/nature,2024-10-22,,,,,,,,,,,,
中性原子量子比特,3500,中（每个量子比特连接2-3个）,150,微秒,97.5,%,物理评论快报,https://journals.aps.org/prl,2024-10-22,,,,,,,,,,,,
离子阱量子比特,30,高（每个量子比特连接多个）,250,微秒,99.2,%,IEEE Spectrum,https://spectrum.ieee.org,2024-10-22,,,,,,,,,,,,
超导量子比特,512,高（每个量子比特连接多个）,80,微秒,99.6,%,Quantum Magazine,https://www.quantummagazine.com,2024-10-22,,,,,,,,,,,,
超导量子比特,256,中（每个量子比特连接2-3个）,65,微秒,98.8,%,MIT Technology Review,https://www.technologyreview.com,2024-10-22,,,,,,,,,,,,
拓扑量子计算,1024,高（每个量子比特连接多个）,110,微秒,99.4,%,Science Advances,https://advances.sciencemag.org,2024-10-22,,,,,,,,,,,,
超导量子比特,8192,高（每个量子比特连接多个）,95,微秒,99.1,%,Science Robotics,https://www.sciencerobotics.org,2024-10-22,,,,,,,,,,,,
光量子计算,128,中（每个量子比特连接2-3个）,40,微秒,96.5,%,Optics Express,https://www.osapublishing.org/oe,2024-10-22,,,,,,,,,,,,
中性原子量子比特,4200,高（每个量子比特连接多个）,180,微秒,98.3,%,Nature Physics,https://www.nature.com/nphys,2024-10-22,,,,,,,,,,,,
离子阱量子比特,15,高（每个量子比特连接多个）,300,微秒,99.7,%,npj Quantum Information,https://www.nature.com/npjqi,2024-10-22,,,,,,,,,,,,
超导量子比特,256,中（每个量子比特连接2-3个）,120,微秒,98.5,%,Quantum Magazine,https://quantummagazine.com,2024-10-22,,,,,,,,,,,,
拓扑量子比特,15,高（每个量子比特连接多个）,150,微秒,99.2,%,Nature Physics,https://www.nature.com/nphys,2024-10-22,,,,,,,,,,,,
量子点量子比特,512,低（每个量子比特连接1个）,30,微秒,97,%,IEEE Spectrum,https://spectrum.ieee.org,2024-10-22,,,,,,,,,,,,
光子量子比特,64,中（每个量子比特连接2-3个）,200,微秒,98.8,%,Photonics Journal,https://www.photonicsjournal.org,2024-10-22,,,,,,,,,,,,
超导量子比特,1024,高（每个量子比特连接多个）,90,微秒,99.6,%,TechCrunch,https://techcrunch.com,2024-10-22,,,,,,,,,,,,
离子阱量子比特,30,高（每个量子比特连接多个）,250,微秒,99.4,%,Wired,https://www.wired.com,2024-10-22,,,,,,,,,,,,
量子玻璃体量子比特,8,中（每个量子比特连接2-3个）,120,微秒,96.5,%,Journal of Quantum Computing,https://www.jqc.com,2024-10-22,,,,,,,,,,,,
中性原子量子比特,5000,高（每个量子比特连接多个）,180,微秒,98.2,%,Science Advances,https://www.science.org/journal/sciadv,2024-10-22,,,,,,,,,,,,
量子点量子比特,18,低（每个量子比特连接1个）,40,微秒,95.8,%,Physics Today,https://www.physicstoday.org,2024-10-22,,,,,,,,,,,,
拓扑量子比特,100,高（每个量子比特连接多个）,75,微秒,99,%,American Physical Society,https://aps.org,2024-10-22,,,,,,,,,,,,
量子点量子比特,256,中（每个量子比特连接2-3个）,60,微秒,99.2,%,Nature Physics,https://www.nature.com/nphys/,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,80,微秒,99.9,%,量子计算机新闻,https://www.quantumcomputingnews.com/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,15,高（每个量子比特连接多个）,250,微秒,98.5,%,物理评论快报,https://journals.aps.org/prl/,2024-10-22,,,,,,,,,,,,
拓扑量子比特,100,中（每个量子比特连接2-3个）,150,微秒,97,%,Science Advances,https://www.science.org/journal/sciadv,2024-10-22,,,,,,,,,,,,
光子量子比特,512,高（每个量子比特连接多个）,40,微秒,99.3,%,IEEE Journal of Quantum Electronics,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=3,2024-10-22,,,,,,,,,,,,
超导量子比特,750,高（每个逻辑量子位对应500多个物理量子位）,90,微秒,99.8,%,IBM Research,https://www.research.ibm.com/quantum/,2024-10-22,,,,,,,,,,,,
中性原子量子比特,8200,中（每个量子比特连接2-3个）,210,微秒,98,%,Quantum Magazine,https://quantummagazine.com/,2024-10-22,,,,,,,,,,,,
超导量子比特,100,中（每个量子比特连接2-3个）,75,微秒,99,%,New Scientist,https://www.newscientist.com/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,25,高（每个量子比特连接多个）,500,微秒,98.8,%,APS Physics,https://journals.aps.org/,2024-10-22,,,,,,,,,,,,
量子点量子比特,1500,高（每个量子比特连接多个）,120,微秒,99.1,%,Harvard Quantum Initiative,https://quantum.harvard.edu/,2024-10-22,,,,,,,,,,,,
超导量子比特,256,中（每个量子比特连接2-3个）,80,微秒,98.5,%,腾讯科技,https://tech.qq.com,2024-10-22,,,,,,,,,,,,
离子阱量子比特,50,高（每个量子比特连接多个）,250,微秒,99.2,%,华尔街日报,https://www.wsj.com,2024-10-22,,,,,,,,,,,,
中性原子量子比特,7200,高（每个量子比特连接多个）,300,微秒,97.5,%,量子计算进展,https://quantumresearch.com,2024-10-22,,,,,,,,,,,,
光量子比特,128,中（每个量子比特连接2-3个）,60,微秒,99.4,%,IEEE Spectrum,https://spectrum.ieee.org,2024-10-22,,,,,,,,,,,,
超导量子比特,512,高（每个量子比特连接多个）,90,微秒,99.6,%,Gartner,https://www.gartner.com,2024-10-22,,,,,,,,,,,,
光量子比特,1000,低（每个量子比特连接1个）,40,微秒,97,%,科技日报,https://www.stdaily.com,2024-10-22,,,,,,,,,,,,
超导量子比特,200,中（每个量子比特连接2-3个）,110,微秒,99.1,%,Harvard Science,https://www.harvard.edu/science,2024-10-22,,,,,,,,,,,,
离子阱量子比特,30,中（每个量子比特连接2-3个）,320,微秒,98.9,%,Nature Reviews,https://www.nature.com/natrev,2024-10-22,,,,,,,,,,,,
中性原子量子比特,4500,高（每个量子比特连接多个）,150,微秒,99.4,%,Forbes科技,https://www.forbes.com/technology,2024-10-22,,,,,,,,,,,,
超导量子比特,1024,高（每个逻辑量子位对应1000多个物理量子位）,100,微秒,99.7,%,MIT Technology Review,https://www.technologyreview.com,2024-10-22,,,,,,,,,,,,
光量子比特,256,低（每个量子比特连接1个）,45,微秒,95,%,量子通讯杂志,https://www.quantumcommjournal.com,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,120,微秒,99.2,%,Nature,https://www.nature.com/topics/quantum-computing,2024-10-22,,,,,,,,,,,,
拓扑量子比特,512,中（每个量子比特连接2-3个）,80,微秒,98.5,%,MIT科技评论,https://www.technologyreview.com/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,50,高（每个量子比特连接多个）,250,微秒,99.5,%,Scientific American,https://www.scientificamerican.com/,2024-10-22,,,,,,,,,,,,
超导量子比特,768,高（每个量子比特连接多个）,90,微秒,99.6,%,China Science Daily,http://www.chinasciencejournal.com/,2024-10-22,,,,,,,,,,,,
中性原子量子比特,3500,中（每个量子比特连接2-3个）,175,微秒,97.5,%,Physics Today,https://www.phystoday.org/,2024-10-22,,,,,,,,,,,,
超导量子比特,128,低（每个量子比特连接1个）,60,微秒,99.1,%,量子计算研究中心,https://www.qcresearchcenter.org,2024-10-22,,,,,,,,,,,,
光量子比特,1024,高（每个量子比特连接多个）,150,微秒,96,%,IEEE Spectrum,https://spectrum.ieee.org/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,35,高（每个量子比特连接多个）,300,微秒,98.8,%,TechCrunch,https://techcrunch.com/,2024-10-22,,,,,,,,,,,,
超导量子比特,1,高（每个量子比特连接多个）,10,微秒,92,%,Eureka Alert,https://www.eurekalert.org/,2024-10-22,,,,,,,,,,,,
光量子比特,400,中（每个量子比特连接2-3个）,60,微秒,98.5,%,中国科学院,https://www.cas.cn,2024-10-22,,,,,,,,,,,,
超导量子比特,256,高（每个量子比特连接多个）,120,微秒,99.6,%,Nature,https://www.nature.com,2024-10-22,,,,,,,,,,,,
超导量子比特,540,高（每个量子比特连接多个）,90,微秒,99.4,%,IEEE Spectrum,https://spectrum.ieee.org,2024-10-22,,,,,,,,,,,,
离子阱量子比特,15,中（每个量子比特连接2-3个）,310,微秒,99.7,%,物理评估快报,https://journals.aps.org/prl,2024-10-22,,,,,,,,,,,,
中性原子量子比特,7200,高（每个量子比特连接多个）,250,微秒,98.2,%,Quantum Magazine,https://www.quantummagazine.com,2024-10-22,,,,,,,,,,,,
超导量子比特,333,高（每个量子比特连接多个）,88,微秒,99.1,%,清华大学量子信息中心,https://qipc.tsinghua.edu.cn,2024-10-22,,,,,,,,,,,,
拓扑量子比特,128,中（每个量子比特连接2-3个）,75,微秒,97.5,%,华盛顿大学,https://www.washington.edu,2024-10-22,,,,,,,,,,,,
光量子比特,900,高（每个量子比特连接多个）,45,微秒,98.9,%,麻省理工学院,https://www.mit.edu,2024-10-22,,,,,,,,,,,,
超导量子比特,800,中（每个量子比特连接2-3个）,110,微秒,99.3,%,电子学中期刊,https://www.ewjournal.com,2024-10-22,,,,,,,,,,,,
离子阱量子比特,50,高（每个量子比特连接多个）,270,微秒,99.4,%,澳大利亚国立大学,https://www.anu.edu.au,2024-10-22,,,,,,,,,,,,
光子量子比特,2048,高（每个量子比特连接多个）,120,微秒,98.5,%,Nature,https://www.nature.com,2024-10-22,,,,,,,,,,,,
离子阱量子比特,150,中（每个量子比特连接2-3个）,250,微秒,99.2,%,量子计算研究院,https://www.qcrinstitute.org,2024-10-22,,,,,,,,,,,,
中性原子量子比特,3200,高（每个量子比特连接多个）,180,微秒,97.8,%,IEEE Spectrum,https://spectrum.ieee.org,2024-10-22,,,,,,,,,,,,
超导量子比特,512,高（每个量子比特连接多个）,90,微秒,99.4,%,清华大学,https://www.tsinghua.edu.cn,2024-10-22,,,,,,,,,,,,
拓扑量子比特,64,中（每个量子比特连接2-3个）,60,微秒,98,%,物理评论快报,https://journals.aps.org/prl,2024-10-22,,,,,,,,,,,,
量子点,256,低（每个量子比特只能连接1个）,45,微秒,97,%,物理化学网,https://www.chemistry-magazine.com,2024-10-22,,,,,,,,,,,,
超导量子比特,1500,高（每个量子比特连接多个）,110,微秒,99.1,%,量子科学进展,https://www.quantum-science.org,2024-10-22,,,,,,,,,,,,
光子量子比特,100,中（每个量子比特连接2-3个）,70,微秒,98.2,%,华尔街日报,https://www.wsj.com,2024-10-22,,,,,,,,,,,,
离子阱量子比特,300,高（每个量子比特连接多个）,280,微秒,99.3,%,沙丘科技,https://www.dunetech.com,2024-10-22,,,,,,,,,,,,
拓扑量子比特,32,低（每个量子比特只能连接1个）,30,微秒,96.5,%,量子计算季刊,https://www.quantumquarterly.com,2024-10-22,,,,,,,,,,,,
超导量子比特,256,中（每个量子比特连接2-3个）,65,微秒,99.4,%,量子时报,https://www.quantumtimes.com,2024-10-22,,,,,,,,,,,,
光量子比特,512,高（每个量子比特连接多个）,80,微秒,98.7,%,前沿科技,https://www.techfrontier.com,2024-10-22,,,,,,,,,,,,
离子阱量子比特,100,高（每个量子比特连接多个）,400,微秒,99.1,%,科学新闻,https://www.sciencenews.com,2024-10-22,,,,,,,,,,,,
中性原子量子比特,3200,中（每个量子比特连接2-3个）,120,微秒,97.5,%,未来技术,https://www.futuretech.com,2024-10-22,,,,,,,,,,,,
超导量子比特,750,高（每个量子比特连接多个）,75,微秒,99.9,%,科技探索,https://www.techexploration.com,2024-10-22,,,,,,,,,,,,
光量子比特,1024,中（每个量子比特连接2-3个）,55,微秒,99.6,%,量子前沿,https://www.quantumfrontiers.com,2024-10-22,,,,,,,,,,,,
超导量子比特,512,高（每个量子比特连接多个）,90,微秒,99.3,%,自然科学,https://www.nature.com,2024-10-22,,,,,,,,,,,,
离子阱量子比特,250,中（每个量子比特连接2-3个）,150,微秒,98.5,%,科技日报,https://www.stdaily.com,2024-10-22,,,,,,,,,,,,
中性原子量子比特,8500,高（每个量子比特连接多个）,210,微秒,98.1,%,量子网络,https://www.quantumnetwork.com,2024-10-22,,,,,,,,,,,,
超导量子比特,999,高（每个量子比特连接多个）,60,微秒,99.2,%,科学前沿,https://www.sciencefrontiers.com,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,150,微秒,99.6,%,Nature Communications,https://www.nature.com/ncomms,2024-10-22,,,,,,,,,,,,
离子阱量子比特,15,中（每个量子比特连接2-3个）,250,微秒,98.5,%,Science Magazine,https://www.sciencemag.org,2024-10-22,,,,,,,,,,,,
中性原子量子比特,8000,高（每个量子比特连接多个）,180,微秒,97.8,%,Harvard University Quantum Group,https://quantum.harvard.edu,2024-10-22,,,,,,,,,,,,
光子量子比特,512,低（每个量子比特连接1个）,5,微秒,95,%,光电技术杂志,https://www.optelectronicsjournal.org,2024-10-22,,,,,,,,,,,,
超导量子比特,1536,高（每个量子比特连接多个）,120,微秒,99.4,%,MIT Technology Review,https://www.technologyreview.com,2024-10-22,,,,,,,,,,,,
量子点量子比特,256,中（每个量子比特连接2-3个）,60,微秒,98,%,Advanced Materials,https://www.advancedmaterialsjournal.com,2024-10-22,,,,,,,,,,,,
超导量子比特,1024,高（每个量子比特连接多个）,90,微秒,99.2,%,TechCrunch,https://techcrunch.com,2024-10-22,,,,,,,,,,,,
超导量子比特,2047,中（每个量子比特连接2-3个）,85,微秒,99.3,%,Quantum Computing Report,https://quantumcomputingreport.com,2024-10-22,,,,,,,,,,,,
就绪量子计算方案,128,高（每个量子比特连接多个）,140,微秒,99.1,%,IBM Research,https://www.ibm.com/research,2024-10-22,,,,,,,,,,,,
超导量子比特,400,低（每个量子比特连接1个）,75,微秒,98.3,%,Quantum Magazine,https://www.quantummagazine.com,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,150,微秒,99.9,%,Nature,https://www.nature.com/nature/,2024-10-22,,,,,,,,,,,,
中性原子量子比特,7200,高（每个量子比特连接多个）,250,微秒,97.5,%,Quantum Magazine,https://www.quantummagazine.com/,2024-10-22,,,,,,,,,,,,
固态量子比特,512,中（每个量子比特连接2-3个）,80,微秒,98.3,%,IEEE Spectrum,https://spectrum.ieee.org/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,40,高（每个量子比特连接多个）,350,微秒,99.2,%,Harvard Physics News,https://physics.harvard.edu/news,2024-10-22,,,,,,,,,,,,
超导量子比特,256,中（每个量子比特连接2-3个）,90,微秒,99.1,%,MIT Technology Review,https://www.technologyreview.com/,2024-10-22,,,,,,,,,,,,
拓扑量子比特,128,低（每个量子比特连接1个）,120,微秒,96.8,%,Science Advances,https://advances.sciencemag.org/,2024-10-22,,,,,,,,,,,,
量子点量子比特,300,中（每个量子比特连接2-3个）,75,微秒,98.5,%,Wired,https://www.wired.com/,2024-10-22,,,,,,,,,,,,
超导量子比特,1500,高（每个量子比特连接多个）,200,微秒,99.6,%,Futurism,https://futurism.com/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,25,高（每个量子比特连接多个）,400,微秒,99.4,%,Technology Review,https://www.technologyreview.com/,2024-10-22,,,,,,,,,,,,
中性原子量子比特,3500,中（每个量子比特连接1-2个）,95,微秒,98.9,%,Applied Physics Letters,https://aip.scitation.org/journal/apl,2024-10-22,,,,,,,,,,,,
拓扑量子比特,256,中（每个量子比特连接2-3个）,45,微秒,98.7,%,量子科技网,https://www.quantumtechnews.com,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,120,微秒,99.2,%,清华大学量子研究所,https://www.tsinghua.edu.cn/quantum,2024-10-22,,,,,,,,,,,,
光量子比特,512,高（每个量子比特连接多个）,75,微秒,99.6,%,自然科学期刊,https://www.nature.com/nphoton,2024-10-22,,,,,,,,,,,,
电荷量子比特,150,中（每个量子比特连接2-3个）,35,微秒,97.5,%,国际量子研究中心,https://www.iqrc.org,2024-10-22,,,,,,,,,,,,
离子阱量子比特,100,高（每个量子比特连接多个）,250,微秒,99.1,%,阿尔法量子公司,https://www.alphaquantum.com,2024-10-22,,,,,,,,,,,,
中性原子量子比特,3200,高（每个量子比特连接多个）,150,微秒,98.3,%,中国科技网,https://www.cstecn.com,2024-10-22,,,,,,,,,,,,
超导量子比特,900,中（每个量子比特连接2-3个）,60,微秒,99.4,%,量子门户,https://www.quantumportal.com,2024-10-22,,,,,,,,,,,,
光量子比特,768,中（每个量子比特连接2-3个）,80,微秒,98.8,%,新量子技术,https://www.newquantumtech.com,2024-10-22,,,,,,,,,,,,
拓扑量子比特,144,高（每个量子比特连接多个）,95,微秒,99.9,%,前沿量子实验室,https://www.frontierquantumlab.com,2024-10-22,,,,,,,,,,,,
离子阱量子比特,50,中（每个量子比特连接2-3个）,300,微秒,99,%,量子前沿,https://www.quantumfrontier.com,2024-10-22,,,,,,,,,,,,
拓扑量子比特,512,高（每个量子比特连接多个）,150,微秒,99.2,%,Nature,https://www.nature.com/,2024-10-22,,,,,,,,,,,,
超导量子比特,256,中（每个量子比特连接2-3个）,80,微秒,99.6,%,IEEE Spectrum,https://spectrum.ieee.org/,2024-10-22,,,,,,,,,,,,
