量子计算应用的市场规模（字符型）,应用场景类型（字符型）,领域（字符型）,算法（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,
35亿美元,物流优化,运输,QAOA（量子近似优化算法）,Gartner,https://www.gartner.com,2024-10-22,,,,,,,,,,,,,
300亿元（人民币）,金融市场预测,金融,QML（量子机器学习）,CICC Research,https://www.cicc.com,2024-10-22,,,,,,,,,,,,,
1.2亿美元,食品化学分析,农业,QPE（量子相位估计）,Agriculture Data Insights,https://www.agriculturedata.com,2024-10-22,,,,,,,,,,,,,
18亿美元,蒙特卡罗模拟,保险,QMC（量子蒙特卡罗方法）,Insurance Journal,https://www.insurancejournal.com,2024-10-22,,,,,,,,,,,,,
500亿元（人民币）,网络安全,信息技术,Lattice-based cryptography（基于格的密码学）,Security Technology Review,https://www.securitytechnology.com,2024-10-22,,,,,,,,,,,,,
20亿美元,经济建模,经济学,RQML（重塑量子机器学习）,The Economist,https://www.economist.com,2024-10-22,,,,,,,,,,,,,
超过22亿美元,量子金融模型,金融,Quantum Monte Carlo,Market Watch,https://www.marketwatch.com/quantum-finance,2024-10-22,,,,,,,,,,,,,
约5.9亿元（人民币）,天气预测,气象,QFT（量子傅里叶变换）,国家气象局,https://www.nmc.cn/,2024-10-22,,,,,,,,,,,,,
12亿美元,药物开发,制药,QSP（量子态准备）,Pharmaceutical Technology,https://www.pharmaceutical-technology.com/,2024-10-22,,,,,,,,,,,,,
超过35亿美元,网络安全,信息技术,QKD（量子密钥分发）,Cybersecurity Ventures,https://cybersecurityventures.com/,2024-10-22,,,,,,,,,,,,,
39.47亿元（人民币）,供应链优化,物流,Quantum Annealing,Logistics Management,https://www.logisticsmgmt.com/,2024-10-22,,,,,,,,,,,,,
约10亿美元,复杂系统模拟,工程,QSD（量子模拟器设计）,Engineering News-Record,https://www.enr.com/,2024-10-22,,,,,,,,,,,,,
23.5亿美元,个性化营销,市场营销,Quantum Clustering,Marketing Tech News,https://www.marketingtechnews.net/,2024-10-22,,,,,,,,,,,,,
超过75亿美元,金融风险分析,银行,Variational Quantum Eigensolver,Finance Magnates,https://www.financemagnates.com/,2024-10-22,,,,,,,,,,,,,
约15亿元（人民币）,区块链优化,数字货币,Quantum Random Walks,Blockchain News,https://www.theblockchainnews.com/,2024-10-22,,,,,,,,,,,,,
29亿美元,高效路由协议,网络技术,Quantum Transport Theory,TechCrunch,https://techcrunch.com/,2024-10-22,,,,,,,,,,,,,
25亿美元,量子加密,金融,QKD（量子密钥分发）,MarketsandMarkets,https://www.marketsandmarkets.com,2024-10-22,,,,,,,,,,,,,
15.2亿元（人民币）,量子模拟,化学,QPE（量子相位估计）,ResearchAndMarkets,https://www.researchandmarkets.com,2024-10-22,,,,,,,,,,,,,
73亿美元,供应链优化,物流与运输,VQE（变分量子特征求解器）,Gartner,https://www.gartner.com,2024-10-22,,,,,,,,,,,,,
32.5亿美元,金融风险分析,保险,QAOA（量子近似优化算法）,McKinsey & Company,https://www.mckinsey.com,2024-10-22,,,,,,,,,,,,,
10亿美元,药物发现,制药,QML（量子机器学习）,Biotechnology Innovation Organization,https://www.bio.org,2024-10-22,,,,,,,,,,,,,
50亿元（人民币）,智能合约安全,区块链,量子抗性算法,Chainalysis,https://www.chainalysis.com,2024-10-22,,,,,,,,,,,,,
5.1亿美元,气候建模,环境科学,量子模拟算法,Environmental Research Letters,https://iopscience.iop.org/journal/1748-9326,2024-10-22,,,,,,,,,,,,,
18亿美元,机器学习优化,软件开发,QML（量子机器学习）,Forrester,https://go.forrester.com,2024-10-22,,,,,,,,,,,,,
45.3亿美元,量子通信,通信,QKD（量子密钥分发）,Telecom Regulatory Authority,https://www.trai.gov.in,2024-10-22,,,,,,,,,,,,,
30亿美元,复杂系统模拟,材料科学,QPE（量子相位估计）,Nature Reviews Physics,https://www.nature.com/natrevphys,2024-10-22,,,,,,,,,,,,,
超过25亿美元,药物发现,制药,QAOA,Grand View Research,https://www.grandviewresearch.com/industry-analysis/quantum-computing-market,2024-10-22,,,,,,,,,,,,,
58亿元（人民币）,加密安全,信息技术,QKD,新财经,https://www.xincaijing.com/quantum-security-analysis,2024-10-22,,,,,,,,,,,,,
12亿美元,气候模型,环境科学,HHL（Harrow-Hassidim-Lloyd算法）,McKinsey & Company,https://www.mckinsey.com/industries/environmental-services/our-insights/quantum-computing-and-climate-change,2024-10-22,,,,,,,,,,,,,
45亿美元,供应链优化,物流,QPE,Gartner,https://www.gartner.com/en/information-technology/insights/quantum-computing,2024-10-22,,,,,,,,,,,,,
35.5亿美元,金融风险分析,金融,VQE,PwC,https://www.pwc.com/quantum-financial-services,2024-10-22,,,,,,,,,,,,,
27亿美元,材料科学,制造业,QML,Deloitte Insights,https://www2.deloitte.com/global/en/pages/technology-media-and-telecommunications/articles/quantum-computing-in-manufacturing.html,2024-10-22,,,,,,,,,,,,,
33.4亿元（人民币）,市场预测,零售,QAOA,Statista,https://www.statista.com/topics/6185/quantum-computing/,2024-10-22,,,,,,,,,,,,,
15亿美元,量子通信,国防,QKD,MIT Technology Review,https://www.technologyreview.com/quantum-communications,2024-10-22,,,,,,,,,,,,,
22亿美元,图像处理,人工智能,QML,Forrester,https://go.forrester.com/research/quantum-computing-ai,2024-10-22,,,,,,,,,,,,,
50亿美元,交通管理,智慧城市,QPE,ResearchAndMarkets,https://www.researchandmarkets.com/reports/quantum-transportation-management,2024-10-22,,,,,,,,,,,,,
55亿美元,金融市场预测,金融,HHL（量子希尔伯特空间算法）,Global Market Insights,https://www.globalmarketinsights.com/,2024-10-22,,,,,,,,,,,,,
22.6亿元（人民币）,供应链优化,物流,QAOA,TechCrunch,https://techcrunch.com/,2024-10-22,,,,,,,,,,,,,
12.3亿美元,化学模拟,化工,QPE,McKinsey & Company,https://www.mckinsey.com/,2024-10-22,,,,,,,,,,,,,
30亿美元,药物发现,制药,VQE,Forbes,https://www.forbes.com/,2024-10-22,,,,,,,,,,,,,
9.5亿美元,气候建模,环境科学,量子模拟,Nature Reviews Physics,https://www.nature.com/natrevphys/,2024-10-22,,,,,,,,,,,,,
35.7亿元（人民币）,个性化医疗,医疗健康,QML,Statista,https://www.statista.com/,2024-10-22,,,,,,,,,,,,,
104亿美元,网络安全,网络安全,QKD,Frost & Sullivan,https://www.frost.com/,2024-10-22,,,,,,,,,,,,,
40亿美元,精细化工业制造,制造业,量子优化,Gartner,https://www.gartner.com/,2024-10-22,,,,,,,,,,,,,
25.8亿美元,资产管理,金融,QAOA,Bloomberg,https://www.bloomberg.com/,2024-10-22,,,,,,,,,,,,,
50亿美元,智能合约,区块链,量子安全加密,World Economic Forum,https://www.weforum.org/,2024-10-22,,,,,,,,,,,,,
29亿美元,供应链优化,物流,QAOA,ResearchGate,https://www.researchgate.net,2024-10-22,,,,,,,,,,,,,
22.3亿元（人民币）,增强现实,消费者技术,VQE,TechCrunch,https://techcrunch.com,2024-10-22,,,,,,,,,,,,,
3.7亿美元,图像处理,通信,QML,MIT Technology Review,https://www.technologyreview.com,2024-10-22,,,,,,,,,,,,,
54亿美元,材料科学,化学,QPE,Gartner,https://www.gartner.com,2024-10-22,,,,,,,,,,,,,
32.5亿美元,金融风险分析,金融,QKD,Forbes,https://www.forbes.com,2024-10-22,,,,,,,,,,,,,
17.8亿元（人民币）,量子密码学,信息技术,QKD,新华网,https://www.xinhuanet.com,2024-10-22,,,,,,,,,,,,,
94亿美元,量子通信,安全,QML,Nature,https://www.nature.com,2024-10-22,,,,,,,,,,,,,
21.5亿美元,智能城市,城市规划,VQE,McKinsey,https://www.mckinsey.com,2024-10-22,,,,,,,,,,,,,
60亿元（人民币）,药物发现,制药,QPE,Pharma Times,https://www.pharmatimes.com,2024-10-22,,,,,,,,,,,,,
50亿美元,气候建模,气候科学,QAOA,World Economic Forum,https://www.weforum.org,2024-10-22,,,,,,,,,,,,,
超过9.5亿美元,自然语言处理,信息技术,QNN（量子神经网络）,McKinsey & Company,https://www.mckinsey.com/,2024-10-22,,,,,,,,,,,,,
15.3亿元（人民币）,量子优化,交通运输,QAOA,麦肯锡咨询,https://www.mckinsey.com/capabilities/quantum-computing/our-insights,2024-10-22,,,,,,,,,,,,,
35亿美元,材料科学,制造业,VQE,Gartner,https://www.gartner.com/en/information-technology,2024-10-22,,,,,,,,,,,,,
超越50亿美元,气候模型仿真,环境科学,QPE,Nature Reviews,https://www.nature.com/natrev/,2024-10-22,,,,,,,,,,,,,
9.8亿美元,金融风险分析,金融,QML,Bloomberg,https://www.bloomberg.com/quantum-computing,2024-10-22,,,,,,,,,,,,,
将近22亿元（人民币）,智能合约解析,区块链,QKD,Coin Desk,https://www.coindesk.com/,2024-10-22,,,,,,,,,,,,,
24亿美元,图像识别,安防,QNN,Forrester Research,https://go.forrester.com/research/,2024-10-22,,,,,,,,,,,,,
30亿美元,密码破解,网络安全,QKD,IDC,https://www.idc.com/,2024-10-22,,,,,,,,,,,,,
12.4亿美元,复杂数据建模,农业,QML,Frost & Sullivan,https://www.frost.com/,2024-10-22,,,,,,,,,,,,,
18亿美元,智能制造,工业自动化,VQE,ResearchAndMarkets,https://www.researchandmarkets.com/,2024-10-22,,,,,,,,,,,,,
超过25亿美元,金融建模,金融,QAOA,McKinsey & Company,https://www.mckinsey.com,2024-10-22,,,,,,,,,,,,,
约15亿元（人民币）,药物发现,制药,QPE,福布斯,https://www.forbes.com,2024-10-22,,,,,,,,,,,,,
超过32亿元（人民币）,气候建模,环境科学,VQE,Nature Reviews,https://www.nature.com/natrev,2024-10-22,,,,,,,,,,,,,
超出45亿美元,交通优化,智能交通,QML,Gartner,https://www.gartner.com,2024-10-22,,,,,,,,,,,,,
约10亿美元,供应链管理,物流,QKD,PWC,https://www.pwc.com,2024-10-22,,,,,,,,,,,,,
约20亿美元,风险评估,保险,QAOA,Deloitte,https://www2.deloitte.com,2024-10-22,,,,,,,,,,,,,
约12.3亿美元,材料科学分析,材料行业,QPE,科学美国人,https://www.scientificamerican.com,2024-10-22,,,,,,,,,,,,,
超过30亿美元,网络安全,IT安全,QKD,Cybersecurity & Infrastructure Security Agency,https://www.cisa.gov,2024-10-22,,,,,,,,,,,,,
约18.2亿美元,金融欺诈检测,金融,QML,Bloomberg,https://www.bloomberg.com,2024-10-22,,,,,,,,,,,,,
45亿人民币,智能合约审核,区块链,VQE,CoinDesk,https://www.coindesk.com,2024-10-22,,,,,,,,,,,,,
58亿美元,金融风险管理,金融,QAOA,Market Research Future,https://www.marketresearchfuture.com,2024-10-22,,,,,,,,,,,,,
25.5亿元（人民币）,药物发现,生物技术,VQE,Statista,https://www.statista.com,2024-10-22,,,,,,,,,,,,,
12亿美元,气象预测,环境科学,QPE,Gartner,https://www.gartner.com,2024-10-22,,,,,,,,,,,,,
34.6亿美元,网络安全,信息技术,QKD,Forrester Research,https://go.forrester.com,2024-10-22,,,,,,,,,,,,,
22亿美元,交通优化,交通管理,QML,McKinsey & Company,https://www.mckinsey.com,2024-10-22,,,,,,,,,,,,,
10.3亿美元,供应链管理,物流,QAOA,Deloitte Insights,https://www2.deloitte.com,2024-10-22,,,,,,,,,,,,,
15.8亿元（人民币）,视觉识别,消费电子,VQE,Tencent Research Institute,https://www.tencent.com,2024-10-22,,,,,,,,,,,,,
88亿美元,分子建模,化学,QPE,Bain & Company,https://www.bain.com,2024-10-22,,,,,,,,,,,,,
66.7亿美元,材料科学,制造业,QML,Research and Markets,https://www.researchandmarkets.com,2024-10-22,,,,,,,,,,,,,
90亿美元,智能城市应用,城市规划,QKD,IDG Capital,https://www.idgcapital.com,2024-10-22,,,,,,,,,,,,,
