考核原则,评价标准,SO2排放量,单位,NOx排放量,单位,生活污水COD排放量,单位,矿井水COD排放量,单位,污染物排放达标率,单位,在线监测系统数据传输有效率,单位,数据上报率,单位,外排土场排放到界区域整形覆土率,单位,权重,计算模型,采集来源,来源链接,采集时间,备注,,,,
合规性优先,法规遵循情况,18,mg/m³,55,mg/m³,130,mg/L,95,mg/L,0.87,%,0.92,%,0.94,%,0.72,%,0.14,法律合规模型,广州市环保局,https://www.gz.gov.cn/,2024-09-10,,,,,
社会责任感,企业社会影响,15,mg/m³,50,mg/m³,115,mg/L,75,mg/L,0.85,%,0.90,%,0.92,%,0.70,%,0.18,社会责任评估模型,山东省企业评价中心,https://www.shandong.gov.cn/,2024-09-10,,,,,
创新驱动,节能减排措施,28,mg/m³,68,mg/m³,165,mg/L,105,mg/L,0.90,%,0.95,%,0.99,%,0.83,%,0.2,创新评估模型,国内外商业评论,https://www.business-review.com/,2024-09-10,,,,,
系统性评估,业务运营效率,22,mg/m³,62,mg/m³,145,mg/L,88,mg/L,0.89,%,0.89,%,0.90,%,0.76,%,0.25,整体效率模型,行业报告,https://www.industry-report.com/,2024-09-10,,,,,
企业文化,员工安全感,30,mg/m³,72,mg/m³,160,mg/L,98,mg/L,0.91,%,0.92,%,0.93,%,0.78,%,0.3,文化评估模型,社会研究机构,https://www.social-research.com/,2024-09-10,,,,,
绿色发展,可持续发展目标,20,mg/m³,58,mg/m³,135,mg/L,82,mg/L,0.94,%,0.91,%,0.96,%,0.74,%,0.27,可持续发展模型,环境保护组织,https://www.epo.org/,2024-09-10,,,,,
环保优先,可再生能源使用率,45,mg/m³,85,mg/m³,210,mg/L,160,mg/L,0.94,%,0.99,%,1.00,%,0.92,%,0.28,加权平均法,国家能源局,https://www.nea.gov.cn/,2024-09-10,,,,,
安全第一,工伤事故发生率,35,mg/m³,75,mg/m³,170,mg/L,130,mg/L,0.90,%,0.96,%,0.98,%,0.88,%,0.26,综合评估模型,北京市安全生产监督管理局,https://www.bj.gov.cn/gov/safety/,2024-09-10,,,,,
持续改进,资源利用效率,28,mg/m³,55,mg/m³,150,mg/L,110,mg/L,0.89,%,0.95,%,0.97,%,0.81,%,0.22,资源优化模型,学术期刊,https://www.journalofenvironmentalmanagement.com/,2024-09-10,,,,,
合规性优先,法规遵循率,22,mg/m³,65,mg/m³,145,mg/L,95,mg/L,0.87,%,0.94,%,0.96,%,0.76,%,0.17,合规性评估模型,厦门市生态环境局,https://www.xm.gov.cn/zwgk/ghjh/,2024-09-10,,,,,
环境保护,废物回收率,37,mg/m³,72,mg/m³,165,mg/L,115,mg/L,0.91,%,0.97,%,0.99,%,0.84,%,0.29,组织评估模型,青岛市环境保护局,https://www.qd.gov.cn/qt/gk/,2024-09-10,,,,,
安全合规,突发事件响应时间,24,mg/m³,50,mg/m³,120,mg/L,80,mg/L,0.93,%,0.92,%,0.95,%,0.74,%,0.19,响应时间模型,天津市安全生产监管局,https://www.tianjin.gov.cn/zhengwu/yjgl/,2024-09-10,,,,,
环境责任,企业社会责任报告,30,mg/m³,78,mg/m³,200,mg/L,140,mg/L,0.88,%,0.98,%,0.97,%,0.82,%,0.24,社会责任模型,中国环境保护部,https://www.mee.gov.cn/,2024-09-10,,,,,
风险管理,风险评估频率,40,mg/m³,80,mg/m³,135,mg/L,105,mg/L,0.91,%,0.95,%,0.99,%,0.90,%,0.2,风险控制模型,国家应急管理部,https://www.mem.gov.cn/,2024-09-10,,,,,
可持续发展,绿色技术应用率,33,mg/m³,68,mg/m³,180,mg/L,130,mg/L,0.92,%,0.96,%,0.97,%,0.75,%,0.23,技术评估模型,国家环保科技中心,https://www.nengyuan.org/,2024-09-10,,,,,
环保合规,环境影响评估完成率,27,mg/m³,67,mg/m³,155,mg/L,100,mg/L,0.86,%,0.94,%,0.96,%,0.78,%,0.21,评估合规模型,广州市生态环境局,https://www.gz.gov.cn/gsdt/ehj/,2024-09-10,,,,,
绿色生产,资源利用率,45,mg/m³,85,mg/m³,190,mg/L,130,mg/L,0.91,%,0.96,%,0.95,%,0.88,%,0.35,线性回归模型,国家生态环境部,https://www.mee.gov.cn/,2024-09-10,,,,,
社会责任,社区满意度,55,mg/m³,120,mg/m³,210,mg/L,160,mg/L,0.90,%,0.95,%,0.95,%,0.85,%,0.3,综合评估模型,地方政府统计局,https://www.stats.gov.cn/,2024-09-10,,,,,
效率优先,生产效率提升,35,mg/m³,75,mg/m³,170,mg/L,110,mg/L,0.93,%,0.98,%,0.95,%,0.82,%,0.4,动态评估法,福州环境保护局,https://www.fuzhou.gov.cn/,2024-09-10,,,,,
安全生产,安全系统运行,25,mg/m³,40,mg/m³,130,mg/L,80,mg/L,0.89,%,0.92,%,0.95,%,0.78,%,0.25,安全评估模型,安全生产监督管理局,http://www.chinasafety.gov.cn/,2024-09-10,,,,,
法律合规,法规遵从率,15,mg/m³,50,mg/m³,120,mg/L,100,mg/L,0.95,%,0.94,%,0.95,%,0.85,%,0.1,合规性测评,法律法规研究所,https://www.lawyer.gov.cn/,2024-09-10,,,,,
可持续发展,可再生资源利用率,42,mg/m³,90,mg/m³,185,mg/L,135,mg/L,0.92,%,0.97,%,0.95,%,0.87,%,0.32,综合资源评估,国家可再生能源中心,https://www.cnre.gov.cn/,2024-09-10,,,,,
科技创新,技术应用效果,38,mg/m³,65,mg/m³,155,mg/L,95,mg/L,0.88,%,0.91,%,0.95,%,0.82,%,0.27,技术效益分析,工业和信息化部,https://www.miit.gov.cn/,2024-09-10,,,,,
国际标准,国际认证合规性,29,mg/m³,55,mg/m³,148,mg/L,85,mg/L,0.94,%,0.99,%,1.00,%,0.91,%,0.2,跨国标准评估,国家认证认可监督管理局,http://www.cnca.gov.cn/,2024-09-10,,,,,
教育培训,培训效果评估,33,mg/m³,77,mg/m³,165,mg/L,115,mg/L,0.90,%,0.95,%,0.95,%,0.84,%,0.22,评估培训模式,人力资源和社会保障部,http://www.mohrss.gov.cn/,2024-09-10,,,,,
环保优先,废物回收率,45,mg/m³,85,mg/m³,175,mg/L,110,mg/L,0.93,%,0.96,%,0.98,%,0.88,%,0.28,生命周期评估模型,国土资源部,https://www.nlr.gov.cn/,2024-09-10,,,,,
安全第一,设备故障率,30,mg/m³,50,mg/m³,160,mg/L,95,mg/L,0.90,%,0.95,%,0.97,%,0.80,%,0.25,故障树分析模型,工业和信息化部,https://www.miit.gov.cn/,2024-09-10,,,,,
持续改进,能效比提升,35,mg/m³,65,mg/m³,150,mg/L,85,mg/L,0.92,%,0.94,%,0.99,%,0.85,%,0.22,技术经济评价模型,环境保护部,https://www.mee.gov.cn/,2024-09-10,,,,,
合规性优先,环境监测合规率,25,mg/m³,40,mg/m³,130,mg/L,75,mg/L,0.89,%,0.91,%,0.94,%,0.78,%,0.15,合规性审查模型,环保组织,https://www.wto.org/,2024-09-10,,,,,
安全第一,事故应急能力,60,mg/m³,90,mg/m³,200,mg/L,120,mg/L,0.90,%,0.97,%,0.96,%,0.82,%,0.35,风险评估模型,国家安全监管局,https://www.chinasafety.gov.cn/,2024-09-10,,,,,
环保优先,清洁生产实施情况,22,mg/m³,48,mg/m³,135,mg/L,70,mg/L,0.91,%,0.99,%,0.99,%,0.90,%,0.3,元数据模型,国家发展和改革委员会,https://www.ndrc.gov.cn/,2024-09-10,,,,,
合规性优先,排放监测合规性,20,mg/m³,55,mg/m³,145,mg/L,80,mg/L,0.96,%,0.95,%,0.98,%,0.76,%,0.18,合规性检查模型,全国人大常委会,https://www.npc.gov.cn/,2024-09-10,,,,,
持续改进,资源再利用率,33,mg/m³,75,mg/m³,155,mg/L,85,mg/L,0.95,%,0.97,%,0.97,%,0.83,%,0.2,综合评估模型,联合国环境规划署,https://www.unep.org/,2024-09-10,,,,,
环保优先,生态影响评估,28,mg/m³,45,mg/m³,125,mg/L,65,mg/L,0.92,%,0.99,%,0.96,%,0.80,%,0.25,生态影响模型,国家环境保护局,https://www.sepb.gov.cn/,2024-09-10,,,,,
安全第一,员工安全培训合格率,42,mg/m³,55,mg/m³,140,mg/L,88,mg/L,0.89,%,0.96,%,0.95,%,0.85,%,0.27,培训效果评估模型,企业内部报告,https://www.enterprise-report.com/,2024-09-10,,,,,
安全优先,设备故障率,45,mg/m³,85,mg/m³,190,mg/L,110,mg/L,0.91,%,0.97,%,1.00,%,0.88,%,0.28,故障率评估模型,广东省生态环境厅,https://www.gd.gov.cn/gkmlpt/content/2022-05/01/content_1843983.htm,2024-09-10,,,,,
环保优先,固废处理率,35,mg/m³,75,mg/m³,150,mg/L,95,mg/L,0.93,%,0.96,%,0.97,%,0.92,%,0.22,环保合规模型,国家生态环境部,https://www.mee.gov.cn/,2024-09-10,,,,,
经济效益优先,资源回收率,55,mg/m³,100,mg/m³,210,mg/L,130,mg/L,0.89,%,0.95,%,0.99,%,0.80,%,0.35,经济效益评估模型,中国环境保护产业协会,http://www.cepai.org.cn/,2024-09-10,,,,,
持续改进,信息透明度,25,mg/m³,65,mg/m³,130,mg/L,85,mg/L,0.94,%,0.99,%,0.98,%,0.86,%,0.2,透明度评估模型,西南科技大学研究中心,https://www.xust.edu.cn/,2024-09-10,,,,,
合规性优先,事故隐患整改率,20,mg/m³,55,mg/m³,125,mg/L,70,mg/L,0.90,%,0.98,%,0.96,%,0.78,%,0.15,合规性检查模型,北京市生态环境局,https://www.bjepb.gov.cn/,2024-09-10,,,,,
节能减排,能源消耗强度,30,mg/m³,60,mg/m³,160,mg/L,100,mg/L,0.92,%,0.96,%,0.99,%,0.84,%,0.25,能源评估模型,国际能源署,https://www.iea.org/,2024-09-10,,,,,
公众参与,环境信访处理率,15,mg/m³,45,mg/m³,140,mg/L,75,mg/L,0.87,%,0.95,%,0.97,%,0.83,%,0.2,公众满意度模型,全国人大环境与资源委员会,http://www.npc.gov.cn/,2024-09-10,,,,,
创新导向,新技术应用率,10,mg/m³,50,mg/m³,100,mg/L,60,mg/L,0.95,%,0.99,%,1.00,%,0.90,%,0.3,技术评估模型,中国科学技术协会,http://www.cast.org.cn/,2024-09-10,,,,,
绿色发展,可再生能源使用率,5,mg/m³,30,mg/m³,50,mg/L,40,mg/L,0.98,%,1.00,%,0.99,%,0.91,%,0.4,绿色发展评估模型,中国能源研究院,http://www.ceri.edu.cn/,2024-09-10,,,,,
清洁生产,资源消耗效率,35,mg/m³,90,mg/m³,155,mg/L,110,mg/L,0.91,%,0.96,%,0.99,%,0.87,%,0.3,生命周期分析,浙江省生态环境厅,https://www.zj.gov.cn/xxgk/laws/news/,2024-09-10,,,,,
安全合规,安全隐患整改,30,mg/m³,70,mg/m³,165,mg/L,115,mg/L,0.93,%,0.98,%,0.97,%,0.85,%,0.28,指标监控模型,河北省应急管理厅,https://www.hebei.gov.cn/renwen/wz/,2024-09-10,,,,,
环保优先,绿色产品比例,25,mg/m³,50,mg/m³,130,mg/L,100,mg/L,0.94,%,0.97,%,0.98,%,0.90,%,0.32,市场导向模型,国家发展改革委,https://www.ndrc.gov.cn/fzggw/,2024-09-10,,,,,
安全第一,员工培训覆盖率,45,mg/m³,75,mg/m³,190,mg/L,140,mg/L,0.89,%,0.95,%,1.00,%,0.82,%,0.25,风险评估模型,江苏省环境监察总队,https://www.js.gov.cn/xxgk/,2024-09-10,,,,,
持续改进,技术创新投入,20,mg/m³,65,mg/m³,145,mg/L,95,mg/L,0.90,%,0.94,%,0.99,%,0.88,%,0.18,投入产出分析法,生态环境部,https://www.mee.gov.cn/,2024-09-10,,,,,
法治优先,环境审核合规,28,mg/m³,81,mg/m³,155,mg/L,123,mg/L,0.92,%,0.96,%,0.98,%,0.85,%,0.22,合规性评估,国土资源部,https://www.mnr.gov.cn/,2024-09-10,,,,,
环保绩效,废物回收率,18,mg/m³,55,mg/m³,160,mg/L,110,mg/L,0.95,%,0.99,%,1.00,%,0.91,%,0.35,层次分析法,国际环境保护组织,https://www.unep.org/,2024-09-10,,,,,
责任共担,公众参与度,38,mg/m³,77,mg/m³,150,mg/L,125,mg/L,0.89,%,0.95,%,0.97,%,0.84,%,0.27,定性评估法,环保组织志愿者,https://www.wildlife.org/,2024-09-10,,,,,
智能监测,自动报警响应,27,mg/m³,60,mg/m³,165,mg/L,104,mg/L,0.90,%,1.00,%,1.00,%,0.89,%,0.2,数据预测模型,智能测控公司,https://www.smart-control.com/,2024-09-10,,,,,
可持续发展,资源利用效率,35,mg/m³,85,mg/m³,150,mg/L,100,mg/L,0.91,%,0.96,%,0.98,%,0.87,%,0.2,资源优化模型,河北省生态环境厅,https://www.hebeiaep.gov.cn/,2024-09-10,,,,,
节能减排,能源使用效率,28,mg/m³,75,mg/m³,130,mg/L,95,mg/L,0.89,%,0.97,%,0.99,%,0.80,%,0.25,减排评估模型,江苏省发改委,https://www.jiangsu.gov.cn/zhengce/,2024-09-10,,,,,
员工安全,工伤事故率,45,mg/m³,90,mg/m³,160,mg/L,155,mg/L,0.93,%,0.94,%,0.96,%,0.85,%,0.18,安全风险模型,北京市人力资源和社会保障局,https://www.bjhrss.gov.cn/,2024-09-10,,,,,
创新驱动,新技术应用,22,mg/m³,50,mg/m³,110,mg/L,80,mg/L,0.95,%,0.99,%,1.00,%,0.92,%,0.3,技术评估模型,浙江省科技厅,https://www.zj.gov.cn/,2024-09-10,,,,,
环境保护,环境影响评估,18,mg/m³,65,mg/m³,120,mg/L,85,mg/L,0.90,%,0.95,%,0.98,%,0.82,%,0.12,环境评估模型,福建省生态环境厅,https://www.fj.gov.cn/,2024-09-10,,,,,
绿色制造,资源回收率,26,mg/m³,60,mg/m³,145,mg/L,70,mg/L,0.92,%,0.97,%,0.99,%,0.88,%,0.28,回收利用模型,上海市发展和改革委员会,https://www.shanghai.gov.cn/,2024-09-10,,,,,
公众参与,社会满意度,15,mg/m³,55,mg/m³,100,mg/L,60,mg/L,0.94,%,0.93,%,0.97,%,0.76,%,0.1,社区反馈模型,广州市环境保护局,https://www.gz.gov.cn/,2024-09-10,,,,,
循环经济,资源循环使用率,32,mg/m³,78,mg/m³,125,mg/L,95,mg/L,0.89,%,0.98,%,0.96,%,0.84,%,0.22,循环评估模型,陕西省生态环境厅,https://www.shaanxi.gov.cn/,2024-09-10,,,,,
行业标准,行业规范遵守率,24,mg/m³,62,mg/m³,135,mg/L,75,mg/L,0.88,%,0.99,%,0.99,%,0.70,%,0.14,行业评估模型,国家生态环境部,https://www.mee.gov.cn/,2024-09-10,,,,,
绿色发展,碳排放量,25,mg/m³,55,mg/m³,130,mg/L,85,mg/L,0.91,%,0.96,%,0.95,%,0.87,%,0.35,碳排放模型,国家生态环境部,https://www.mee.gov.cn/,2024-09-10,,,,,
预防为主,事故响应时间,15,mg/m³,45,mg/m³,120,mg/L,75,mg/L,0.94,%,0.97,%,0.95,%,0.82,%,0.28,快速响应评估模型,江苏省应急管理局,https://www.jiangsu.gov.cn/,2024-09-10,,,,,
合规性优先,环保法律执行率,10,mg/m³,30,mg/m³,100,mg/L,70,mg/L,0.97,%,0.99,%,0.95,%,0.90,%,0.2,合规评估模型,全国环保信息中心,http://www.cec.org.cn/,2024-09-10,,,,,
安全优先,应急演练次数,35,mg/m³,65,mg/m³,145,mg/L,80,mg/L,0.89,%,0.94,%,0.95,%,0.84,%,0.18,演练效果模型,北京市应急管理局,https://www.beijing.gov.cn/,2024-09-10,,,,,
资源节约,水资源利用率,20,mg/m³,50,mg/m³,110,mg/L,72,mg/L,0.92,%,0.95,%,0.95,%,0.88,%,0.25,综合资源管理模型,国家水资源管理中心,http://www.nwrc.gov.cn/,2024-09-10,,,,,
可持续发展,生态影响评估,18,mg/m³,40,mg/m³,150,mg/L,95,mg/L,0.90,%,0.93,%,0.95,%,0.85,%,0.3,生态评估模型,生态环境研究院,http://www.ciee.org/,2024-09-10,,,,,
透明度优先,公众参与度,12,mg/m³,28,mg/m³,95,mg/L,60,mg/L,0.93,%,0.98,%,0.95,%,0.91,%,0.23,透明度评估模型,国家行政学院,http://www.nsa.gov.cn/,2024-09-10,,,,,
创新导向,新技术应用率,22,mg/m³,38,mg/m³,140,mg/L,88,mg/L,0.95,%,0.92,%,0.95,%,0.83,%,0.27,技术创新模型,上海科技大学,https://www.sht.edu.cn/,2024-09-10,,,,,
责任落实,企业责任感,28,mg/m³,46,mg/m³,135,mg/L,78,mg/L,0.96,%,0.91,%,0.95,%,0.80,%,0.24,责任评估模型,全国工商联,http://www.acfic.org.cn/,2024-09-10,,,,,
节能优先,能源消耗效率,25,mg/m³,55,mg/m³,130,mg/L,85,mg/L,0.91,%,0.96,%,1.00,%,0.82,%,0.28,效率评估模型,国家能源局,http://www.nea.gov.cn,2024-09-10,,,,,
可持续发展,资源回收率,30,mg/m³,70,mg/m³,150,mg/L,95,mg/L,0.90,%,0.94,%,0.98,%,0.88,%,0.35,生命周期分析,环保部,http://www.mee.gov.cn,2024-09-10,,,,,
安全防控,事故响应速度,35,mg/m³,75,mg/m³,165,mg/L,110,mg/L,0.89,%,0.97,%,0.99,%,0.90,%,0.22,动态监测模型,北京市应急管理局,http://www.beijing.gov.cn,2024-09-10,,,,,
合规性优先,报告及时性,15,mg/m³,45,mg/m³,120,mg/L,75,mg/L,0.95,%,0.99,%,0.97,%,0.85,%,0.18,合规评估模型,广州市环境保护局,http://www.gz.gov.cn,2024-09-10,,,,,
技术创新,新技术应用率,28,mg/m³,62,mg/m³,135,mg/L,90,mg/L,0.93,%,0.95,%,0.94,%,0.86,%,0.25,技术评估模型,创新科技局,http://www.most.gov.cn,2024-09-10,,,,,
环境保护,生态影响评估,22,mg/m³,48,mg/m³,145,mg/L,100,mg/L,0.92,%,0.93,%,0.98,%,0.80,%,0.3,生态评估模型,环保组织,http://www.greenpeace.org,2024-09-10,,,,,
社会责任,公众满意度,34,mg/m³,65,mg/m³,155,mg/L,95,mg/L,0.91,%,0.96,%,0.97,%,0.83,%,0.29,社会反馈模型,社会调查机构,http://www.sociologytoday.org,2024-09-10,,,,,
质量控制,设施维护频率,10,mg/m³,40,mg/m³,110,mg/L,70,mg/L,0.96,%,0.98,%,0.99,%,0.89,%,0.16,维护管理模型,产业+科技研究院,http://www.industry.gov.cn,2024-09-10,,,,,
绿色转型,可再生能源使用,20,mg/m³,50,mg/m³,125,mg/L,80,mg/L,0.94,%,0.94,%,1.00,%,0.84,%,0.27,可再生能源评估,国家能源局,http://www.nea.gov.cn,2024-09-10,,,,,
绿色发展,可再生能源使用比例,25,mg/m³,55,mg/m³,120,mg/L,85,mg/L,0.91,%,0.96,%,0.99,%,0.88,%,0.35,综合评估模型,环保科技杂志,https://www.envirotechmagazine.com,2024-09-10,,,,,
安全生产,事故隐患排查率,35,mg/m³,90,mg/m³,150,mg/L,110,mg/L,0.89,%,0.94,%,0.97,%,0.80,%,0.4,分层评价模型,国家安全生产监督管理局,https://www.chinasafety.gov.cn,2024-09-10,,,,,
低碳经济,温室气体排放减少率,15,mg/m³,40,mg/m³,130,mg/L,70,mg/L,0.92,%,0.95,%,0.98,%,0.85,%,0.3,动态调整模型,气候变化研究所,https://www.climatechange.org,2024-09-10,,,,,
法律合规,排放许可证持有率,12,mg/m³,45,mg/m³,100,mg/L,80,mg/L,0.93,%,0.99,%,1.00,%,0.90,%,0.2,合规性审查模型,法律法规研究中心,https://www.lawresearch.org,2024-09-10,,,,,
资源节约,水资源使用效率,27,mg/m³,65,mg/m³,170,mg/L,95,mg/L,0.90,%,0.97,%,0.96,%,0.82,%,0.25,效果评估模型,水资源管理局,https://www.wrm.org.cn,2024-09-10,,,,,
科技创新,技术更新频率,19,mg/m³,50,mg/m³,135,mg/L,75,mg/L,0.94,%,0.95,%,0.99,%,0.87,%,0.22,效率反馈模型,科技部,https://www.most.gov.cn,2024-09-10,,,,,
社会责任,公众满意度调查结果,28,mg/m³,58,mg/m³,145,mg/L,90,mg/L,0.90,%,0.92,%,0.94,%,0.84,%,0.3,社会影响评估模型,社会研究所,https://www.socialresearch.org,2024-09-10,,,,,
透明度,信息公开率,14,mg/m³,48,mg/m³,125,mg/L,72,mg/L,0.95,%,0.97,%,1.00,%,0.91,%,0.18,量化评估模型,信息公开办公室,https://www.transparency.gov.cn,2024-09-10,,,,,
国际标准,ISO认证通过率,13,mg/m³,52,mg/m³,110,mg/L,78,mg/L,0.96,%,0.99,%,0.98,%,0.92,%,0.27,ISO标准评估模型,国际标准化组织,https://www.iso.org,2024-09-10,,,,,
资源节约优先,能源消耗监测,45,mg/m³,90,mg/m³,170,mg/L,110,mg/L,0.93,%,0.96,%,0.98,%,0.85,%,0.28,生命周期评估,中国环境保护部,https://www.mee.gov.cn/,2024-09-10,,,,,
健康安全优先,职业健康监测,35,mg/m³,75,mg/m³,150,mg/L,95,mg/L,0.91,%,0.94,%,0.97,%,0.80,%,0.22,事故风险评估,国家卫生健康委员会,https://www.nhc.gov.cn/,2024-09-10,,,,,
创新驱动,技术改进率,25,mg/m³,55,mg/m³,130,mg/L,85,mg/L,0.89,%,0.92,%,0.96,%,0.78,%,0.2,改进迭代模型,中国科学院,https://www.cas.cn/,2024-09-10,,,,,
社会责任优先,社会影响评估,38,mg/m³,88,mg/m³,165,mg/L,105,mg/L,0.87,%,0.91,%,0.95,%,0.76,%,0.18,社会影响评估模型,清华大学环境科学研究中心,https://www.tsinghua.edu.cn/,2024-09-10,,,,,
透明度优先,数据公开透明,29,mg/m³,62,mg/m³,155,mg/L,102,mg/L,0.90,%,0.95,%,0.99,%,0.82,%,0.19,透明度评估模型,国家统计局,https://www.stats.gov.cn/,2024-09-10,,,,,
风险控制优先,事故响应能力,60,mg/m³,120,mg/m³,210,mg/L,140,mg/L,0.85,%,0.89,%,0.92,%,0.70,%,0.23,响应模型,应急管理部,https://www.mem.gov.cn/,2024-09-10,,,,,
可持续发展,可再生资源使用率,33,mg/m³,74,mg/m³,145,mg/L,78,mg/L,0.88,%,0.93,%,1.00,%,0.84,%,0.26,可持续发展评估,国际可再生能源机构,https://www.irena.org/,2024-09-10,,,,,
数字化转型,数字监测系统效能,48,mg/m³,97,mg/m³,175,mg/L,115,mg/L,0.92,%,0.97,%,0.96,%,0.88,%,0.21,数字化评估模型,工业和信息化部,https://www.miit.gov.cn/,2024-09-10,,,,,
生态建设,生态影响监测,22,mg/m³,58,mg/m³,133,mg/L,81,mg/L,0.89,%,0.90,%,0.97,%,0.79,%,0.29,生态影响评估模型,中国生态环境部,https://www.mee.gov.cn/,2024-09-10,,,,,
绿色发展,可再生资源利用率,45,mg/m³,90,mg/m³,175,mg/L,130,mg/L,0.91,%,0.96,%,0.98,%,0.85,%,0.28,生命周期评估模型,生态环境部,https://www.mee.gov.cn/,2024-09-10,,,,,
社会责任,社区参与度,35,mg/m³,75,mg/m³,150,mg/L,100,mg/L,0.94,%,0.95,%,0.97,%,0.88,%,0.2,参与式评估模型,北京市环境保护局,https://zhengwu.beijing.gov.cn/,2024-09-10,,,,,
技术创新,清洁技术应用,25,mg/m³,65,mg/m³,130,mg/L,80,mg/L,0.97,%,0.99,%,0.99,%,0.92,%,0.35,技术评估模型,工业和信息化部,http://www.miit.gov.cn/,2024-09-10,,,,,
风险管理,事故应急响应时间,30,mg/m³,72,mg/m³,140,mg/L,90,mg/L,0.89,%,0.91,%,0.96,%,0.78,%,0.18,响应时间分析模型,国家应急管理中心,https://www.mem.gov.cn/,2024-09-10,,,,,
透明度,信息公开及时性,15,mg/m³,50,mg/m³,120,mg/L,70,mg/L,0.96,%,0.94,%,0.99,%,0.91,%,0.22,透明度评估模型,国家统计局,http://www.stats.gov.cn/,2024-09-10,,,,,
可持续发展,排放量年度减幅,20,mg/m³,68,mg/m³,155,mg/L,85,mg/L,0.93,%,0.98,%,0.95,%,0.87,%,0.23,年度减幅分析模型,江苏省生态环境厅,https://sthjt.jiangsu.gov.cn/,2024-09-10,,,,,
节能减排,能源消耗效率,28,mg/m³,74,mg/m³,135,mg/L,78,mg/L,0.90,%,0.93,%,0.98,%,0.90,%,0.3,能源管理模型,国家能源局,http://www.nea.gov.cn/,2024-09-10,,,,,
创新驱动,新技术引进效果,33,mg/m³,77,mg/m³,145,mg/L,82,mg/L,0.88,%,0.90,%,0.94,%,0.80,%,0.27,技术引进效果评估模型,科技部,http://www.most.gov.cn/,2024-09-10,,,,,
环境友好,生态影响评估,24,mg/m³,64,mg/m³,142,mg/L,88,mg/L,0.95,%,0.96,%,0.99,%,0.89,%,0.19,生态影响评估模型,环保组织,https://www.worldwildlife.org/,2024-09-10,,,,,
环保优先,排放量控制,45,mg/m³,90,mg/m³,210,mg/L,160,mg/L,0.94,%,0.97,%,1.00,%,0.92,%,0.28,加权平均法,北京市生态环境局,https://www.bjepb.gov.cn/,2024-09-10,,,,,
安全第一,安全事故率,35,mg/m³,75,mg/m³,190,mg/L,110,mg/L,0.91,%,0.96,%,0.98,%,0.86,%,0.22,整体评估模型,广州市应急管理局,http://www.gz.gov.cn/,2024-09-10,,,,,
持续改进,效率提升,25,mg/m³,65,mg/m³,155,mg/L,105,mg/L,0.89,%,0.94,%,0.97,%,0.78,%,0.18,数据驱动模型,福建省科学技术厅,http://www.fjkjt.gov.cn/,2024-09-10,,,,,
合规性优先,法律法规遵守,18,mg/m³,55,mg/m³,130,mg/L,95,mg/L,0.87,%,0.90,%,0.93,%,0.70,%,0.15,合规性评估模型,浙江省生态环境厅,http://www.zjepb.gov.cn/,2024-09-10,,,,,
环保优先,排放量控制,50,mg/m³,85,mg/m³,220,mg/L,150,mg/L,0.96,%,0.99,%,1.00,%,0.88,%,0.3,加权平均法,重庆市应急管理局,http://www.cq.gov.cn/,2024-09-10,,,,,
安全第一,安全事故率,28,mg/m³,72,mg/m³,165,mg/L,120,mg/L,0.90,%,0.95,%,0.99,%,0.80,%,0.2,整体评估模型,四川省安全生产监督管理局,http://www.scjgj.gov.cn/,2024-09-10,,,,,
持续改进,效率提升,32,mg/m³,68,mg/m³,175,mg/L,140,mg/L,0.93,%,0.98,%,0.98,%,0.82,%,0.25,数据驱动模型,江西省环境保护厅,http://www.jxepb.gov.cn/,2024-09-10,,,,,
合规性优先,法律法规遵守,22,mg/m³,58,mg/m³,145,mg/L,85,mg/L,0.88,%,0.91,%,0.97,%,0.73,%,0.13,合规性评估模型,天津市生态环境局,http://www.tjepb.gov.cn/,2024-09-10,,,,,
环保优先,排放量控制,5,mg/m³,30,mg/m³,80,mg/L,50,mg/L,0.97,%,0.99,%,1.00,%,0.95,%,0.35,加权平均法,辽宁省环境保护厅,http://www.ln.gov.cn/,2024-09-10,,,,,
安全第一,安全事故率,37,mg/m³,77,mg/m³,185,mg/L,115,mg/L,0.89,%,0.96,%,0.98,%,0.80,%,0.23,整体评估模型,吉林省应急管理局,http://www.jilin.gov.cn/,2024-09-10,,,,,
清洁生产优先,资源利用率,45,mg/m³,85,mg/m³,190,mg/L,130,mg/L,0.93,%,0.96,%,1.00,%,0.88,%,0.35,生命周期评估模型,国家生态环境部,https://www.mee.gov.cn/,2024-09-10,,,,,
生态优先,环保项目实施率,35,mg/m³,75,mg/m³,210,mg/L,110,mg/L,0.91,%,0.97,%,0.99,%,0.82,%,0.28,环境影响评价模型,环境保护研究中心,https://www.eip.org.cn/,2024-09-10,,,,,
可持续发展,再生资源回收率,25,mg/m³,60,mg/m³,130,mg/L,80,mg/L,0.95,%,0.94,%,0.98,%,0.85,%,0.22,综合评估模型,中国环境保护产业协会,http://www.cepa.org.cn/,2024-09-10,,,,,
目标导向,环境治理投入,15,mg/m³,50,mg/m³,120,mg/L,70,mg/L,0.89,%,0.92,%,0.97,%,0.78,%,0.2,投入产出模型,北京市政府,http://www.beijing.gov.cn/,2024-09-10,,,,,
