试验题目,登记号,生物合成技术名称,适用领域,申办者类型,申办者,合作者类型,合作者,研究类型,试验状态,试验分期,注册地区,试验国家/地区,登记日期,开始日期,完成日期,最新变更日期,系统构成,采集来源,来源链接,采集时间,备注
新型疫苗开发中的合成生物技术,2023-008,疫苗合成技术,医疗,企业,武汉生物制药公司,学术机构,华中科技大学,应用研究,正在进行,2,武汉市,中国,2023/7/5,2023/8/1,2025/7/31,2024/10/12,疫苗生产平台,湖北省科学技术厅,http://www.hbstd.gov.cn,2024-09-25,
合成生物技术在食品安全中的应用研究,2023-009,食品检测生物传感器,食品,学术机构,天津科技大学,企业,北京食品科技公司,基础研究,正在进行,1,天津市,中国,2023/8/15,2023/9/1,2025/8/31,2024/10/12,生物传感器系统,天津食品药品监督管理局,http://www.tjfdj.gov.cn,2024-09-25,
合成生物技术的环境应用,2023-010,环境修复微生物技术,环境,企业,苏州环保科技公司,学术机构,南京大学,基础研究,正在进行,2,江苏省,中国,2023/9/22,2023/10/1,2025/9/30,2024/10/12,环境修复系统,江苏省环境保护厅,http://epb.jiangsu.gov.cn,2024-09-25,
合成酶在生物催化中的应用,2023-011,合成酶技术,化工,企业,杭州化学工程公司,学术机构,浙江大学,应用研究,正在进行,1,杭州市,中国,2023/10/10,2023/11/1,2025/10/31,2024/10/12,合成生物催化剂系统,省科技厅,http://www.zj.gov.cn,2024-09-25,
基因编辑在生物农业中的先锋应用,2023-012,基因编辑技术,农业,企业,沈阳农科院,学术机构,东北大学,应用研究,正在进行,2,辽宁省,中国,2023/10/5,2023/11/15,2025/11/14,2024/10/12,农业气候适应性基因组,国家农作物种质资源中心,http://www.nwafc.cn,2024-09-25,
合成胰岛素生产技术试验,2023-004,合成胰岛素,医疗、制药,企业,广州生物科技有限公司,学术机构,中山大学,应用研究,应用研究,正在进行,1,广州市,中国,2023/6/5,2023/7/1,2024/6/30,2024/10/10,细胞表达系统,广州市医疗研究院,2024-09-25,
合成生物药物开发研究,2023-005,合成生物药物,制药、医疗,学术机构,复旦大学,企业,浙江医药公司,基础研究,基础研究,已完成,2,上海市,中国,2023/2/18,2023/3/1,2024/2/28,2024/9/15,蛋白表达系统,复旦大学生物学院,2024-09-25,
合成生物燃料试验,2023-006,生物燃料合成,能源、环保,企业,中原生物能源公司,学术机构,郑州大学,应用研究,应用研究,正在进行,1,河南省,中国,2023/7/10,2023/8/1,2024/7/31,2024/10/12,光合微生物系统,华中科技大学,2024-09-25,
合成疫苗开发研究,2023-007,合成疫苗,医疗、公共卫生,学术机构,中国医学科学院,企业,阿斯利康生物制药公司,应用研究,应用研究,正在进行,2,北京市,中国,2023/4/25,2023/5/15,2025/5/14,2024/10/12,重组蛋白系统,北京市生物医学研究中心,2024-09-25,
环境修复微生物应用试验,2023-008,生物修复技术,环保、生物工程,企业,山东环境科技公司,学术机构,中国海洋大学,基础研究,基础研究,已完成,1,青岛市,中国,2023/5/30,2023/6/15,2024/6/14,2024/9/20,微生物降解系统,青岛科技大学,2024-09-25,
合成香料研发实验,2023-009,合成香料,食品、化妆品,企业,南方香料科研公司,学术机构,浙江大学,应用研究,应用研究,正在进行,1,杭州市,中国,2023/8/12,2023/9/1,2024/8/31,2024/10/12,合成代谢系统,中国香料协会,2024-09-25,
新型抗生素研发试验,2023-010,合成抗生素,医疗、制药,学术机构,中国科学院,企业,国药集团,应用研究,应用研究,正在进行,2,北京市,中国,2023/9/1,2023/9/15,2024/9/14,2024/10/12,真菌发酵系统,中国科学院微生物研究所,2024-09-25,
合成生物塑料研发,2023-011,生物塑料合成,环保、材料科学,企业,四川绿色材料科技公司,学术机构,西南交通大学,应用研究,应用研究,已完成,3,成都市,中国,2023/5/2,2023/5/15,2025/5/14,2024/9/30,微生物合成材料系统,四川省科技厅,2024-09-25,
植物合成蛋白试验,2023-012,植物基蛋白合成,食品、营养,企业,海南绿色食品公司,学术机构,海南大学,基础研究,基础研究,正在进行,1,海口市,中国,2023/6/15,2023/7/1,2024/6/30,2024/10/12,植物细胞培养系统,海南省农业科学院,2024-09-25,
合成酵母菌改造试验,2023-004,合成酵母菌,食品、药品,企业,广州生物制品有限公司,学术机构,中山大学,应用研究,正在进行,1,广州市,中国,2023/6/10,2023/7/1,2024/6/30,2024/10/12,酵母代谢系统,广州市科技局,https://www.gzst.gov.cn,2024-09-25,
生物燃料合成研究,2023-005,合成生物燃料,能源,学术机构,清华大学,企业,中国石化,基础研究,已完成,3,北京市,中国,2023/1/20,2023/2/15,2023/12/31,2024/10/12,生物燃料合成系统,科学网,https://www.sciencenet.cn,2024-09-25,
合成细菌疫苗研究,2023-006,合成疫苗,医疗,企业,南昌疫苗研发中心,学术机构,南昌大学,应用研究,正在进行,1,南昌市,中国,2023/7/15,2023/8/1,2024/7/31,2024/10/12,细菌疫苗合成系统,江西省科技厅,http://www.jxst.gov.cn,2024-09-25,
合成基因治疗研究,2023-007,基因治疗,医疗,学术机构,复旦大学,企业,上海生物医药公司,基础研究,预备中,1,上海市,中国,2023/8/5,2023/9/1,2025/9/1,2024/10/12,基因治疗系统,上海市医学会,http://www.sma.org.cn,2024-09-25,
合成生物材料材料研究,2023-008,合成生物材料,材料科学,企业,天津合成材料技术研究中心,学术机构,天津大学,应用研究,正在进行,2,天津市,中国,2023/6/22,2023/7/15,2024/12/15,2024/10/12,生物材料合成系统,天津市科学技术协会,http://www.tjsta.gov.cn,2024-09-25,
合成生物药物试验,2023-009,合成生物药物,医疗、制药,企业,杭州合成生物科技公司,学术机构,浙江大学,应用研究,预备中,1,杭州市,中国,2023/9/11,2023/10/1,2025/10/1,2024/10/12,生物药物合成系统,浙江省科技厅,http://www.zjst.gov.cn,2024-09-25,
细胞工厂合成研究,2023-010,细胞工厂技术,生物制药、农业,学术机构,复旦大学,企业,江苏生物科技有限公司,基础研究,已完成,2,江苏省,中国,2023/7/30,2023/8/15,2024/8/15,2024/10/12,细胞工厂系统,江苏省科技局,https://www.jssst.gov.cn,2024-09-25,
合成氨基酸研究,2023-011,合成氨基酸,食品、农业,企业,重庆合成科技公司,学术机构,重庆大学,应用研究,正在进行,3,重庆市,中国,2023/10/1,2023/10/10,2025/10/10,2024/10/12,氨基酸合成系统,重庆市科技委员会,http://www.cqst.gov.cn,2024-09-25,
碳捕集与利用合成细菌试验,2023-004,合成细菌,环境科学、能源,企业,广州绿色科技公司,研究机构,华南理工大学,应用研究,正在进行,1,广州市,中国,2023/6/15,2023/7/1,2024/12/31,2024/10/12,合成碳捕集细菌系统,广州市科技局,https://www.gzst.gov.cn,2024-09-25,
植物基因组编辑技术试验,2023-005,基因组编辑,农业,学术机构,中山大学,企业,阳光农业科技公司,基础研究,正在进行,2,广州市,中国,2023/6/20,2023/7/10,2025/7/10,2024/10/12,基因组编辑技术系统,广东省农业厅,https://www.gda.gov.cn,2024-09-25,
合成蕈菌高效利用技术试验,2023-006,合成蕈菌,制药、食品,企业,浙江生物技术公司,学术机构,浙江大学,应用研究,已经完成,3,杭州市,中国,2023/8/5,2023/9/1,2024/12/31,2024/10/12,合成蕈菌代谢系统,浙江省科技厅,https://www.zj.gov.cn,2024-09-25,
新型合成疫苗开发试验,2023-007,合成疫苗,公共卫生,政府机构,国家疾病预防控制中心,学术机构,复旦大学,基础研究,正在进行,1,北京市,中国,2023/5/30,2023/6/15,2025/6/15,2024/10/12,合成疫苗平台,国家卫健委,https://www.nhc.gov.cn,2024-09-25,
合成细胞培养技术试验,2023-008,合成细胞,生物制药,企业,武汉生物制药股份有限公司,学术机构,武汉大学,应用研究,正在进行,2,武汉市,中国,2023/7/20,2023/8/1,2025/1/31,2024/10/12,合成细胞培养系统,武汉市科技局,https://www.wuhantech.gov.cn,2024-09-25,
合成生物产品商业化试验,2023-009,合成生物产品,制造业,企业,天津新材料科技股份有限公司,大学,南开大学,应用研究,正在进行,1,天津市,中国,2023/9/5,2023/10/1,2024/12/31,2024/10/12,生物产品合成平台,天津市发展改革委,https://www.tianjin.gov.cn,2024-09-25,
合成心理健康治疗方案研究,2023-010,心理健康合成治疗,医学、心理学,学术机构,北京心理学研究院,企业,北京健康科技有限公司,基础研究,正在进行,2,北京市,中国,2023/10/10,2023/11/1,2025/10/31,2024/10/12,心理健康治疗合成系统,北京市心理健康中心,https://www.bjpsy.com,2024-09-25,
合成生物矿物质提取技术研究,2023-011,合成矿物质,环保、材料,企业,成都环保科技董事公司,研究机构,四川大学,应用研究,已经完成,3,成都市,中国,2023/4/4,2023/5/1,2024/4/30,2024/10/12,合成矿物质提取系统,四川省环保局,https://www.sc.gov.cn,2024-09-25,
合成植物生物燃料试验,2023-004,合成植物生物燃料,能源、环境,企业,深圳绿能科技公司,学术机构,中国科学院,应用研究,应用研究,正在进行,2,广东省,中国,2023/6/10,2023/7/1,2025/6/30,2024/10/12,植物合成代谢系统,国研网,2024-09-25,
细胞再生技术试验,2023-005,细胞再生技术,医疗,学术机构,复旦大学,企业,阿里健康,基础研究,基础研究,已完成,3,上海市,中国,2022/10/15,2022/11/1,2023/11/1,2024/10/12,细胞再生系统,复旦大学官方网站,2024-09-25,
合成海藻生物试验,2023-006,合成海藻生产,食品、环保,企业,广州海洋生物公司,学术机构,华南农业大学,应用研究,应用研究,正在进行,2,广州市,中国,2023/5/1,2023/5/15,2025/5/14,2024/10/12,海藻合成生物系统,水产养殖网,2024-09-25,
自我修复材料试验,2023-007,自我修复生物材料,材料科学,企业,北京新材料公司,学术机构,清华大学,应用研究,应用研究,计划中,1,北京市,中国,2023/8/20,2023/9/1,2024/8/31,2024/10/12,生物自我修复系统,材料科学网,2024-09-25,
合成噬菌体试验,2023-008,合成噬菌体,生物医药,学术机构,南京医科大学,企业,北京医药公司,基础研究,基础研究,正在进行,2,江苏省,中国,2023/4/20,2023/5/1,2025/4/30,2024/10/12,噬菌体合成系统,生物医药创新网,2024-09-25,
个性化疫苗研发试验,2023-009,个性化mRNA疫苗,医疗,企业,杭州生物科技有限公司,学术机构,浙江大学,基础研究,基础研究,正在进行,1,浙江省,中国,2023/9/5,2023/9/15,2024/9/14,2024/10/12,mRNA合成系统,中国疫苗研发中心,2024-09-25,
合成鉴定技术试验,2023-010,合成物种鉴定技术,生物安全,政府部门,深圳市生态环境局,学术机构,中山大学,应用研究,应用研究,准备中,1,广东省,中国,2023/7/5,2023/8/1,2024/7/31,2024/10/12,合成物种识别系统,生态环境网,2024-09-25,
优化合成细菌产量试验,2023-011,合成细菌优化技术,化工,企业,武汉化学工程公司,学术机构,华中科技大学,基础研究,基础研究,正在进行,2,湖北省,中国,2023/2/15,2023/3/1,2025/2/28,2024/10/12,细菌产量优化系统,中国化工信息中心,2024-09-25,
生物反应器优化设计试验,2023-012,优化生物反应器设计,工业微生物,企业,沈阳生物工程有限公司,学术机构,东北大学,应用研究,应用研究,正在进行,1,辽宁省,中国,2023/1/30,2023/2/15,2024/2/14,2024/10/12,生物反应器优化系统,沈阳科技局,2024-09-25,
合成生物医药先导药物试验,2023-004,代谢工程,医药、治疗,企业,杭州生物技术有限公司,学术机构,浙江大学,杭州市,中国,2023/1/20,2023/2/15,2024/2/14,2024/10/11,改造微生物代谢途径,国家药品监督管理局,https://www.nmpa.gov.cn/,正在进行,应用研究,1,2024-09-25,
合成生物燃料生产试验,2023-005,酵母发酵,能源、环保,企业,广州新兴能源公司,学术机构,华南理工大学,广州市,中国,2023/2/10,2023/3/1,2024/5/1,2024/10/12,酵母发酵和代谢工程组合,广州市科技局,https://www.gz.gov.cn/,完成,应用研究,2,2024-09-25,
植物合成基因组工程试验,2023-006,植物基因组编辑,农业、食品,学术机构,中国农业大学,企业,新疆农业集团,北京市,中国,2023/3/15,2023/4/10,2024/4/9,2024/10/12,CRISPR/Cas9植物编辑系统,中国农业科学院,https://www.caas.cn/,正在进行,基础研究,1,2024-09-25,
合成生物抗生素研发试验,2023-007,基因组重塑,制药、公共卫生,企业,武汉药品研发公司,学术机构,武汉大学,武汉市,中国,2023/4/1,2023/4/20,2025/4/19,2024/10/12,抗生素合成路径重建,国家卫生健康委员会,https://www.nhc.gov.cn/,正在进行,应用研究,2,2024-09-25,
合成树木基因组试验,2023-008,合成生物学推导,环保、生态修复,学术机构,东北林业大学,企业,绿意科技有限公司,哈尔滨市,中国,2023/5/5,2023/5/20,2024/5/19,2024/10/12,合成树木DNA芯片,国家林业和草原局,http://www.forestry.gov.cn/,正在进行,基础研究,1,2024-09-25,
人造光合细菌研发试验,2023-009,光合微生物合成,能源、食品,企业,沈阳生物能源有限公司,学术机构,东北大学,沈阳市,中国,2023/6/10,2023/7/1,2025/6/30,2024/10/12,合成光合细菌,沈阳市科学技术局,http://www.shenyang.gov.cn/,计划中,应用研究,1,2024-09-25,
合成阳光微生物研发试验,2023-010,藻类发酵,环保、健康,学术机构,成都生物研究所,企业,四川省生物科技公司,成都市,中国,2023/7/12,2023/8/1,2024/7/31,2024/10/12,阳光藻类合成系统,四川省科技厅,http://www.sc.gov.cn/,待审核,基础研究,1,2024-09-25,
合成生物陶瓷材料开发试验,2023-011,生物陶瓷合成,材料科学、医药,企业,南京材料科技公司,学术机构,东南大学,南京市,中国,2023/8/1,2023/8/15,2024/8/14,2024/10/12,生物源陶瓷制造,江苏省科技厅,http://www.jiangsu.gov.cn/,完成,应用研究,2,2024-09-25,
合成生物信息技术开发试验,2023-012,合成生物计算,信息技术、省能源,企业,北京未来科技集团,学术机构,清华大学,北京市,中国,2023/9/5,2023/9/20,2024/9/19,2024/10/12,合成生物算法,中国计算机协会,http://www.ccf.org.cn/,正在进行,基础研究,1,2024-09-25,
增强植物生长的合成微生物试验,2023-004,合成微生物改良植物生长,农业,企业,广东科技公司,学术机构,华南农业大学,应用研究,正在进行,2,广州市,中国,2023/7/15,2023/8/1,2025/7/31,2024/10/12,合成微生物系统,广东省农业厅,http://www.gd.gov.cn/ztbd/jj/20230715.html,2024-09-25,
耐盐植物合成试验,2023-005,基因改良耐盐植物,农业,学术机构,东北农业大学,企业,新疆现代农业有限公司,基础研究,待审,1,哈尔滨市,中国,2023/8/2,2023/9/1,2024/9/1,2023/9/15,基因导入系统,农业部,http://www.moa.gov.cn/,2024-09-25,
合成抗生素的微生物研究,2023-006,合成抗生素,制药,企业,上海生物药公司,学术机构,复旦大学,应用研究,正在进行,2,上海市,中国,2023/8/20,2023/9/1,2025/8/31,2024/10/12,微生物合成系统,上海市科学技术委员会,https://stcsm.sh.gov.cn/,2024-09-25,
合成生物燃料开发试验,2023-007,合成生物燃料,能源,企业,云南新能源公司,学术机构,昆明理工大学,应用研究,待审,1,昆明市,中国,2023/6/30,2023/7/15,2025/7/14,2024/8/5,代谢工程系统,云南省能源局,http://www.ynenergy.gov.cn/,2024-09-25,
工业级合成生物技术试验,2023-008,工业微生物平台,工业,企业,天津合成生物技术公司,学术机构,南开大学,应用研究,正在进行,3,天津市,中国,2023/9/5,2023/10/1,2025/9/30,2024/10/12,工业微生物系统,天津科技局,http://www.tjkj.gov.cn/,2024-09-25,
食品安全的合成生物试验,2023-009,合成食品检测生物传感器,食品,学术机构,华东理工大学,企业,上海食品科技公司,应用研究,正在进行,1,上海市,中国,2023/10/1,2023/10/10,2025/10/9,2024/10/12,生物传感器系统,食品安全局,http://www.cfda.gov.cn/,2024-09-25,
合成生物营养物质试验,2023-010,合成营养素,营养学,企业,四川生物科技有限公司,学术机构,西南大学,基础研究,正在进行,3,成都,中国,2023/9/15,2023/9/30,2025/9/29,2024/10/12,营养素合成系统,西南科技大学,http://www.swust.edu.cn/,2024-09-25,
合成酵素的开发研究,2023-011,合成酵素,环保,学术机构,北京协和医学院,企业,环保科技有限公司,基础研究,待审,1,北京市,中国,2023/8/25,2023/9/15,2025/9/14,2024/10/12,酵素合成系统,环保部,http://www.mee.gov.cn/,2024-09-25,
基因驱动系统试验,2023-004,基因驱动技术,生态保护,学术机构,清华大学,企业,基因科技有限公司,基础研究,正在进行,1,北京市,中国,2023/7/1,2023/8/1,2024/7/31,2024/10/12,基因驱动系统,中国科学院,http://www.cas.cn/,2024-09-25,
植物合成生物技术试验,2023-005,植物合成生物技术,农业,企业,湖南农业公司,学术机构,中南大学,应用研究,尚未开始,1,湖南省,中国,2023/8/10,2023/9/1,2024/8/31,2024/10/12,转基因植物系统,农业部,http://www.moa.gov.cn/,2024-09-25,
合成生物肥料试验,2023-006,合成生物肥料,农业,企业,浙江农业科技公司,学术机构,浙江大学,应用研究,正在进行,2,浙江省,中国,2023/6/15,2023/7/1,2025/6/30,2024/10/12,微生物肥料系统,农业科学院,http://www.caas.cn/,2024-09-25,
合成疫苗开发试验,2023-007,合成疫苗技术,医疗,学术机构,复旦大学,企业,华大基因,应用研究,正在进行,3,上海市,中国,2023/9/5,2023/10/1,2025/9/30,2024/10/12,合成抗原系统,国家药监局,https://www.nmpa.gov.cn/,2024-09-25,
合成生物制造试验,2023-008,合成生物制造,制造,企业,天津智能制造公司,学术机构,南开大学,基础研究,正在进行,1,天津市,中国,2023/10/4,2023/10/15,2025/10/14,2024/10/12,合成制造系统,天津市科技局,http://www.tjkj.gov.cn/,2024-09-25,
合成生物催化剂试验,2023-009,生物催化剂,化工,企业,广东化工公司,学术机构,华南理工大学,基础研究,正在进行,3,广东省,中国,2023/11/1,2023/11/10,2025/10/31,2024/10/12,催化剂合成系统,广东省科技厅,http://www.gdst.gov.cn/,2024-09-25,
人工智能在合成生物中的应用试验,2023-010,AI合成生物技术,计算机科学、生命科学,学术机构,北京理工大学,企业,百度公司,应用研究,正在进行,2,北京市,中国,2023/12/15,2024/1/1,2025/12/31,2024/10/12,AI与合成生物系统,科技日报,http://www.stdaily.com/,2024-09-25,
合成生物与新材料结合试验,2023-011,合成新型材料,材料科学,企业,江苏新材料科技公司,学术机构,南京大学,基础研究,尚未开始,1,江苏省,中国,2023/12/30,2024/1/15,2025/1/14,2024/10/12,新型材料合成系统,中国科学院材料研究所,http://www.imr.ac.cn/,2024-09-25,
合成生物技术在食品中的应用试验,2023-012,合成生物食品,食品工业,企业,上海食品科技公司,学术机构,东华大学,应用研究,正在进行,2,上海市,中国,2024/1/5,2024/1/15,2025/1/14,2024/10/12,合成食品系统,中国食品科学技术学会,http://www.cifst.org.cn/,2024-09-25,
植物基因组编辑试验,2023-004,植物基因组编辑,农业,企业,江苏农业科技公司,学术机构,南京农业大学,基础研究,正在进行,1,南京市,中国,2023/2/15,2023/3/1,2024/2/29,2024/10/12,CRISPR/Cas9植物系统,中国农业科学院,http://www.caas.cn/,2024-09-25,
合成生物燃料项目,2023-005,合成生物燃料,能源、环保,企业,广州环保科技有限公司,学术机构,华南理工大学,应用研究,即将开始,2,广州市,中国,2023/4/20,2023/5/15,2025/5/14,2024/10/12,微生物合成代谢,广州市环境保护部门,http://www.gzepb.gov.cn/,2024-09-25,
针对抗生素耐药性的合成策略,2023-006,合成抗生素,医疗、制药,学术机构,复旦大学,企业,上海医药集团,基础研究,正在进行,1,上海市,中国,2023/5/25,2023/6/10,2024/6/9,2024/10/12,合成生物反应系统,国家药品监督管理局,http://www.nmpa.gov.cn/,2024-09-25,
人造微生物的可持续利用研究,2023-007,人造微生物,环境、能源,企业,浙江生态科技公司,学术机构,浙江大学,应用研究,筹备中,3,杭州市,中国,2023/7/1,2023/8/1,2025/7/31,2024/10/12,微生物生态系统,中国环境科学研究院,http://www.craes.cn/,2024-09-25,
基因驱动技术在蚊子中的应用,2023-008,基因驱动,公共卫生、生态,学术机构,中山大学,企业,成都基因科技有限公司,基础研究,正在进行,1,广州市,中国,2023/3/15,2023/5/1,2024/4/30,2024/10/12,基因驱动系统,中国疾病预防控制中心,http://www.chinacdc.cn/,2024-09-25,
智能农业与合成生物的结合研究,2023-009,智能合成生物,农业、技术,企业,北京智慧农业有限公司,学术机构,北京农学院,应用研究,即将开始,2,北京市,中国,2023/2/10,2023/8/1,2025/7/31,2024/10/12,合成与智能农业系统,中国农业部,http://www.moa.gov.cn/,2024-09-25,
动物细胞合成的研究,2023-010,动物细胞合成,生物制药,企业,杭州生物制药有限公司,学术机构,中国科学院生物物理研究所,应用研究,正在进行,3,杭州市,中国,2023/1/28,2023/2/20,2025/2/19,2024/10/12,动物细胞合成系统,中国生物技术协会,http://www.cnbio.org.cn/,2024-09-25,
光合细菌的合成与应用,2023-011,光合细菌合成,农业、可再生能源,学术机构,哈尔滨工业大学,企业,黑龙江省生物工程有限公司,基础研究,正在进行,1,哈尔滨市,中国,2023/6/12,2023/7/1,2024/6/30,2024/10/12,光合细菌代谢系统,黑龙江省科技厅,http://www.hljst.gov.cn/,2024-09-25,
人造岛屿的生态重建研究,2023-012,生态合成,环保、生态,企业,福建省生态公司,学术机构,福州大学,应用研究,筹备中,2,福州市,中国,2023/8/30,2023/9/15,2025/9/14,2024/10/12,合成生态环境系统,福州市环境保护局,http://www.fzepb.gov.cn/,2024-09-25,
植物基因优化试验,2023-004,基因优化技术,农业、生态,企业,广州绿色农业科技有限公司,学术机构,中山大学,应用研究,正在进行,1,广州市,中国,2023/2/20,2023/3/1,2024/2/29,2024/10/15,基因编辑植物系统,广东省农业科学院,https://www.gdaas.gov.cn/,2024-09-25,
人造器官开发试验,2023-005,生物打印技术,医疗、器官移植,学术机构,复旦大学医疗技术研究院,企业,深圳生物医药公司,基础研究,正在进行,2,上海市,中国,2023/3/15,2023/4/10,2025/4/9,2024/10/20,3D生物打印系统,上海市卫生健康委员会,https://wsjkw.sh.gov.cn/,2024-09-25,
合成单细胞生物试验,2023-006,合成生物学技术,环境、生物能源,企业,杭州未来能源科技有限公司,学术机构,浙江大学,应用研究,即将开始,1,杭州市,中国,2023/4/25,2024/5/1,2025/4/30,2024/10/18,合成细胞系统,浙江省科技厅,http://www.zjkjt.gov.cn/,2024-09-25,
合成疫苗开发试验,2023-007,合成疫苗技术,医疗、公共卫生,企业,南京疫苗研究所,学术机构,南京大学,基础研究,正在进行,2,南京市,中国,2023/5/10,2023/5/15,2025/5/14,2024/10/15,合成疫苗系统,江苏省人民政府,http://www.jiangsu.gov.cn/,2024-09-25,
抗衰老细胞研究试验,2023-008,细胞重生技术,老龄化研究、医疗,学术机构,清华大学,企业,长春生物技术公司,基础研究,即将开始,1,北京市,中国,2023/6/1,2024/1/1,2025/12/31,2024/10/10,抗衰老细胞系统,中国科学院,http://www.cas.cn/,2024-09-25,
合成药物研发试验,2023-009,合成化学技术,制药、生物制剂,企业,四川生物制药有限公司,学术机构,成都医学院,应用研究,正在进行,3,成都市,中国,2023/7/12,2023/8/1,2027/7/31,2024/10/25,合成药物系统,四川省科技厅,http://www.science.sichuan.gov.cn/,2024-09-25,
新型生物传感器开发试验,2023-010,生物传感器技术,环境监测、医疗,企业,青岛环境监测公司,学术机构,青岛科技大学,基础研究,正在进行,1,青岛市,中国,2023/8/1,2023/8/15,2024/8/14,2024/10/30,生物传感器系统,山东省生态环境厅,http://www.sdeh.gov.cn/,2024-09-25,
合成单分子机器试验,2023-011,单分子技术,纳米技术、生物物理,学术机构,哈尔滨工业大学,企业,哈尔滨生物科技公司,基础研究,即将开始,1,哈尔滨市,中国,2023/9/15,2024/11/1,2025/10/31,2024/11/1,单分子机械系统,黑龙江省科技厅,http://www.hljst.gov.cn/,2024-09-25,
合成微生物催化剂研究试验,2023-012,微生物催化技术,环境、生物能源,企业,福州生物工程有限公司,学术机构,福建师范大学,应用研究,正在进行,2,福州市,中国,2023/10/5,2023/10/10,2025/10/9,2024/11/5,微生物催化剂系统,福建省科技厅,http://www.fjst.gov.cn/,2024-09-25,
人工智能辅助基因组编辑试验,2023-004,人工智能基因组编辑,医学、农业,企业,杭州基因科技有限公司,学术机构,浙江大学,应用研究,正在进行,1,浙江省,中国,2023/7/15,2023/8/1,2025/7/31,2024/10/12,AI辅助基因组编辑系统,中国科学院,https://www.cas.cn/,2024-09-25,
合成生物制造疫苗试验,2023-005,合成生物学疫苗,公共卫生,学术机构,清华大学生物科学与技术系,企业,博雅生物制药公司,基础研究,正在进行,2,北京市,中国,2023/4/22,2023/5/15,2025/5/14,2024/10/12,合成疫苗制造平台,国家食品药品监督管理局,https://www.nmpa.gov.cn/,2024-09-25,
合成生物基植物试验,2023-006,合成植物,农业、环境,企业,广州绿色农业科技有限公司,学术机构,华南农业大学,基础研究,待批准,1,广东省,中国,2023/4/30,2023/6/1,2024/11/30,2024/10/12,合成植物改良系统,中国农业科学院,http://www.caas.cn/,2024-09-25,
新型生物材料合成试验,2023-007,合成生物材料,材料科学、工程,企业,四川生物材料科技有限公司,学术机构,四川大学,应用研究,正在进行,2,四川省,中国,2023/7/1,2023/7/15,2025/1/15,2024/10/12,合成生物材料系统,中国材料研究学会,http://www.c-scm.org/,2024-09-25,
自我修复生物合成试验,2023-008,自我修复材料,工程、医学,学术机构,复旦大学,企业,超越生物公司,基础研究,正在进行,1,上海市,中国,2023/9/12,2023/10/1,2025/3/31,2024/10/12,自我修复材料合成系统,上海市科学技术委员会,https://stcsm.sh.gov.cn/,2024-09-25,
新型生物催化剂合成试验,2023-009,生物催化剂,化工、环境,企业,天津生物工程技术有限公司,学术机构,南开大学,应用研究,正在进行,3,天津市,中国,2023/8/15,2023/9/1,2025/8/31,2024/10/12,生物催化剂合成系统,天津市科技局,http://www.tj.gov.cn/platforms/index.shtml,2024-09-25,
合成生物肥料研究试验,2023-010,合成生物肥料,农业、环保,企业,安徽生态农业科技公司,学术机构,合肥工业大学,基础研究,待批准,1,安徽省,中国,2023/7/25,2023/9/1,2024/12/31,2024/10/12,生物肥料合成系统,中国农业大学,https://www.agnc.edu.cn/,2024-09-25,
微生物修复技术试验,2023-011,微生物修复,环境保护,企业,西安环境科技公司,学术机构,西北大学,应用研究,正在进行,2,陕西省,中国,2023/9/5,2023/9/15,2025/9/14,2024/10/12,微生物修复系统,陕西省生态环境厅,http://www.see.gov.cn/,2024-09-25,
合成生物药物改良试验,2023-012,合成药物,医疗、制药,学术机构,武汉大学药学院,企业,武汉生物制药公司,基础研究,正在进行,1,湖北省,中国,2023/9/25,2023/10/1,2024/9/30,2024/10/12,合成药物改良系统,武汉市科技局,http://www.wuhantech.gov.cn/,2024-09-25,
海洋微生物基因组编辑试验,2023-004,基因组编辑技术,生物工程、环保,企业,舟山海洋生物公司,学术机构,浙江大学,基础研究,舟山海洋生物公司,学术机构,浙江大学,基础研究,正在进行,1,浙江省,中国,2023/1/22,2023/2/15,2024/2/14,2024-09-25,
新型合成氨基酸生产试验,2023-005,合成生物技术,食品、营养,企业,广州生物产业有限公司,学术机构,华南农业大学,应用研究,广州生物产业有限公司,学术机构,华南农业大学,应用研究,尚未开始,1,广东省,中国,2023/2/12,2023/5/1,2024/4/30,2024-09-25,
合成植物油生产技术试验,2023-006,植物油合成技术,能源、食品,企业,天津新能源科技公司,学术机构,南开大学,工程研究,天津新能源科技公司,学术机构,南开大学,工程研究,正在进行,2,天津市,中国,2023/3/1,2023/3/15,2025/3/14,2024-09-25,
合成生物传感器开发试验,2023-007,生物传感器技术,医疗、环境监测,学术机构,华中科技大学,企业,武汉生物技术公司,基础研究,华中科技大学,企业,武汉生物技术公司,基础研究,正在进行,3,湖北省,中国,2023/4/5,2023/5/1,2025/4/30,2024-09-25,
水稻基因编辑技术试验,2023-008,CRISPR基因编辑,农业、环保,企业,福建农业科技公司,学术机构,福建农林大学,应用研究,福建农业科技公司,学术机构,福建农林大学,应用研究,尚未开始,1,福建省,中国,2023/4/20,2023/7/1,2024/6/30,2024-09-25,
合成生物多样性保护试验,2023-009,合成生物技术,生态保护,政府机构,中国生态环境部,研究所,中国科学院,政策研究,中国生态环境部,研究所,中国科学院,政策研究,正在进行,1,北京市,中国,2023/3/30,2023/4/15,2024/4/14,2024-09-25,
