名称（字符型）,品牌（字符型）,型号（字符型）,售后服务（字符型）,操作系统（字符型）,生产厂商（字符型）,主处理器（字符型）,芯片（字符型）,操作方式（字符型）,仿生工具（字符型）,功能说明（字符型）,应用场景（字符型）,上市时间（日期型）,采集来源,来源链接,采集时间,备注,,,
智能运动手环,Fitbit,Versa 3,一年保修,Fitbit OS,Fitbit,ARM Cortex-M4,Nordic nRF52832,触控和语音控制,健康监测工具,心率监测，运动跟踪,家庭健康与运动,2022-09-15,运动健康科技展,https://www.fitbit.com/,2024-09-13,,,,
智能宠物喂食器,PetSafe,Smart Feed,一年保修,自研OS,PetSafe,ARM Cortex-M4,NXP LPC54102,APP控制,宠物管理助手,定时喂养，食物监控,家庭宠物管理,2023-08-30,智能宠物科技创新,https://www.petsafe.net/,2024-09-13,,,,
智能镜子,小米,XiaoMi Smart Mirror,一年保修,MIUI,小米,ARM Cortex-A53,Rockchip RK3288,触控控制,虚拟助手,提供信息显示、护肤建议和日常提醒,家庭个人护理,2022-07-15,中关村在线,https://www.zol.com.cn/,2024-09-13,,,,
智能窗帘,宜家,IKEA FYRTUR,两年保修,IKEA Home Smart,宜家,ARM Cortex-M3,Nordic nRF52832,APP控制,环境监控工具,自动调节窗帘，支持定时功能,家庭遮阳,2021-09-10,央视财经,http://www.cctv.com/,2024-09-13,,,,
智能空调,格力,Gree Smart AC,三年保修,Gree OS,格力电器,ARM Cortex-A72,Qualcomm Snapdragon 410,语音控制,温控助手,智能温控，空气质量监测,家庭舒适,2022-03-01,家电网,https://www.jiadian.com/,2024-09-13,,,,
智能水壶,华为,Huawei Smart Kettle,一年保修,Huawei Harmony,华为,ARM Cortex-M4,Espressif ESP32,触控/语音控制,饮水健康助手,支持热水预约，温度调节,家庭饮水,2021-12-20,科技日报,http://www.stdaily.com/,2024-09-13,,,,
智能游戏控制器,索尼,PlayStation DualSense,一年保修,PlayStation OS,索尼,Custom AMD CPU,AMD RDNA 2,蓝牙无线,游戏助手,提供极致游戏体验，支持触觉反馈,家庭娱乐,2020-11-12,IGN,https://www.ign.com/,2024-09-13,,,,
智能花园系统,土拨鼠,GardenBot 2.0,一年保修,自研系统,土拨鼠,ARM Cortex-A55,TI MSP430,APP控制,植物监测助手,智能监测土壤湿度和光照,家庭园艺,2023-01-15,Plant Care Journal,https://www.plantcarejournal.com/,2024-09-13,,,,
智能空气净化器,Dyson,Dyson Pure Cool,两年保修,Dyson Link,Dyson,ARM Cortex-A53,TI CC3200,APP/WiFi控制,空气质量监测工具,实时监测空气质量，智能过滤,家庭空气净化,2022-10-25,Consumer Reports,https://www.consumerreports.org/,2024-09-13,,,,
智能健康秤,Fitbit,Fitbit Aria 2,一年保修,Fitbit OS,Fitbit,ARM Cortex-M0,Nordic nRF52,蓝牙连接,健康监测工具,实时体重监测，支持多用户功能,家庭健康,2019-05-30,健康科技网,https://www.healthtech.com/,2024-09-13,,,,
智能浴室助手,L'Oreal,Revitalift Smart Mirror,一年保修,自研系统,L'Oreal,ARM Cortex-A55,Qualcomm Snapdragon 410,语音/触控控制,健身助手,提供皮肤和化妆建议,家庭美容,2023-02-05,美容科技网,https://www.beautytech.com/,2024-09-13,,,,
智能窗帘控制器,米家,Mijia Curtain Controller,一年保修,Mijia OS,小米,ARM Cortex-A7,高通QCA4010,APP控制,智能环境调节,实现窗帘的开关与定时功能,家庭自动化,2023-03-10,智能家居产业报告,https://www.smart-home-report.com,2024-09-13,,,,
智能空气净化器,Dyson,Dyson Pure Cool,两年保修,Dyson OS,Dyson,ARM Cortex-A53,NXP i.MX 6,APP控制,空气质量监测,智能监测和净化室内空气,家庭健康,2022-07-15,家电行业分析,https://www.appliance-insight.com,2024-09-13,,,,
智能冰箱,LG,LG Smart Fridge,三年保修,webOS,LG Electronics,ARM Cortex-A72,NVIDIA Tegra,触控屏控制,食品管理助手,实时监测食品新鲜度，智能建议饮食,家庭厨房,2023-01-30,智能家电趋势报告,https://www.consumerreports.org,2024-09-13,,,,
智能安全传感器,Ring,Ring Alarm Pro,一年保修,Ring OS,Amazon,ARM Cortex-M4,Texas Instruments CC2650,APP控制,安防监控助手,提供家庭安全监测和警报功能,家庭安防,2022-09-12,家庭安全技术研究,https://www.securitytoday.com,2024-09-13,,,,
智能咖啡机,Nespresso,Nespresso Vertuo,一年保修,Nespresso OS,Nestlé,ARM Cortex-A5,STM32F405,APP控制,咖啡调配助手,自动调配咖啡，并支持个性化设置,家庭饮品,2022-05-05,饮品市场报告,https://www.beveragemarketing.com,2024-09-13,,,,
智能温湿度计,Netatmo,Netatmo Weather Station,两年保修,Netatmo OS,Netatmo,ARM Cortex-M0,Nordic Semiconductor NRF52,APP控制,气候监测工具,监测室内外温湿度，并提供预警,家庭气候调节,2023-04-20,气象科技发展报告,https://www.weatherreports.com,2024-09-13,,,,
智能花园监控器,Parrot,Parrot Flower Power,一年保修,Parrot OS,Parrot,ARM Cortex-M3,TI CC2650,APP控制,植物护理助手,实时监测植物健康状态，提供养护建议,家庭花园,2023-02-15,智能农业观察,https://www.agri-tech.com,2024-09-13,,,,
智能窗户传感器,Aqara,Aqara Window Sensor,一年保修,Aqara OS,小米生态链,ARM Cortex-M0+,Espressif ESP8266,APP控制,安全监控助手,监测窗户开关状态，实时通知,家庭安全,2023-05-19,家庭高科技报告,https://www.smarthome.com,2024-09-13,,,,
智能音响灯,Sonos,Sonos One,一年保修,Sonos OS,Sonos,ARM Cortex-A53,Broadcom BCM4343W,APP控制,音乐播放助手,音响和灯光管理，提供多场景音乐播放,家庭娱乐,2022-11-25,科技产品评价,https://www.techreview.com,2024-09-13,,,,
智能洗衣机,海尔,HWM-2000,两年保修,自主研发,海尔,ARM Cortex-A53,海尔自研芯片,APP控制,智能洗衣助手,智能识别衣物材质，自动选择洗涤模式,家庭洗衣,2022-01-15,智能家居研究院,https://www.smart-home-institute.com,2024-09-13,,,,
智能冰箱,LG,LG Smart Refrigerator,三年保修,WebOS,LG电子,ARM Cortex-A57,NVIDIA Jetson,触控控制,健康饮食助手,自动提醒食材保鲜期，智能食谱推荐,家庭厨房,2022-10-01,家庭电器行业分析,https://www.homeapplianceinsights.com,2024-09-13,,,,
智能空调,格力,GREE Smart AC,两年保修,GREE OS,格力电器,ARM Cortex-M7,高通Snapdragon 410,APP控制,温控助手,远程调节室内温度，节能模式,家庭制冷,2021-08-20,行业报告-空调市场,https://www.airconditionermarketreport.com,2024-09-13,,,,
智能监控系统,华为,Huawei AI Surveillance,一年保修,HarmonyOS,华为,ARM Cortex-A72,HiSilicon Hi3519,语音控制,安防助手,全景监控，支持云端存储,家庭安全,2023-02-15,网络安全日报,https://www.cybersecuritydaily.com,2024-09-13,,,,
智能植物生长灯,飞利浦,Philips Grow Light,两年保修,Philips Care,飞利浦,ARM Cortex-M4,Atmel ATSAMD21,APP控制,植物监测工具,调节光照强度与时长，支持植物生长监测,家庭园艺,2022-05-10,智慧城市与环境研究,https://www.smartcityenvresearch.com,2024-09-13,,,,
智能家庭影院,索尼,Sony Home Theater,一年保修,Android TV,索尼,ARM Cortex-A55,MediaTek MT5891,语音控制,影院助手,影院级音效与画质，智能推荐内容,家庭娱乐,2023-04-01,消费电子论坛,https://www.consumerelectronicsforum.com,2024-09-13,,,,
智能摄像机,小米,Xiaomi AI Camera,一年保修,MIUI,小米,ARM Cortex-A53,Ambarella A12,APP控制,安防助手,1080P高清视频录制，支持移动侦测,家庭监控,2020-11-30,小米官方公告,https://www.mi.com,2024-09-13,,,,
智能净化器,戴森,Dyson Pure Cool,两年保修,Dyson Link,戴森,ARM Cortex-A53,NXP LPC5500,APP控制,空气质量助手,高效过滤PM2.5，实时空气质量监测,家庭空气净化,2022-07-15,家居产品评测,https://www.homeproductreviews.com,2024-09-13,,,,
智能健身镜,Mirror,Mirror Fitness,一年保修,Android,Mirror,ARM Cortex-A73,Qualcomm Snapdragon 845,语音及手势控制,健身教练助手,提供实时健身指导与反馈。,家庭健身,2023-09-01,健身科技研究,https://www.fitnesstechresearch.com,2024-09-13,,,,
智能镜子,小米,XiaoAI Mirror,两年保修,MIUI for Mirror,小米,ARM Cortex-A53,小米自研芯片,触控/语音控制,虚拟助手,显示天气信息、日历、语音助手功能,家庭美容,2022-06-15,智能家居博览会,https://www.smartlivingexpo.com,2024-09-13,,,,
智能插座,TP-Link,Kasa Smart Plug,一年保修,Kasa OS,TP-Link,ARM Cortex-M4,Texas Instruments CC2652,APP控制,能耗监测工具,远程控制家电开关，能耗监测,家庭能源管理,2021-10-01,家电行业资讯,https://www.applianceindustrynews.com,2024-09-13,,,,
智能洗衣机,海尔,洗衣机Pro,三年保修,海尔智慧云,海尔,ARM Cortex-A7,海尔智能芯片,APP控制,家庭管理助手,智能洗涤，自动上水，节能模式,家庭洗涤,2023-01-20,家电市场分析报告,https://www.appliancereport.com,2024-09-13,,,,
智能空调,格力,Gree Smart AC,两年保修,Gree OS,格力电器,ARM Cortex-A9,高通Snapdragon,APP控制/语音控制,气候调节工具,智能温控，能效报告,家庭舒适,2023-04-15,空调行业展会,https://www.airconditionexpo.com,2024-09-13,,,,
智能饮水机,美的,Midea Smart Water Dispenser,一年保修,Midea Smart OS,美的集团,ARM Cortex-M0,Nordic nRF52840,触控/语音控制,健康管理工具,即时饮水，温度调控,家庭健康,2022-09-05,健康饮水研究,https://www.healthydrinking.com,2024-09-13,,,,
智能宠物喂食器,PetSafe,Smart Feed,一年保修,PetSafe OS,PetSafe,ARM Cortex-A9,Broadcom BCM2711,APP控制,宠物管理工具,定量喂食，远程喂养,宠物照护,2022-05-20,宠物科技日报,https://www.pettechnews.com,2024-09-13,,,,
智能家庭影院,Sony,HT-G700,一年保修,Sony Home Theatre OS,索尼,ARM Cortex-A72,Qualcomm QSC605,遥控/APP控制,家庭娱乐助手,高保真音效，场景模式,家庭娱乐,2023-07-30,家庭影院行业分析,https://www.hometheaternews.com,2024-09-13,,,,
智能烟雾探测器,Nest,Nest Protect,五年保修,Nest OS,Google,ARM Cortex-M4,Texas Instruments CC2650,APP控制,安全警报工具,烟雾监测，自动报警,家庭安全,2021-11-01,安全科技评测,https://www.safetytechreview.com,2024-09-13,,,,
智能床垫,睡眠科技,Sleep Smart Mattress,三年保修,Sleep Tech OS,睡眠科技公司,ARM Cortex-A53,Cywe QSP-9020,APP控制,健康监测工具,智能调节床垫硬度，监测睡眠质量,家庭健康,2023-03-11,健康睡眠期刊,https://www.healthysleepjournal.com,2024-09-13,,,,
智能断电器,华为,HUAWEI Smart Plug,两年保修,HarmonyOS,华为技术有限公司,ARM Cortex-A55,华为自研芯片,APP控制,智能能耗监测工具,可远程控制电源开关，监测用电情况,家庭节能,2022-04-15,智能家居观察,https://www.smart-home-observer.com/,2024-09-13,,,,
智能窗帘,罗技,Logitech Smart Curtain,一年保修,Logitech OS,罗技,ARM Cortex-M0+,Nordic nRF52840,语音控制,智能环境适应工具,根据光线强度自动调整窗帘开合,家庭环境调节,2023-01-20,家居科技日报,https://www.home-tech-report.com/,2024-09-13,,,,
智能冰箱,三星,Samsung Family Hub,三年保修,Tizen,三星电子,ARM Cortex-A73,Exynos 7 Series,触摸屏和APP控制,食品管理工具,实时监测食物存储状态，可制作购物清单,厨房管理,2022-09-05,家电市场报告,https://www.appliance-market-report.com/,2024-09-13,,,,
智能空气净化器,Dyson,Dyson Pure Cool,两年保修,Dyson Link,戴森,ARM Cortex-M4,Ambarella A12,APP控制,空气质量监测工具,实时监测室内空气质量，过滤污染物,室内空气改善,2021-11-10,家居科技观察,https://www.home-tech-observer.com/,2024-09-13,,,,
智能健身镜,Mirror,Mirror Home Gym,一年保修,自定义OS,Mirror Inc.,ARM Cortex-A9,Qualcomm Snapdragon 855,语音控制和触摸,健身指导工具,提供实时健身课程和反馈,家庭健身,2023-05-15,健康与科技杂志,https://www.health-tech-magazine.com/,2024-09-13,,,,
智能洗衣机,LG,LG Smart Washer,一年保修,webOS,LG电子,ARM Cortex-A7,Texas Instruments OMAP,APP控制,洗涤指导工具,支持智能洗涤模式与远程启动,家庭洗涤,2022-07-30,家电行业研究报告,https://www.appliance-industry-report.com/,2024-09-13,,,,
智能视频门铃,Ring,Ring Video Doorbell 4,一年保修,Ring OS,Amazon,ARM Cortex-A72,Ambarella A9,APP控制,安全检查工具,实时影像监控与录像，在有人来访时提示,家庭安全,2023-03-12,安全技术报,https://www.security-tech-report.com/,2024-09-13,,,,
智能花园喷灌系统,Rachio,Rachio 3,两年保修,Rachio OS,Rachio Inc.,ARM Cortex-M4,AVR ATmega,APP控制,园艺管理工具,根据气象条件自动调节浇水时间,家庭园艺,2021-06-20,园艺科技观察,https://www.gardening-tech-observe.com/,2024-09-13,,,,
智能机器人吸尘器,iRobot,Roomba i7+,一年保修,iRobot OS,iRobot Corporation,ARM Cortex-A53,NXP i.MX 6,APP控制,清洁策略工具,智能路径规划，自主清扫,家庭清洁,2022-11-01,消费电子评测,https://www.consumerelectronics-review.com/,2024-09-13,,,,
智能窗帘控制器,京东,JD Curtain 1.0,一年保修,JDOS,京东科技,ARM Cortex-A53,无,语音控制,智能助手,自动调节窗帘，根据环境光线变化,家庭自动化,2022-04-15,智能科技网,https://www.technews.cn,2024-09-13,,,,
智能空气净化器,飞利浦,Air Purifier 3000i,两年保修,AirPro OS,飞利浦,ARM Cortex-M3,无,APP控制,健康监测工具,实时监测空气质量，自动调整过滤状态,家庭健康,2023-01-10,健康家居观察,https://www.homehealth.com,2024-09-13,,,,
智能洗衣机,美的,Midea 1234A,三年保修,SmartWash OS,美的集团,ARM Cortex-A53,无,APP控制,清洁助手,智能洗衣模式，节水节能,家庭家务,2022-09-20,家电行业分析,https://www.applianceanalysis.com,2024-09-13,,,,
智能灭蚊器,小米,Mijia Mosquito Killer,一年保修,MIOS,小米,ARM Cortex-M0,无,APP控制,驱虫工具,智能灭蚊，定时控制,家庭防护,2023-03-05,科技生活网,https://www.tech生活.cn,2024-09-13,,,,
智能冰箱,海尔,Hailiang 456,三年保修,HaierOS 2.0,海尔集团,ARM Cortex-A72,无,语音控制,健康助手,食品保鲜监控，自动提醒,家庭饮食,2022-07-20,家电科技园,https://www.appliancetechpark.com,2024-09-13,,,,
智能健身监测设备,Fitbit,Fitbit Charge 5,一年保修,Fitbit OS,Fitbit Inc.,Qualcomm Snapdragon Wear,无,APP控制,健康管理助手,实时监测心率、运动数据,家庭健身,2023-02-10,健康科技报,https://www.healthtechnews.com,2024-09-13,,,,
智能洗碗机,博世,Bosch Seriese,三年保修,BOSCH OS,博世家电,ARM Cortex-A9,无,APP控制,清洁管理工具,智能预洗、节水清洗程序,家庭家务,2021-11-30,博世家电官网,https://www.bosch-home.com,2024-09-13,,,,
智能园艺系统,Gardena,Smart Garden Set,两年保修,SmartGarden OS,Gardena,ARM Cortex-M4,无,APP控制,园艺助手,智能浇水、土壤监测,家庭园艺,2022-05-01,园艺科技观察,https://www.gardenobservatory.com,2024-09-13,,,,
智能猫眼,萤石,EZVIZ Smart Doorbell,一年保修,EZVIZ OS,萤石科技,ARM Cortex-A9,无,语音与APP控制,安全监控工具,实时监控访客，双向语音通话,家庭安全,2023-06-05,智安科技网,https://www.smartsecurity.com,2024-09-13,,,,
智能宠物喂食器,PetSafe,Pet Feeder 2.0,一年保修,PetSafe OS,PetSafe公司,ARM Cortex-M4,无,APP控制,饲养助手,可定时定量喂食，鱼缸监控功能,家庭宠物,2023-08-01,宠物照护网,https://www.petcaring.com,2024-09-13,,,,
智能窗帘控制器,瑞昱,CurtainSmart 200,两年保修,CurtainOS,瑞昱科技,ARM Cortex-M3,瑞昱自研芯片,APP控制,光感调控工具,智能调节窗帘开合，节能环保,家庭遮光,2022-10-15,智能家居科技趋势报告,https://www.smarttechreport.com,2024-09-13,,,,
智能冰箱,海信,Hisense Smart Fridge 15,三年保修,Hisense OS,海信,ARM Cortex-A55,海信自研芯片,触控屏控制,食材管理助手,监控食材存量，智能推荐食谱,家庭厨房,2023-02-01,电子消费品观察,https://www.ceconsumerelectronics.com,2024-09-13,,,,
智能洗衣机,LG,LG Smart Wash 9000,两年保修,LG WebOS,LG电子,ARM Cortex-A53,Qualcomm Snapdragon 410,语音与APP控制,洗涤助手,智能洗涤模式，节水节电,家庭洗衣,2021-08-20,国际家电及消费电子博览会,https://www.ifa-berlin.com,2024-09-13,,,,
智能空气净化器,Dyson,Dyson Pure Cool,两年保修,Dyson OS,Dyson,ARM Cortex-M4,Dyson自研芯片,APP控制与语音助手,空气质量监控工具,实时监测空气质量，自动调节风速,家庭健康,2020-12-10,家居健康趋势调查,https://www.homehealthtrends.com,2024-09-13,,,,
智能安全系统,Ring,Ring Security Pro,一年保修,RingOS,Amazon,ARM Cortex-A72,Broadcom BCM2837,APP控制,安全监控助手,全面覆盖家庭监控，夜间高清视野,家庭安防,2023-05-15,安防设备行业分析,https://www.securitymarketreport.com,2024-09-13,,,,
智能宠物喂食器,PetSafe,PetSafe Smart Feed,一年保修,PetSafe OS,PetSafe,ARM Cortex-M4,MIPS,APP控制,宠物习惯分析工具,定时定量喂食，摄像监控宠物,家庭宠物管理,2023-03-10,智能宠物市场研究,https://www.petsmartsurvey.com,2024-09-13,,,,
智能温湿度监测器,Govee,Govee Hygrometer Pro,一年保修,Govee OS,Govee,ARM Cortex-M0,Texas Instruments CC2652,APP控制,环境监测工具,实时监测环境温湿度，数据记录分析,家庭气候调节,2021-07-20,环境科技观察,https://www.environmentaltechwatch.com,2024-09-13,,,,
智能洗碗机,Bosch,Bosch Series 6,两年保修,Bosch Control OS,博世家电,ARM Cortex-A53,Bosh自研芯片,触控与APP控制,清洗智能助手,多种洗涤模式，节水和节能,家庭厨房,2022-04-05,家电行业研究报告,https://www.appliancereport.com,2024-09-13,,,,
智能镜子,Lenovo,Lenovo Smart Mirror,一年保修,Lenovo OS,联想,ARM Cortex-A57,Rockchip RK3288,触控与语音控制,个人助手,提供天气、时间显示以及娱乐功能,家庭美容,2021-09-15,智能家居创新报告,https://www.smarthomeinnovation.com,2024-09-13,,,,
智能家居监控系统,小米,Mijia Smart Security,一年保修,MIUI Home,小米,ARM Cortex-A55,Qualcomm Snapdragon 410,APP控制,安全监控助手,全屋视频监控系统，支持AI动作侦测,家庭安防,2022-04-15,智能家居市场分析报告,https://www.mi.com/smart/home/,2024-09-13,,,,
智能家居语音助手,天猫精灵,Tmall Genie,一年保修,Tmall OS,阿里巴巴,ARM Cortex-A73,Rockchip RK3399,语音控制,智能家居助理,具备语音识别，控制家中智能设备,家庭娱乐,2021-09-01,电商研究院,https://www.alibabagroup.com/en/global/home,2024-09-13,,,,
智能空气净化器,Dyson,Dyson Pure Cool,两年保修,自研系统,Dyson,ARM Cortex-M4,NXP RT1060,APP控制,空气质量监控工具,自动监控和净化室内空气质量,家庭健康,2022-11-10,无尘室测评报告,https://www.dyson.com/,2024-09-13,,,,
智能窗帘,Lutron,Serena,五年保修,Serena OS,Lutron,ARM Cortex-A8,Texas Instruments CC3220,APP控制,窗帘调节工具,可通过APP远程控制窗帘开关,智能家居,2023-01-15,家居设计月刊,https://www.lutron.com/,2024-09-13,,,,
智能温湿度监测器,净化科技,Smart Sensor Pro,一年保修,Jetstream OS,净化科技,ARM Cortex-M3,Espressif ESP32,APP控制,环境监控助手,实时监测室内温湿度，适时提醒,家庭环境管理,2023-05-20,绿色生活论坛,https://www.purificationtech.com/,2024-09-13,,,,
智能吸尘器,Roborock,Roborock S7,一年保修,Roborock OS,石头科技,ARM Cortex-A73,Qualcomm Snapdragon 450,APP控制,清洁助手,全自动吸尘，具备激光导航技术,家庭清洁,2023-03-30,家电领域分析报告,https://www.roborock.com/,2024-09-13,,,,
智能反向微波炉,Samsung,Smart Oven,两年保修,Tizen OS,三星,ARM Cortex-A55,Exynos 7870,语音控制 & APP,烹饪助手,可通过语音与APP设置烹饪时间与温度,家庭厨房,2022-12-01,食品科技杂志,https://www.samsung.com/,2024-09-13,,,,
智能健康监测设备,Fitbit,Fitbit Sense,一年保修,Fitbit OS,Fitbit,ARM Cortex-M4,STMicroelectronics STM32F4,APP控制,健康监测工具,实时监测心率、压力及身体活动,健康管理,2021-08-30,健康科技周刊,https://www.fitbit.com/,2024-09-13,,,,
智能阳光追踪器,SolarMax,Smart Solar Tracker,一年保修,SolarMax OS,SolarMax,ARM Cortex-M0+,Microchip PIC32,APP控制,能源管理工具,自动调整阳光面向，提高效率,家庭能源管理,2023-06-18,可再生能源杂志,https://www.solarmax.com/,2024-09-13,,,,
智能空气净化器,小米,Mi Air Purifier 3H,三年保修,MIUI,小米,ARM Cortex-A53,NXP 1064Z,APP控制,空气质量监测器,可实时监测空气质量，提供过滤功能,家庭健康,2021-07-15,智能健康设备评测,https://www.mi.com,2024-09-13,,,,
智能窗帘控制器,涂鸦,Tuya Curtain,一年保修,Tuya OS,涂鸦科技,ARM Cortex-M4,ESP32,语音控制,家庭环境调节工具,自动调节窗帘开合，支持定时设置,家庭自动化,2022-02-20,智能家居行业动态,https://www.tuya.com,2024-09-13,,,,
智能冰箱,海尔,Haier Smart Fridge,三年保修,Haier OS,海尔,ARM Cortex-A72,Samsung Exynos,触摸屏和APP控制,食材管理工具,食材存储温度监控，支持远程管理,家庭厨房,2022-06-30,家电行业报导,https://www.electroguide.com,2024-09-13,,,,
智能声音助手,谷歌,Google Nest Mini,一年保修,Google Assistant,Google,ARM Cortex-A53,Allwinner A31,语音控制,智能音响助手,提供语音助手和家庭设备控制,家庭娱乐,2020-10-29,智能设备市场分析,https://www.google.com,2024-09-13,,,,
智能床垫,Sleep Number,Sleep Number 360,五年保修,SleepIQ,Sleep Number,ARM Cortex-M4,ST Microelectronics,APP控制,睡眠监测工具,根据用户姿势智能调节床垫硬度,家庭睡眠,2021-03-12,睡眠科技研究报告,https://www.sleepnumber.com,2024-09-13,,,,
智能音响灯,飞利浦,Philips Hue White and Color Ambiance,两年保修,Hue OS,飞利浦,ARM Cortex-A8,NXP LPC1768,语音和APP控制,照明调节器,调光、调色，音乐和音响结合的智能灯光,家庭娱乐和氛围营造,2021-09-15,智能照明行业新闻,https://www.philips.com,2024-09-13,,,,
家庭安防系统,Ring,Ring Security System,一年保修,Ring OS,Amazon,ARM Cortex-A53,Qualcomm Snapdragon,APP和声控,安防监控工具,包含视频监控、报警及巡防功能,家庭安防,2022-10-01,智能安防行业报告,https://www.ring.com,2024-09-13,,,,
智能宠物喂食器,宠物智能,Pet Feed Pro,一年保修,PetOS,宠物智能公司,ARM Cortex-A7,Espressif ESP8266,APP控制,宠物管理工具,定时自动喂食，远程监控宠物,家庭宠物照料,2021-12-20,智能宠物行业动态,https://www.petsmart.com,2024-09-13,,,,
智能洗衣机,LG,LG Smart Washing Machine,三年保修,LG ThinQ,LG电子,ARM Cortex-A65,MediaTek MT7687,APP和触控,家务管理工具,提供智能洗涤方案，节能省水,家庭洗衣,2022-04-18,家电行业评测,https://www.lg.com,2024-09-13,,,,
智能窗帘控制器,Lutron,Caseta Wireless,两年保修,Lutron OS,Lutron Electronics,ARM Cortex-M4,Lutron自研芯片,APP控制,环境调节工具,智能控制窗帘，调节光线与隐私,家庭自动化,2022-06-15,智能家居产业研究报告,https://www.lutron.com/,2024-09-13,,,,
智能冰箱,三星,Family Hub 3.0,三年保修,Tizen OS,三星电子,ARM Cortex-A72,Exynos 9 Series,触摸屏控制,食品管理助手,智能管理食品存储和过期警报,家庭厨房,2021-11-01,家电网,https://www.homeappliances.com/,2024-09-13,,,,
智能空气净化器,Dyson,Dyson Pure Cool,一年保修,Dyson Link App,Dyson Ltd.,ARM Cortex-M3,NXP LPC54102,APP控制,空气质量监测工具,实时监测空气质量，净化室内空气,家庭环境,2023-03-10,家电行业观察,https://www.dyson.com/,2024-09-13,,,,
智能健身镜,Mirror,Smart Fitness Mirror,两年保修,基于Android的定制系统,Lululemon,Qualcomm Snapdragon 845,Qualcomm Adreno 630,语音控制,虚拟教练助手,提供在线健身课程与指导,家庭健身,2021-02-16,健身科技趋势报告,https://www.lululemon.com/,2024-09-13,,,,
智能水壶,HydraSmart,HS-2023,一年保修,HydraOS,Smart Home Innovations,ARM Cortex-M3,Espressif ESP32,APP控制,健康跟踪工具,监测饮水量，提醒饮水,家庭健康,2023-01-05,健康科技观察,https://www.hydrasmart.com/,2024-09-13,,,,
智能宠物喂食器,PetSafe,Smart Feed,一年保修,PetSafe OS,PetSafe Brand,ARM Cortex-A7,Ti CC3200,APP控制,宠物监控系統,定时喂食，可以远程监控宠物,家庭宠物管理,2022-05-20,宠物科技展,https://www.petsafe.net/,2024-09-13,,,,
智能空气炸锅,Philips,Airfryer XXL,两年保修,Philips OS,飞利浦,ARM Cortex-M0,NXP LPC1788,触摸屏控制,健康烹饪助手,低油脂烹饪，健康美食,家庭厨房,2020-09-30,健康饮食观察,https://www.philips.com/,2024-09-13,,,,
智能水槽,Kohler,Kohler Smart Sink,两年保修,Kohler Connect,Kohler Co.,ARM Cortex-A53,Texas Instruments CC2650,语音控制,厨房管理助手,监控水源使用，优化水资源,家庭厨房,2023-02-12,厨房科技展,https://www.kohler.com/,2024-09-13,,,,
智能洗衣机,LG,LG Smart Washing Machine,三年保修,LG ThinQ,LG电子,ARM Cortex-A55,Qualcomm Snapdragon 615,APP控制,洗衣模式优化工具,远程控制洗衣进度,家庭洗衣,2023-04-18,智能家居观察,https://www.lg.com/,2024-09-13,,,,
智能冰箱,LG,LG Smart Refrigerator,三年保修,webOS,LG电子,ARM Cortex-A72,Qualcomm Snapdragon 600,语音控制,智能助手,食谱推荐和智能储存管理,家庭厨房,2022-09-15,家电行业研究报告,https://www.appliance.org,2024-09-13,,,,
智能安全控制器,Ring,Ring Security Kit,一年保修,Ring OS,亚马逊,ARM Cortex-A53,Espressif ESP32,APP控制,安全监控工具,全面的家庭安全监控方案,家庭安防,2021-11-20,智能安防观察,https://www.securityblog.com,2024-09-13,,,,
智能洗衣机,三星,Samsung QuickDrive,两年保修,Tizen,三星电子,ARM Cortex-A53,Qualcomm Snapdragon 410,APP控制,环境监控工具,快速洗涤与节能功能,家庭洗衣,2023-04-01,家电科技新闻,https://www.appliancetechnews.com,2024-09-13,,,,
智能窗帘,布朗德,Smart Blinds,一年保修,自定义操作系统,布朗德科技,ARM Cortex-M4,Nordic nRF52832,APP控制,光感应工具,自动开关与调节光线,家庭环境调节,2022-07-25,居家智能化报道,https://www.smartlivingreport.com,2024-09-13,,,,
智能空气净化器,Dyson,Dyson Pure Cool,两年保修,Dyson Link,Dyson,ARM Cortex-A9,Texas Instruments TMS320,语音控制,健康监测工具,实时空气质量监控与过滤,家庭健康,2021-10-05,家电科技趋势,https://www.homeapplianceinsights.com,2024-09-13,,,,
智能花园控制器,Gardena,Gardena Smart System,三年保修,Gardena OS,Gardena,ARM Cortex-M0,Microchip PIC,APP控制,土壤监测工具,智能灌溉与植物健康监控,家庭园艺,2023-02-01,农业科技观察,https://www.agri-techinsights.com,2024-09-13,,,,
智能浴室镜,Coco,Coco Smart Mirror,一年保修,Coco OS,Coco科技,ARM Cortex-A7,Broadcom BCM2837,触摸控制,人脸识别工具,镜面显示与多功能智能助手,家庭卫生间,2022-12-10,智能家居产品评论,https://www.smartmirrorreview.com,2024-09-13,,,,
智能健康监测器,Withings,Withings Body Cardio,两年保修,Withings OS,Withings,ARM Cortex-M4,Nordic nRF52840,APP控制,健康监测工具,体重、心率监测与健康数据分析,家庭健康,2021-05-20,健康科技趋势,https://www.healthtechnews.com,2024-09-13,,,,
智能宠物喂食器,Petnet,Petnet SmartFeeder,一年保修,自定义操作系统,Petnet,ARM Cortex-M3,Microchip PIC,APP控制,宠物监控工具,定时喂食与宠物监控,家庭宠物管理,2023-03-01,宠物科技观察,https://www.pettechinsights.com,2024-09-13,,,,
