年份（字符型）,地区（字符型）,区块链数量（数值型）,单位,区块链应用行业（字符型）,区块链应用场景（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,
2024年,澳大利亚,750,个,零售、物流,电子支付、物流追踪,澳大利亚国立大学,https://www.anu.edu.au/,,,,,,,,,,,,,
2023年,新西兰,350,个,金融、教育,学历证书验证、跨境支付,新西兰科技局,https://www.tech.govt.nz/,,,,,,,,,,,,,
2023年,新加坡,600,个,供应链、金融,商品追踪、信贷管理,新加坡金融管理局,https://www.mas.gov.sg/,,,,,,,,,,,,,
2024年,瑞士,500,个,金融、慈善,数字资产托管、透明慈善捐款,瑞士金融市场监管局,https://www.finma.ch/,,,,,,,,,,,,,
2024年,法国,900,个,电信、汽车,用户数据保护、车联网,法国数字事务部,https://www.ec.gouv.fr/,,,,,,,,,,,,,
2023年,中国,3770,个,教育、金融,学历认证、数字资产管理,清华大学区块链研究中心,https://www.tsinghua.edu.cn/,,,,,,,,,,,,,
2023年,印度,950,个,农业、金融,农产品溯源、信贷服务,印度信息技术部,https://www.miit.gov.in/,,,,,,,,,,,,,
2023年,澳大利亚,600,个,能源、金融,碳排放交易、去中心化金融,澳大利亚联邦科学与工业研究组织,https://www.csiro.au/,,,,,,,,,,,,,
2023年,俄罗斯,400,个,运输、金融,物流追踪、国际支付,俄罗斯区块链协会,https://www.russianblockchainassociation.org/,,,,,,,,,,,,,
2023年,巴西,750,个,游戏、社交媒体,数字收藏品、加密货币交易,巴西数字经济部,http://www.mdic.gov.br/,,,,,,,,,,,,,
2023年,南非,520,个,金融、供应链,跨境支付、食品安全追踪,南非金融行为监管局,https://www.fsb.co.za/,,,,,,,,,,,,,
2022年,加拿大,780,个,医疗、金融,健康记录管理、投资透明度,加拿大创新科技部,https://www.ic.gc.ca/,,,,,,,,,,,,,
2023年,阿根廷,320,个,农业、金融,农业补贴透明化、数字支付,阿根廷农业部,https://www.argentina.gob.ar/agricultura,,,,,,,,,,,,,
2023年,新西兰,430,个,环境、金融,可持续发展报告、绿色金融,新西兰生态与环境部,https://www.mfe.govt.nz/,,,,,,,,,,,,,
2023年,新加坡,350,个,金融、供应链,智能合约、区块链支付网关,新加坡金融管理局,https://www.mas.gov.sg/,,,,,,,,,,,,,
2023年,印度,1500,个,农业、供应链,溯源管理、农产品交易,NASSCOM,https://nasscom.in,,,,,,,,,,,,,
2024年,阿根廷,600,个,金融、房地产,资产登记、房地产交易,阿根廷数字技術学院,https://www.argentina.gob.ar/produccion/tecnologia,,,,,,,,,,,,,
2023年,加拿大,900,个,能源、环境,清洁能源交易、碳排放管理,加拿大区块链协会,https://www.canada.ca/en.html,,,,,,,,,,,,,
2023年,澳大利亚,750,个,教育、认证,学位验证、教育证书记录,澳大利亚教育部,https://www.education.gov.au,,,,,,,,,,,,,
2023年,巴西,450,个,政府、投票,电子投票、安全身份验证,巴西科技部,https://www.gov.br/ciencias/pt-br,,,,,,,,,,,,,
2023年,墨西哥,350,个,金融、支付,电子支付、信贷审核,墨西哥金融监管局,https://www.gob.mx/cnbv,,,,,,,,,,,,,
2023年,南非,500,个,医疗、保险,患者数据管理、保险索赔处理,南非国家健康部门,https://www.health.gov.za,,,,,,,,,,,,,
2023年,英国,1200,个,政府、公共服务,土地登记、财政透明度,英国数字事务部,https://www.gov.uk/government/organisations/digital-commissions,,,,,,,,,,,,,
2023年,瑞士,480,个,投资、金融,数字资产管理、ICO监管,瑞士金融市场监管局,https://www.finma.ch/en,,,,,,,,,,,,,
2023年,俄罗斯,300,个,物流、供应链,商品追踪、合同自动化,俄罗斯科技发展部,https://minsvyaz.ru/en/,,,,,,,,,,,,,
2023年,印度,600,个,农业、金融,农产品追溯、供应链融资,印度信息技术部,https://www.meity.gov.in/,,,,,,,,,,,,,
2023年,巴西,450,个,金融、公共服务,投票系统、金融交易,巴西中央银行,https://www.bcb.gov.br/,,,,,,,,,,,,,
2023年,德国,950,个,交通、制造,自动驾驶数据管理、物联网交互,德国联邦数字与交通部,https://www.bmvi.de/,,,,,,,,,,,,,
2023年,俄罗斯,350,个,能源、医疗,能源分配、医疗记录管理,俄罗斯联邦技术监督局,https://www.gost.ru/,,,,,,,,,,,,,
2023年,阿根廷,250,个,食品、环保,食品安全追溯、环境监控,阿根廷农业部,https://www.argentina.gob.ar/agricultura,,,,,,,,,,,,,
2023年,南非,155,个,金融、旅游,身份验证交易、旅游权益管理,南非首都市场金融管理局,https://www.fsb.co.za/,,,,,,,,,,,,,
2023年,迪拜,800,个,房地产、金融,房地产交易、资产代币化,迪拜土地局,https://www.dubailand.gov.ae/,,,,,,,,,,,,,
2023年,新西兰,300,个,农业、旅游,食品链管理、旅游身份管理,新西兰农业和食品部,https://www.mpi.govt.nz/,,,,,,,,,,,,,
2023年,法国,700,个,艺术、文化,艺术品认证、文化遗产保护,法国文化部,https://www.culture.gouv.fr/,,,,,,,,,,,,,
2023年,英国,1300,个,金融、技术,去中心化金融、数据隐私保护,英国金融行为监管局,https://www.fca.org.uk/,,,,,,,,,,,,,
2023年,印度,950,个,金融、农业,农业供应链追踪、贷款处理,印度科技部,http://www.mit.gov.in/,,,,,,,,,,,,,
2024年,加拿大,700,个,政务、教育,学历认证、电子投票,加拿大公共服务部,https://www.canada.ca/en/public-services-procurement.html,,,,,,,,,,,,,
2023年,阿根廷,400,个,物流、金融,资产追踪、贸易融资,阿根廷中央银行,https://www.bcra.gov.ar/,,,,,,,,,,,,,
2023年,澳大利亚,600,个,医疗、保险,医疗记录管理,澳大利亚联邦卫生部,https://www.health.gov.au/,,,,,,,,,,,,,
2023年,英国,850,个,娱乐、媒体,数字版权保护、诈骗预防,英国数字文化媒体与体育部,https://www.gov.uk/government/organisations/digital-culture-media-and-sport,,,,,,,,,,,,,
2023年,新西兰,320,个,农业、环保,环境监测、食品安全,新西兰农业部,https://www.mpi.govt.nz/,,,,,,,,,,,,,
2023年,沙特阿拉伯,530,个,金融、能源,石油交易透明化、金融合规,沙特阿拉伯金融管理局,https://www.sama.gov.sa/,,,,,,,,,,,,,
2024年,南非,480,个,政务、物流,身份验证、货物追踪,南非政府服务部,https://www.gov.za/,,,,,,,,,,,,,
2023年,巴西,900,个,金融、房地产,房地产交易透明化、跨境转账,巴西中央银行,https://www.bcb.gov.br/,,,,,,,,,,,,,
2023年,印度,650,个,金融、农业,农业供应链管理,印度信息技术协会,https://www.nasscom.in,,,,,,,,,,,,,
2023年,阿联酋,950,个,政府、金融,抵押贷款处理,阿联酋数字政府,https://www.uaedigitalgovernment.gov.ae,,,,,,,,,,,,,
2023年,加拿大,1100,个,房地产、金融,资产管理,加拿大科技创新部,https://www.ic.gc.ca,,,,,,,,,,,,,
2023年,巴西,780,个,物流、农业,物流透明度,巴西商会,https://www.brasilchamber.org,,,,,,,,,,,,,
2023年,英国,1300,个,能源、金融,能源交易平台,UK Blockchain Council,https://www.blockchainuk.org,,,,,,,,,,,,,
2023年,澳大利亚,850,个,医疗、保险,医药数据追踪,澳大利亚医疗协会,https://ama.com.au,,,,,,,,,,,,,
2023年,新西兰,400,个,政府、教育,学历认证,新西兰教育部,https://education.govt.nz,,,,,,,,,,,,,
2023年,南非,500,个,金融、农业,小农贷款平台,南非银行联合会,https://www.banking.org.za,,,,,,,,,,,,,
2023年,俄罗斯,600,个,能源、政府,能源供应链管理,俄罗斯科技部,http://www.minpromtorg.gov.ru,,,,,,,,,,,,,
2023年,新加坡,450,个,零售、金融,客户忠诚计划,新加坡金融管理局,https://www.mas.gov.sg,,,,,,,,,,,,,
2023年,加拿大,650,个,金融、教育,学术证书认证、复杂财务事务管理,加拿大区块链研究中心,https://www.blockchaincanada.com,,,,,,,,,,,,,
2023年,印度,900,个,农业、金融,农业供应链透明度、小额信贷平台,印度信息技术部,https://www.meit.gov.in,,,,,,,,,,,,,
2023年,英国,1500,个,医疗、金融,患者数据管理、去中心化金融,英国区块链协会,https://www.ukblockchainassociation.org,,,,,,,,,,,,,
2023年,巴西,400,个,能源、政府,可再生能源交易、政府透明度提升,巴西能源部,http://www.mme.gov.br,,,,,,,,,,,,,
2023年,澳大利亚,350,个,物流、零售,供应链追踪、消费者信任机制,澳大利亚物流协会,https://www.austlogistics.com.au,,,,,,,,,,,,,
2023年,新西兰,250,个,金融、教育,加密资产管理、学习记录跟踪,新西兰网络经济研究所,https://www.nzdigital.org,,,,,,,,,,,,,
2023年,阿根廷,180,个,农业、金融,进口出口透明化、汇款服务,阿根廷农业部,http://www.argentina.gob.ar/agricultura,,,,,,,,,,,,,
2023年,以色列,850,个,健康、科研,病历校验、科研数据共享,以色列健康科技研究所,https://www.health.gov.il,,,,,,,,,,,,,
2023年,瑞士,600,个,金属、金融,贵金属溯源、金融服务,瑞士国际金融论坛,https://www.swissfinancialforum.com,,,,,,,,,,,,,
2024年,中国,3700,个,制造、金融、教育,学历认证、供应链金融,中国社会科学院,http://www.cssn.cn,,,,,,,,,,,,,
2024年,加拿大,1450,个,医疗、金融,健康数据管理、数字货币,加拿大金融监管机构,https://www.osfi-bsif.gc.ca,,,,,,,,,,,,,
2024年,英国,950,个,创新、娱乐,内容创作、游戏资产,UK Government Digital Service,https://www.gov.uk/government/organisations/government-digital-service,,,,,,,,,,,,,
2024年,澳大利亚,550,个,能源、交通,智能电网、物流跟踪,澳大利亚能源局,https://www.aemo.com.au,,,,,,,,,,,,,
2023年,印度,700,个,农业、金融,土地注册、农产品溯源,印度信息技术部,https://www.meity.gov.in,,,,,,,,,,,,,
2024年,巴西,800,个,政府、金融,投票系统、资金转移,巴西中央银行,https://www.bcb.gov.br,,,,,,,,,,,,,
2024年,阿根廷,600,个,金融、保险,智能合约、索赔处理,阿根廷国家银行,https://www.bna.com.ar,,,,,,,,,,,,,
2025年,德国,1200,个,制造、物流,制造数据透明化、配送监控,德国工业联合会,https://www.bdi.eu,,,,,,,,,,,,,
2025年,新西兰,300,个,政府、环境,环境监测、碳交易,新西兰环境保护局,http://www.epa.govt.nz,,,,,,,,,,,,,
2025年,南非,400,个,金融、零售,移动支付、零售数据透明,南非金融市场管理局,https://www.fsca.co.za,,,,,,,,,,,,,
2023年,印度,950,个,农业、金融,供应链透明度、农产品溯源,NASSCOM,https://nasscom.in/,,,,,,,,,,,,,
2023年,巴西,600,个,金融、教育,学位认证、融资解决方案,Mercado Livre,https://www.mercadolivre.com.br/,,,,,,,,,,,,,
2023年,阿根廷,350,个,农业、旅游,地块所有权、旅游信息验证,Argentinian Blockchain Association,https://www.ablockchain.com.ar/,,,,,,,,,,,,,
2023年,加拿大,800,个,医疗、金融,电子健康记录、资产管理,Canadian Blockchain Consortium,https://www.canadianblockchainconsortium.org/,,,,,,,,,,,,,
2023年,俄罗斯,700,个,政务、金融,土地登记、数字货币交易,Autonomous Non-Profit Organization,https://www.russiasblockchain.com/,,,,,,,,,,,,,
2023年,南非,450,个,医疗、教育,医疗数据共享、学历认证,South African Blockchain Association,https://www.southafricanblockchain.org/,,,,,,,,,,,,,
2023年,澳大利亚,520,个,物流、金融,供应链优化、智能合约,Australian Government Department of Industry,https://www.industry.gov.au/,,,,,,,,,,,,,
2023年,英国,900,个,金融、能源,清算和结算、能源交易,UK Finance,https://www.ukfinance.org.uk/,,,,,,,,,,,,,
2023年,新西兰,250,个,农业、政府,食品安全认证、政务透明,New Zealand Blockchain Roadmap,https://www.digital.govt.nz/,,,,,,,,,,,,,
2023年,阿联酋,700,个,金融、物流,区块链银行、供应链追踪,UAE Blockchain Strategy,https://u.ae/en/initiatives/blockchain,,,,,,,,,,,,,
2023年,印度,950,个,农业、金融,农产品溯源、贷款审批,NASSCOM,https://nasscom.in,,,,,,,,,,,,,
2023年,巴西,600,个,医疗、物流,患者数据管理、运货追踪,巴西区块链协会,https://www.abcb.org.br,,,,,,,,,,,,,
2023年,加拿大,850,个,金融、政务,安全投票、数字身份,加拿大创新局,https://www.canada.ca/en.html,,,,,,,,,,,,,
2023年,德国,700,个,能源、汽车,能源交易、车辆共享,德国电信,https://www.telekom.com,,,,,,,,,,,,,
2023年,澳大利亚,450,个,教育、政府,学位验证、公共记录,澳大利亚区块链网络,https://www.blockchain.org.au,,,,,,,,,,,,,
2023年,阿根廷,250,个,农业、金融,土地所有权、微贷,阿根廷农业部,http://www.magyp.gob.ar,,,,,,,,,,,,,
2023年,新西兰,320,个,旅游、金融,智能合约、资金转移,新西兰旅游局,https://www.newzealand.com,,,,,,,,,,,,,
2023年,南非,400,个,电力、金融,电力交易、投资防范,南非信息与通信技术部,https://www.dtps.gov.za,,,,,,,,,,,,,
2023年,俄罗斯,550,个,安全、政府,网络安全、电子投票,俄罗斯数字经济部,https://digitaleconomy.gov.ru,,,,,,,,,,,,,
2023年,法国,900,个,艺术、金融,NFT市场、资产转移,法国国家数字化局,https://www.gouvernement.fr/en,,,,,,,,,,,,,
2023年,英国,950,个,金融、保险,智能合约、保险索赔自动化,UK Finance,https://www.ukfinance.org.uk/policy-and-research/reports/blockchain-in-finance,,,,,,,,,,,,,
2024年,加拿大,650,个,物流、供应链,食品追溯、供应链透明,Canadian Blockchain Consortium,https://www.blockchaincanada.org/,,,,,,,,,,,,,
2023年,印度,720,个,政务、金融,投票系统、公共记录管理,NASSCOM,https://nasscom.in/knowledge-library/blockchain-innovations-india,,,,,,,,,,,,,
2025年,德国,900,个,健康医疗、制药,电子病历管理、药品追踪,Blockchain Bundesverband,https://www.blockchainbundesverband.de/,,,,,,,,,,,,,
2024年,巴西,500,个,农业、政务,土地注册、农业供应链,Brazilian Blockchain Association,https://www.blockchainbrazil.org/,,,,,,,,,,,,,
2023年,阿根廷,300,个,金融、体育,票务系统、虚拟资产交易,Argentinian Ministry of Technology,https://www.argentina.gob.ar/sitio/tecnologia,,,,,,,,,,,,,
2023年,澳大利亚,1100,个,教育、身份认证,学位认证、证书验证,Australian Cyber Security Centre,https://www.cyber.gov.au/,,,,,,,,,,,,,
2024年,新西兰,400,个,能源、环保,绿色认证、碳交易市场,New Zealand Green Building Council,https://www.nzgbc.org.nz/,,,,,,,,,,,,,
2023年,南非,250,个,金融、教育,微贷、资助管理,South African Reserve Bank,https://www.resbank.co.za/,,,,,,,,,,,,,
2025年,挪威,600,个,能源、交通,电力交易、车辆共享,Norwegian Blockchain Association,https://www.blockchain.no/,,,,,,,,,,,,,
2023年,印度,600,个,农业、金融,农产品溯源、数字支付,印度区块链协会,https://www.ibc.org.in/,,,,,,,,,,,,,
2024年,阿联酋,1000,个,政务、旅游,电子签证、身份认证,阿联酋科技部,https://www.mtic.gov.ae/,,,,,,,,,,,,,
2023年,巴西,750,个,金融、供应链,跨境贸易结算、供应链透明化,巴西银行协会,https://www.bcb.gov.br/,,,,,,,,,,,,,
2023年,加拿大,900,个,医疗、保险,患者数据管理、理赔流程优化,加拿大医疗协会,https://www.cma.ca/,,,,,,,,,,,,,
2024年,瑞士,300,个,金融、科技,智能合约、资产代币化,瑞士金融市场监管局,https://www.finma.ch/,,,,,,,,,,,,,
2023年,俄罗斯,450,个,能源、金融,能源交易市场、数字货币,俄罗斯国家经济发展部,https://economy.gov.ru/,,,,,,,,,,,,,
2023年,南非,350,个,金融、运输,货物追踪、支付安全,南非金融市场监管局,https://www.fsca.co.za/,,,,,,,,,,,,,
2024年,新西兰,500,个,农业、金融,农业贷款、收成记录,新西兰农业部,https://www.mpi.govt.nz/,,,,,,,,,,,,,
2023年,新西兰,200,个,旅游、金融,忠诚度奖励、单证管理,新西兰旅游局,https://www.tourismnz.com/,,,,,,,,,,,,,
2024年,菲律宾,300,个,金融、教育,微贷款、电子文凭验证,菲律宾中央银行,https://www.bangko المركزي ng pilipinas.gov.ph/,,,,,,,,,,,,,
2023年,印度,1500,个,制造、教育,证书验证、供应链透明,印度信息技术部,https://www.mit.gov.in/,,,,,,,,,,,,,
2023年,加拿大,700,个,金融、农业,农业产品追踪、金融合约,加拿大农业部,https://www.canada.ca/en.html,,,,,,,,,,,,,
2023年,巴西,600,个,物流、旅游,行程透明、商品追踪,巴西国家运输协会,http://www.antt.gov.br/,,,,,,,,,,,,,
2023年,英国,950,个,金融、零售,数字货币、忠诚度计划,英国金融行为监管局,https://www.fca.org.uk/,,,,,,,,,,,,,
2023年,澳大利亚,400,个,医疗、保险,医疗记录共享、保险理赔,澳大利亚国家健康局,https://www.health.gov.au/,,,,,,,,,,,,,
2023年,阿根廷,250,个,政府、金融,土地登记、公共合同,阿根廷科技部,https://www.argentina.gob.ar/ciencia,,,,,,,,,,,,,
2023年,南非,350,个,金融、农业,农业金融服务、供应链管理,南非国家农业部,https://www.daff.gov.za/,,,,,,,,,,,,,
2023年,以色列,420,个,技术、金融,智能合约、数据隐私,以色列创新局,https://innovationisrael.org.il/,,,,,,,,,,,,,
2023年,新西兰,280,个,环保、农业,可持续供应链、气候变化应对,新西兰环境保护局,https://www.mfe.govt.nz/,,,,,,,,,,,,,
2023年,新西兰,280,个,环保、农业,可持续供应链、气候变化应对,新西兰环境保护局,https://www.mfe.govt.nz/,,,,,,,,,,,,,
2023年,印度,600,个,农业、金融,供应链透明性、农业融资,印度区块链协会,https://www.ibc.org.in/,,,,,,,,,,,,,
2023年,巴西,750,个,医疗、教育,电子健康记录、学历验证,巴西国家数据局,https://www.ibge.gov.br/,,,,,,,,,,,,,
2023年,澳大利亚,520,个,政府、环保,土地登记、碳信用交易,澳大利亚数字经济部,https://www.digital.gov.au/,,,,,,,,,,,,,
2023年,英国,950,个,金融、物流,跨境交易、供应链追踪,英国金融行为监管局,https://www.fca.org.uk/,,,,,,,,,,,,,
2023年,加拿大,400,个,房地产、投票,房产交易、区块链投票系统,加拿大信息专员办公室,https://www.priv.gc.ca/,,,,,,,,,,,,,
2024年,阿根廷,300,个,食品安全、金融,食品溯源、去中心化借贷,阿根廷中央银行,https://www.bcra.gov.ar/,,,,,,,,,,,,,
2024年,南非,350,个,旅游、金融,身份认证、旅游支付,南非旅游局,https://www.southafrica.net/,,,,,,,,,,,,,
2023年,瑞士,700,个,金融、保险,智能合约、风险管理,瑞士金融市场监管局,https://www.finma.ch/,,,,,,,,,,,,,
2023年,迪拜,800,个,政府、科技,数字化政府服务、电子商务,迪拜经济发展局,https://ded.ae/,,,,,,,,,,,,,
2023年,瑞典,450,个,社会保障、能源,养老金管理、智能电网,瑞典社会保障机构,https://www.ssa.se/,,,,,,,,,,,,,
2023年,印度,750,个,金融、供应链,小额信贷、供应链透明度,印度信息技术局,https://www.meity.gov.in/,,,,,,,,,,,,,
2023年,英国,600,个,教育、金融,学历认证、去中心化金融,UK Government,https://www.gov.uk/,,,,,,,,,,,,,
2023年,加拿大,500,个,物流、医疗,药品追踪、物流透明化,加拿大创新科技局,https://www.ic.gc.ca/,,,,,,,,,,,,,
2023年,阿根廷,280,个,农业、金融,农产品溯源、跨境支付,阿根廷政府官网,https://www.argentina.gob.ar/,,,,,,,,,,,,,
2023年,南非,350,个,金融、政务,土地注册、数字货币,南非国家银行,https://www.resbank.co.za/,,,,,,,,,,,,,
2023年,澳大利亚,450,个,零售、金融,智能合约、忠诚度程序,澳大利亚政府官网,https://www.australia.gov.au/,,,,,,,,,,,,,
2023年,新西兰,120,个,医疗、科研,健康数据共享、科研诚信,新西兰卫生部,https://www.health.govt.nz/,,,,,,,,,,,,,
2023年,以色列,300,个,科技、医疗,数据隐私、医学研究,以色列创新局,https://innovationisrael.org.il/,,,,,,,,,,,,,
2023年,巴西,500,个,金融、社会服务,社会保障、微融资,巴西中央银行,https://www.bcb.gov.br/,,,,,,,,,,,,,
2023年,俄罗斯,400,个,政府、能源,预算透明化、能源交易,俄罗斯联邦政府,http://government.ru/,,,,,,,,,,,,,
2023年,印度,720,个,农业、政务,供应链透明度、土地注册,NASSCOM,https://nasscom.in/knowledge-library/blockchain-india,,,,,,,,,,,,,
2023年,巴西,400,个,金融、教育,在线证书验证、支付处理,巴西金融市场监管局,https://www.bcb.gov.br/en,,,,,,,,,,,,,
2023年,加拿大,600,个,能源、医疗,可再生能源交易、患者数据管理,Natural Resources Canada,https://www.canada.ca/en/natural-resources-canada.html,,,,,,,,,,,,,
2023年,阿根廷,300,个,物流、金融,国际贸易透明度、融资解决方案,阿根廷国家科技部,https://www.argentina.gob.ar/ciencia,,,,,,,,,,,,,
2023年,英国,950,个,供应链、保险,资产追踪、索赔处理,金融行为监管局,https://www.fca.org.uk,,,,,,,,,,,,,
2024年,俄罗斯,550,个,政府、教育,公民身份验证、职业资格认证,俄罗斯数字经济部,http://digital.gov.ru/en/,,,,,,,,,,,,,
2024年,南非,200,个,金融、公共服务,数字支付、土地登记,南非金融部门监管局,https://www.fsb.co.za,,,,,,,,,,,,,
2024年,澳大利亚,850,个,医疗、零售,药品追踪、忠诚度计划,澳大利亚信息安全局,https://www.cyber.gov.au,,,,,,,,,,,,,
2024年,新西兰,400,个,学术、医疗,研究数据共享、患者隐私,新西兰科技和创新部,https://www.msi.govt.nz,,,,,,,,,,,,,
2024年,以色列,500,个,通信、金融,安全通信、智能合约,以色列创新局,https://innovationisrael.org.il/en,,,,,,,,,,,,,
2023年,印度,1500,个,农业、金融,农产品溯源、支付系统,印度信息技术部,https://www.meit.gov.in/,,,,,,,,,,,,,
2023年,加拿大,900,个,医疗、金融,医疗记录管理、保险理赔,加拿大技术网络,https://www.canada.ca/en/services/technology.html,,,,,,,,,,,,,
2023年,巴西,600,个,物流、零售,可追溯的供应链管理,巴西区块链协会,https://www.braziliancouncil.org/blockchain,,,,,,,,,,,,,
2023年,英国,1300,个,金融、地产,数字货币交易、房地产管理,伦敦金融城,https://www.cityoflondon.gov.uk/,,,,,,,,,,,,,
2023年,澳大利亚,700,个,教育、政府,学位认证、公共记录管理,澳大利亚教育部,https://www.education.gov.au/,,,,,,,,,,,,,
2023年,俄罗斯,500,个,能源、政务,能源交易、政府事务透明,俄罗斯能源部,https://www.minenergo.gov.ru/,,,,,,,,,,,,,
2023年,阿根廷,350,个,农业、金融,农业贷款、农产品保险,阿根廷农业部,https://www.argentina.gob.ar/agricultura,,,,,,,,,,,,,
2023年,南非,400,个,金融、交通,金融透明度、交通管理,南非金融监管局,https://www.fsca.co.za/,,,,,,,,,,,,,
2023年,新西兰,200,个,旅游、金融,旅游保障、支付系统,新西兰旅游局,https://www.newzealand.com/,,,,,,,,,,,,,
2023年,瑞士,1000,个,金融、科技,数字资产管理、初创企业融资,瑞士金融市场监管局,https://www.finma.ch/en/,,,,,,,,,,,,,
2023年,印度,950,个,农业、金融,农产品溯源、贷款记录,NASSCOM,https://nasscom.in/,,,,,,,,,,,,,
2023年,巴西,600,个,物流、金融,供应链透明度、数字资产,巴西区块链协会,https://brazilianblockchain.org/,,,,,,,,,,,,,
2023年,阿联酋,1500,个,政务、教育,数字身份、成绩验证,阿联酋数字政府,https://u.ae/en,,,,,,,,,,,,,
2023年,加拿大,750,个,医疗、金融,患者数据管理、去中心化金融,加拿大技术研究所,https://www.canada.ca/en.html,,,,,,,,,,,,,
2023年,德国,1000,个,汽车、金融,智能合约、车联网,德国工业联盟,https://www.bdi.eu/,,,,,,,,,,,,,
2023年,法国,850,个,艺术、旅游,数字艺术品认证、客户忠诚度方案,法国区块链发展协会,https://blockchainfrance.net/,,,,,,,,,,,,,
2023年,澳大利亚,400,个,医疗、物流,疫苗追踪、药品安全,澳大利亚政府,https://www.australia.gov.au/,,,,,,,,,,,,,
2023年,俄罗斯,500,个,金融、政务,加密货币交易、文件验证,俄罗斯联邦通讯、信息技术和大众传媒部,https://digital.gov.ru/,,,,,,,,,,,,,
2023年,瑞士,650,个,金融、保险,资产托管、风险管理,瑞士金融市场监管局,https://www.finma.ch/,,,,,,,,,,,,,
2023年,南非,300,个,能源、农业,智能电网、农产品交易,南非区块链协会,https://www.sablockchain.org/,,,,,,,,,,,,,
2023年,中国,3600,个,金融、物流,供应链金融、资产追踪,新华社,http://www.xinhuanet.com/,,,,,,,,,,,,,
2023年,印度,950,个,医疗、金融,健康记录管理、跨境支付,印度信用评级公司,https://www.crisil.com/,,,,,,,,,,,,,
2023年,德国,650,个,制造、汽车,智能制造、车辆历史追踪,德国联邦经济部,https://www.bmwi.de/,,,,,,,,,,,,,
2023年,澳大利亚,700,个,农业、环境,农产品溯源、碳信用交易,澳大利亚政府,https://www.australia.gov.au/,,,,,,,,,,,,,
2023年,阿根廷,500,个,能源、金融,可再生能源证书、加密货币支付,阿根廷国家科学技术研究委员会,https://www.conicet.gov.ar/,,,,,,,,,,,,,
2023年,荷兰,400,个,物流、航运,货物追踪、智能合约,荷兰海关,https://www.belastingdienst.nl/,,,,,,,,,,,,,
2023年,巴西,800,个,政府、金融,透明选举记录、数字货币,巴西金融监管局,https://www.bcb.gov.br/,,,,,,,,,,,,,
2023年,俄罗斯,450,个,能源、政府,能源交易、身份验证,俄罗斯数字经济部,http://digital.gov.ru/,,,,,,,,,,,,,
2023年,南非,600,个,金融、房地产业,房产交易、数字资产管理,南非金融服务监管局,https://www.fsca.co.za/,,,,,,,,,,,,,
2024年,香港,300,个,政务、金融,虚拟货币监控、电子服务平台,香港金融管理局,https://www.hkma.gov.hk/,,,,,,,,,,,,,
2023年,英国,950,个,金融、保险,去中心化金融（DeFi）、索赔处理,Financial Times,https://www.ft.com/technology,,,,,,,,,,,,,
2023年,印度,700,个,农业、供应链,食品安全追溯、农产品交易,NASSCOM,https://www.nasscom.in/knowledge-library,,,,,,,,,,,,,
2023年,澳大利亚,600,个,政府、卫生,电子医疗记录、身份验证,Australia Blockchain Roadmap,https://www.industry.gov.au/,,,,,,,,,,,,,
2023年,巴西,400,个,金融、政府,数字货币、公共记录管理,Portal de Compras,https://www.gov.br/compras/,,,,,,,,,,,,,
2023年,阿根廷,350,个,教育、金融,学历验证、微融资,Banco Central de Argentina,https://www.bcra.gob.ar/,,,,,,,,,,,,,
2023年,俄罗斯,800,个,物流、艺术,物流追踪、艺术品认证,政府区块链协会,https://blockchain-association.ru/,,,,,,,,,,,,,
2023年,南非,250,个,医疗、教育,患者数据管理、继续教育证书,South Africa Reserve Bank,https://www.resbank.co.za/,,,,,,,,,,,,,
2023年,芬兰,300,个,能源、物流,可再生能源跟踪、货运管理,Natural Resources Institute Finland,https://www.luke.fi/en/,,,,,,,,,,,,,
2023年,瑞士,450,个,金融、科技,初创企业融资、投资管理,Swiss Finance Institute,https://www.sfi.ch/,,,,,,,,,,,,,
2023年,以色列,500,个,网络安全、医疗,数据安全、临床试验,Israel Blockchain Association,https://www.israelblockchain.org/,,,,,,,,,,,,,
2023年,加拿大,600,个,金融、教育,学位认证、资金透明追踪,加拿大区块链委员会,https://www.canada.ca/en/services/business/technology/blockchain.html,,,,,,,,,,,,,
2023年,印度,950,个,农业、供应链,农产品溯源、合同管理,印度信息技术部,https://www.meit.gov.in/content/what_is_blockchain,,,,,,,,,,,,,
2023年,巴西,700,个,金融、医疗,健康数据追踪、融资透明化,巴西证券交易所,http://www.b3.com.br/en_us/,,,,,,,,,,,,,
2023年,澳大利亚,500,个,能源、金融,可再生能源证明、投资追踪,澳大利亚政府,https://www.industry.gov.au/data-and-analysis/blockchain,,,,,,,,,,,,,
2023年,德国,900,个,制造、汽车,产品追踪、供应链透明,德国联邦经济与能源部,https://www.bmwi.de/Redaktion/EN/Dossier/blockchain.html,,,,,,,,,,,,,
2023年,新西兰,350,个,政务、物流,土地登记、国际货物追踪,新西兰政府,https://www.govt.nz/browse/business-and-economy/blockchain/,,,,,,,,,,,,,
2023年,阿联酋,750,个,旅游、金融,旅游身份验证、交易安全,阿联酋政府区块链委员会,https://www.smartdubai.ae/initiatives/blockchain,,,,,,,,,,,,,
2023年,英国,1300,个,教育、公共服务,保存学历证书、选民身份验证,英国数字厅,https://www.gov.uk/government/organisations/department-for-digital-culture-media-sport,,,,,,,,,,,,,
