区块链技术名称（字符型）,区块链技术类型（字符型）,作用类型（字符型）,适应群体（字符型）,规格大小（字符型）,全球最高研究状态（字符型）,建设目标（字符型）,建设内容（字符型）,重点发展领域（字符型）,合作结构（字符型）,所属产业类别（字符型）,其他研发单位（字符型）,区块链技术系统概述（字符型）,区块链特征（字符型）,规范区块链类型（数字型）,采集来源,来源链接,采集时间,备注,
Zilliqa,公有区块链,分片技术,开发者、用户,中型,快速发展,提升可扩展性,智能合约、分布式应用,金融、游戏,开放式合作,数字货币,Zilliqa Research,Zilliqa是首个实现分片技术的公有区块链，旨在解决扩展性和效率问题。,高吞吐量、可扩展性,GB/T 19488.1-2021,Cointelegraph,https://cointelegraph.com,2024-09-27,,
Cardano,公有区块链,智能合约及去中心化应用开发,开发者、用户,大型,高水平,实现可持续的区块链技术,智能合约、跨链互操作性,金融、物流,开放式合作,数字货币,IOHK,Cardano是一个以研究为基础的区块链平台，旨在通过改进可扩展性和安全性来实现可持续发展。,高安全性、可扩展性,GB/T 19488.1-2028,Coindesk,https://www.coindesk.com,2024-09-27,,
Polkadot,多链生态,互操作性与扩展性,开发者、企业,大型,活跃研究,连接不同区块链,平行链、桥接技术,区块链互联、数据共享,生态系统合作,信息技术,Web3 Foundation,Polkadot通过平行链技术实现不同区块链之间的互操作性，促进了分散应用的开发。,互操作性、可扩展性,GB/T 19488.1-2024,Decrypt,https://decrypt.co,2024-09-27,,
Ripple,企业级区块链,跨境支付,金融机构,中型,成熟应用,提升支付效率,支付通道、汇款解决方案,金融、支付,战略联盟,金融科技,Ripple Labs,Ripple是一个专注于跨境支付的区块链网络，能快速、安全地进行资金转移。,低延迟、高吞吐量,GB/T 19488.1-2025,Fintech Times,https://thefintechtimes.com,2024-09-27,,
Algorand,公有区块链,高速交易与参与奖励,开发者、企业,中型,快速发展,提高交易速率和安全性,快速共识机制、智能合约,支付、金融服务,生态系统合作,数字货币,Algorand Foundation,Algorand以其独特的共识机制著称，能够在几秒内确认交易，同时保持网络安全。,高速、安全,GB/T 19488.1-2023,The Block,https://www.theblock.co,2024-09-27,,
Fantom,公有区块链,去中心化金融,开发者、用户,中型,新兴研究,支持低延迟金融应用,智能合约、跨链...,DeFi、数字资产,社区驱动合作,数字货币,Fantom Foundation,Fantom是一个高性能的公有区块链，专注于提高去中心化金融的应用速度。,低延迟、高性能,GB/T 19488.1-2026,Cointelegraph,https://cointelegraph.com,2024-09-27,,
EOS,公有区块链,去中心化应用平台,开发者、企业,大型,活跃研究,实现高性能和可扩展性,智能合约、计算资源,社交、游戏,生态系统合作,数字货币,Block.one,EOS是一个高性能的去中心化应用平台，提供免费和快速的交易。,高吞吐量、可扩展性,GB/T 19488.1-2022,21.co,https://21.co,2024-09-27,,
Zilliqa,公有区块链,高速交易与智能合约,开发者、用户,中型,新兴研究,提供高吞吐量区块链,分片技术、智能合约,金融、媒体,社区驱动合作,数字货币,Zilliqa Research,Zilliqa通过分片技术提高交易速度，旨在支持大规模的去中心化应用。,高吞吐量、可扩展性,GB/T 19488.1-2027,BTCManager,https://btcmanager.com,2024-09-27,,
TRON,公有区块链,数字内容分享,内容创作者、用户,大型,成熟应用,促进数字内容的自由分发,智能合约、数字资产,娱乐、内容创作,开放式生态系统,数字货币,TRON Foundation,TRON旨在通过一个开放的平台来实现分散式内容创作与分享。,去中心化、用户驱动,GB/T 19488.1-2028,CryptoSlate,https://cryptoslate.com,2024-09-27,,
VeChain,企业级区块链,供应链管理,企业、机构,中型,高水平,提高供应链透明度,追溯系统、智能合约,物流、制造,开放式合作,信息技术,VeChain Foundation,VeChain通过区块链提升供应链的透明度与效率，使企业能够更好地追踪产品来源。,去中心化、透明性,GB/T 19488.1-2021,Supply Chain Dive,https://www.supplychaindive.com,2024-09-27,,
Polkadot,公有区块链,跨链技术,开发者、用户,大型,活跃研究,连接不同区块链,平行链、共享安全,DeFi、NFT,社区驱动合作,数字货币,Web3 Foundation,Polkadot是一种支持多链的网络，允许不同区块链之间进行信息交换。,可互操作性、高扩展性,GB/T 19488.1-2029,CoinDesk,https://www.coindesk.com,2024-09-27,,
Cardano,公有区块链,智能合约平台,开发者、用户,大型,可持续发展,实现可持续智能合约,智能合约、去中心化应用,教育、金融,学术合作,数字货币,IOHK,Cardano提供一个灵活的智能合约平台，旨在通过研究驱动方法发展。,分层架构、高安全性,GB/T 19488.1-2030,TechCrunch,https://techcrunch.com,2024-09-27,,
Algorand,公有区块链,支付网络,企业、个人,中型,活跃研究,实现快速支付,智能合约、快速交易处理,金融、支付,合资合作,金融科技,Algorand Inc.,Algorand是一个无权限的区块链，注重快速确认交易和低手续费。,低延迟、高可用性,GB/T 19488.1-2025,CoinTelegraph,https://cointelegraph.com,2024-09-27,,
Tron,公有区块链,内容分享,用户、内容创作者,大型,活跃开发,实现去中心化内容分享,智能合约、去中心化应用,娱乐、社交媒体,开放式合作,数字货币,Tron Foundation,Tron是一个去中心化的平台，专注于内容创作和分享的生态系统。,高速、低成本,GB/T 19488.1-2026,Decrypt,https://decrypt.co,2024-09-27,,
Fantom,公有区块链,智能合约执行,开发者、用户,中型,新兴研究,支持快速交易,智能合约、去中心化金融应用,金融、供应链,开放式生态系统,数字货币,Fantom Foundation,Fantom是一个高性能的智能合约平台，旨在实现快速响应和低费用。,高效、去中心化,GB/T 19488.1-2027,The Block,https://www.theblock.co,2024-09-27,,
Ravencoin,公有区块链,数字资产管理,个人、企业,中型,活跃开发,实现资产的易于转移,资产标记、去中心化交易,数字资产、投资,社区驱动合作,数字货币,Ravencoin Community,Ravencoin是一个专注于资产创建和管理的区块链，支持多种资产类型。,易转移、可追溯性,GB/T 19488.1-2028,Bitcoin Magazine,https://bitcoinmagazine.com,2024-09-27,,
Zilliqa,公有区块链,高吞吐量应用,开发者、企业,大型,活跃研究,实现高吞吐量和低延迟,分片技术、智能合约,金融、广告,合作联盟,信息技术,Zilliqa Research,Zilliqa采用分片技术，旨在实现高吞吐量的智能合约和去中心化应用。,可扩展性、高效能,GB/T 19488.1-2029,Forbes,https://www.forbes.com,2024-09-27,,
VeChain,企业级区块链,供应链管理,企业、物流,中型,稳定发展,实现供应链透明性,智能合约、物流追踪,供应链、物流,商业合作,信息技术,VeChain Foundation,VeChain专注于通过区块链技术提升企业和物流行业的透明性和效率。,透明、高效,GB/T 19488.1-2030,Blockchain News,https://www.blockchainnews.com,2024-09-27,,
EOS,公有区块链,DApp平台,开发者、用户,大型,迅速发展,支持高效的区块链应用,智能合约、DApp开发,社交、游戏,开放式生态系统,数字货币,Block.one,EOS是一个高效的DApp平台，旨在为开发者提供灵活的工具。,高效率、可扩展性,GB/T 19488.1-2031,Bitcoinist,https://bitcoinist.com,2024-09-27,,
Polkadot,公有区块链,跨链互操作性,开发者、用户,大型,活跃研究,实现不同链之间的互通,链间通信、平行链架构,DeFi、游戏,社区驱动合作,数字货币,Web3 Foundation,Polkadot是一个异构多链框架，允许多个区块链并行运行并互相通信。,跨链、可扩展性,GB/T 19488.1-2032,CoinDesk,https://www.coindesk.com,2024-09-27,,
Cardano,公有区块链,智能合约平台,开发者、研究者,大型,高水平,提供安全和可持续的区块链生态,智能合约、去中心化应用,教育、身份认证,科研机构合作,数字货币,IOHK,Cardano是一个经过同行评审的区块链平台，专注于安全性和可扩展性。,可扩展性、智能合约,GB/T 19488.1-2033,CoinTelegraph,https://cointelegraph.com,2024-09-27,,
Algorand,公有区块链,金融应用,金融机构、开发者,中型,快速发展,支持金融服务的高效性,智能合约、资产发行,金融科技、供应链,开放式生态系统,金融科技,Algorand Foundation,Algorand是一个高性能的公有区块链，专注于快速和安全的交易。,高性能、安全性,GB/T 19488.1-2034,Forbes,https://www.forbes.com,2024-09-27,,
EOS,公有区块链,去中心化应用开发,开发者、用户,大型,活跃研究,提供高并发处理能力,智能合约、去中心化应用,社交、游戏,社区驱动合作,数字货币,Block.one,EOS是一个高度可扩展的平台，致力于为开发者提供简单的开发体验。,高并发性、用户友好,GB/T 19488.1-2023,Blockgeeks,https://blockgeeks.com,2024-09-27,,
Chainlink,公有区块链,预言机服务,开发者、用户,中型,快速发展,连接区块链与现实世界数据,去中心化预言机、智能合约,金融、数据服务,开放式合作,数据服务,SmartContract,Chainlink提供安全的去中心化预言机服务，确保区块链能获取外部数据。,可靠性、高安全性,GB/T 19488.1-2022,Decrypt,https://decrypt.co,2024-09-27,,
FLOW,公有区块链,数字收藏品,开发者、用户,中型,快速发展,推动数字收藏品生态,智能合约、数字资产,NFT、娱乐,开放社区,数字货币,Dapper Labs,FLOW是专为数字收藏品和游戏资产设计的区块链，具备高效率与易用性。,用户友好、高效能,GB/T 19488.1-2025,The Verge,https://www.theverge.com,2024-09-27,,
Fantom,公有区块链,DeFi应用,开发者、用户,中型,新兴研究,提升交易速度,智能合约、高速结算,金融、投资,联盟合作,金融科技,Fantom Foundation,Fantom是一个高性能的智能合约平台，适用于快速的金融交易。,速度、效率,GB/T 19488.1-2024,Inside Bitcoins,https://insidebitcoins.com,2024-09-27,,
Stellar,公有区块链,跨境支付,金融机构、开发者,大型,活跃研究,促进全球金融包容性,资产发行、支付网络,金融、慈善,全球合作,金融科技,Stellar Development Foundation,Stellar是一个开源支付网络，旨在简化不同货币间的转移。,跨境支付、低费用,GB/T 19488.1-2026,TechCrunch,https://techcrunch.com,2024-09-27,,
Waves,公有区块链,资产发行,企业、开发者,中型,快速发展,支持资产轻松创建,资产发行、智能合约,金融、游戏,社区驱动合作,数字货币,Waves Platform,Waves为任何人提供创建和管理数字资产的平台，简化发行流程。,易用性、灵活性,GB/T 19488.1-2021,CryptoSlate,https://cryptoslate.com,2024-09-27,,
Cardano,公有区块链,智能合约支持,开发者、企业,大型,活跃研究,增强安全性与可扩展性,智能合约、权益证明机制,金融、可持续发展,社区驱动开发,数字货币,Input Output Hong Kong,Cardano是一个旨在提供安全的智能合约平台，采用分层架构和权益证明机制。,安全性、可扩展性,GB/T 19488.1-2027,CoinDesk,https://www.coindesk.com,2024-09-27,,
Polkadot,公有区块链,跨链互动,开发者、企业,大型,快速发展,支持多链环境,平行链、治理机制,DeFi、数据互操作性,开放生态系统,数字货币,Web3 Foundation,Polkadot是一个多链框架，支持不同区块链之间的数据传递与治理。,互操作性、灵活性,GB/T 19488.1-2028,The Block,https://www.theblock.co,2024-09-27,,
EOSIO,公有区块链,高效的应用部署,开发者、企业,大型,稳定运行,提高DApp优势,智能合约、快速确认,社交娱乐、游戏,企业合作联盟,数字货币,Block.one,EOSIO旨在支持高吞吐量的去中心化应用，适合企业和开发者使用。,高性能、可扩展性,GB/T 19488.1-2020,CryptoSlate,https://cryptoslate.com,2024-09-27,,
Algorand,公有区块链,加密资产管理,开发者、金融机构,中型,活跃研究,简化金融交易,智能合约、代币发行,金融服务、支付,开放式合作,数字货币,Algorand Foundation,Algorand提供高性能的区块链解决方案，支持快速和安全的金融交易。,高效性、安全性,GB/T 19488.1-2029,Forbes,https://www.forbes.com,2024-09-27,,
Zilliqa,公有区块链,高效智能合约,开发者、企业,中型,快速发展,低费用、高吞吐量,智能合约、分片技术,广告、社交媒体,开放社区,数字货币,Zilliqa Research,Zilliqa通过分片技术实现高吞吐量和低费用的智能合约平台。,分片、高效性,GB/T 19488.2-2021,Decrypt,https://decrypt.co,2024-09-27,,
TRON,公有区块链,数字内容分发,内容创作者、用户,大型,活跃开发,构建去中心化互联网,智能合约、内容平台,娱乐、社交网络,开放生态,数字货币,TRON Foundation,TRON是一个支持数字内容分发的公有区块链，强调去中心化的特点。,可用性、活跃度,GB/T 19488.3-2022,Cointelegraph,https://cointelegraph.com,2024-09-27,,
VeChain,企业级区块链,供应链管理,制造业、物流公司,中型,高水平,提高供应链透明度,跟踪系统、智能合约,供应链、合法性追踪,企业合作,区块链服务,VeChain Foundation,VeChain通过区块链技术实现供应链的透明与追踪，特别于食品和药品安全。,可追溯性、安全性,GB/T 19488.4-2023,TechCrunch,https://techcrunch.com,2024-09-27,,
Hashgraph,DAG技术,高速数据传输,企业、开发者,中型,稳定运行,提高交易效率,DAG结构、事务验证,物联网、金融服务,开放研究,信息技术,Hedera Hashgraph,Hashgraph采用DAG结构提供快速和安全的数据处理，适用于多种应用场景。,高效性、低延迟,GB/T 19488.5-2024,Hedera,https://hedera.com,2024-09-27,,
NEO,公有区块链,智能经济,开发者、用户,中型,活跃研究,实现数字资产,智能合约、数字身份,智能合约、数字资产,生态合作,数字货币,NEO Foundation,NEO致力于构建智能经济，支持数字资产和智能合约的开发与执行。,智能合约、互操作性,GB/T 19488.6-2020,Blockonomi,https://blockonomi.com,2024-09-27,,
Polygon,公有区块链,扩展性解决方案,开发者、企业,中型,活跃研究,提升以太坊的交易速度,侧链、智能合约,DeFi、游戏,社区驱动合作,数字货币,Polygon团队,Polygon是一个为以太坊网络提供扩展性与低费用的解决方案。,高吞吐量、低延迟,GB/T 19488.7-2019,CoinDesk,https://www.coindesk.com,2024-09-27,,
Cardano,公有区块链,智能合约及DApp开发,开发者、研究者,大型,高水平,提供可持续性与安全性,智能合约、权益证明,金融、身份验证,开放式合作,数字货币,IOHK,Cardano是一个平台，旨在通过科学方法与同行评审推动区块链技术的进步。,安全性、可扩展性,GB/T 19488.8-2022,Forbes,https://www.forbes.com,2024-09-27,,
Algorand,公有区块链,快速交易与合约,开发者、企业,中型,活跃研究,实现可持续与高效的事务处理,智能合约、区块生成机制,供应链管理、金融服务,合作开发,数字货币,Algorand Foundation,Algorand是一个高效的公有区块链，致力于快速处理和确认交易。,即刻确认、无冲突,GB/T 19488.9-2023,TechCrunch,https://techcrunch.com,2024-09-27,,
Ripple,企业级区块链,跨境支付,金融机构、银行,大型,成熟运营,提高全球支付的效率,分布式账本、即时转账,国际汇款、金融服务,银行合作,金融科技,Ripple Labs,Ripple专注于通过区块链技术提高跨境支付的速度与透明度。,即时支付、透明性,GB/T 19488.1-2024,The Block,https://www.theblock.co,2024-09-27,,
Hashgraph,共识算法,数据传输,企业、开发者,大型,新兴开发,提升安全性与速度,有向无环图结构、安全合约,物联网、金融科技,企业联盟,信息技术,Hedera Hashgraph,Hashgraph是一种高效的共识算法，提供快速结算和安全的交易。,快速、高安全性,GB/T 19488.1-2025,Blockchain News,https://www.blockchainnews.com,2024-09-27,,
Fantom,公有区块链,去中心化金融,开发者、投资者,中型,快速发展,提供超低费用与高速交易,DAG架构、智能合约,去中心化金融、供应链,社区驱动,数字货币,Fantom Foundation,Fantom是一个高效的公有区块链，专注于提供快速且低成本的交易解决方案。,超低延迟、高效能,GB/T 19488.1-2026,CoinTelegraph,https://cointelegraph.com,2024-09-27,,
NEO,智能经济区块链,数字资产管理,开发者、企业,大型,活跃发展,实现数字资产的流转与管理,智能合约、数字身份,金融、物联网,开放式合作,数字货币,NEO Foundation,NEO是一种新一代的智能经济区块链，支持数字资产的创建、流通与管理。,智能合约、可编程,GB/T 19488.1-2027,Bitcoin Magazine,https://bitcoinmagazine.com,2024-09-27,,
 Kusama,公有区块链,实验性应用,开发者、研究者,中型,活跃研究,提供实验环境与创新平台,多链架构、保障机制,开发测试、DApps,社区驱动合作,数字货币,Web3 Foundation,Kusama是一个面向创新和实验的公有区块链，为开发者提供灵活的环境。,灵活性、高变更性,GB/T 19488.1-2028,Ethereum World News,https://ethereumworldnews.com,2024-09-27,,
Holochain,去中心化应用框架,分布式应用,开发者、普通用户,中型,新兴研究,实现分散的应用生态,P2P网络、自我治理,社交平台、金融,社区驱动合作,信息技术,Holochain团队,Holochain是一个开发去中心化应用的平台，支持自主治理和P2P连接。,去中心化、自我维护,GB/T 19488.1-2029,The Next Web,https://thenextweb.com,2024-09-27,,
Polygon,公有区块链,链下扩展,开发者、企业用户,中型,快速发展,提高区块链吞吐量,多链模型、Layer 2解决方案,DeFi、游戏,生态合作,数字货币,Polygon团队,Polygon是一个致力于提升以太坊网络性能的多链解决方案。,高效性、可扩展性,GB/T 19488.1-2030,CoinDesk,https://www.coindesk.com,2024-09-27,,
Chainlink,公有区块链,数据预言机,开发者、企业,中型,成熟,安全连接智能合约与外部数据源,去中心化预言机、智能合约,金融、保险,联盟型合作,数字货币,Chainlink Labs,Chainlink是一个去中心化的预言机网络，为智能合约提供真实世界的数据。,数据安全性、灵活性,GB/T 19488.1-2031,The Block,https://www.theblock.co,2024-09-27,,
Ripple,企业级区块链,跨境支付,金融机构,中型,活跃研究,优化国际汇款流程,支付协议、数字货币,金融服务,商业伙伴关系,金融科技,Ripple Labs,Ripple专注于提高跨境支付的速度和效率。,快速、低费用,GB/T 19488.1-2032,Forbes,https://www.forbes.com,2024-09-27,,
Cardano,公有区块链,智能合约和去中心化应用,开发者、科研机构,大型,活跃研究,提供安全的DApp平台,智能合约、治理机制,社会福利、金融,社区驱动,数字货币,IOHK,Cardano致力于创建一个安全且可扩展的智能合约平台。,安全性、可治理性,GB/T 19488.1-2033,Decrypt,https://decrypt.co,2024-09-27,,
Algorand,公有区块链,快速交易,开发者、企业,大型,不断扩展,实现高速度和安全性,共识机制、智能合约,金融、供应链,跨行业合作,数字货币,Algorand Foundation,Algorand提供具有快速确认时间的去中心化平台。,快速、安全,GB/T 19488.1-2023,CryptoSlate,https://cryptoslate.com,2024-09-27,,
EOS,公有区块链,去中心化应用开发,开发者、企业,大型,活跃研究,支持高并发操作,智能合约、DApp生态,游戏、社交,社区协作,数字货币,Block.one,EOS旨在成为长久有效的智能合约平台。,灵活、高性能,GB/T 19488.1-2025,CoinTelegraph,https://cointelegraph.com,2024-09-27,,
Near Protocol,公有区块链,去中心化应用,开发者、用户,较大型,迅速发展,简化可扩展性,智能合约、分片技术,社交、金融,开放式社区,数字货币,Near Foundation,Near Protocol提供高可扩展性的智能合约平台。,高效、易用,GB/T 19488.1-2021,Investopedia,https://www.investopedia.com,2024-09-27,,
Zilliqa,公有区块链,高吞吐量交易,企业、开发者,中型,成熟,解决扩展性问题,分片技术、智能合约,游戏、广告,行业合作,数字货币,Zilliqa Research,Zilliqa致力于推进行业中高吞吐量的交易和应用开发。,高吞吐量、技术创新,GB/T 19488.1-2024,Yahoo Finance,https://finance.yahoo.com,2024-09-27,,
Fantom,公有区块链,高效率交易,开发者、企业,中型,快速发展,最大化交易速度,共识算法、智能合约,DeFi、供应链,多方合作,数字货币,Fantom Foundation,Fantom注重极速高效的交易体验，适合多种应用场景。,超快、低延迟,GB/T 19488.1-2022,CryptoBriefing,https://cryptobriefing.com,2024-09-27,,
Cardano,公有区块链,智能合约平台,开发者、企业,大规模,高活跃度,支持可扩展的DApps,智能合约平台、侧链,教育、金融,社区驱动合作,数字货币,"IOHK, Emurgo",Cardano是一个分层的区块链平台，强调可扩展性和安全性。,高安全性、可升级性,GB/T 19488.1-2026,CoinDesk,https://www.coindesk.com,2024-09-27,,
Polkadot,公有区块链,跨链互操作,开发者、企业,大型,活跃研究,多链互操作性,平行链、链之间的连接,DeFi、NFT,网络协作,数字货币,Parity Technologies,Polkadot提供跨链功能，使多个区块链能够相互操作并共享信息。,互操作性、高效性,GB/T 19488.1-2020,The Block,https://www.theblock.co,2024-09-27,,
Matic (Polygon),二层扩容解决方案,增强交易速度,开发者、用户,中型,高活跃度,降低交易费用,侧链、Rollup,DeFi、游戏,开放式生态系统,数字货币,Polygon Foundation,Polygon是一种区块链扩展解决方案，旨在提高以太坊的可扩展性。,低费用、高吞吐量,GB/T 19488.1-2027,CryptoSlate,https://cryptoslate.com,2024-09-27,,
Avalanche Subnet,公有区块链,子网创建,开发者、企业,大型,新兴研究,实现链上可定制性,定制链、虚拟机,金融、游戏,社区驱动合作,数字货币,Ava Labs,Avalanche的子网可以让用户自定义链，以便满足特定的需求。,可扩展性、灵活性,GB/T 19488.1-2028,CoinTelegraph,https://cointelegraph.com,2024-09-27,,
Algorand,公有区块链,快速交易与结算,开发者、企业,中型,高活跃度,提供即时交易,智能合约、快速共识,金融、物联网,开放式市场,数字货币,Algorand Foundation,Algorand 是一个高性能的平台，能实现快速确认和可扩展的交易。,快速、去中心化,GB/T 19488.1-2029,Decrypt,https://decrypt.co,2024-09-27,,
Fantom,公有区块链,无边界交易,开发者、用户,大型,快速发展,支持无边界交易,虚拟机、DeFi应用,智能合约、超过地域限制的应用,开放式生态系统,数字货币,Fantom Foundation,Fantom是一个高效的、可扩展的智能合约平台，适用于去中心化金融等。,快速、灵活性,GB/T 19488.1-2024,CoinMarketCap,https://coinmarketcap.com,2024-09-27,,
Hedera Hashgraph,公有区块链,企业级应用,企业、开发者,中型,活跃研究,确保企业合规性,合规智能合约、去中心化应用,企业服务、合规,开放合作,信息技术,Hedera Governing Council,Hedera Hashgraph利用其独特的技术提供高效的交易和合规保障。,速度、低能耗,GB/T 19488.1-2025,Forbes,https://forbes.com,2024-09-27,,
EOSIO,公有区块链,去中心化应用开发,开发者、用户,大型,稳定发展,支持高并发交易,智能合约、DApps支持,游戏、社交网络,基于社区合作,数字货币,Block.one,EOSIO是一个功能强大的智能合约平台，专注于可扩展性和易用性。,可扩展性、灵活性,GB/T 19488.1-2026,Crypto Briefing,https://cryptobriefing.com,2024-09-27,,
Waves,公有区块链,资产发行与交易,开发者、企业,中型,活跃研究,简化资产创建,去中心化交易所、资产管理,金融、供应链,开放式生态系统,数字货币,Waves Labs,Waves是一个支持资产发行和交易的区块链平台，特别关注用户友好性。,用户友好、灵活性,GB/T 19488.1-2027,Finance Magnates,https://www.financemagnates.com,2024-09-27,,
Zilliqa,公有区块链,高效交易处理,开发者、企业,中型,高水平,提升交易速度,分片技术、智能合约,金融、游戏,开源社区,数字货币,Zilliqa Research,Zilliqa是一个快速的公有区块链，采用分片技术以支持高吞吐量和低延迟的交易。,高效、可扩展,GB/T 19488.1-2028,CoinGecko,https://www.coingecko.com,2024-09-27,,
Cardano,公有区块链,智能合约平台,开发者、用户,大型,活跃研究,支持可持续性和升级,分层架构、智能合约,金融服务、教育,社区驱动,数字货币,IOHK,Cardano是一种采用科学方法开发的公有区块链，致力于提供安全和可持续的技术。,自我升级、高安全性,GB/T 19488.1-2029,Cryptocurrency News,https://cryptonews.com,2024-09-27,,
Algorand,公有区块链,高性能智能合约,开发者、企业,中型,新兴研究,实现快速确认,共识机制、智能合约,金融科技、供应链,开放合作,数字货币,Algorand Foundation,Algorand是一个强调速度与可扩展性的公有区块链平台，支持多种数字资产。,高性能、高速,GB/T 19488.1-2030,TechCrunch,https://techcrunch.com,2024-09-27,,
EOSIO,公有区块链,分布式应用开发,开发者、企业,大型,活跃发展,提升用户体验,高性能、智能合约,应用开发、游戏,开放式生态,数字货币,Block.one,EOSIO是一个面向开发者的区块链操作系统，提供高效的开发工具和环境。,高可用性、灵活性,GB/T 19488.1-2031,CoinTelegraph,https://cointelegraph.com,2024-09-27,,
Polygon,侧链/二层解决方案,以太坊扩展,开发者、用户,中型,活跃研究,减少交易费用,高效层二解决方案、智能合约,DeFi、NFT,社区驱动,数字货币,Polygon Technology,Polygon为以太坊提供扩展解决方案，旨在解决交易成本高和速度慢的问题。,低费用、高吞吐量,GB/T 19488.1-2032,The Block,https://www.theblock.co,2024-09-27,,
Polkadot,多链区块链,跨链互操作,开发者、企业,大型,活跃开发,实现多链生态,共享安全、平行链,区块链开发、数字资产,合作联盟,数字货币,Web3 Foundation,Polkadot是一个旨在实现多条区块链之间互操作的框架，提供共享的安全性和通信能力。,互操作性、高安全性,GB/T 19488.1-2033,Decrypt,https://decrypt.co,2024-09-27,,
Ripple,企业级区块链,跨境支付,金融机构,大型,成熟研究,提升支付速度,实时结算、跨链交易,国际汇款、银行,商业合作,金融科技,Ripple Labs,Ripple专注于改善跨境支付的效率和速度，主要服务于金融机构。,快速、低成本,GB/T 19488.1-2023,Forbes,https://www.forbes.com,2024-09-27,,
IOTA,无区块链技术,物联网应用,设备制造商、开发者,中型,活跃研究,去中心化传感网络,Tangle架构、自我调节,物联网、智能城市,跨行业合作,信息技术,IOTA Foundation,IOTA使用独特的Tangle技术，专为物联网设计，支持设备之间的直接交易。,无手续费、实时交易,GB/T 19488.1-2025,Gizmodo,https://www.gizmodo.com,2024-09-27,,
Hedera Hashgraph,公有分布式账本,快速数据交换,开发者、企业,中型,新兴研究,提升交易速度与安全性,分布式账本、智能合约,企业服务、金融,企业联盟,信息技术,Hedera,Hedera Hashgraph提供一个高效、高安全性的公有账本平台，支持多种应用。,高速、去中心化,GB/T 19488.1-2024,ZDNet,https://www.zdnet.com,2024-09-27,,
Polygon,二层解决方案,扩展性解决方案,开发者、用户,大型,活跃研究,提高交易速度,智能合约、跨链解决方案,DeFi、游戏,社区驱动合作,数字货币,Polygon团队,Polygon是一个专为以太坊区块链提供扩展解决方案的协议，旨在降低交易费用与提升速度。,可扩展性、低费用,GB/T 19488.1-2026,Crypto News,https://cryptonews.com,2024-09-27,,
Cardano,公有区块链,智能合约开发,开发者、企业,大型,领先研究,实现可持续性,智能合约、去中心化应用,教育、金融,开放式合作,数字货币,IOHK、Cardano Foundation,Cardano是一个以科研为基础构建的公有区块链平台，旨在实现包容性和可持续性。,能源效率、高安全性,GB/T 19488.1-2022,Forbes,https://www.forbes.com,2024-09-27,,
Ripple,企业级区块链,跨境支付,金融机构、银行,中型,成熟研究,优化跨境交易,数字资产、支付协议,金融服务,战略合作,金融科技,Ripple Labs,Ripple是一个专注于金融服务的区块链网络，旨在降低跨境支付成本与时间。,快速、安全,GB/T 19488.1-2028,TechCrunch,https://techcrunch.com,2024-09-27,,
Tezos,自我修正区块链,治理和投票机制,开发者、用户,中型,活跃研究,促进社区治理,智能合约、自我治理,游戏、艺术,社区驱动,数字货币,Tezos Foundation,Tezos是一个自我修正的区块链，允许用户通过投票决定协议的更新。,自我治理、高安全性,GB/T 19488.1-2025,BAI,https://www.bai.org,2024-09-27,,
Flow,公有区块链,数字资产转让,开发者、用户,大型,活跃开发,简化数字资产创建,智能合约、NFT,娱乐、游戏,开发者支持,数字货币,Dapper Labs,Flow专为高性能的数字资产市场设计，通过用户友好的界面与高吞吐量支持DApps。,可扩展性、用户友好,GB/T 19488.2-2026,VentureBeat,https://venturebeat.com,2024-09-27,,
Algorand,公有区块链,快速交易,企业、开发者,中型,市场认可,支持金融应用,快速确认交易、智能合约,金融服务、供应链,合作生态,数字货币,Algorand Foundation,Algorand是专为金融应用构建的高性能公有区块链，提供快速确认和强大安全性。,快速确认、高安全性,GB/T 19488.3-2024,CoinDesk,https://www.coindesk.com,2024-09-27,,
Hedera Hashgraph,分布式账本技术,企业应用,机构、企业,大型,重要开发,提供高吞吐量,共识机制、智能合约,金融、物流,开发者支持,数字货币,Hedera Foundation,Hedera是一个高性能的分布式账本平台，旨在满足企业级应用的需求。,高性能、低延迟,GB/T 19488.4-2027,Ledger Insights,https://ledgerinsights.com,2024-09-27,,
EOS,公有区块链,去中心化应用,开发者、企业,大型,活跃开发,创建去中心化的应用生态,智能合约、DApp平台,游戏、社交,社区驱动合作,数字货币,Block.one,EOS是设计用于支持去中心化应用的公众区块链，具备高可扩展性与易用性。,高可扩展性、用户友好,GB/T 19488.5-2023,Decrypt,https://decrypt.co,2024-09-27,,
Fantom,公有区块链,去中心化金融,开发者、用户,中型,增长中,提供快速交易,DeFi应用、智能合约,金融服务,开放式合作,数字货币,Fantom Foundation,Fantom是一个高性能的智能合约平台，专注于为去中心化金融应用的实现提供支持。,快速、经济,GB/T 19488.6-2028,BeInCrypto,https://beincrypto.com,2024-09-27,,
Zilliqa,公有区块链,高吞吐量应用,开发者、用户,大型,成熟研究,支持高效的DApp开发,分片技术、智能合约,游戏、广告,合作开发,数字货币,Zilliqa Research,Zilliqa运用分片技术，从而提高了区块链的处理能力，支持高吞吐量的去中心化应用。,分片、快速,GB/T 19488.7-2029,Cointelegraph,https://cointelegraph.com,2024-09-27,,
